Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	
"Timor-Leste"	0	0	62	0	330	278	0	24	70	2	7	4	72	51	31	66	74	
"Turks and Caicos Islands"	31	26	16	76	494	615	1285	1414	755	255	216	5	0	89	71	146	74	
"Korea, Democratic People's Republic of"	1245	1603	1496	1337	1152	1201	975	281	2459	665	100	240	6414	5736	4661	635	71	
"Bhutan"	0	9	12	0	0	7	9	264	65	93	58	28	59	72	28	98	61	
"Greenland"	0	6	0	107	197	0	42	166	35	10	47	21	21	1	30	51481	38	
"Solomon Islands"	0	0	0	51	28	67	58	103	166	43	0	9	0	43	346	18	34	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	0	10	18	0	18	30	
"Wallis and Futuna Islands"	0	0	0	0	0	0	12	0	12	12	12	11	153	21	16	18	17	
"Armenia"	0	0	0	0	0	0	0	0	2	16	218	241	83	0	0	1	13	
"Christmas Island"	0	4587	270	172	17	0	0	0	9	0	0	0	112	0	0	0	0	
"Cocos (Keeling) Islands"	0	0	0	0	0	0	0	0	0	3	0	2	0	123	27	3	0	
"Falkland Islands (Malvinas)"	0	34	58	184	0	1	0	11	36	37	25	2	4	26	15	0	0	
"Nauru"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Oceania Nes"	911	1057	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Norfolk Island"	0	10	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	
"Africa not elsewhere specified"	0	0	0	0	0	0	0	0	0	0	77	289	546	2	0	11	0	
"Saint Helena"	0	0	0	1	0	2	0	0	11	0	9	0	0	0	0	0	0	
"St. Pierre and Miquelon"	0	0	0	0	0	3	0	0	4	0	2	22	72	38	6	7	0	
"Serbia and Montenegro"	81362	121484	184676	211944	257879	0	0	0	0	0	0	0	0	0	0	0	0	
"Mayotte"	0	101	172	694	290	165	659	3121	2645	2366	3388	3807	5988	0	0	0	0	
"Montserrat"	0	0	1	2	0	0	11	0	0	0	0	0	0	0	0	1	0	
"Netherlands Antilles"	10994	1396	1293	1626	13098	2555	3664	4054	4390	19582	0	0	0	0	0	0	0	
"Sudan (before 2012)"	54577	56933	63791	88442	145232	216967	179697	234223	247190	227743	243723	0	0	0	0	0	0	
