Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
91	"Clocks and watches and parts thereof"	0	11	12	0	0	28	1	49	70	127	47	183	57	3	0	3	85		788854	837150	938204	1063624	1096881	1105734	1440324	1859544	1571341	2187608	3263771	4149093	3903174	3561232	3482148	3127680	3457926		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
93	"Arms and ammunition; parts and accessories thereof"	0	10	0	0	0	0	21	4	0	1	13	0	34	0	19	63	80		6294	4064	2615	2825	2822	2073	2070	2987	4874	3010	7948	9060	4886	6073	7647	13461	7035		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
65	"Headgear and parts thereof"	0	0	0	0	0	15	2	6	18	8	31	59	48	83	59	75	79		6820	6222	7362	11077	12690	14426	16813	24356	20804	29141	35725	43255	44945	51943	54623	62955	77699		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	4	8	5	20	28	6	13	38	27	116	33	58	28	55	68	38	41		373849	337115	344726	373697	432917	537661	649458	821363	1049017	1270376	1412258	1536608	1898321	1909708	1672672	1641709	1712565		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
37	"Photographic or cinematographic goods"	0	0	0	0	97	0	49	1	1	0	93	0	15	161	144	145	16		459578	567844	720478	896125	980077	1060292	1245991	1513871	1533432	1929457	2167066	2278613	2321811	2273232	2195594	2227804	2369448		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	5	0	20	1	0	0	1	0	25	2	38	2	1	7	0	1	2		16864	11198	10954	11203	9464	7677	6916	6436	5725	6165	9617	20742	19413	22031	14076	12366	11986		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	0	0	0	0	2	51	824	22	0	1	0	0	24	1	189	2		242057	385995	447571	345599	482520	1206092	1422042	1447099	1575379	2021232	1984144	1181559	999362	1644070	1349300	1062881	767725		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
97	"Works of art, collectors' pieces and antiques"	25	0	0	0	0	1	0	1	0	14	0	28	0	14	55	0	2		6121	4633	5717	6548	7073	12366	9719	22072	10765	25765	42153	87950	770754	524116	359542	137057	76576		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	0	0	0	12	3	48	0	45	5	106	10	0	8	0	1		76535	78478	95308	111050	107463	145266	194197	192943	180475	217781	319945	310401	338460	281794	270330	217389	218541		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
10	"Cereals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		607388	481759	444356	2217236	1393780	820610	515163	698520	876144	1501286	2015943	4750662	5053759	6174890	9347989	5661089	6400536		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
01	"Live animals"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		34830	53414	117252	219909	108905	63462	73474	104292	140495	269224	376624	499523	432743	835234	549431	394452	363984		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	0	0	0	0	0	0	0	0	0	0	0	12	20	0	0		22145	32940	45269	51383	68675	69534	83886	90896	90297	103979	128734	136574	173378	189271	217333	226363	280860		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1973	2009	6028	5185	6260	16399	21440	33188	43922	74138	91451	110349	121282	149776	148115	178187	164244		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
23	"Residues and waste from the food industries; prepared animal fodder"	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	0	0		638871	771588	659178	946478	1305462	1297321	1279256	1864003	1837903	3234535	3102286	3047901	3654224	3980566	4425568	3062038	3397279		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
45	"Cork and articles of cork"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15811	17797	18727	24733	26083	26679	31373	35358	33063	43591	47681	45062	37008	41160	40899	41417	47687		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0		7873	8620	5686	6382	7234	8895	9868	7583	5866	9344	11501	14491	12669	11418	12833	12538	14575		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
80	"Tin and articles thereof"	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0		97269	111375	134496	255691	404570	385537	448463	468872	468676	553639	846745	920435	552206	428722	325302	307011	208984		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
78	"Lead and articles thereof"	0	0	0	0	0	520	0	0	0	4	0	0	154	74	0	2	0		22131	37010	48310	91945	80350	84381	106737	126692	325591	133873	137833	114578	83540	70557	46865	52808	264634		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
