Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
70	"Glass and glassware"	411	914	498	440	898	712	745	858	1535	1932	2038	2641	2133	4160	2812	3658	3618		1467536	1666868	2063312	2475373	2546776	2963061	3273327	3420011	3028610	4871474	6267282	7267865	7461719	7330714	6602505	6828504	7247740		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
76	"Aluminium and articles thereof"	524	9	140	1932	718	1244	405	605	646	982	1096	1207	1247	893	1438	2888	2958		2232692	2441016	3354057	4930810	5011554	6193593	6745159	6834935	8540303	8795536	9772493	9598255	8702562	8039030	6929554	5946234	6616621		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
17	"Sugars and sugar confectionery"	327	37	399	421	457	50	579	117	365	672	795	1907	3388	3448	4351	2888	2935		376215	279695	215806	336177	451396	617699	485655	424064	476980	1033935	2131929	2543300	2363617	1786013	2080252	1460104	1406623		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
44	"Wood and articles of wood; wood charcoal"	3105	874	488	188	436	480	425	568	510	588	475	573	438	235	513	802	2796		3467759	4142786	4642504	5203967	5712843	6460065	7979567	8023379	7255434	11234863	15857712	14937030	18768838	22797546	18655529	19627360	23411325		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	72	173	185	278	496	568	678	479	575	889	724	1059	2196	2138	2391	2212	2740		451862	567875	758161	1030622	1237017	1497047	1859442	2199780	2079562	2782591	3290609	3409953	3692431	3953108	3810787	3938751	4453452		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
38	"Miscellaneous chemical products"	951	1012	226	532	663	406	910	1589	1216	4291	4040	2446	3451	1889	1771	2493	2623		2589463	3782630	4940640	4848009	6052120	7410995	8283461	9660494	9040077	12259144	15409178	15316420	15720199	16807073	14428505	14505366	15953100		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
83	"Miscellaneous articles of base metal"	121	187	452	385	390	683	602	1257	734	822	1436	714	823	1316	1375	2162	2555		397911	444274	576831	734894	860295	1104744	1262580	1345440	1193050	1533787	1817710	1796043	1787113	1935169	1701997	1755013	1812289		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	687	359	414	1032	924	2259	2056	1588	1434	2519	2486	3213	2738	3920	2757	2531	2543		610092	647224	707249	817878	845779	838178	767889	737713	620210	694214	732375	736643	734114	670628	586285	542901	519549		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
18	"Cocoa and cocoa preparations"	65	132	543	670	676	661	918	1324	1731	2099	4343	6595	8546	6168	4621	3753	2452		80250	79915	116198	135660	177457	183235	210797	312958	261793	437170	604972	623949	714385	870943	872751	685521	659573		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	66	165	806	889	1085	527	348	869	951	1242	1535	1307	1504	1088	1867	2172	2377		1330929	1564549	1864899	2339944	2879068	3155136	3442820	3648212	3604804	4365460	5587562	5488977	5993593	6583348	6328008	6917637	8062462		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
