Product code	Product label	Turkey's exports to France-Value in 2001	Turkey's exports to France-Value in 2002	Turkey's exports to France-Value in 2003	Turkey's exports to France-Value in 2004	Turkey's exports to France-Value in 2005	Turkey's exports to France-Value in 2006	Turkey's exports to France-Value in 2007	Turkey's exports to France-Value in 2008	Turkey's exports to France-Value in 2009	Turkey's exports to France-Value in 2010	Turkey's exports to France-Value in 2011	Turkey's exports to France-Value in 2012	Turkey's exports to France-Value in 2013	Turkey's exports to France-Value in 2014	Turkey's exports to France-Value in 2015	Turkey's exports to France-Value in 2016	Turkey's exports to France-Value in 2017	France's imports from world- 	France's imports from world-Value in 2001	France's imports from world-Value in 2002	France's imports from world-Value in 2003	France's imports from world-Value in 2004	France's imports from world-Value in 2005	France's imports from world-Value in 2006	France's imports from world-Value in 2007	France's imports from world-Value in 2008	France's imports from world-Value in 2009	France's imports from world-Value in 2010	France's imports from world-Value in 2011	France's imports from world-Value in 2012	France's imports from world-Value in 2013	France's imports from world-Value in 2014	France's imports from world-Value in 2015	France's imports from world-Value in 2016	France's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
75	"Nickel and articles thereof"	84	58	115	76	131	120	239	312	229	130	82	438	162	237	262	57	47		591692	502005	574522	828087	917908	1214058	2051066	1522161	740293	1122470	1559465	1314207	1167341	1129463	939106	697753	820931		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
97	"Works of art, collectors' pieces and antiques"	131	1	29	4	10	22	42	10	414	88	42	48	91	169	290	307	66		188989	224185	285599	394928	367581	442854	550652	714027	550894	569234	725919	624199	642051	1183069	745119	661585	858912		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	80	53	12	15	78	66	109	3	35	14	8	29	22	10	0	57	69		790459	909266	1119218	1263720	1274037	1321405	1429274	1590994	1533556	1501354	1400717	1281651	1328488	1316802	1108247	1153179	1195404		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	210	69	140	31	85	45	21	238	436	36	1	0	0	1	0	112	155		51610	63867	85415	108529	92931	90205	104818	106150	107933	110424	131780	353896	332505	274351	125747	158426	195944		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
92	"Musical instruments; parts and accessories of such articles"	216	232	368	321	361	412	421	340	418	364	339	201	152	232	198	181	191		136478	136585	159009	174138	198819	241033	253268	297956	252954	306380	347294	347946	346903	370407	345729	364773	373102		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
81	"Other base metals; cermets; articles thereof"	0	15	16	23	0	11	243	7	27	343	291	1061	152	173	67	188	209		346999	303278	317252	447204	585516	726764	930144	1025590	582910	688911	938479	951765	922936	1057233	1048014	1082195	1208669		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
78	"Lead and articles thereof"	21	0	0	443	187	126	1	32	6	38	102	514	434	789	1003	2123	240		70044	73975	96273	152692	170434	218747	378711	365149	127195	140713	158273	167882	135971	150536	114212	110938	147963		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
91	"Clocks and watches and parts thereof"	267	341	462	568	581	227	143	152	203	254	345	787	138	644	1045	335	244		779580	824100	859363	945042	1068524	1343136	1759021	2072418	1761920	1988406	2622005	2867709	3084826	3274271	3404008	2997377	3103304		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
79	"Zinc and articles thereof"	42	91	528	906	1864	897	133	488	494	145	150	52	60	182	222	188	279		257250	206282	240742	305132	423583	918796	1106324	688569	429058	581542	708004	536934	562918	622179	565977	568957	775256		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	0	0	1	4	40	56	124	56	173	55	224	75	138	640	334		144164	140878	157471	204450	241055	209982	254006	312818	242275	274053	309827	321053	350683	362397	345179	370534	398194		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
