Product code	Product label	Turkey's exports to France-Value in 2001	Turkey's exports to France-Value in 2002	Turkey's exports to France-Value in 2003	Turkey's exports to France-Value in 2004	Turkey's exports to France-Value in 2005	Turkey's exports to France-Value in 2006	Turkey's exports to France-Value in 2007	Turkey's exports to France-Value in 2008	Turkey's exports to France-Value in 2009	Turkey's exports to France-Value in 2010	Turkey's exports to France-Value in 2011	Turkey's exports to France-Value in 2012	Turkey's exports to France-Value in 2013	Turkey's exports to France-Value in 2014	Turkey's exports to France-Value in 2015	Turkey's exports to France-Value in 2016	Turkey's exports to France-Value in 2017	France's imports from world- 	France's imports from world-Value in 2001	France's imports from world-Value in 2002	France's imports from world-Value in 2003	France's imports from world-Value in 2004	France's imports from world-Value in 2005	France's imports from world-Value in 2006	France's imports from world-Value in 2007	France's imports from world-Value in 2008	France's imports from world-Value in 2009	France's imports from world-Value in 2010	France's imports from world-Value in 2011	France's imports from world-Value in 2012	France's imports from world-Value in 2013	France's imports from world-Value in 2014	France's imports from world-Value in 2015	France's imports from world-Value in 2016	France's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
21	"Miscellaneous edible preparations"	1428	2484	3499	5729	16491	40701	54035	61863	52678	48327	50060	44669	40434	38539	17109	10433	10351		817519	974605	1303114	1452871	1525548	1624036	1981681	2264511	2192887	2225792	2602701	2429952	2582024	2755876	2362140	2399455	2619591		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
29	"Organic chemicals"	2368	2061	2254	3323	1118	6619	4745	3463	2297	13861	4851	7437	16977	4974	4289	10765	10791		10342892	11100235	13057018	14703032	16257327	15158708	17982072	18442379	15360449	16952916	20157501	20654801	19020840	17713534	15449787	14260525	15790927		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	3233	1296	1809	1893	2442	4471	7305	6699	8780	14178	12802	9263	9586	10346	9487	8657	11021		468481	487673	578324	651119	685924	748463	833191	877733	740682	790636	852369	783938	811420	854821	728783	748136	829043		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	7038	12217	13727	20380	14893	14218	19396	17229	11362	17840	25331	19078	14015	14954	12986	11617	11632		507657	519615	610624	674460	667503	652293	711695	741350	556790	607829	647782	608419	612163	585308	483845	478026	496649		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
95	"Toys, games and sports requisites; parts and accessories thereof"	102	394	407	371	264	826	1410	2798	3070	3643	4951	5007	6031	8525	15410	14178	11801		2328026	2488176	2910651	3231721	3490003	3711620	4688576	5391453	4559984	4705480	5165969	4586329	4607805	4878248	4526599	4562570	5376492		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	13622	15315	16427	18142	21533	21371	25884	35429	26214	18299	23295	12521	15386	9905	7143	10201	12369		767539	819185	945899	1061386	1111739	1195050	1482143	1682335	1336852	1416876	1648190	1453778	1493941	1457991	1171101	1143066	1266540		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
54	"Man-made filaments; strip and the like of man-made textile materials"	15326	21718	27411	25148	26924	30484	29949	21721	13779	14943	16750	16605	16261	15867	15064	13945	12586		1202413	1219499	1312258	1339427	1225201	1179978	1309418	1251506	852893	946075	1097997	987402	951536	970279	805734	806595	855096		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
64	"Footwear, gaiters and the like; parts of such articles"	7690	9140	13505	13998	11493	8550	10017	10340	10218	16108	10972	7697	8744	13841	14447	16687	12995		2940416	3352126	4065206	4464956	4734935	5010567	5719759	5947426	5565736	5998871	6866361	6510820	7267020	7856861	7172456	7396086	7947841		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	339	612	1093	1572	2046	1669	2461	1443	2716	8648	8042	8847	12535	5335	17573	8908	13156		1223424	1297660	1452042	1736354	1757723	1855897	2172366	2409892	1827649	1968018	2358816	2177450	2197974	2242418	2051532	2081991	2183257		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
60	"Knitted or crocheted fabrics"	8560	7181	5914	6723	10203	22698	37159	29951	30196	26517	29985	23097	21166	19408	14132	14839	16210		436258	404500	434042	436812	389869	419112	529567	471947	407136	401321	450105	406087	446430	450234	374257	337120	332075		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	4164	3538	5014	7541	8997	9640	11100	9062	11659	9442	14857	41854	13376	12617	14860	17886	17696		2507016	2040985	2057895	2534646	2785926	3224040	3980886	4379467	3392956	4418632	6061346	6408290	6867882	7425922	6957462	7146632	7648724		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
43	"Furskins and artificial fur; manufactures thereof"	3265	6585	8112	7824	9178	13772	10195	10025	9937	12184	22406	19661	17979	19069	10217	10903	18459		72169	88609	97904	110065	139487	160906	152752	157369	113464	141507	175537	170864	200575	196915	158824	157140	172227		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
07	"Edible vegetables and certain roots and tubers"	11645	12259	17820	17299	18339	16677	21720	20326	21906	18132	19408	11932	17279	17229	21196	17247	18699		1447257	1647254	2041600	2240678	2348309	2448367	3023609	3259973	2906422	3125134	3159649	3142890	3489111	3408329	3105597	3272946	3503687		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
57	"Carpets and other textile floor coverings"	4130	4147	4482	5131	4978	5453	6475	7120	9865	24348	30073	12890	19618	23897	17470	18961	19879		340556	341009	391822	430933	421298	451058	527848	576879	496965	527426	565030	493465	496297	525001	436583	449874	478879		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	3164	3940	4285	2770	2332	1947	3280	7636	4586	5274	12085	8984	14897	11391	10001	13110	21117		2390929	2439482	2901653	3231621	3580593	4023680	4164667	4425062	4238050	4684243	5260049	4716863	5062088	5114980	4547417	4978456	5408168		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
55	"Man-made staple fibres"	41988	29504	24966	22988	24369	22125	22424	20783	20913	17358	24922	23894	25626	26477	23464	23346	25375		815619	777217	832002	951585	894581	927753	1031283	983435	702875	799812	918093	775178	793153	794801	663661	654818	639414		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	5905	4408	77	21221	5067	138407	28032	70434	17906	17271	32653	25845	25791	19084	34909	15066	27002		27928930	27856997	34835757	46842876	63765900	78211189	81855209	117496799	71975420	82758895	114983711	115238292	110728736	96522285	59702969	47000086	59598624		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	40472	33613	37698	36543	38711	36148	34469	33055	26201	30468	30914	28588	35106	34122	24814	29394	29916		1382937	1480020	1665716	1975249	2153701	2376066	2975540	3398777	2884366	3216013	4107553	4345984	4364992	4755108	4203363	4255585	4704505		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	4761	10674	9931	9714	12353	11937	18473	17740	20587	21269	22907	24855	26696	29763	26110	29192	29998		6585684	6928472	8266038	9031495	8990482	9390372	10978684	11795032	9981221	9954450	11399553	9482531	9371615	9339401	7793320	7802773	8111841		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
83	"Miscellaneous articles of base metal"	3622	4353	7642	11585	13203	20284	27184	25311	20770	19542	25124	24405	24086	19520	18422	22818	30584		1104590	1205164	1478010	1760189	1913657	2142256	2586959	2933104	2435444	2656155	2950800	2623889	2650574	2700377	2399932	2502711	2775848		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	7356	10328	16726	20137	16539	25600	39065	39509	30887	37843	43294	35819	36385	36682	34298	32021	31887		9173116	9749011	11567844	14078294	14874421	16503105	16408564	18433251	16703628	18281771	20172583	18866000	19584610	19570260	17453481	17959619	18691297		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	9640	11589	10297	6494	3663	5992	7674	4202	9310	12361	24691	23912	19677	42257	36547	22051	35036		2453474	2447146	3234992	3821378	4368771	4874760	6088600	6812617	6328374	6571144	8106141	7202120	7325827	6675100	5407034	4704656	4840366		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
52	"Cotton"	28939	25553	30608	33291	31551	34670	45663	49450	40979	41296	47704	41281	46739	45829	42994	39189	39950		984927	901126	934829	945651	859077	835808	882315	806821	618136	651476	758973	553431	557583	529197	437164	402481	422525		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	6328	7841	10853	9396	7830	7984	9439	13680	10233	14463	18598	22627	25008	30374	29481	36166	40753		2056823	2364897	2904912	3332970	3517667	3910496	4510494	4999340	4512056	4933222	5603848	5386740	5641755	5789100	5303547	5494111	5857699		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
70	"Glass and glassware"	21640	21254	24832	26247	23348	27851	38973	47665	47783	52087	58222	55550	57537	55265	59654	49842	42902		2032948	2137424	2456230	2874218	2921931	3033371	3757049	4072771	3250827	3474403	3729833	3403212	3549364	3721020	3196623	3251565	3515908		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
88	"Aircraft, spacecraft, and parts thereof"	16773	7049	43815	40181	33248	24926	68404	29085	28342	19869	13862	13624	16454	49293	83089	15655	43797		6180793	6725642	8166260	10028701	11124518	12949603	14950542	16145149	16190394	24444774	28300382	31167284	29873621	33380260	30847014	33748654	24531811		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1082	1195	2389	7437	9047	13850	23209	28592	27336	33800	44538	44117	47338	53191	46142	47142	54609		962677	1005609	1188033	1425139	1516373	1703763	2055794	2218304	1715781	1901788	2173872	2015466	2068568	2149416	1828796	1774409	1932140		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
69	"Ceramic products"	18179	24590	33579	42570	43251	48214	52527	47342	40953	52016	56279	56089	51821	49615	41376	50233	59784		1279855	1342648	1633350	1907780	2001590	2123580	2520998	2766064	2289389	2340009	2510339	2239289	2178196	2237579	1875456	1948658	2102983		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
74	"Copper and articles thereof"	14375	12369	12292	14957	20665	36964	39101	35217	20712	55367	64496	52449	52924	47962	45515	47073	61047		1949155	1890096	2106525	3239492	3554191	6394084	6698688	6527660	3182932	4762752	5646171	4895186	4746698	4383016	3533506	3024918	3434086		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	38877	30128	32769	54206	70055	63038	64717	74560	61899	70537	78995	73819	80691	93038	92761	78753	72283		1556483	1774247	2176304	2541960	2568744	2813086	3461489	4009876	3793555	3687595	4281835	4081787	4292120	4419098	3724739	4007497	4304283		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
72	"Iron and steel"	1582	1339	5776	10792	4631	4503	15373	26815	12834	12399	45300	21717	28386	38837	35885	49339	78456		6839314	7046813	8662565	12671204	13169274	15789518	19943730	22228765	11406940	14462069	18101827	14400935	13725484	13423861	10589107	9794477	12454337		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
40	"Rubber and articles thereof"	25010	24553	31156	34416	34972	42375	52535	61124	64244	79849	120057	103895	96241	85776	81709	86923	91511		2952829	3152858	4087105	4797034	5127310	5834020	7152090	8025277	6115095	7365601	9497965	8293282	8262224	7829302	6655457	6387489	7074430		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
76	"Aluminium and articles thereof"	11856	12681	31879	23319	30400	47443	64600	67116	51425	71391	109464	109300	119754	120812	108290	111202	117693		3480665	3463091	4033502	4705204	5010277	6538790	7608799	7511944	5283242	6398266	7959061	6772309	7053686	7218164	6482275	6272252	6843745		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	12962	18977	25714	33303	47498	57091	83296	89492	71043	78893	98613	90929	111687	124880	130968	137376	136057		4520526	4873091	6044586	7380487	8014874	8496198	10284960	11384802	9517121	10414062	11357610	10658553	10140370	10701247	9628537	10164945	10950173		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	127358	164284	202300	178398	182727	173914	187644	182945	153766	182910	204482	158257	193546	182349	148259	143721	146915		1022889	1115400	1418227	1642447	1754276	1912072	2215928	2357157	2170095	2329347	2648777	2337569	2452550	2604650	2357068	2354023	2496260		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
39	"Plastics and articles thereof"	17252	20996	28419	38964	56836	72726	90661	112326	103814	128982	170978	164737	176744	191120	176343	172632	171001		10710561	11027620	13592739	16129482	17986818	19960095	23819280	25260937	20022003	23082342	26233988	24244214	25077526	25411711	21845020	21949382	24077212		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
73	"Articles of iron or steel"	36156	41097	61624	87182	92125	118215	154248	193990	151125	155051	205025	199330	211582	181173	177180	162808	173020		4537078	5000957	6118942	7824591	8487300	9566788	11922653	13414303	9706551	10750938	12897044	11464162	11711760	11724937	10229581	9770146	10860988		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	75719	80056	99138	146215	175677	147227	190355	161666	157174	252930	280213	278820	250430	247282	325578	242985	214817		2204833	2377277	3058628	3514975	3605878	3612608	4163397	4886251	4216871	4367718	4599511	4775395	5397405	5253076	5102016	5394652	5809533		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	137578	155092	206061	256635	296014	255872	265164	306086	281994	305840	352263	302288	311429	327564	260833	248601	241899		6116128	6550575	7751081	8746700	9136607	9522818	10523052	11693967	10408539	10365117	11834463	10689397	11434100	12198146	11192946	11233083	11719254		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	285476	336951	442308	496146	516827	511020	601808	631646	587988	673264	695427	554930	606349	603047	462337	443991	445217		4839285	5140043	6251537	7158457	7584202	8057229	9340492	10330396	9380907	9991443	11375748	10090811	10986928	11668834	10336973	10272249	10815789		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	127455	125353	170170	237559	288019	372226	521777	644392	548894	564951	620422	565394	563193	593909	523450	512092	557249		44807689	43690895	50006953	58227434	61472078	65331304	78959763	85215497	64491254	67218730	78967050	73181468	75294031	75639348	66451136	68292690	81798870		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	236775	257901	259598	313270	312321	354537	384883	427630	378692	448934	581246	655998	660693	703686	630561	614987	586348		30348424	28939143	33269737	40219621	43824250	50631232	53205754	56442317	47246968	56123608	62652788	55022153	56090901	55861497	51071097	51716639	54882764		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	391360	474005	741576	1186509	1101663	1586079	2264018	2748236	2896959	2221945	2278450	2063800	2090541	2067516	1822339	2214556	2639553		30669186	33496232	40964335	49681297	51939651	54974047	66228219	70983883	53143375	55954057	65653779	55634121	57334988	58527774	54359403	59270908	65112011		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
