Product code	Product label	Turkey's exports to Romania-Value in 2001	Turkey's exports to Romania-Value in 2002	Turkey's exports to Romania-Value in 2003	Turkey's exports to Romania-Value in 2004	Turkey's exports to Romania-Value in 2005	Turkey's exports to Romania-Value in 2006	Turkey's exports to Romania-Value in 2007	Turkey's exports to Romania-Value in 2008	Turkey's exports to Romania-Value in 2009	Turkey's exports to Romania-Value in 2010	Turkey's exports to Romania-Value in 2011	Turkey's exports to Romania-Value in 2012	Turkey's exports to Romania-Value in 2013	Turkey's exports to Romania-Value in 2014	Turkey's exports to Romania-Value in 2015	Turkey's exports to Romania-Value in 2016	Turkey's exports to Romania-Value in 2017	Romania's imports from world- 	Romania's imports from world-Value in 2001	Romania's imports from world-Value in 2002	Romania's imports from world-Value in 2003	Romania's imports from world-Value in 2004	Romania's imports from world-Value in 2005	Romania's imports from world-Value in 2006	Romania's imports from world-Value in 2007	Romania's imports from world-Value in 2008	Romania's imports from world-Value in 2009	Romania's imports from world-Value in 2010	Romania's imports from world-Value in 2011	Romania's imports from world-Value in 2012	Romania's imports from world-Value in 2013	Romania's imports from world-Value in 2014	Romania's imports from world-Value in 2015	Romania's imports from world-Value in 2016	Romania's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
89	"Ships, boats and floating structures"	255	16228	809	484	303	22517	1721	13380	30922	13215	1	255	102	202	34	164	447		6079	16798	16005	19656	31622	27018	31327	77715	17934	64801	17875	90222	72744	14738	19141	27887	22251		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
10	"Cereals"	5643	5	2	2	1	2	4	0	2	121	0	44	906	513	750	64	810		115099	30366	351125	273508	61644	53552	361758	421496	332260	318495	449728	480154	434868	391249	596809	660108	495445		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
21	"Miscellaneous edible preparations"	1123	1288	1616	1722	1855	1740	3876	3743	1535	666	863	938	1236	1561	1047	1089	1046		76732	79862	103945	130811	159617	199991	300737	385084	333991	324373	370137	377366	391696	415347	382772	451088	510623		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	132	116	307	639	941	4302	2828	1660	833	1004	914	834	1019	1525	1203	1526	1143		46588	52285	61707	86110	105303	150251	158767	212469	189290	166910	123023	104285	104618	106433	90155	106006	110542		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
09	"Coffee, tea, maté and spices"	269	144	402	431	524	539	475	862	723	905	716	663	688	1150	1054	1525	1288		58749	51538	67056	83213	106036	124038	134934	163332	155071	166463	216639	219196	227333	236748	233078	268509	280573		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
95	"Toys, games and sports requisites; parts and accessories thereof"	458	519	491	613	1317	2107	4104	5774	3319	3261	2322	3621	2756	3212	1700	1693	1986		42718	48125	67654	102900	135840	157415	258549	375876	264244	221807	281638	284873	280028	329369	356435	458769	529501		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	929	3055	3182	4585	4051	3597	7219	7830	4030	4689	5715	4487	2575	2288	1836	2118	2290		33774	66389	62088	64560	73046	92494	195983	323657	220624	283540	334891	307613	275818	217660	203230	210345	217108		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	998	836	844	1283	2082	6981	7608	6608	6118	6350	4190	2328	2071	2869	2040	2448	2349		19742	30894	41656	56857	73649	96174	144760	186571	149850	195755	210761	219489	234557	329681	359080	431734	559458		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	114	687	1112	1199	1007	3055	3236	2893	3145	2798	3101	2454	2172	2038	1872	2673		6105	11250	11993	18218	29703	45660	69292	100350	98646	97979	115059	123884	117309	125857	107144	127687	145432		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	876	1057	2034	2158	3183	4765	4752	8469	4977	4469	3553	4374	2613	2838	3612	4133	2976		51009	64059	104222	123499	181649	198402	288656	323173	210612	236097	289844	320041	310438	344464	311699	357421	405034		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
35	"Albuminoidal substances; modified starches; glues; enzymes"	540	974	1148	1850	2254	2656	3309	2757	1451	1999	3062	2991	3010	3424	2878	3104	3031		43654	52464	62266	74757	84996	100329	111967	135681	116918	115605	146489	144716	163134	180909	158649	160608	169086		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
22	"Beverages, spirits and vinegar"	0	0	0	4	250	37	3280	760	230	416	1258	2401	2071	2750	2317	3026	3107		20327	24969	38466	58123	72648	127562	208230	332616	189791	184289	285494	293247	319617	302969	303790	358556	407901		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
26	"Ores, slag and ash"	2468	2935	3153	7101	9594	17856	26375	22497	835	6204	9940	950	4503	7540	3477	1786	4117		212568	222538	278478	423664	552828	543686	667000	725906	178436	411615	421215	355109	376920	293513	246577	233551	310642		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	2055	2222	4994	11086	14783	17370	19425	14950	11309	10070	9831	7285	7624	7437	8970	7537	4770		116982	123584	179311	227232	245583	277511	340736	378975	284697	319351	407877	382750	484793	526138	534780	552619	567245		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
18	"Cocoa and cocoa preparations"	4120	7218	8573	11433	11660	9495	13318	13313	8255	9404	14545	10407	10439	6666	6757	5664	5700		18040	22725	35268	41024	48713	67510	110626	150733	128205	159613	187739	189423	220987	247617	242174	294884	315264		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	2497	3829	6215	4819	5583	6321	6702	5677	5191	4349	8934	7592	6843	6068	6743	7812	7048		232829	249691	299190	367961	346522	360406	413468	393600	293653	299925	392463	355474	337970	351115	307097	345714	356142		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
41	"Raw hides and skins (other than furskins) and leather"	158	459	1076	2299	5046	5923	6091	5323	1104	1326	1006	831	1145	2348	4727	7332	7334		482638	579152	701065	745554	788863	825550	850554	793153	603686	619983	738680	655832	708846	777633	609621	572479	571526		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
17	"Sugars and sugar confectionery"	3216	2436	3850	5930	5790	6522	12825	13114	10143	12894	14103	12945	15390	13615	9023	8094	8937		151333	102002	133614	145439	166696	244017	217129	334757	334338	352979	509236	464564	386668	302112	286453	312488	322387		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1561	2740	4397	4730	7862	6379	11457	17035	11552	7668	9159	7787	7521	9035	8927	9592	9353		70728	89119	122401	165736	204029	257721	362220	437707	257483	262310	283988	259196	256135	267665	249447	275241	301933		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
30	"Pharmaceutical products"	4317	4254	4344	5683	3698	2786	3213	2805	2710	3504	4436	7288	12770	15112	14321	9628	9568		380798	508938	599548	903650	1087458	1542022	1956803	2592101	2556434	2755240	3178833	3167770	3533737	3485163	2876122	3038220	3330903		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	11	7	0	5	3	0	36	94	1068	1904	2786	3870	6825	10156	8486	8668	10267		19408	24371	36995	48445	71189	81909	103980	144065	138660	134419	132063	139630	155206	179126	168085	192266	221506		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
96	"Miscellaneous manufactured articles"	1268	1542	2155	3014	3855	4863	6483	5221	4549	6002	6767	9283	27153	18832	12947	11686	11431		104071	127259	171719	184292	195432	207438	240351	234280	162764	169047	199365	285393	322437	369737	318278	353985	384832		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	1882	3251	5007	7202	15004	15641	20903	20958	9637	9907	11605	12742	14022	17624	13672	15787	11881		122611	175771	234730	261305	254823	249022	240299	227229	179392	190157	221202	203333	219718	244570	210029	217413	213405		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
31	"Fertilisers"	789	0	1323	0	3	0	8151	9346	3719	19166	36143	24640	11948	33761	30540	8069	12189		15921	12286	27403	32940	66695	73179	122760	222286	132756	179544	353796	344498	425558	425872	459057	528235	614949		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
38	"Miscellaneous chemical products"	4311	4746	4934	5725	6664	8445	10926	14617	15215	11018	19146	9764	8446	10162	10366	12722	12391		178428	194296	243281	305417	368509	454885	589732	830021	666367	706672	956572	909366	859200	975781	930693	1039504	1161761		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
44	"Wood and articles of wood; wood charcoal"	857	1059	2687	3327	3387	5379	15690	12033	5743	3730	3456	4854	5151	8363	9689	12586	13695		106189	144145	198694	290509	390452	474892	760559	825123	496533	489448	493606	472595	510710	578874	582336	698843	781370		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	2207	3009	4244	5548	4649	5443	8527	11934	4015	5112	8502	8180	11624	13764	10852	10600	14811		84570	78423	135419	170769	147241	181426	354115	464933	255803	202146	275864	295018	329133	365790	274156	295549	317560		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
29	"Organic chemicals"	1351	2031	1204	451	802	1790	1281	7471	6343	12838	21161	11093	10735	6275	17036	10754	15628		151343	198712	232855	314926	364801	440946	663614	798693	781609	766602	1057957	956327	847079	832403	756453	638300	800999		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1148	2827	4511	6441	7920	8994	11672	13709	11785	15511	16443	16723	17804	19223	16725	15289	15848		124585	158701	212430	279952	317009	395906	490529	648237	532785	496738	542314	562359	596351	625975	592481	687372	800320		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	648	461	754	1601	817	1026	1233	1664	1490	2285	6666	4323	2995	9783	6412	12851	16176		36957	55234	48947	68020	63253	76796	152883	281725	212542	335138	364229	328925	344602	343017	341434	349506	411853		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	3015	3148	3893	6654	8490	9238	13481	29352	16806	17021	24554	28418	30220	20058	14762	10695	17031		53659	57378	70739	90249	101950	103041	173760	315242	128111	158764	200083	192460	159568	158416	136835	144252	143494		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	5100	6433	7267	9948	11358	16589	21322	29922	20634	20052	24406	15444	17047	16204	15647	20831	17496		136092	165373	212074	272097	310944	374789	455555	508976	397146	402978	467978	435190	468785	494276	451879	470366	518808		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
