Product code	Product label	Turkey's exports to Egypt-Value in 2001	Turkey's exports to Egypt-Value in 2002	Turkey's exports to Egypt-Value in 2003	Turkey's exports to Egypt-Value in 2004	Turkey's exports to Egypt-Value in 2005	Turkey's exports to Egypt-Value in 2006	Turkey's exports to Egypt-Value in 2007	Turkey's exports to Egypt-Value in 2008	Turkey's exports to Egypt-Value in 2009	Turkey's exports to Egypt-Value in 2010	Turkey's exports to Egypt-Value in 2011	Turkey's exports to Egypt-Value in 2012	Turkey's exports to Egypt-Value in 2013	Turkey's exports to Egypt-Value in 2014	Turkey's exports to Egypt-Value in 2015	Turkey's exports to Egypt-Value in 2016	Turkey's exports to Egypt-Value in 2017	Egypt's imports from world- 	Egypt's imports from world-Value in 2001	Egypt's imports from world-Value in 2002	Egypt's imports from world-Value in 2003	Egypt's imports from world-Value in 2004	Egypt's imports from world-Value in 2005	Egypt's imports from world-Value in 2006	Egypt's imports from world-Value in 2007	Egypt's imports from world-Value in 2008	Egypt's imports from world-Value in 2009	Egypt's imports from world-Value in 2010	Egypt's imports from world-Value in 2011	Egypt's imports from world-Value in 2012	Egypt's imports from world-Value in 2013	Egypt's imports from world-Value in 2014	Egypt's imports from world-Value in 2015	Egypt's imports from world-Value in 2016	Egypt's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
07	"Edible vegetables and certain roots and tubers"	23949	21486	14278	25935	9396	20010	16073	11816	31556	45316	37349	20018	15084	10911	32127	29294	31918		154800	193052	164320	169576	213398	197630	244753	367065	393061	426052	574352	526552	591942	571218	538650	556723	455475		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
38	"Miscellaneous chemical products"	5960	7523	6667	7374	10188	12527	17334	23535	20797	21615	23643	29169	28736	30318	29589	29044	29968		127088	117727	119388	112511	158136	204800	200956	574250	564698	570436	729667	848191	861851	869475	940226	753281	1045225		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
29	"Organic chemicals"	3045	4240	2252	3029	9716	4287	6427	12620	14889	21145	21347	17283	12005	8348	9833	10281	29516		285391	286009	267233	341817	524537	508218	627594	1213441	992727	1120059	1356297	1388338	1438255	1555798	1484574	1271853	1425837		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
57	"Carpets and other textile floor coverings"	192	369	231	688	892	1186	2508	7088	21788	27937	12758	61921	42483	67828	77634	42713	28860		3050	2130	2745	2216	3410	4962	4334	41086	108593	120841	44693	84811	45250	63306	90552	34253	47345		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	2262	2510	2529	3311	5528	5756	8070	11597	13074	17252	20574	26310	24560	26806	22914	24151	24820		121854	135219	119946	118261	140563	135413	161584	439162	365124	445670	540431	553217	563687	588814	539531	458934	552736		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
83	"Miscellaneous articles of base metal"	2402	2188	2367	2563	4848	5998	10182	10176	12183	14862	14527	19262	19918	26494	28333	28852	22521		58462	78693	40423	47624	57218	55809	81608	163557	153907	173904	160682	176904	167567	171066	218902	196664	202959		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	778	1177	1312	2857	4238	6294	6819	5592	5216	6676	6303	8325	9949	9277	9813	9922	20090		248487	250593	188140	219926	260734	235695	327363	667491	646358	640079	637861	765141	790995	901270	942732	806263	895112		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	14868	11257	8432	14691	17319	15588	19003	26330	34707	42454	28952	48214	53459	40732	43297	28639	16584		58509	55104	37936	40179	68016	61711	62646	128673	174513	201310	247555	444732	400382	498833	716325	506767	334707		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
44	"Wood and articles of wood; wood charcoal"	4278	4372	3898	6596	6397	6074	6483	6287	5886	8197	9342	9726	6975	12601	9077	9156	14072		563916	549511	474785	484822	672534	651817	874740	1161099	1079912	1202938	1340902	1670540	1448034	1870419	1740065	1312069	1317517		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
74	"Copper and articles thereof"	534	772	608	768	1413	2074	6470	14578	11120	19178	15497	25751	11886	16062	15112	10458	13794		84619	93133	75214	94144	168972	152019	208666	1517156	602140	548845	1219115	1290594	1034045	921171	865716	653232	707478		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
70	"Glass and glassware"	14698	12259	12099	10679	11678	11166	14815	25233	22798	26742	15447	20435	20333	20529	22175	12472	13549		54217	61684	49980	68820	72972	67537	86347	190157	178409	156637	137055	146312	155883	154708	181646	125345	152897		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	12389	6988	10228	13464	14684	14156	20078	26278	25683	32491	25156	25428	24164	27281	21769	14491	12521		36874	43698	39087	43021	46191	50554	63108	315458	198370	394619	277370	321752	362167	338711	328103	216900	246671		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
24	"Tobacco and manufactured tobacco substitutes"	1	0	343	0	223	453	551	4138	1066	3540	3231	3173	4024	4088	3092	21858	9946		237021	218760	188623	190205	180364	210675	230744	279895	242398	363658	447300	521441	427546	288616	412687	255417	286917		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
96	"Miscellaneous manufactured articles"	194	439	705	1092	1372	1867	2766	4464	4469	5043	4793	70917	58943	50543	39138	15403	9859		22352	22779	17610	21992	21303	19191	22920	59445	69168	72870	70611	83844	114843	133846	146604	99804	101566		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	960	1240	1946	2960	5445	5753	6674	11012	11529	11977	14989	23160	25673	29793	30763	16717	9756		46830	51093	39546	48937	53564	63334	103256	223156	203230	257387	228504	247245	288329	314634	471491	304438	286219		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	32	0	8	82	1035	1308	1947	835	1393	1523	4214	4453	7657	16015	5884	12374	8765		142608	130264	123911	114643	170078	124077	174661	483048	432991	464404	630698	759896	773525	880775	765931	591282	473514		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	1619	981	970	2123	2818	3126	4514	7935	6315	7066	7743	8164	11440	8695	7380	6608	6796		3188	4398	2904	2734	3399	4107	4223	48901	44504	72135	62329	60310	68551	87104	85492	70974	96137		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	1327	1159	661	1137	1404	2314	1122	968	2430	2215	4610	4323	9094	14013	17784	8674	6552		1654	1387	1043	1723	12575	10781	24382	64387	91007	91088	80461	91648	84341	135790	121432	56649	51991		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	2340	1287	1464	1080	1930	2339	3104	4136	3694	5834	6316	8890	9945	10367	12158	10127	6477		11572	12660	11709	11663	16830	19033	24250	41362	56177	66870	129021	122264	117203	139884	170139	123319	59024		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	991	1181	38	143	1278	562	1245	3959	2262	5811	2545	4165	8458	7177	11442	9153	6393		15640	8525	14536	6068	17836	7964	8650	24626	27461	18837	35466	44325	42275	42981	42658	42227	36338		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	110	98	67	1463	1105	644	1593	2079	4449	6947	8466	10533	12442	15723	12931	7516	5686		22723	28611	29799	27991	36183	33985	39505	141854	136105	222213	259488	312078	367342	279188	334830	244527	282754		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1378	1429	1578	3097	2388	2855	3177	5714	6971	9165	7260	9537	7340	6511	6466	5068	5555		26375	28537	20475	20702	26128	33098	28047	69802	81213	74764	68400	95642	117102	94061	100137	82930	79342		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
69	"Ceramic products"	1150	1274	1434	1119	2099	2257	3538	5477	3267	4096	4512	5170	7451	8358	6827	5086	5156		51386	49272	39685	51563	65081	60205	71801	125725	172615	123294	154356	178226	185168	182808	200583	116604	168412		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
35	"Albuminoidal substances; modified starches; glues; enzymes"	185	222	378	354	386	644	621	1039	1214	1630	2293	3491	3582	4735	4752	5876	4379		12938	14225	14422	15629	18842	21564	25100	78956	83165	88067	110773	120812	128482	139424	129797	106323	113922		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	1830	987	566	1244	1131	627	944	1607	1709	1571	1646	2619	4217	4905	4603	4471	4203		15434	18140	14555	18692	16780	16813	18525	32764	42222	33715	48107	64316	56928	44223	49289	39279	37826		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
18	"Cocoa and cocoa preparations"	638	286	235	333	587	524	1104	1925	4412	4227	6790	16186	13635	20541	18078	6868	3674		7636	14194	13014	23311	22317	14342	15919	37447	56628	77864	90837	120896	113950	122890	136375	113405	100636		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
64	"Footwear, gaiters and the like; parts of such articles"	2186	240	713	1078	1000	1367	1512	1118	1915	2631	2746	2720	4067	3747	5854	5048	3649		25712	26559	18641	22857	28527	25319	16945	69907	71417	128375	111771	117536	109418	102042	212697	92756	99733		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	85	107	74	132	253	447	932	2389	2776	5058	4914	7396	6259	5025	3796	2291	3622		15130	13342	7390	9795	13380	12637	13529	31145	17627	50311	46631	50407	55577	59943	83609	50357	46675		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
17	"Sugars and sugar confectionery"	5442	1423	1334	1555	1708	1648	2143	2981	5592	6595	8891	14984	11710	27223	21915	5265	3418		116839	117178	77381	67364	152826	155455	146019	574179	306307	499376	925422	846267	499408	572939	510536	567641	821625		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	14	123	233	107	360	206	113	123640	3528	1856	1469	1555	984	17378	1719	880	3011		27972	2925	2960	4460	28431	26861	7810	957065	56154	77641	54559	115950	969662	917510	184791	79185	185932		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
21	"Miscellaneous edible preparations"	3459	2652	2092	2399	2339	2915	2822	2914	4742	6844	7639	10050	8159	9482	11527	7067	2929		43179	35846	16845	20816	27191	23904	32102	79439	86327	105905	132126	167386	188233	250674	286666	213160	218328		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
30	"Pharmaceutical products"	1	2	34	52	191	411	635	1061	3937	609	2047	4425	4216	5318	4717	2901	2855		346158	410256	289055	288764	316257	252691	343177	921723	1033936	1053171	1351877	1673332	1806406	1889132	2274253	1915990	2187903		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
31	"Fertilisers"	36	0	0	0	2249	0	0	350	423	2336	1568	4460	2039	3632	7607	1834	1614		22560	30823	33171	59921	228677	40450	68317	157862	91622	115156	151931	165772	169421	161368	179900	98883	128893		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	220	235	183	266	563	443	1279	816	1425	876	810	1053	1024	775	891	369	1493		172926	152233	94115	124759	251743	212561	487156	644687	825435	863508	1169842	1376860	1289832	1327215	1006491	726144	1159225		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	362	375	261	360	766	1174	1693	2862	1567	1542	1245	931	884	560	820	1048	1337		34829	30437	25274	26345	31618	37186	50784	115424	110173	258415	75819	80298	98044	82176	101700	75122	64274		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
43	"Furskins and artificial fur; manufactures thereof"	0	1	0	0	0	6	13	25	608	1879	3037	2069	1929	3149	505	88	1313		391	317	210	423	282	286	168	289	536	439	169	289	337	459	715	605	645		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	217	109	223	403	322	467	445	781	1037	1190	1393	2286	2276	2416	2127	1685	1051		44894	42729	32991	40689	43760	44695	52702	112293	123641	142848	116945	126860	128653	125701	122432	104124	118460		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	661	355	206	461	391	463	1517	3575	3000	4182	6442	11806	11045	15559	15434	6468	1036		20192	22952	9775	14768	24032	25920	46051	62466	78919	102645	147972	150543	186398	200926	222914	129684	104547		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
99	"Commodities not elsewhere specified"	0	0	115	143	402	583	71	102	3018	875	682	691	770	820	526	972	918		868785	1231859	1529769	1463923	2515352	2916324	4117841	0	0	0	0	0	0	0	0	0	0		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
