Product code	Product label	Turkey's exports to Netherlands-Value in 2001	Turkey's exports to Netherlands-Value in 2002	Turkey's exports to Netherlands-Value in 2003	Turkey's exports to Netherlands-Value in 2004	Turkey's exports to Netherlands-Value in 2005	Turkey's exports to Netherlands-Value in 2006	Turkey's exports to Netherlands-Value in 2007	Turkey's exports to Netherlands-Value in 2008	Turkey's exports to Netherlands-Value in 2009	Turkey's exports to Netherlands-Value in 2010	Turkey's exports to Netherlands-Value in 2011	Turkey's exports to Netherlands-Value in 2012	Turkey's exports to Netherlands-Value in 2013	Turkey's exports to Netherlands-Value in 2014	Turkey's exports to Netherlands-Value in 2015	Turkey's exports to Netherlands-Value in 2016	Turkey's exports to Netherlands-Value in 2017	Netherlands's imports from world- 	Netherlands's imports from world-Value in 2001	Netherlands's imports from world-Value in 2002	Netherlands's imports from world-Value in 2003	Netherlands's imports from world-Value in 2004	Netherlands's imports from world-Value in 2005	Netherlands's imports from world-Value in 2006	Netherlands's imports from world-Value in 2007	Netherlands's imports from world-Value in 2008	Netherlands's imports from world-Value in 2009	Netherlands's imports from world-Value in 2010	Netherlands's imports from world-Value in 2011	Netherlands's imports from world-Value in 2012	Netherlands's imports from world-Value in 2013	Netherlands's imports from world-Value in 2014	Netherlands's imports from world-Value in 2015	Netherlands's imports from world-Value in 2016	Netherlands's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	2331	1492	1918	2973	4243	5039	6379	9160	9330	9812	13464	9979	9322	10859	7769	7187	8083		120640	133976	159219	186393	196876	235277	259965	309083	267393	294913	359711	347562	402350	397084	357410	363470	377604		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
88	"Aircraft, spacecraft, and parts thereof"	10	337	10180	13862	7912	3536	7316	1069	792	1777	2965	5619	6022	9586	9933	11431	10419		958140	803481	1920961	1907344	965104	1442763	689796	1442194	1909586	975376	1502080	1849177	1448971	1382503	2756382	3747474	3129111		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	4336	4366	5356	5976	5837	8078	10168	10992	11407	10212	10552	10366	13625	12633	15403	14046	10526		1797714	1655363	1968715	2234267	1888114	1818582	2663464	4578450	3244546	3420640	4880659	4562327	5285296	4736529	4215530	4175121	4488415		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
26	"Ores, slag and ash"	316	0	467	6	4	330	797	1744	0	7139	15645	6761	23353	2595	3486	775	10958		369172	376635	561054	1316817	2131006	2237263	2602667	3094996	1238565	2341505	3085283	2477055	5950371	5471485	3803374	3075462	4223301		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	15990	17566	19087	17306	16110	15199	13960	13313	12961	8345	9513	8034	6826	9784	9140	10656	11707		440387	434303	498478	555530	605633	728301	882171	974828	845939	941759	1276956	1246760	1649867	1748335	1887821	1989891	2159765		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
24	"Tobacco and manufactured tobacco substitutes"	16539	7438	13189	26225	44198	42421	31712	45372	39417	28833	17722	30428	34838	31579	16912	18846	12887		916867	859946	949517	1174474	1128710	1138970	1010402	1378656	1408977	1432224	2024794	1870427	1643113	1409470	1445317	1516407	1531792		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
38	"Miscellaneous chemical products"	1799	2875	2608	7907	8711	11450	10932	30701	10051	8123	7785	20372	13479	13708	20059	20282	13264		1668659	1753246	2243624	2659180	3009225	3381096	4154165	5671032	4944706	5120342	7188244	7425452	7480995	7633034	6502117	6951631	8131242		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	1119	1398	1689	3304	4905	6921	6965	7109	6854	6274	6142	7721	9092	9898	23206	19730	14042		7444201	7970383	10325261	11668417	13711605	16045184	14044888	16437881	14200454	16452519	20130449	19304942	21628999	22512863	20934369	22387744	24167256		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
74	"Copper and articles thereof"	209	588	509	893	306	3576	1471	3243	3680	15135	17348	17248	14538	14648	11703	9550	14046		588627	614577	665759	1026212	1261657	2339805	2658191	1733688	1270133	1588995	2413212	1861745	3272376	2666509	2430569	2678016	3183026		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
64	"Footwear, gaiters and the like; parts of such articles"	3787	5471	9099	10925	12532	11641	18083	17784	13700	13348	10597	8697	9703	7470	16807	16134	14525		1369688	1306548	1259787	1503730	1815002	2021526	2350872	2628905	2529446	2800835	3792781	3372361	3950614	4180268	4187194	4301856	4593819		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
70	"Glass and glassware"	8416	8656	12254	10833	9750	10771	12574	12583	10045	12570	13344	11967	11879	15241	11903	16320	15532		647152	620839	805269	834033	876588	1016580	1237177	1356362	1120789	1138175	1401115	1258259	1402925	1436017	1378726	1461912	1641163		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	2629	2589	2651	4773	7826	7697	8511	9810	6655	5081	12023	7947	12428	15977	11766	11142	16902		409499	344901	359555	450383	537712	883033	1029949	1882419	1770316	2158303	2863676	2677827	2363074	1444200	1487623	1866206	1872969		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
17	"Sugars and sugar confectionery"	653	515	930	978	1262	1054	1990	29088	17659	26673	29910	18365	25312	34360	21386	16554	16955		310688	361119	433463	487903	568375	602714	777518	920088	742968	720508	1089554	1060103	1232723	1236333	1035457	1038770	1051361		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	387	796	1249	2038	2394	1963	2841	5998	5529	4434	5712	6429	6839	9501	9433	13297	17063		516387	620456	802383	884751	906338	1024443	1190244	1313554	1252158	1359983	1883304	1845402	2021439	2136738	1921721	1993068	2098582		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
57	"Carpets and other textile floor coverings"	1379	1597	3103	1490	3910	5115	4274	6639	2808	3926	7381	4468	6745	12427	12696	16494	17190		248118	224558	259304	321037	338473	408305	422008	453829	344828	344371	389825	368214	372934	402525	372584	367739	405532		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
55	"Man-made staple fibres"	6726	6397	8349	11299	7321	9727	9712	8770	5959	10010	11988	11796	17762	23357	17328	15346	17729		293609	279706	323419	383784	366624	380128	395687	407096	312931	323525	429624	361509	443480	476590	475231	444379	476866		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	2802	5151	4189	4973	8114	10641	11188	12718	13219	14673	16720	14651	14689	17052	17049	17844	17955		3322269	3579442	4287565	4572054	4527144	4848828	5694832	6031161	4946508	4900730	6022874	5467014	5700857	5928669	5157850	5164199	5312399		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	4789	4865	9096	10438	8939	9455	9937	8876	8495	8908	11635	11892	12930	16046	14052	16619	18083		801136	904783	1053058	1134982	1176036	1308567	1546977	1773497	1523262	1434483	1778476	1759866	2096234	2230689	2324763	2437093	2570034		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
52	"Cotton"	12321	12095	16168	20774	18046	20399	22370	18951	17017	16487	27473	20416	19612	19118	16136	17200	20934		204627	197444	208677	227483	202602	189628	225651	220752	164987	191425	294236	253216	322435	314641	246954	238752	251011		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
69	"Ceramic products"	6235	7562	9183	13781	13969	13306	13630	14645	9075	10757	12946	12990	13715	17715	18174	21707	22875		391153	365845	451533	492737	506179	605712	741070	813189	625256	631567	754117	676022	738447	822168	796397	836324	921251		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
29	"Organic chemicals"	5108	6104	8378	18889	17991	22583	16113	21933	8430	14480	12805	39415	18708	11101	12315	12913	23654		5596177	5748467	7172317	9150004	10233897	12436714	14966117	16449459	11357134	13573307	17734660	18158506	21919777	19984359	17403634	14812748	16618198		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	3390	2575	4358	5833	2799	4090	2345	5954	6737	5980	8116	11047	12824	13652	13783	16907	24477		926709	1030945	1435516	1541101	1560601	1798656	2059367	2391311	2223344	2199351	2634375	2538679	3105731	3336530	3212238	3647672	3868772		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
21	"Miscellaneous edible preparations"	344	566	777	471	538	6904	21964	31077	24690	29471	34625	37184	38657	39254	33398	30631	30956		470958	605562	816838	900915	916300	1045361	1196670	1545950	1491565	1496500	2023353	2065283	2326303	2438582	2312243	2491415	2721565		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
07	"Edible vegetables and certain roots and tubers"	7109	10135	14869	21078	24671	18508	17136	13285	13418	18209	21739	19732	21131	22512	21247	27238	34365		949592	1114949	1371190	1514316	1494089	1702058	2161885	2209592	1854340	2100893	2648930	2552302	2876905	2684556	2444213	2673508	2883532		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	15562	15586	15707	17714	18679	19095	24715	21723	22378	25698	26184	20013	20235	27809	27711	30687	37504		764612	880024	1101933	1309876	1295890	1453562	1702140	1979497	1317854	1594392	2110867	1701798	1720655	1754659	1520718	1521775	1672646		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
60	"Knitted or crocheted fabrics"	2459	3529	4145	7373	7635	9231	14324	10915	10653	12772	12695	13152	15383	20912	24656	35455	41648		70157	57428	67826	81049	72636	78446	81149	84852	65408	80665	110284	118132	141168	165804	160764	175562	201443		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	3269	2212	1562	472	336	653	1902	3252	1585	11939	19050	32800	12642	36447	48402	57291	53799		1227514	1397475	1644558	1949817	2440233	2766608	3897539	4190680	2749221	3082828	3758152	3830522	4278721	4221883	4000645	3634812	3940749		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
76	"Aluminium and articles thereof"	16077	13445	15742	20627	20828	26144	40172	39349	29229	38356	50526	54259	53907	60212	55490	56836	61723		1854644	1918084	2282048	2678276	2885916	4594993	5418620	4972862	3236916	4082410	5170469	4869237	7480848	8765569	7590781	7303289	8635417		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
89	"Ships, boats and floating structures"	6457	15496	14562	33886	132362	51401	90477	147150	66709	31161	32417	30944	50866	29356	674	645	61890		250488	259045	351270	417435	413676	508654	705311	1074997	875116	807125	652332	580282	536218	1228482	577055	1330492	1188872		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	17491	22810	35230	42529	43832	48127	57712	64078	52027	48336	58651	56167	48190	50277	48819	54866	65048		2248483	2286627	2678993	3044930	3226264	3541261	4388216	4891634	3927898	4175846	5133604	4719230	5148339	5478074	5667377	6116266	7125955		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	16676	12358	16270	23237	44483	71697	62778	63400	30409	42087	177371	259401	401370	111152	113923	159529	88542		18979836	19348525	24074020	32782700	45752979	58950537	66989826	89389681	59690796	79191577	103969201	128066253	146776388	131331871	82351452	69888425	87227993		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
73	"Articles of iron or steel"	25970	27804	37547	49485	50377	63919	83616	125003	74324	82983	108544	88056	86739	101156	82520	84602	95204		2365915	2412647	2938022	3615959	3904567	4875406	6116298	7347327	5466196	5302663	7512046	6599770	7362812	7699220	6651934	7095349	8040721		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	42149	52904	66294	67562	90846	80907	94168	108010	71053	92116	114019	96766	113328	134548	102654	121297	105148		448911	518388	636974	740396	738074	789125	911157	1056399	973407	1093694	1435907	1212257	1405957	1616982	1558030	1633069	1846089		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
54	"Man-made filaments; strip and the like of man-made textile materials"	7741	8641	11019	12319	16734	34988	54208	56488	54392	63980	73366	70728	85374	92811	97301	106823	111427		392767	409533	481441	761668	734428	778915	831984	803495	559682	670472	623459	754671	908439	1031413	1015397	965686	1026821		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
39	"Plastics and articles thereof"	7308	8439	12057	17357	22157	26943	37603	49307	48626	61828	86937	85464	99263	116705	106089	105947	111470		4880843	5222122	6418087	7368877	7955589	8896318	10588938	11689856	9138094	10164035	13953126	13273181	15194816	15993676	14480166	14636317	16206587		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
40	"Rubber and articles thereof"	5258	6576	14689	26506	22584	34379	48727	58578	45410	63911	88727	72535	63499	72777	66707	80068	114034		1570532	1701690	2057223	2562969	2595831	2975521	3557509	3872174	3047822	3992415	5870176	4741776	4963560	5103526	4451222	4447703	4953587		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	62420	68966	77576	102683	90616	103014	106798	105389	112598	116732	123033	129462	125555	140343	127363	125504	123949		1458507	1576276	2293270	2350501	2960988	3469322	4065990	4752434	4348487	4483735	5401121	5324050	6622019	6820777	6650063	7213955	7851980		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	49747	56899	74314	98302	112512	93363	115812	97773	94182	91300	99476	116850	121448	131428	134863	130538	130586		977415	1110224	1293636	1323143	1314293	1518322	1707417	2445359	2385157	2374957	3027376	2959708	3474888	3571883	3402297	3443780	3520198		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	35576	65269	127904	264097	359935	244484	171506	111283	104208	86818	95866	106234	118341	104487	110393	148854	133585		19920393	14900109	24807428	32825954	33526835	33837713	48222933	46245168	37530208	45718583	49649195	46836351	65667252	68904807	74748917	73248224	86848123		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	4899	6111	10800	12406	15840	29693	46180	57201	55643	60656	73954	80647	109522	132226	144293	159350	148535		867624	729855	961135	1027739	1119687	1430761	1613133	1832708	1738764	1780978	2413449	2240632	2710277	3139676	2851938	3073370	3421063		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	34206	24945	35993	55595	63896	114528	119371	155715	112011	119668	154140	141300	144162	165214	175218	176948	216476		30887525	29504400	37436180	46096030	48606852	57912718	59466676	65682559	49470110	57141289	63988735	62413148	71374341	73008631	65912033	65592163	75405635		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
72	"Iron and steel"	31857	32445	56730	129988	71443	151541	212463	171116	94875	142518	173905	108256	181680	228353	123043	168285	244083		2724629	2828206	3686047	6241649	6673103	9213809	12315006	13751896	7380973	10116423	13294861	11769467	12412751	12661658	10255233	9883145	11757897		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	147030	189353	260418	291664	345812	329717	405512	406063	261217	282576	321465	324991	354463	361114	307710	266066	301718		2547243	2565090	3092814	3281711	3190796	3635719	4035563	4494628	4131308	4250448	5467555	4881644	6555326	7385769	7198149	7430559	7652898		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	193866	230439	331379	399740	447606	456784	546853	511092	310251	330030	419334	413598	434148	451763	392792	387306	445964		1958503	1937989	2323880	2690950	2703477	3073520	3432869	3932225	3879869	4281031	5288458	4730123	6873549	7868576	7190563	7671185	7937238		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	28615	32720	101658	190434	189945	228460	344851	315239	150388	275778	509470	501687	446836	416959	420862	664820	661377		12560532	12737793	14338260	16695141	16774079	18649216	22954474	25236113	17081412	19656435	26406804	23416326	25839893	27763536	26942347	28866206	31141490		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
