Product code	Product label	Turkey's exports to Bulgaria-Value in 2001	Turkey's exports to Bulgaria-Value in 2002	Turkey's exports to Bulgaria-Value in 2003	Turkey's exports to Bulgaria-Value in 2004	Turkey's exports to Bulgaria-Value in 2005	Turkey's exports to Bulgaria-Value in 2006	Turkey's exports to Bulgaria-Value in 2007	Turkey's exports to Bulgaria-Value in 2008	Turkey's exports to Bulgaria-Value in 2009	Turkey's exports to Bulgaria-Value in 2010	Turkey's exports to Bulgaria-Value in 2011	Turkey's exports to Bulgaria-Value in 2012	Turkey's exports to Bulgaria-Value in 2013	Turkey's exports to Bulgaria-Value in 2014	Turkey's exports to Bulgaria-Value in 2015	Turkey's exports to Bulgaria-Value in 2016	Turkey's exports to Bulgaria-Value in 2017	Bulgaria's imports from world- 	Bulgaria's imports from world-Value in 2001	Bulgaria's imports from world-Value in 2002	Bulgaria's imports from world-Value in 2003	Bulgaria's imports from world-Value in 2004	Bulgaria's imports from world-Value in 2005	Bulgaria's imports from world-Value in 2006	Bulgaria's imports from world-Value in 2007	Bulgaria's imports from world-Value in 2008	Bulgaria's imports from world-Value in 2009	Bulgaria's imports from world-Value in 2010	Bulgaria's imports from world-Value in 2011	Bulgaria's imports from world-Value in 2012	Bulgaria's imports from world-Value in 2013	Bulgaria's imports from world-Value in 2014	Bulgaria's imports from world-Value in 2015	Bulgaria's imports from world-Value in 2016	Bulgaria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	2143	2711	5549	7169	6201	9992	13259	14119	6967	11330	8214	9050	12323	11276	15721	30492	46853		9902	10059	16073	19828	22274	25864	43274	69605	60498	60080	75531	72572	81308	87518	74010	92431	100835		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
64	"Footwear, gaiters and the like; parts of such articles"	1452	887	5621	9754	13757	22807	22437	25053	9302	12585	14603	14488	11072	13555	12016	27142	44819		49856	56670	84353	100957	116676	139106	152657	181088	146534	160312	175723	154334	178780	194870	170188	199213	232739		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
88	"Aircraft, spacecraft, and parts thereof"	1364	0	10	0	0	17	10	113	1	0	22	18	661	131	147	35	41076		48279	2162	35990	48840	86557	83582	79312	108413	26598	64469	162830	239171	75239	91544	27452	59941	80390		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	2606	4679	8875	11943	17741	20344	29937	38010	17660	16193	15891	14411	17347	20073	20198	31510	34170		44920	57507	79588	110893	150821	211732	326934	422452	254096	244322	253152	239840	275922	315346	285997	308374	353128		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
83	"Miscellaneous articles of base metal"	752	2096	4383	5990	11403	16886	23715	27934	16258	14993	14601	14599	26744	28477	23566	33499	34160		23086	30247	47188	70823	86473	113796	151576	174628	119730	111074	130137	118940	128440	144900	131812	157033	182592		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
07	"Edible vegetables and certain roots and tubers"	717	1150	2252	3960	5108	6285	28092	54902	119231	87269	55929	33684	40353	45217	25848	23767	28651		12496	17987	27773	27424	30637	28768	79492	119712	156183	106653	115928	108931	135892	150401	141531	147977	173995		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
70	"Glass and glassware"	8686	6941	9259	11281	10712	11643	16354	21863	20087	22333	23975	35628	38138	31101	26643	26127	25133		35794	39422	53296	76433	102103	115044	152838	176292	121875	122229	146897	139441	137901	141641	128132	142165	152088		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	1002	1415	2454	3065	4439	8115	12708	18316	38812	29833	31587	28796	33112	27563	23768	22540	23788		35452	39414	48770	66277	88845	112613	95532	293514	149104	115701	196782	209623	118550	136756	116114	112775	119144		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	4295	5490	4650	5503	7051	11668	16122	51168	81468	82099	63153	51011	58006	62418	22604	25156	23264		20445	27487	39819	48881	60456	65312	102030	119326	111844	117943	150817	139564	149811	155939	147057	173216	194940		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	10419	10797	11379	13505	17546	14692	20109	20764	17579	18265	17325	18535	19563	20370	19062	19468	20430		48861	55073	66954	76063	89067	104285	133672	169047	129207	129208	145215	146856	167209	157868	144112	159288	170866		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
44	"Wood and articles of wood; wood charcoal"	1664	1714	3872	6332	8640	11876	18064	23789	14863	11228	9490	7931	9304	12222	11395	13683	16483		25142	31574	49076	86957	118474	162204	261432	317208	154011	147519	165250	168322	167300	179000	169779	190923	216849		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	940	1399	2707	3847	5087	5796	9524	8328	6852	8686	12791	10742	11796	15318	13760	15478	16437		23587	24997	34627	44704	46052	48664	52372	51804	36866	55509	68860	68216	71924	74406	65924	62211	64028		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
57	"Carpets and other textile floor coverings"	1229	1106	1069	2436	4391	6034	6799	11817	7649	5651	7067	10011	9117	9394	7206	12802	16289		4355	6362	9634	12991	14648	18096	23564	29519	17951	14931	17919	15791	21841	26248	24510	24155	23927		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
96	"Miscellaneous manufactured articles"	672	1261	1602	2478	3667	5130	6242	6543	4523	4911	5058	12754	14233	16501	18000	15560	15444		31957	38743	52578	59240	61160	71483	86280	96100	74893	79858	82569	126401	142002	139319	125839	124047	138656		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
29	"Organic chemicals"	1979	2235	1627	1876	1908	3798	3328	4312	2906	7304	6456	7419	11801	7961	8507	7816	14389		78422	81719	106748	124392	127174	146870	177081	195214	131887	191921	236565	265049	266954	300846	297044	257898	292807		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
69	"Ceramic products"	11209	10440	14554	15906	20360	19594	23095	23435	11946	11105	14641	15254	14971	11853	9853	10386	13525		32695	34563	58680	69096	122251	141033	205143	243184	137876	118273	127737	131858	142890	118331	109835	113906	126946		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	1250	1957	5232	5187	6531	7154	17594	25043	21483	20443	16226	19291	21514	21509	21685	18646	12820		15783	20800	35880	37561	48590	59553	106667	139101	138104	111323	131703	124109	135595	146919	135594	132801	143290		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
41	"Raw hides and skins (other than furskins) and leather"	2682	1920	3209	2676	2210	2430	2489	1436	2105	3809	4145	4639	6413	6685	7064	17869	12584		78907	81940	114757	113300	119293	132340	143591	118770	93059	105366	134199	135489	118575	128731	113791	101270	88425		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	2448	2562	3514	5789	8942	10873	13564	16028	10018	9352	10554	8655	9893	10278	9494	9871	11615		51169	57322	79896	100407	125768	165597	215297	238045	176789	185885	213504	181804	199699	215721	189711	194599	224157		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1010	834	2066	5034	7155	10446	12828	17694	11250	9939	10803	9867	10792	11051	10795	10039	11272		77390	81334	102003	118868	130696	152052	209691	273390	226490	213501	246984	228989	265005	272086	267339	306423	302379		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
30	"Pharmaceutical products"	3248	4127	2707	962	1011	1515	3916	4464	3204	4491	8198	6147	8265	10573	8750	9815	11267		177899	191879	247643	419973	438216	497739	635106	806860	837675	903686	1114337	1058644	1186294	1361255	1228681	1244189	1417930		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	825	4687	3279	2049	4178	4919	5498	6742	3727	4394	6614	5544	8199	6425	5782	9182	8808		38676	39190	47618	47986	45533	50533	55025	58052	44868	56843	69584	66316	74810	83767	74878	77343	76173		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
38	"Miscellaneous chemical products"	1373	2276	3186	4016	6734	7540	9543	11731	8025	8719	9728	7763	8382	8785	6755	7217	7986		85539	98185	125921	156396	176216	202024	244144	289226	225320	255423	313195	440341	457523	439102	468938	675771	775323		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	1832	2311	4063	7976	6764	6802	9280	13744	10120	9400	9869	8801	11229	10642	9049	7151	7297		17193	16301	22176	29264	36577	50182	77762	104742	90320	94975	110445	121723	143111	141239	128801	144079	164382		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
18	"Cocoa and cocoa preparations"	807	226	2163	6411	8917	6128	6950	7548	6193	7202	7590	6609	5972	6682	6752	5513	6950		16312	27152	38521	38780	44326	52527	76654	113692	105429	135243	149744	129572	162666	203737	227555	229060	223024		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	1165	1706	2800	5281	3898	3543	3624	5675	4300	2692	3557	3667	5289	5197	4867	4654	6776		132417	136077	170742	238222	233265	286471	333277	444564	354355	302696	358031	390248	447300	471477	455401	440145	519308		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1187	1463	2702	8865	16434	12445	12236	17631	7852	8569	7006	5347	5442	6509	6770	8670	6772		21561	27467	40796	70124	94128	117317	164954	189374	116448	89713	87930	82691	90479	97981	94767	88470	104196		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	1808	3223	2226	2185	2199	1774	1601	1559	815	1125	655	675	637	609	620	586	5812		26151	48011	44146	44693	52316	57572	104171	157892	111706	135458	171402	177637	167201	147274	125410	120890	133026		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
17	"Sugars and sugar confectionery"	3697	554	1933	5455	7250	10392	10403	12199	11135	7362	5709	5862	6517	7938	6492	5665	4693		56948	54778	55334	62774	83677	141863	100743	179910	162016	224843	309758	229375	237016	135380	144116	163233	158594		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
95	"Toys, games and sports requisites; parts and accessories thereof"	284	240	760	1225	1036	1777	2008	1864	1534	1749	1884	1659	1792	2491	3237	2929	4554		17235	28615	33726	38470	46570	55254	106091	159697	108809	117436	146339	135808	155177	178028	172349	199616	230087		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
21	"Miscellaneous edible preparations"	1998	1865	1957	1497	1212	1352	2309	2680	4795	3657	3485	3338	3277	4126	3857	3396	4180		30899	31770	44768	61402	74149	88994	122764	157612	146984	136295	149182	155558	175163	185228	164564	193620	209701		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
31	"Fertilisers"	20	0	0	430	120	7	536	3046	1216	2465	2164	1181	984	1192	1050	952	3802		15633	15187	15370	20597	30903	23762	52063	141670	112805	136757	261336	307339	321759	318557	309184	261419	309053		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
35	"Albuminoidal substances; modified starches; glues; enzymes"	739	893	708	1076	2243	4142	4352	3353	1500	1774	2146	2747	3239	3053	2637	2417	3732		13240	16520	22271	30557	35508	38818	52038	52635	47005	49969	54930	56474	71735	76131	66102	69655	66662		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	1182	1760	3084	3867	4915	4449	8544	10041	3752	3334	1563	2004	1594	2813	2098	3980	3671		0	0	0	0	21031	24000	35266	45046	25346	27860	35473	29424	34666	42482	35677	39539	37502		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	1049	1227	1211	1598	1896	2011	2810	4807	2631	2579	4738	3006	3577	3203	2787	3199	3353		22558	24890	34415	37112	39015	57054	59736	69773	50192	82400	96939	92311	91559	92160	80927	82745	92966		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	204	102	936	734	1822	2816	3715	2806	828	1107	1198	1144	1503	1523	1204	2783	2816		7247	10145	16392	18490	22047	25925	43924	59287	41650	40125	46697	40550	70213	80730	83693	85367	79085		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
22	"Beverages, spirits and vinegar"	27	43	240	101	137	135	239	558	530	513	868	1619	2148	2215	2797	3245	2699		14569	19005	22313	33185	41969	56244	134752	172051	134266	138483	182161	187303	212565	220694	231055	252146	264749		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1157	18	75	1401	1114	1476	1743	1552	1224	685	700	1200	3760	2272	2682	2938	2508		15607	11739	15622	25775	24899	37507	49221	84407	67906	87380	89621	103133	128453	137939	165516	182216	220030		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
