Product code	Product label	Turkey's exports to Iraq-Value in 2001	Turkey's exports to Iraq-Value in 2002	Turkey's exports to Iraq-Value in 2003	Turkey's exports to Iraq-Value in 2004	Turkey's exports to Iraq-Value in 2005	Turkey's exports to Iraq-Value in 2006	Turkey's exports to Iraq-Value in 2007	Turkey's exports to Iraq-Value in 2008	Turkey's exports to Iraq-Value in 2009	Turkey's exports to Iraq-Value in 2010	Turkey's exports to Iraq-Value in 2011	Turkey's exports to Iraq-Value in 2012	Turkey's exports to Iraq-Value in 2013	Turkey's exports to Iraq-Value in 2014	Turkey's exports to Iraq-Value in 2015	Turkey's exports to Iraq-Value in 2016	Turkey's exports to Iraq-Value in 2017	Iraq's imports from world- 	Iraq's imports from world-Value in 2001	Iraq's imports from world-Value in 2002	Iraq's imports from world-Value in 2003	Iraq's imports from world-Value in 2004	Iraq's imports from world-Value in 2005	Iraq's imports from world-Value in 2006	Iraq's imports from world-Value in 2007	Iraq's imports from world-Value in 2008	Iraq's imports from world-Value in 2009	Iraq's imports from world-Value in 2010	Iraq's imports from world-Value in 2011	Iraq's imports from world-Value in 2012	Iraq's imports from world-Value in 2013	Iraq's imports from world-Value in 2014	Iraq's imports from world-Value in 2015	Iraq's imports from world-Value in 2016	Iraq's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	5	9	17	13	7	7	20	25	50	51	172	532	2829	4887	141															94	3834	6571	531		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	0	24	61	74	88	97	111	141	217	355	905	990	538	343	542	153															0	6468	6303	3793		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
75	"Nickel and articles thereof"	0	0	34	3	124	11	312	66	128	184	87	82	89	158	87	43	215															185	20230	10530	10872		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	0	0	2	0	69	135	32	57	100	112	50	61	46	130	392	77	322															2680	4822	2886	502		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	0	0	0	3	6	7	7	13	25	1	110	191	408	149	64	46	354															52	290	3525	721		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
93	"Arms and ammunition; parts and accessories thereof"	0	0	0	10	62	228	230	0	2	0	29	3	72	26	5374	541	422															10456	457549	152408	81261		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	31	18	4	32	14	31	49	68	158	140	310	177	157	147	468															787	16918	13784	15868		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
91	"Clocks and watches and parts thereof"	0	0	51	131	57	76	113	473	555	841	795	1686	2224	2061	1521	819	873															350	55957	59480	54427		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
52	"Cotton"	0	0	602	1320	1497	262	1706	1807	867	1524	2124	1238	1305	1816	729	888	1285															981	8594	9456	6725		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
37	"Photographic or cinematographic goods"	0	0	453	1109	1136	448	438	560	745	956	1542	1059	1681	1182	890	769	1309															1484	6620	12751	13119		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	0	0	28	246	228	454	573	691	492	496	1585	2861	2239	3740	2246	1267	1456															16038	21886	11124	8912		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	0	7057	1811	17787	8386	277	1158	8646	852	1271	2928	2253	462	17793	462	1500															1297268	84556	4373	3876		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
01	"Live animals"	0	0	236	135	0	451	0	0	228	11	98	761	633	245	143	592	1618															10389	34632	90798	117979		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
65	"Headgear and parts thereof"	0	0	27	178	215	246	273	286	399	358	697	894	1771	1819	2351	1222	1729															15704	21804	14578	21225		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
79	"Zinc and articles thereof"	0	0	4	23	29	276	33	45	69	281	332	313	548	714	2070	4835	2160															8155	3710	6953	2746		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
29	"Organic chemicals"	0	0	484	515	426	201	1147	239	439	1224	2335	2216	2029	2570	2820	1674	2378															4518	55958	168369	74001		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	0	0	1013	1154	204	158	351	384	1057	780	1035	1217	3430	3239	941	550	2590															82243	32507	26802	23279		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
99	"Commodities not elsewhere specified"	0	0	1	0	477	1422	16	0	22	839	413	630	966	4529	2127	1289	2614															0	256416	988187	1263507		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
09	"Coffee, tea, maté and spices"	0	0	158	102	143	248	316	494	822	1246	847	1672	1968	1694	3091	4206	3053															56118	138153	155539	173495		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	0	0	2293	3121	3626	3461	3675	4589	4200	2368	3005	5544	7995	5534	5169	2248	3695															998	38503	39027	40934		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	0	0	220	465	1669	1024	1021	1524	2052	3691	5389	5693	8220	7020	5943	3680	3839															1207	23984	28307	21785		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
