Product code	Product label	Turkey's exports to Iraq-Value in 2001	Turkey's exports to Iraq-Value in 2002	Turkey's exports to Iraq-Value in 2003	Turkey's exports to Iraq-Value in 2004	Turkey's exports to Iraq-Value in 2005	Turkey's exports to Iraq-Value in 2006	Turkey's exports to Iraq-Value in 2007	Turkey's exports to Iraq-Value in 2008	Turkey's exports to Iraq-Value in 2009	Turkey's exports to Iraq-Value in 2010	Turkey's exports to Iraq-Value in 2011	Turkey's exports to Iraq-Value in 2012	Turkey's exports to Iraq-Value in 2013	Turkey's exports to Iraq-Value in 2014	Turkey's exports to Iraq-Value in 2015	Turkey's exports to Iraq-Value in 2016	Turkey's exports to Iraq-Value in 2017	Iraq's imports from world- 	Iraq's imports from world-Value in 2001	Iraq's imports from world-Value in 2002	Iraq's imports from world-Value in 2003	Iraq's imports from world-Value in 2004	Iraq's imports from world-Value in 2005	Iraq's imports from world-Value in 2006	Iraq's imports from world-Value in 2007	Iraq's imports from world-Value in 2008	Iraq's imports from world-Value in 2009	Iraq's imports from world-Value in 2010	Iraq's imports from world-Value in 2011	Iraq's imports from world-Value in 2012	Iraq's imports from world-Value in 2013	Iraq's imports from world-Value in 2014	Iraq's imports from world-Value in 2015	Iraq's imports from world-Value in 2016	Iraq's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
38	"Miscellaneous chemical products"	0	0	5098	5403	7040	10182	9134	11438	13331	15347	25265	31408	35584	37645	38901	36315	37709															72165	184020	505542	165875		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
22	"Beverages, spirits and vinegar"	0	0	17005	44134	56340	35737	34292	34439	36909	40464	39379	53250	58048	55151	45764	39221	40033															60844	166719	177717	145800		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	0	0	18068	24885	35709	30184	29090	49951	44071	34433	41629	64147	61259	59750	41934	56008	48051															38845	330682	369713	337597		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	0	0	1286	3996	9250	12565	16365	23804	35294	69166	61190	83895	82215	65070	55700	47593	48904															22999	115680	126911	123840		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
17	"Sugars and sugar confectionery"	0	0	27422	34848	14421	29689	29372	26975	27707	74347	80297	68894	80693	89126	64309	45553	60610															388223	511736	504382	644284		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
23	"Residues and waste from the food industries; prepared animal fodder"	0	0	1188	1376	1082	44	322	457	12630	7102	13785	99491	133534	89874	51148	46245	60722															25111	113420	180669	183824		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
44	"Wood and articles of wood; wood charcoal"	0	0	9736	17701	22530	22211	23539	27927	38235	57663	79650	101035	114256	104190	75555	64478	63453															53632	279766	284231	289956		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
30	"Pharmaceutical products"	0	0	1921	2115	2715	2294	5055	9070	23765	34194	41311	54341	74375	50787	54684	48603	64596															1403113	1041889	1112608	1115491		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	0	0	5640	29514	88320	98920	70547	76351	140658	138781	116914	214407	136064	164754	103594	68194	68599															3616383	2894849	1716062	1821732		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
21	"Miscellaneous edible preparations"	0	0	12307	24239	24998	23276	26768	27782	36926	31312	42751	60631	70657	64972	68298	75529	69863															41719	213150	340424	216470		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	0	0	4751	8634	13871	15857	23682	39328	43916	88557	112478	140946	149894	140886	99905	85053	75947															464938	507266	477419	221837		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	0	0	14104	33338	40489	48080	48045	58157	68566	73613	82769	90635	104732	106083	101729	75269	81870															2696	336742	343212	340306		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
18	"Cocoa and cocoa preparations"	0	0	10246	26619	35237	47974	63098	74815	75845	76422	89748	97753	113835	107199	96180	83959	82122															485	126937	159256	114873		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
24	"Tobacco and manufactured tobacco substitutes"	0	0	0	57	383	65	9	77	3098	40729	27121	27390	55046	57712	52489	56047	83903															7927	614063	638782	241024		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
64	"Footwear, gaiters and the like; parts of such articles"	0	0	6467	9958	10674	12249	14209	21384	30913	44598	58985	79937	105178	109340	116472	81029	94115															20021	419896	434584	436313		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
76	"Aluminium and articles thereof"	0	0	8406	33212	44831	56881	77628	87776	123823	124960	144845	191709	220093	219701	124582	103380	110471															405292	376339	343522	323602		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	0	0	13681	39823	41414	78701	39088	71172	67078	72552	103748	127102	144781	158148	139095	111602	113752															68132	349750	443835	312726		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
07	"Edible vegetables and certain roots and tubers"	0	0	63676	31441	39216	60989	28292	29418	93490	69282	76292	83478	97480	85907	77021	113208	117512															137245	177143	600958	229423		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	0	0	6742	21054	35020	48231	56724	68935	102789	174822	224720	77119	76710	73513	76237	105244	123826															568861	324481	383311	367659		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	0	0	7648	21855	40878	30175	42454	68651	79917	100284	125293	153297	164401	183434	160301	154273	149749															82433	344439	661298	294113		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
57	"Carpets and other textile floor coverings"	0	0	15307	31396	33632	33810	51748	70236	101443	109684	141071	198190	187088	197500	181308	113902	181486															2490	195241	243427	210369		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
96	"Miscellaneous manufactured articles"	0	0	3609	2405	1650	1839	2283	2675	3375	4401	5735	187463	230896	250642	194094	198218	199671															1368	392634	413466	385988		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	0	0	7784	15415	23734	15901	38845	40357	74322	67925	71744	108766	161326	201384	259146	196652	208874															12897	644260	641216	660807		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
72	"Iron and steel"	0	0	10873	60763	166903	141667	255528	347880	489604	502689	850750	1136198	1240110	670980	444611	270943	231731															775206	986968	808295	702165		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	0	0	2361	3503	5183	24452	22244	56148	129560	166256	275392	312651	268272	297356	281166	299005	255940															148985	463247	806021	509068		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	0	0	49163	136323	163671	174438	234570	244815	328709	415978	433437	585741	674281	512992	370372	269678	282028															2418970	4827657	4230228	3376609		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
02	"Meat and edible meat offal"	0	0	1103	1930	5360	3662	1577	16871	92489	120364	246158	351415	428894	421421	272207	230373	323306															166954	645891	678605	827780		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	0	0	66167	26668	64178	175368	95900	365644	180802	145552	660018	832617	661022	605895	503232	493746	334647															76045	619351	622604	625968		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	0	0	99530	190866	250301	309959	313332	398832	439640	504859	605781	820862	949058	759322	477329	314341	343611															2584508	4396138	3561218	2854009		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
73	"Articles of iron or steel"	0	0	35911	96866	156654	169921	187112	250243	428134	486406	556274	837318	906234	793265	470757	369574	351406															9022316	1995484	1483913	1233529		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	0	0	13042	24884	44263	58563	86845	113765	131785	173627	234979	307061	361883	360798	327065	366421	370845															36807	535553	763397	622439		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	0	0	2515	6221	11890	33023	77233	126622	134980	152643	265649	386702	439286	405745	263350	302241	380856															262331	810141	1299750	692062		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	0	0	71840	134847	99376	115435	140870	172029	172911	249255	361387	506551	576921	563639	482475	451040	438142															586061	958814	929248	970270		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
39	"Plastics and articles thereof"	0	0	10030	47278	71365	86927	94246	152250	197719	286408	431423	579546	671098	588411	492659	401931	441270															242358	1262042	1998673	1177595		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	0	0	4042	10217	19582	25863	21033	44354	87092	103098	155739	238513	351551	407645	439990	305848	451780															28328	945909	941510	1116839		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	0	0	7119	54393	241948	117935	159954	235130	293653	325739	492438	491682	528101	550227	485763	547857	651032															60036	490374	561541	656828		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	0	0	88	262	925	4646	12538	22174	44892	85776	171082	265547	451811	492695	464443	597456	1581026															267	3424604	3422356	1613123		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
