Product code	Product label	Turkey's exports to Russian Federation-Value in 2001	Turkey's exports to Russian Federation-Value in 2002	Turkey's exports to Russian Federation-Value in 2003	Turkey's exports to Russian Federation-Value in 2004	Turkey's exports to Russian Federation-Value in 2005	Turkey's exports to Russian Federation-Value in 2006	Turkey's exports to Russian Federation-Value in 2007	Turkey's exports to Russian Federation-Value in 2008	Turkey's exports to Russian Federation-Value in 2009	Turkey's exports to Russian Federation-Value in 2010	Turkey's exports to Russian Federation-Value in 2011	Turkey's exports to Russian Federation-Value in 2012	Turkey's exports to Russian Federation-Value in 2013	Turkey's exports to Russian Federation-Value in 2014	Turkey's exports to Russian Federation-Value in 2015	Turkey's exports to Russian Federation-Value in 2016	Turkey's exports to Russian Federation-Value in 2017	Russian Federation's imports from world- 	Russian Federation's imports from world-Value in 2001	Russian Federation's imports from world-Value in 2002	Russian Federation's imports from world-Value in 2003	Russian Federation's imports from world-Value in 2004	Russian Federation's imports from world-Value in 2005	Russian Federation's imports from world-Value in 2006	Russian Federation's imports from world-Value in 2007	Russian Federation's imports from world-Value in 2008	Russian Federation's imports from world-Value in 2009	Russian Federation's imports from world-Value in 2010	Russian Federation's imports from world-Value in 2011	Russian Federation's imports from world-Value in 2012	Russian Federation's imports from world-Value in 2013	Russian Federation's imports from world-Value in 2014	Russian Federation's imports from world-Value in 2015	Russian Federation's imports from world-Value in 2016	Russian Federation's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
29	"Organic chemicals"	1014	1592	2306	1900	1677	2092	5202	5008	1704	15202	10108	6966	10844	13320	2933	2525	6626		374519	351192	462424	578203	741883	895006	1210566	1607377	1527251	2162193	3041881	3372556	3329068	3099224	2645671	2742409	3515767		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
35	"Albuminoidal substances; modified starches; glues; enzymes"	1372	1735	2204	2492	3124	4557	4138	4729	3588	5122	7606	8832	9298	8828	6708	4486	5892		114624	132298	159142	185475	230373	263867	332901	437795	415559	503733	576931	624702	696098	725339	572449	583230	670116		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	4393	12783	19036	20034	22306	26184	31484	38969	29607	34622	48688	39453	66009	46183	21715	2829	5877		59332	64002	83639	105114	155417	212885	284592	327347	353224	296797	372651	413138	395592	404307	262449	277156	326801		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	30277	31851	49488	62569	100731	113976	148439	147477	78538	107241	118875	134963	137770	97614	41363	7227	5562		54978	52775	78516	74503	56424	60302	75555	104649	81049	122102	137127	203661	149339	129178	91872	85260	103710		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
93	"Arms and ammunition; parts and accessories thereof"	67	17	237	307	637	997	2312	5248	4708	4143	9028	11864	15158	14177	7652	3146	5240		1668	2681	5149	7780	8779	11745	25112	56257	59431	130813	199482	179022	294889	88774	102447	0	33055		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
57	"Carpets and other textile floor coverings"	2716	5497	11150	20910	31604	34084	47395	61182	24103	39898	42531	60002	64247	54961	22682	3744	5097		37530	42803	49772	61855	73890	114015	180010	222762	141657	176035	229710	289781	285519	260593	142481	133136	185425		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	520	1022	1696	1824	1897	3856	5577	5287	2361	3298	4419	5841	14629	29155	12689	3196	5072		189978	212823	269480	342397	397186	514856	786525	1056082	736075	1342407	1638280	3099486	2524140	1931385	1333421	1285541	1545008		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
95	"Toys, games and sports requisites; parts and accessories thereof"	831	580	839	1279	2022	2404	3413	6708	2087	2828	4964	8251	5597	6519	3398	2629	4982		211221	240681	338744	462973	483503	665506	951326	1250005	908267	1615753	1895841	2363020	2437611	2395350	1457012	1536143	1878775		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
44	"Wood and articles of wood; wood charcoal"	2644	2811	3792	6121	9599	16408	15672	25665	12905	21052	22540	22973	35959	28783	12428	2435	4223		140039	176925	242493	304315	377586	501740	745179	991218	652702	860842	1087167	1450094	1653171	1323913	709940	601921	657997		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	1448	1180	1996	3033	2976	2807	3388	2908	2826	2181	3004	3721	6533	5323	2480	1278	3800		119552	126485	169043	214115	260742	308908	437768	604273	536130	648410	792219	1002940	1228290	1283617	737123	675105	815768		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
18	"Cocoa and cocoa preparations"	5391	5870	10639	19134	12734	13718	18020	8034	4769	3491	2501	6611	9046	7009	2281	595	2542		263801	406051	452027	500945	569579	609758	846707	1081578	984023	1280796	1445386	1394920	1404277	1368553	991148	971057	1048556		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	204	487	1897	2853	5548	7281	8338	9456	6293	10109	10599	13319	13311	8514	3325	961	1759		40654	39285	28644	23257	19418	18837	23784	29116	22220	24886	30003	54443	34824	23460	20502	18686	35013		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
81	"Other base metals; cermets; articles thereof"	34	1	12	14	5	0	42	6	1	68	2	0	49	8	3	54	1268		40813	37891	45668	58859	94318	134795	167638	223375	135670	202194	253100	312896	329885	303233	241279	203270	301051		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
65	"Headgear and parts thereof"	111	445	151	837	232	310	569	1124	325	601	881	780	476	812	536	347	925		22836	19692	28161	25424	20915	35112	61553	84040	71559	116875	155601	212809	184319	182632	115020	107079	133886		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
26	"Ores, slag and ash"	11327	9626	10530	16925	9620	18992	68544	156039	10489	16822	30010	26655	4193	206	4709	270	794		496743	480692	574961	1080241	1039592	914366	1282251	2307253	1043746	200068	286046	1893556	1754269	1910276	1111337	1007930	1585504		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
09	"Coffee, tea, maté and spices"	42	62	153	131	323	344	710	558	1162	1178	1760	1818	1803	1316	1090	370	715		253949	279323	307328	360763	409022	504448	633938	796141	795187	959167	1209986	1247346	1261774	1300100	1222621	1157725	1271928		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
31	"Fertilisers"	3	0	0	38	49	1	4	6	2	164	408	282	58	407	219	163	696		4539	7340	6492	10454	14269	20150	23429	39669	26676	40877	67139	63615	69115	85046	74300	77918	130727		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
91	"Clocks and watches and parts thereof"	24	83	25	49	100	188	250	270	374	532	525	375	491	419	117	498	659		38657	27673	27675	37133	47263	131846	228641	286035	160387	235717	321555	351960	362131	381766	275515	264775	289346		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
23	"Residues and waste from the food industries; prepared animal fodder"	0	126	0	0	0	0	0	9	12	21	23	13	0	23	336	462	536		211886	263856	316138	371616	471692	556315	825302	1107065	890613	952524	1108732	1209885	1405640	1284221	946086	770399	866327		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	449	731	1456	2036	2777	1415	2030	3315	2596	2479	2673	3090	3448	3198	1750	355	524		340106	350628	447641	530068	551527	629326	943252	1181793	879728	785853	820062	809777	906685	796110	416103	339785	345071		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	563	533	155	1145	949	1548	1882	2039	0	291	24	62	301	326	1180	331	404		175643	191310	199213	212091	142751	107993	138294	167818	94666	109084	181892	175827	186083	179262	116628	134749	128565		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
10	"Cereals"	25	19	96	17	30	7	7	70	16	0	104	12	19	624	462	77	326		228422	165179	211495	460597	245524	374278	298303	467602	227258	216951	371140	500353	631735	524131	328859	343852	357938		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
22	"Beverages, spirits and vinegar"	9	10	21	535	125	633	776	4983	362	546	1099	1028	546	542	277	21	196		544956	626525	900543	1131891	1508845	1509864	2246964	2609962	1775514	2239099	2730405	3095169	3407413	3068432	1784752	1824618	2492663		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	0	0	5	0	3	10	17	0	0	74	0	56	368	439	482	226	180		5112	2644	2216	4040	3402	3043	3898	3699	3047	2818	1999	3209	2877	3365	3257	4420	5122		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	581	1000	2446	3663	3423	3158	3464	3928	4464	3750	3255	2646	2886	4826	3636	25	135		75460	94593	112191	185542	246577	364527	649733	754008	662606	758596	919355	988438	960763	850405	718032	577756	567911		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
45	"Cork and articles of cork"	1	0	1	23	1	68	6	2	8	3	3	48	32	35	97	44	99		7894	4400	4749	6526	6284	15770	15725	34630	28945	50989	59204	64036	56076	51705	38976	41486	39329		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	5	3	69	44	106	300	105	190	110	127	256	13	165	138	11	3	82		13318	19182	19265	22580	16112	24986	32301	37392	23829	50347	49824	54573	40152	31780	18845	15414	19892		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
75	"Nickel and articles thereof"	1	54	32	115	19	8	24	12	12	22	16	70	123	47	62	50	81		28441	13566	12747	30206	63380	32516	53344	51426	68463	110048	249811	374432	289196	163602	70777	91724	102249		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
89	"Ships, boats and floating structures"	18732	6009	98	4924	4770	880	914	1094	10125	5312	15268	44113	19536	788	26809	24512	60		230025	300006	246368	155116	764475	1190917	892534	1831152	1354557	1050434	3631850	1392827	2113548	1688281	2126369	1995136	3232483		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	11	173	791	92	150	1182	628	1213	733	875	610	1194	1402	631	286	61	56		28325	10010	29320	45421	20057	26163	30586	35150	19402	29963	37838	62940	53718	48212	40989	38546	41724		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	959	1026	1399	2579	3247	3763	5052	4347	5965	4663	2315	618	3773	5728	3166	5	51		471360	605887	593272	545463	708355	657884	960861	1617430	942990	1358753	1571893	1302712	1236004	1241625	1064176	1088174	1212106		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
92	"Musical instruments; parts and accessories of such articles"	0	11	9	5	26	8	58	10	62	131	130	55	53	92	17	0	36		7871	10850	11607	19843	16898	34773	55135	86515	57648	78567	93869	103850	111603	100971	52365	48679	64702		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
79	"Zinc and articles thereof"	1615	3285	17	10	11	76	100	1319	36	183	565	737	1020	486	90	7	36		9982	6201	16867	29292	16329	78720	119386	56999	47339	58577	63583	70087	90431	93067	77089	85438	103088		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
01	"Live animals"	30	0	19	19	0	0	0	0	0	0	48	87	0	0	2	3	34		17529	25501	32415	47876	76748	248769	357190	445697	470258	319474	553781	662298	413415	259306	236034	169032	208091		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	20	25	0	27	177	15	36	50	0	57	1382	695	2807	23130	8632	0	33		1757181	2310329	2211674	2247924	3020440	4501226	5097467	7194810	6244683	5831360	6189996	7385304	6748157	5527833	3106053	2281691	2670384		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
13	"Lac; gums, resins and other vegetable saps and extracts"	1	0	16	0	0	0	702	597	0	3	22	544	332	315	222	30	32		35511	40081	45753	42267	43987	58208	81582	130402	117135	134732	150021	157811	149519	161258	167570	186950	200285		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
50	"Silk"	0	96	13	53	18	76	117	143	29	12	198	54	30	7	132	68	6		1757	1186	526	2023	1910	966	1758	2557	4545	3546	7713	24187	9065	26024	3193	3861	3970		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	1	91	36	6	11	23	138	47	1	7	13	31	17	19	21	7	2		2604	4494	3318	5286	7532	14008	18043	36333	34708	49710	46686	47381	47124	53170	34970	29571	33935		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
97	"Works of art, collectors' pieces and antiques"	4	1	6	6	0	0	7	14	8	27	1	21	39	82	1	0	2		786	1946	3695	7973	14637	2808	12733	38286	96396	10915	24637	15545	18361	19164	10742	6488	18189		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
80	"Tin and articles thereof"	9	0	0	0	2	0	1	0	0	4	0	0	0	111	0	0	0		2484	3622	4576	1421	5261	2429	8414	31941	26097	24389	29862	39177	47198	46821	28172	23849	33018		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
78	"Lead and articles thereof"	29	3	21	16	37	18	330	902	275	1105	71	0	1	750	469	0	0		23674	23456	25795	19991	25734	34759	52979	34763	10841	5621	4284	7440	9418	5655	5655	5639	6671		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	20	219	582	402	99	29	23	61	86	58	29	155	109	58	5	13	0		146627	333081	369862	751452	807424	876756	1587881	2442364	1005804	2141494	3599548	3414029	3030669	1732717	419780	391387	579011		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	5	10	12	50	5	8	8	55	11	8	19	131	25	6	9	0	0		2340	3250	4231	6077	5597	8729	14419	17091	14070	19286	20028	24256	26571	40687	16661	15195	15854		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	5	0	0	0	0	0	0	10	239	167	70	54	43	17	0	0		20261	24175	26899	15544	19996	41695	72855	69389	44622	73044	116623	137527	153643	149712	132291	124685	134954		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	0	0	0	10	0	0	0	0	0	3	52	34	3	3	1	0	0		139118	132959	131374	142584	187964	219364	274436	362876	287868	319338	438042	633320	715468	695793	351718	368400	480208		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	0	0	0	0	0	0	43	0	5	20	0	0	0		18648	21476	25785	28962	39347	49397	52967	58873	116522	134487	136573	116491	96897	73256	57811	49748	78119		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	30	17	43	7	9	14	0	135	74	21	0	41	17	9	0	5	0		3013	4628	7392	12069	17849	23847	29374	48406	20589	16421	34971	58756	62974	46319	35572	34774	44680		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
37	"Photographic or cinematographic goods"	0	2	0	6	11	1	20	2	6	76	239	530	164	95	14	1	0		97064	99458	107811	116591	119334	131086	160506	192050	216821	244265	241204	262590	249170	229320	202283	217758	267394		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
