Product code	Product label	Turkey's exports to Russian Federation-Value in 2001	Turkey's exports to Russian Federation-Value in 2002	Turkey's exports to Russian Federation-Value in 2003	Turkey's exports to Russian Federation-Value in 2004	Turkey's exports to Russian Federation-Value in 2005	Turkey's exports to Russian Federation-Value in 2006	Turkey's exports to Russian Federation-Value in 2007	Turkey's exports to Russian Federation-Value in 2008	Turkey's exports to Russian Federation-Value in 2009	Turkey's exports to Russian Federation-Value in 2010	Turkey's exports to Russian Federation-Value in 2011	Turkey's exports to Russian Federation-Value in 2012	Turkey's exports to Russian Federation-Value in 2013	Turkey's exports to Russian Federation-Value in 2014	Turkey's exports to Russian Federation-Value in 2015	Turkey's exports to Russian Federation-Value in 2016	Turkey's exports to Russian Federation-Value in 2017	Russian Federation's imports from world- 	Russian Federation's imports from world-Value in 2001	Russian Federation's imports from world-Value in 2002	Russian Federation's imports from world-Value in 2003	Russian Federation's imports from world-Value in 2004	Russian Federation's imports from world-Value in 2005	Russian Federation's imports from world-Value in 2006	Russian Federation's imports from world-Value in 2007	Russian Federation's imports from world-Value in 2008	Russian Federation's imports from world-Value in 2009	Russian Federation's imports from world-Value in 2010	Russian Federation's imports from world-Value in 2011	Russian Federation's imports from world-Value in 2012	Russian Federation's imports from world-Value in 2013	Russian Federation's imports from world-Value in 2014	Russian Federation's imports from world-Value in 2015	Russian Federation's imports from world-Value in 2016	Russian Federation's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	924107	1168309	1367591	1859187	2377050	3237611	4726853	6483004	3189607	4628153	5992633	6680777	6964209	5943014	3589464	1732954	2735484		41865362	46176985	57345988	75569015	98707256	137811060	199725955	267051244	170826590	228911658	306091490	316192918	314945095	286648777	182781965	182261656	228212750		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	74610	90526	119663	168978	224777	262603	381110	430486	452066	566142	597369	544654	614307	622404	599925	343990	637300		684406	814546	1134366	1566695	2134674	2973035	3738074	4462698	4393760	5471169	6204617	6279814	6401898	5479577	3944184	3830586	4677746		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	38181	40109	75923	114944	163070	249144	361715	461308	217875	276361	498759	563206	729933	577387	317955	185511	291830		5708156	6873398	8435424	11178236	15713790	21867424	32478746	45942337	27503610	36982516	51672092	57818026	56964844	52105387	34147899	35360934	45287673		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	57467	74615	137050	199288	296257	589202	730771	1384349	231186	587944	831955	771022	947067	646689	214102	170371	236098		1922065	2352469	4008675	7486815	11274163	18673417	33502417	48072195	14161219	22677472	37860472	44604961	40193697	31426474	15377788	15637225	21498556		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	49773	67067	85175	114754	141148	196419	263169	384943	162544	215111	381335	424011	363377	329594	137914	93746	144051		3036078	3764049	4391120	6630632	9920678	14874656	22133056	28079147	18506290	25774755	30943135	35592204	35547493	33740293	21110277	21504449	26731434		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
39	"Plastics and articles thereof"	46580	57096	78343	109370	136223	169941	227031	288732	171481	230395	273277	300954	319290	307275	186087	86243	113994		1113897	1416506	1863834	2338628	3542135	4956119	6741468	8478663	5752980	8125488	10057256	11503318	11466621	11030032	7629191	7541507	8765789		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	31064	37467	55967	80402	79538	96659	120757	120922	72161	114308	118199	142351	137191	113028	82467	57616	82014		169265	345868	257765	369979	448454	851380	1656549	2391166	2045033	2971425	3470072	4097249	4124911	4023985	2681147	2700409	3394031		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	14635	15630	22240	26255	32186	51397	48476	65327	35851	92187	113918	141673	163623	147542	76774	45593	79319		108785	187421	226359	262936	353925	647224	1184733	1834196	1629279	2580650	3271393	4099764	4066353	3724664	2417088	2560676	3181208		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
73	"Articles of iron or steel"	175942	249379	38801	65574	93842	119074	161409	232379	99895	85347	106453	138529	163334	136650	93340	55196	77503		1109061	1133602	1431952	1984513	2703443	3751089	5580900	6207737	3726004	5900717	7731737	7622162	8185191	6904823	4077681	4148749	5305173		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
64	"Footwear, gaiters and the like; parts of such articles"	12343	11258	12757	8175	11655	16908	32045	49243	52259	101531	95416	110369	128739	111198	69683	28462	72763		215926	242136	302337	307395	572168	1170070	2143054	2954241	2267089	3904582	4160035	4260688	4577835	3682146	2362348	2352806	3175405		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	3251	3915	356	715	1052	3247	71662	125673	75319	134145	164998	159729	128669	129647	64209	15519	68114		979082	1002856	1293274	1410925	1612725	1832600	2528501	4080378	2378581	2829253	5068773	4054519	3643427	4041277	2990715	1404253	1926998		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
83	"Miscellaneous articles of base metal"	4980	8714	11726	17138	22458	30577	55419	63622	38472	63315	71225	80000	80507	73715	56826	41330	51779		129487	143322	198493	264302	330574	597466	1014679	1409111	910539	1343623	1526695	1716870	1703993	1665127	1111573	1091629	1372122		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	0	0	0	8	0	0	552	923	2393	7858	20752	20563	32277	56383	41699	40001	45949		209886	312851	411388	642949	956990	1203721	1730959	2029708	1692951	2012437	2300348	2379075	2863006	2566070	1355037	1392054	1626207		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	2186	4378	7504	11197	15568	26934	99475	352989	55183	66760	114604	177545	139780	99041	51549	34930	44687		163092	187337	223210	259436	322050	459972	810640	1753337	564286	701835	1033977	1466793	1519448	1433786	858596	696317	783919		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
88	"Aircraft, spacecraft, and parts thereof"	0	106	5	0	9	0	0	4	42	251	17437	501	1899	2658	515	34	42998		127558	219775	288778	245874	423605	0	0	0	0	0	0	4783239	5841427	7270980	3170045	0	6451441		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
07	"Edible vegetables and certain roots and tubers"	18140	32702	41688	68230	68930	114821	207907	290711	230977	301161	319249	322609	347028	384944	336861	22706	40077		202945	254565	421861	465956	723014	934417	1389248	1758969	1660369	2223998	3039948	2485448	2881787	2959078	1891685	1396009	1794800		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
40	"Rubber and articles thereof"	2642	3966	8236	13441	17468	19331	32723	52028	28507	48609	67583	76189	68939	70683	42792	26669	39566		385645	370073	452795	688348	965913	1301980	1866799	2595250	1630541	2520653	3923399	4787377	4769177	4115755	2704806	2777655	3589055		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	33824	44360	56793	66086	60773	67214	80021	92720	73259	77007	77638	88397	77614	73693	45436	36542	37864		184041	247466	313636	403425	510299	675932	913468	1172464	991724	1262803	1502576	1652466	1734974	1763478	1230145	1199568	1370282		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	718	1010	2267	5504	9958	13598	22840	23754	20873	38962	49778	55598	53690	40333	34735	26594	37466		1462265	1257041	1170095	1350920	1895220	2400492	2796676	3298339	2149894	2366384	2912976	3306835	3508219	3308309	3248198	2584621	2938882		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	4287	9571	28761	31810	47622	53144	162179	145249	44406	67562	128420	181975	165885	84130	21755	14510	34594		17529	39582	67236	163313	65536	40368	64135	670407	381420	478757	132511	732281	858102	1086695	597121	438595	567666		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
72	"Iron and steel"	897	1391	3340	11166	29713	60646	178974	37386	21175	32696	67448	193994	138683	122661	31981	16396	31900		839614	658701	1168400	1855926	2546719	3584049	5722324	6372094	3324630	4410037	6303275	6402580	5891705	5701947	3301202	3032675	4825673		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
43	"Furskins and artificial fur; manufactures thereof"	49311	70579	71837	57425	60679	58930	69526	56925	45281	83550	89952	106886	89188	63368	24993	13465	31412		21445	24140	23992	31134	63494	120138	162637	236173	151109	299731	379799	466423	275649	243838	139775	156332	289841		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	7372	9728	18512	19487	32894	42652	68731	105864	25669	45058	85321	97847	137270	101677	41110	17301	31049		422467	506067	587121	736971	926451	1301414	2167512	3009680	1998116	2820121	3791879	4498726	4672474	4281270	2364767	1994667	2703111		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
60	"Knitted or crocheted fabrics"	15511	18132	24986	43905	70956	101546	170700	277605	219603	364396	447259	474323	364634	230426	168761	6297	29051		82494	96312	111255	104671	109659	154588	215600	349801	280377	378023	392656	490500	561825	498264	269628	238253	246116		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	13972	15892	22876	28547	36017	36687	51798	46169	27459	35099	36261	45712	44484	44307	25977	23184	28077		521081	691129	933398	1206301	1418707	1784395	2496261	3022837	2604501	3153482	3403735	3656790	3901067	3622859	2629627	2600367	3112753		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	8970	11240	13544	16977	21246	24582	29581	31323	19106	25511	35087	46077	48332	45617	36263	17069	27029		409358	479300	599278	749890	936472	1259769	1706525	2079368	1570782	1960163	2368857	2686749	2606835	2439526	1642511	1604943	1815997		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
38	"Miscellaneous chemical products"	1651	2158	3322	6099	6006	8914	13280	18562	13313	23289	28577	35005	37948	40156	27928	18448	22075		522965	558523	614234	747608	1020760	1163939	1649199	2158757	1705391	2044894	2694298	2864941	3080288	3118497	2609592	2759824	3169271		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
55	"Man-made staple fibres"	5731	11077	22199	22898	38541	48103	49989	58417	51018	70681	86589	123710	125794	114420	89592	7735	19972		129856	147694	201320	254359	245544	314964	375803	430620	404979	574096	751228	847044	754403	650991	465142	483371	553301		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	11	0	155	87	74	25	5	0	0	1	9	4	9	555	6342	19670	19310		398541	426455	624820	757629	988598	918635	1236841	1563025	1259369	2072525	2172715	3278360	4407646	3824191	2011230	2135136	2630066		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
74	"Copper and articles thereof"	330	1185	1754	2944	3526	7138	11404	15665	10223	15096	16679	23041	25277	26974	23929	13511	18589		65324	61623	79113	110832	136062	243947	376821	584344	414845	487589	748891	888564	826128	971617	446584	472925	802764		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	5030	3236	8525	7394	7286	11828	10030	11824	11698	27237	31454	30547	43654	41638	16740	16942	18226		85069	105679	121776	168693	196543	276381	417635	874315	853602	1003070	1142462	1122166	1356564	1859201	1518393	1670493	1815541		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	21973	19132	23657	32506	28174	21045	30664	33638	30169	30749	24860	24477	32509	35609	18961	9817	18159		326177	432314	510154	598155	778917	983207	1186287	1458190	1197643	1377808	1516507	1553948	1600492	1605048	1085051	1074235	1181963		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
24	"Tobacco and manufactured tobacco substitutes"	15730	11446	25139	30249	22363	35215	24376	19798	28497	15834	27646	27951	31572	35291	34337	27634	18123		739123	756358	746395	757204	890391	900034	1040853	1199334	1215171	1207207	1300297	1295202	1330142	1214035	1118390	1158338	937910		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	3069	5855	5424	9920	12429	13154	17568	27340	13537	19932	29884	35959	48916	36638	19141	9090	14391		168158	199107	246549	370365	495455	585233	757306	982132	515670	772988	1020459	1302669	1340937	1210224	734872	684863	820024		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
54	"Man-made filaments; strip and the like of man-made textile materials"	15558	24940	35439	60779	106885	146503	179416	210077	134311	154472	181251	215512	211038	177674	90175	10677	13483		133720	73945	109351	132923	153159	193883	288262	336146	280767	383022	469303	547174	548796	565101	412055	371281	416271		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
76	"Aluminium and articles thereof"	5681	8985	11890	19505	31927	40109	59250	63578	23529	22380	19599	38301	43182	36884	24854	14369	13423		321430	302329	369726	449268	484214	665858	934964	1342693	901556	1041058	1283661	1735377	1782398	1563226	1021755	947421	1236805		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	7049	5760	12571	16471	15139	14367	26097	51109	42755	44466	48417	23203	22180	28440	21456	9296	12829		1011726	1201787	1492747	1772574	2123088	2546833	3245988	3879868	3289047	3844756	4309085	3748905	3814418	3542706	2308772	2255624	2404796		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
52	"Cotton"	4730	13450	25064	31604	25289	26400	45987	50185	31723	57115	84274	84701	58754	50973	32100	11373	12506		423411	299073	319985	378017	373842	393937	448457	522858	410797	464459	661242	597246	563084	509295	417784	467111	522577		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	18753	25190	21296	27084	29915	34843	44136	43934	27208	35599	47863	50438	39075	32550	13133	4013	11668		144985	127030	138023	141520	146128	234302	440836	667686	555087	855386	1024896	1121013	1183285	992878	650513	614087	778308		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
