Product code	Product label	Turkey's exports to Poland-Value in 2001	Turkey's exports to Poland-Value in 2002	Turkey's exports to Poland-Value in 2003	Turkey's exports to Poland-Value in 2004	Turkey's exports to Poland-Value in 2005	Turkey's exports to Poland-Value in 2006	Turkey's exports to Poland-Value in 2007	Turkey's exports to Poland-Value in 2008	Turkey's exports to Poland-Value in 2009	Turkey's exports to Poland-Value in 2010	Turkey's exports to Poland-Value in 2011	Turkey's exports to Poland-Value in 2012	Turkey's exports to Poland-Value in 2013	Turkey's exports to Poland-Value in 2014	Turkey's exports to Poland-Value in 2015	Turkey's exports to Poland-Value in 2016	Turkey's exports to Poland-Value in 2017	Poland's imports from world- 	Poland's imports from world-Value in 2001	Poland's imports from world-Value in 2002	Poland's imports from world-Value in 2003	Poland's imports from world-Value in 2004	Poland's imports from world-Value in 2005	Poland's imports from world-Value in 2006	Poland's imports from world-Value in 2007	Poland's imports from world-Value in 2008	Poland's imports from world-Value in 2009	Poland's imports from world-Value in 2010	Poland's imports from world-Value in 2011	Poland's imports from world-Value in 2012	Poland's imports from world-Value in 2013	Poland's imports from world-Value in 2014	Poland's imports from world-Value in 2015	Poland's imports from world-Value in 2016	Poland's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	122	0	0	9	249	151	412	488	479	1488	1075	850	1495		79743	90475	130098	182420	189929	208536	209522	330619	282077	248901	270556	249963	261161	250872	203510	189891	235210		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	1257	1334	1431	833	696	780	1821	2317	1417	955	1806	2325	2345	2861	3125	2523	1517		100678	104839	131739	164541	214863	261929	360527	526314	387516	424652	524320	459777	572966	706107	712855	839797	882652		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
93	"Arms and ammunition; parts and accessories thereof"	12	250	423	548	589	750	797	1367	1092	738	907	960	818	1912	1895	1865	1639		11572	22949	22695	52810	55049	70816	132881	140540	91126	97055	146720	101759	110180	119597	144425	212052	183412		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
35	"Albuminoidal substances; modified starches; glues; enzymes"	8	24	14	65	61	251	542	650	249	377	370	699	966	1024	1789	2458	2043		230312	237036	271020	336785	389681	413535	492532	612226	526501	562892	666765	646849	677468	680960	545963	568077	621744		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	163	147	152	93	143	468	1835	589	497	540	1528	729	1865	1415	1866	7892	2410		270824	300569	421728	475041	542507	691602	994075	959649	634256	945223	1109706	1049677	1237981	1290769	1178381	1179757	1256758		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	992	445	1062	2658	2575	2895	6393	6251	1888	1344	3840	4216	5708	4462	3796	3248	2675		220701	199930	192208	237777	236659	257390	309659	270183	173287	193283	230689	197027	189940	191033	151377	182778	179379		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
09	"Coffee, tea, maté and spices"	751	579	556	976	1467	1684	2494	2773	2467	2829	2765	3262	4345	4723	4055	3368	3100		174929	161467	199554	235344	276926	297945	325061	433908	494530	554551	774147	715329	646196	619034	662111	641424	733264		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1362	166	3638	364	699	952	633	901	437	265	671	1263	2051	1672	2450	3519	3357		92036	94463	125524	147275	194048	229725	265616	518233	382601	345431	595841	611980	512879	487356	464994	597651	664580		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
38	"Miscellaneous chemical products"	377	337	393	998	1076	2350	3321	4221	3039	4313	3698	3408	3027	4251	3354	3149	3529		705451	789229	945482	1107052	1322817	1521596	1774612	2730599	2108363	2438842	3457200	2608643	2968513	3271250	2587417	2906012	3263507		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
29	"Organic chemicals"	98	1	109	121	264	2072	391	515	257	1162	732	3602	738	714	711	1132	3534		774554	828488	1078527	1398189	1834848	2124277	2527969	3202075	2312672	2986103	3471554	3424788	3829124	4339917	3657314	3504963	4323012		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
96	"Miscellaneous manufactured articles"	159	493	722	1042	968	1268	2230	2129	1135	1352	1090	1289	3014	5419	4267	4215	4145		166628	182067	215228	260040	291359	304081	347624	398665	317064	328101	379443	496648	589615	660709	639978	767690	768418		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
24	"Tobacco and manufactured tobacco substitutes"	3105	2999	4016	3736	8365	15359	18430	18073	7437	14727	16851	15843	12695	16612	10567	10768	4226		118445	193941	65931	170927	247692	307542	416856	403106	438879	563279	636507	597167	629574	755865	793161	795194	836915		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
21	"Miscellaneous edible preparations"	80	1	0	289	138	1755	3725	5553	3324	2913	3999	3098	2925	4231	2711	2184	4443		249658	276754	309456	395001	477329	585860	704671	954909	858117	835687	944790	936238	1019709	1063017	959160	1028608	1120197		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	881	1143	562	1642	1694	3407	3421	5033	3986	3601	3947	3306	3601	3764	4967	4591	4727		220848	244533	263313	328620	329140	406109	591365	730723	465585	537968	644606	535678	567729	637585	518029	544282	616107		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
17	"Sugars and sugar confectionery"	884	1013	2276	4776	2304	2415	5685	3410	3597	3282	3524	3680	4947	5931	3992	3848	4754		63063	80126	88114	118262	162626	221594	278247	347731	411790	369278	576503	546390	529529	501636	356716	405546	411167		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	4	9	11	538	1190	1705	2368	4444	3851	4224	5191	5293	5555	4780	3932	3214	4878		69670	82796	103660	181201	235097	299951	408667	590150	521376	548274	648589	652205	771665	782723	695999	700781	897804		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	1419	764	1782	2782	4256	3918	3825	5427	4947	5185	6092	5579	3884	5052	5478	5804	6412		1458411	1627276	1970952	2341262	2577789	2995980	3776767	4329619	3583249	4037825	4717346	4092417	4503425	4673961	4018225	4025556	4500762		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
95	"Toys, games and sports requisites; parts and accessories thereof"	5	29	183	189	156	131	456	725	312	516	205	155	498	646	763	293	6690		225123	232833	253734	330699	367519	420671	586568	870096	744277	793030	901450	915201	1048301	1478919	1573995	1850264	2999311		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	242	366	962	1845	2470	2132	2775	5378	5582	6565	8383	8198	9188	8124	9756	8811	8858		237310	262514	312135	372771	396102	454729	626097	1108153	544088	647658	1015930	793784	656204	688547	578495	564891	613708		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	0	0	77	188	414	1012	48	112	3278	9988	13449	7343	11697	13476	6877	6177	9090		316587	275739	316792	430154	603479	751521	885385	1109561	1059598	1340081	1419114	1366868	1775458	1878086	1642995	1960952	2016059		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
64	"Footwear, gaiters and the like; parts of such articles"	5995	4950	4583	4527	1794	922	4780	4130	1869	2637	2640	3387	2767	4259	3469	6435	9737		232297	298722	322240	387064	449455	508195	667766	905945	776221	925664	1132856	1081456	1274973	1511671	1508144	1567768	1906207		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
69	"Ceramic products"	2977	3346	6220	5563	5897	4354	4085	3830	2477	2295	4795	3061	3298	5694	6845	7304	10383		304117	284732	317451	344555	355912	383691	580068	743787	519955	490125	555733	465570	488646	532755	511846	579649	624651		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	311	238	1363	2540	3201	4175	6550	8528	5612	6483	7988	10371	10638	14647	15296	10564	10527		396579	464913	564875	757080	798967	938251	1367520	1765735	1541232	1759117	1976715	1946961	2062434	2115071	1912254	2164415	2492369		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	117	273	762	1760	1920	2418	3453	4441	3883	4049	5060	7015	8452	9138	8717	10610	12878		622879	691338	873185	1060142	1150552	1265757	1559946	1809603	1405870	1423326	1721820	1572429	1702837	1755947	1481476	1479886	1691166		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	11145	12997	14098	11475	15184	13737	14819	15636	16374	14108	19079	19247	16848	18594	16245	14814	13125		289066	343626	406810	479967	525544	614323	760485	1000447	795778	886794	1023972	966019	1086935	1159351	1020917	1038859	1114028		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
89	"Ships, boats and floating structures"	0	10	7	0	15	88	0	109	0	0	854	0	30	109	7671	1	14175		712906	1398911	1744006	2476151	1636727	1637148	1665278	2371250	2306222	2887723	3093771	3204195	4446432	4108327	4382896	2098321	1587143		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
83	"Miscellaneous articles of base metal"	579	1175	2286	3007	4159	4437	5726	7500	4881	5745	7791	7902	12430	15242	11480	11033	14961		426111	481143	642610	803443	901048	1070597	1324753	1557344	1154788	1370788	1542138	1413212	1563615	1695274	1477359	1518044	1689607		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	189	339	769	1086	1229	1068	1447	1880	3044	6145	6378	6277	8664	12290	11830	11053	15654		967206	955434	1152875	1594960	1976388	2286679	3826052	5308412	4702997	5344494	6025541	4269661	4179715	4508479	4374347	4220581	4784595		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	530	1136	1903	4261	4999	8876	10278	11907	11416	9481	12629	11026	11672	13765	12772	16068	17815		575735	581313	790226	989952	1205953	1384434	1927524	2484504	1747654	1784004	2199116	1897366	2087528	2632851	2489489	2656196	3216575		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
70	"Glass and glassware"	2719	4373	6245	5969	5685	5280	12558	23945	16538	14847	16004	16700	16717	17749	18365	21448	18481		404590	479259	576536	685142	748523	922138	1243862	1466128	1017419	1163849	1329888	1065552	1097918	1166142	1033353	1079491	1211327		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	2944	5634	6018	6787	7441	16684	23671	21132	8817	12744	22625	20587	19422	18453	18683	18906	18692		160511	176580	213616	305340	330024	367721	447558	524884	422464	432235	619493	559449	612722	623667	563479	576608	608714		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	1665	167	732	2205	2992	3901	5666	9362	9854	11563	14651	11190	9764	11439	15931	15240	19194		254080	271709	331672	426883	516271	670064	787005	1084536	772760	1048523	1269921	1200999	1321220	1376479	1127995	1059319	1200628		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
30	"Pharmaceutical products"	6137	3429	1406	26	675	656	3304	3002	695	2611	5424	4919	7429	4106	5143	17766	19519		1822153	2030474	2345388	2761295	3095267	3657799	4516578	6249564	5013531	5663353	6047395	5175291	5693513	5913378	5095089	5471524	6288731		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	4259	4469	3541	11364	18871	13527	13969	13103	11431	34608	18621	23004	21664	20026	23273	19047	20020		139250	137603	152226	210711	339427	393822	565753	598443	517919	638252	724338	665723	761920	775508	779493	678528	761043		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	4081	4530	5523	7055	5168	6724	10133	12788	7845	6290	6139	8178	10239	14954	15979	16684	20385		267550	285894	370949	422491	462207	499427	611096	663387	485013	540221	600628	544842	589725	606180	523174	527730	535722		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
07	"Edible vegetables and certain roots and tubers"	893	595	1167	528	2613	2739	10409	5233	7495	16346	8872	8103	8219	13147	8805	16889	23518		130003	135802	135558	194484	265386	327632	501659	608349	509036	658069	708801	568146	737084	766041	672986	696249	770518		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	10504	10810	16052	35492	43704	46280	57422	65609	44870	40355	41620	31081	30818	35215	28058	28535	27237		144744	185645	224298	260550	269897	295399	336605	341955	228725	239677	241253	209751	223843	230163	205282	218758	218633		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
55	"Man-made staple fibres"	11660	23073	21063	27712	24484	30854	31082	22523	22046	25344	22769	28435	27105	30313	29464	29527	30603		399909	381082	421610	528044	502666	528297	609534	598471	430541	462489	562300	500227	537660	578265	481633	479018	492405		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
57	"Carpets and other textile floor coverings"	119	1398	5315	11600	16228	24649	33369	43341	34465	30802	32859	30513	31233	35433	25589	30049	30796		95156	93335	97988	119590	141536	184206	236473	320541	224538	234688	261894	224455	244456	268713	223744	232185	247166		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	3437	5101	7844	9216	11794	12560	22859	21602	16311	15024	17625	17588	17463	30588	29849	32374	39258		193885	203656	220193	264341	316147	371369	513274	683819	583118	594560	665566	610208	758694	900119	821590	909309	937466		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	2205	4731	5550	9214	19130	31932	40355	57008	25619	16311	16337	17281	19003	25047	27835	32886	42630		57561	65342	72459	103144	163993	242075	383689	485004	350721	338856	429534	420828	433730	395658	399588	501100	702935		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
54	"Man-made filaments; strip and the like of man-made textile materials"	9616	16804	21863	27194	29502	45234	53777	52788	42388	41458	51036	43173	46494	49453	45902	46239	49848		502924	503193	572523	724044	695997	769102	886419	870877	644986	695621	751380	616757	697964	744875	635843	675911	745065		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
60	"Knitted or crocheted fabrics"	2733	1945	2481	4046	8689	11218	19150	18864	20606	23292	30946	28715	25483	32973	46530	58380	56001		226051	243215	283106	284448	266016	276610	292339	295133	217464	213496	227956	203404	230945	242358	231575	225931	222996		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
72	"Iron and steel"	2923	3222	3254	4354	3664	15983	58048	26184	11806	8849	17469	6150	11001	44414	52783	32165	57920		1327205	1365604	1936291	3266254	4173725	5446440	8131192	9774657	4996178	6518023	8574358	7487731	7609990	8294437	6708836	6580098	8421191		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
74	"Copper and articles thereof"	109	3492	8510	16938	20427	19517	22027	13528	1780	4237	19491	22729	20759	12504	17924	43713	59804		150163	176655	262676	435104	540638	1118406	1515631	1593488	1061249	1575324	1827200	1755419	1727574	1716566	1441382	1358252	1593157		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
