Product code	Product label	Turkey's exports to Greece-Value in 2001	Turkey's exports to Greece-Value in 2002	Turkey's exports to Greece-Value in 2003	Turkey's exports to Greece-Value in 2004	Turkey's exports to Greece-Value in 2005	Turkey's exports to Greece-Value in 2006	Turkey's exports to Greece-Value in 2007	Turkey's exports to Greece-Value in 2008	Turkey's exports to Greece-Value in 2009	Turkey's exports to Greece-Value in 2010	Turkey's exports to Greece-Value in 2011	Turkey's exports to Greece-Value in 2012	Turkey's exports to Greece-Value in 2013	Turkey's exports to Greece-Value in 2014	Turkey's exports to Greece-Value in 2015	Turkey's exports to Greece-Value in 2016	Turkey's exports to Greece-Value in 2017	Greece's imports from world- 	Greece's imports from world-Value in 2001	Greece's imports from world-Value in 2002	Greece's imports from world-Value in 2003	Greece's imports from world-Value in 2004	Greece's imports from world-Value in 2005	Greece's imports from world-Value in 2006	Greece's imports from world-Value in 2007	Greece's imports from world-Value in 2008	Greece's imports from world-Value in 2009	Greece's imports from world-Value in 2010	Greece's imports from world-Value in 2011	Greece's imports from world-Value in 2012	Greece's imports from world-Value in 2013	Greece's imports from world-Value in 2014	Greece's imports from world-Value in 2015	Greece's imports from world-Value in 2016	Greece's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	113	101	113	1406	1705	2220	8400	10259	14441	9701	8451	3331	3707	3096	2579	2425	1541		98935	108195	137131	152933	158171	187704	262245	303109	248090	203271	175404	164229	141255	146924	112165	121944	116667		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
23	"Residues and waste from the food industries; prepared animal fodder"	173	244	198	8	155	42	101	25	30	0	13	22	285	265	404	906	1252		193045	218026	274862	304624	307801	352913	493339	602984	518875	500737	479971	439187	528641	531281	440634	461912	454117		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
24	"Tobacco and manufactured tobacco substitutes"	2973	2956	10989	5318	7281	12075	9033	24752	13975	6504	4900	1359	2985	1955	2165	1251	1160		220726	270013	316132	359323	368686	389989	446901	502050	580928	427710	365515	300721	310292	313174	334553	357815	338555		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
22	"Beverages, spirits and vinegar"	91	214	103	222	304	472	1384	3363	3265	2048	2277	4623	1618	1138	965	1185	1060		292483	336665	371754	456028	497538	524236	578175	662222	619793	514972	460962	379657	374396	358669	306415	331706	375908		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	122	360	662	514	936	875	1239	1290	1451	1546	2238	2049	4263	4207	1918	1935	1027		19272	10075	14097	12584	18040	18768	22396	24840	19576	15854	15602	12660	14122	19391	10908	11872	13647		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
35	"Albuminoidal substances; modified starches; glues; enzymes"	52	118	160	137	355	348	212	508	233	320	564	543	831	1699	1706	1086	924		53993	54071	67638	83965	92506	87619	118562	121068	91904	89961	97660	87518	102532	109344	87568	86746	99588		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	413	414	1006	898	642	879	1177	1249	705	3296	353	404	401	1105	525	474	607		113080	138988	178556	207681	213417	224126	271087	320948	235517	177859	159348	120805	127382	145256	119859	139378	143329		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	238	15	196	297	1451	1047	849	1106	808	449	418	243	127	226	171	71	594		69934	92881	115338	136828	145969	161411	189285	228119	222499	218297	213788	180302	190531	185296	143374	139963	146435		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
43	"Furskins and artificial fur; manufactures thereof"	359	484	1195	1219	1911	2280	1864	1966	1317	790	889	1600	583	472	103	274	522		176445	135712	265469	226102	252199	307341	289351	389842	165971	209732	294004	352713	401584	301425	146549	109265	192381		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
81	"Other base metals; cermets; articles thereof"	0	0	0	9	6	0	34	36	29	68	3	5	10	70	54	199	515		7116	8080	9077	14323	16328	13411	17946	20713	11457	14081	15328	19057	21430	24087	19709	20427	25182		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
91	"Clocks and watches and parts thereof"	158	194	190	142	91	83	96	96	112	76	89	81	45	384	383	270	498		75474	74815	92682	109550	117315	140533	173753	233744	170473	138990	134987	128295	153819	167593	146160	132362	130237		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	88	290	1462	1360	718	701	972	603	431	545	402	502	422	500	602	762	496		30144	39392	54914	73372	67288	75292	91439	118395	123651	95006	86989	57634	51670	51426	45966	48547	59220		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
18	"Cocoa and cocoa preparations"	68	37	187	770	3631	1451	3307	3108	4826	2384	718	1096	1461	3136	4050	2913	491		76474	109673	152635	166514	169966	191508	215293	259586	255670	250380	224790	188700	192824	218844	181843	192790	184078		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
41	"Raw hides and skins (other than furskins) and leather"	432	864	1124	1256	1019	1188	1216	2215	871	331	374	89	263	405	210	142	462		32832	26754	40453	37691	44336	40109	45781	51025	26979	22135	20586	17002	23087	24681	16276	21420	22044		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	4101	3858	888	167	190	418	3193	413	1295	7985	3129	4293	742	307	3355	424	359		75061	109640	213986	185236	179049	216280	321440	485169	351410	365480	398551	405116	381936	391269	317221	290602	349450		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	52	74	142	572	756	752	1595	1054	351	455	820	297	252	436	379	340	343		39981	34598	43724	43869	40519	46941	40715	38514	21525	14262	12223	6819	6742	6627	4599	5557	5391		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	30	59	117	260	304	285	458	487	458	275	201	118	87	204	209	392	332		13651	12074	19054	23039	18791	17277	16374	16273	10297	7791	6258	3897	5461	6633	5493	5296	5174		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	0	41	90	129	147	105	34	17	2	0	16	624	218	42	4	0	328		455207	512894	655088	738211	766181	800853	1015797	1172178	1030184	1040997	1121410	975157	1092208	1086542	810856	800082	941287		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
93	"Arms and ammunition; parts and accessories thereof"	227	757	933	479	351	331	996	1398	496	152	301	584	327	231	289	401	320		18990	47134	38319	23914	28884	29844	37086	33185	30695	20366	19804	20034	12691	13486	11506	15488	13532		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
78	"Lead and articles thereof"	51	0	3	0	0	0	277	120	305	256	247	199	296	205	282	445	314		4311	4843	6323	7225	8611	10801	41115	24547	25134	27329	49352	40304	45272	55923	48156	54290	75931		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
10	"Cereals"	480	242	9	0	168	560	215	92	0	64	510	1418	1586	1000	730	500	145		217293	307918	339439	372187	330408	403683	664607	650873	362327	415176	592679	434993	474412	391256	363445	399965	451752		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
92	"Musical instruments; parts and accessories of such articles"	255	451	215	284	155	219	255	387	253	180	98	141	119	117	91	133	124		12351	12960	15472	19475	18956	18861	28133	33749	27998	24935	20229	13052	13641	14451	11827	12852	13146		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
50	"Silk"	0	7	0	27	16	29	45	12	22	36	34	33	29	34	22	23	89		6161	6260	9652	17232	16795	14308	15391	16142	12100	6322	4356	2285	2090	2963	2586	2042	1491		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	27	5	26	6	2	25	91	9	15	6	0	1	12	52	64	81		9125	11571	14231	17601	19260	18542	23750	22971	17173	12404	12607	8871	9272	10341	7423	9894	10383		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
65	"Headgear and parts thereof"	91	118	271	477	585	248	157	270	171	288	81	153	39	94	68	73	79		14574	21158	24925	36237	26220	28903	36706	41714	32933	27491	27672	23747	21341	24099	21362	25534	27858		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	2	6	2	0	0	124	1	0	26	81	52	151	487	24	55	70		4829	5073	7645	7693	7773	8770	12425	17054	14336	13818	17444	16468	15494	18090	13589	14581	14076		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
79	"Zinc and articles thereof"	1	15	0	31	18	5	35	50	86	76	20	24	52	57	80	93	64		35494	25060	25367	30370	33257	66437	225381	72903	45688	55239	31043	25923	22640	20659	24626	22504	37872		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
05	"Products of animal origin, not elsewhere specified or included"	25	3	7	1	0	55	79	212	23	25	31	28	234	45	96	30	55		13371	9407	10006	16462	17147	17446	19612	23367	19160	19257	27258	24995	38025	36222	28260	25328	36841		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	4	46	57	98	14	35	38	34	12	3	23	36	76	61	131	40	29		30855	28739	35560	39143	38494	40124	70577	90114	76994	74626	109054	81274	89910	82155	64486	63845	70110		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	17	20	105	423	145	215	304	430	194	141	42	34	2	24	0	12	25		5927	7768	10543	10700	10837	11662	14368	17139	16887	16175	13154	10263	12230	11017	12117	10790	11874		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
37	"Photographic or cinematographic goods"	45	52	50	19	176	87	74	281	179	170	430	100	83	112	28	8	24		61855	411155	98014	104228	93537	92996	104426	112157	87465	73294	69647	50833	47904	47844	37654	39118	37133		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	12	38	44	44	30	37	8	5	19	6	5	4	4	13	29	43	19		6425	7603	9376	11476	11288	12281	13842	14332	10385	10011	8360	6966	7048	7424	6448	6926	7384		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
97	"Works of art, collectors' pieces and antiques"	57	84	0	4	30	68	34	12	9	4	1	0	2	33	0	0	18		110576	5452	8192	11209	8139	11705	23672	35280	16576	231466	37009	9242	8133	7066	4889	4641	5708		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	13	19	16	24	13	12	15	60	25	10	24	21	20	24	8	9	17		1501	1161	1145	2614	1077	715	1621	2798	2283	1802	2087	1608	2361	7246	8027	13110	6608		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
45	"Cork and articles of cork"	0	0	2	2	1	0	5	5	0	3	7	4	3	2	3	3	3		5584	5621	9234	9216	8929	9496	10154	13829	10457	8508	7064	6218	7001	6500	5272	5428	7226		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
75	"Nickel and articles thereof"	2	16	10	15	6	9	68	31	3	16	5	10	17	10	22	21	1		6081	2828	3307	8445	4219	5151	6941	8342	5827	4348	3350	1709	1700	2264	1854	2142	2641		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	325	11	91	421	22	96	42	635	79	0	2	0	0	148	26	1		476012	45012	155099	280331	22736	55156	46899	21670	29578	13158	8854	157964	42597	7365	10685	7501	6931		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
80	"Tin and articles thereof"	2	1	0	2	5	3	0	47	0	41	0	0	0	0	0	0	0		4919	4979	6908	8530	6949	4680	7260	8148	2839	4486	7375	2747	2356	2746	1909	3382	10631		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
01	"Live animals"	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		70653	69467	91297	109339	110397	109125	130084	150196	147044	141581	119180	73105	73857	76036	50368	48038	56700		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	36	6	0	0	10	4	0	0	5	0	0	0	0	0	0	0	0		590440	680348	852027	973457	1116768	1314323	1281170	1614833	1515574	1365397	1475121	1385524	1382844	1356439	1105909	1145435	1261606		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
