Product code	Product label	Turkey's exports to Greece-Value in 2001	Turkey's exports to Greece-Value in 2002	Turkey's exports to Greece-Value in 2003	Turkey's exports to Greece-Value in 2004	Turkey's exports to Greece-Value in 2005	Turkey's exports to Greece-Value in 2006	Turkey's exports to Greece-Value in 2007	Turkey's exports to Greece-Value in 2008	Turkey's exports to Greece-Value in 2009	Turkey's exports to Greece-Value in 2010	Turkey's exports to Greece-Value in 2011	Turkey's exports to Greece-Value in 2012	Turkey's exports to Greece-Value in 2013	Turkey's exports to Greece-Value in 2014	Turkey's exports to Greece-Value in 2015	Turkey's exports to Greece-Value in 2016	Turkey's exports to Greece-Value in 2017	Greece's imports from world- 	Greece's imports from world-Value in 2001	Greece's imports from world-Value in 2002	Greece's imports from world-Value in 2003	Greece's imports from world-Value in 2004	Greece's imports from world-Value in 2005	Greece's imports from world-Value in 2006	Greece's imports from world-Value in 2007	Greece's imports from world-Value in 2008	Greece's imports from world-Value in 2009	Greece's imports from world-Value in 2010	Greece's imports from world-Value in 2011	Greece's imports from world-Value in 2012	Greece's imports from world-Value in 2013	Greece's imports from world-Value in 2014	Greece's imports from world-Value in 2015	Greece's imports from world-Value in 2016	Greece's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
88	"Aircraft, spacecraft, and parts thereof"	0	0	11	16	44	131	27	251	548	351	313	212	299	224	189	8	41502		267355	353470	1166444	1435820	983249	116151	382503	769150	682551	887554	288678	173023	174694	222249	273815	248196	290287		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
76	"Aluminium and articles thereof"	8767	6097	7776	9495	8813	6658	68569	63114	43385	99422	57622	32667	61367	56778	44338	44057	34659		318745	315581	429464	588613	638079	823914	1123758	1001573	558816	835346	989417	803162	838586	907457	824537	829429	1068046		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	6721	13907	21799	38561	64076	67349	105632	92561	69236	42890	36438	24527	24993	32886	27505	32729	34509		430450	451995	722558	849350	957822	1060095	1357468	1630666	1408110	1126311	993191	745605	730611	817191	697041	750461	822155		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	7950	15555	19704	22804	21646	27865	46774	50659	32954	22758	18661	11044	6655	7332	7902	17738	34235		228321	264889	331244	358429	381097	417450	519601	588551	509098	444518	508101	397982	383932	429689	356999	418041	485871		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	6376	13237	26463	37635	40439	45296	62228	70389	52426	46062	36461	20590	18930	23845	21883	27641	28800		320318	373959	514537	800664	798629	873722	1170678	1406602	1017220	810750	632368	405082	392966	464056	405470	461505	483972		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	5991	6380	8998	13114	12721	14025	17965	16103	15909	17287	20553	18719	20610	24685	23213	21707	26300		117624	145099	196544	228467	221328	251987	328291	362155	306746	281752	306562	275604	270437	275792	242778	260119	282600		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	10494	12361	16769	22400	21250	26827	32801	37113	29805	27542	18977	17289	24878	22455	21412	22603	25914		93557	103618	152528	204036	203689	209012	269997	313302	245257	217643	183980	133571	153166	173222	153235	177092	174315		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
52	"Cotton"	28583	17657	24265	30966	29091	42658	44115	41047	28818	27860	44435	26995	24767	26464	21031	22237	25232		148505	155716	182277	192562	168689	181401	198342	192615	129854	113115	121545	78768	87961	90358	69612	75128	83620		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
40	"Rubber and articles thereof"	12251	11027	15082	14131	13560	16179	20663	21328	19054	20801	19566	21250	24403	21582	18713	18510	19353		212959	252864	373818	416621	374243	416325	528290	605794	502174	464251	470263	408124	469274	443776	367382	387670	407637		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	17010	17904	20483	32628	34256	27309	28655	31773	36052	25934	26592	21216	18559	22061	19513	19141	17783		160882	195475	276564	348410	372400	341532	435303	538723	457597	368992	390056	324095	346907	379819	354257	352027	389663		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
69	"Ceramic products"	9091	14368	20230	25818	26361	28823	37939	35619	21951	22391	19004	13831	12899	13505	10855	13866	17213		183019	204736	301803	363712	426986	454917	590989	645574	411309	338609	274462	164453	153072	174127	144349	159710	165866		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	898	1333	1870	4103	3682	3612	3992	4188	2919	2660	1994	1163	1581	3416	3576	3887	15176		84953	72661	148663	193602	190810	217896	745384	326429	230671	203322	167045	119876	128184	135351	107381	127164	129705		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
54	"Man-made filaments; strip and the like of man-made textile materials"	10108	14336	20335	26380	31157	40306	55476	47794	33116	21992	22647	18198	16813	16667	15670	16708	14986		161525	167394	200920	197139	161111	158299	182122	171059	112222	91127	87660	80346	85811	97707	88771	97295	112028		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	3451	4439	3589	3814	4366	7157	6779	10175	6660	11282	17455	10353	8455	11373	11427	7441	14177		109998	109809	132873	139281	151563	187199	275999	264002	177313	172787	194987	165489	174552	190878	173523	150715	182889		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	5166	8265	11866	14757	17715	20591	30545	31802	20702	20582	25152	10569	16394	15346	13800	8803	13764		65981	78497	102240	110983	107849	111497	147338	207490	119303	116900	136375	92110	94756	93902	91566	83266	94804		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
57	"Carpets and other textile floor coverings"	8327	10533	12358	17538	21940	24394	29926	30818	23335	18627	15250	11469	13687	14529	11142	12969	13551		43146	64475	92672	93781	106254	109117	127815	143572	99217	74433	59267	39596	45568	47450	35492	43228	44813		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
74	"Copper and articles thereof"	1710	1282	2724	5008	4797	11825	7064	5200	3347	24002	38191	22430	19494	10626	6337	5792	13357		258261	263722	268343	492407	527436	1024836	1137722	1249577	488898	826638	923448	913555	765647	724626	594327	542687	737622		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
70	"Glass and glassware"	16994	20387	20314	20297	15405	16433	22175	24148	15066	12250	9153	7426	8511	9785	8783	9802	11117		145688	150848	205105	248598	258215	293581	377597	435075	300008	269022	264974	187882	198831	209590	178619	208090	219163		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
64	"Footwear, gaiters and the like; parts of such articles"	3318	4543	9945	16384	15629	15122	17004	16268	11695	8863	8913	6977	6969	10400	9311	10133	9196		250477	285996	436129	491987	536127	597956	740256	952379	836438	698407	627630	484157	505090	588294	517689	549635	570576		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
07	"Edible vegetables and certain roots and tubers"	9063	13375	22182	29164	17992	18543	17945	22371	15487	10276	11540	8225	9239	10979	9544	8572	8995		85376	141579	189378	217593	180218	220331	280171	335564	307032	270629	307972	222380	236719	223518	213909	215552	243001		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
99	"Commodities not elsewhere specified"	3	0	1141	2052	2807	2053	1832	2225	2124	2342	2964	4112	5037	3547	6878	4436	8689		109370	348878	236649	73642	63723	167089	113328	117680	37568	7569	6912	10092	5091	23445	107499	128241	275627		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
21	"Miscellaneous edible preparations"	351	551	1024	2962	6680	9330	11148	11890	11574	11678	8642	6359	8236	8812	5580	5866	7275		143103	162216	237464	267881	277220	306608	365034	476305	464571	447941	493025	447141	478357	501032	400290	414625	396316		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
55	"Man-made staple fibres"	8684	11905	17086	15407	17486	21805	23003	20174	14213	8439	8435	8407	8673	6949	7251	7857	7145		137158	141006	170479	183471	157612	237649	214005	190163	133651	108810	100904	81747	94945	98357	80760	92096	82777		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1590	2498	4169	6791	7739	7515	7515	5901	6316	4108	4328	4228	4413	6191	4905	5711	6935		60435	56579	79587	69950	78183	92123	127190	137849	102145	92619	91478	73217	80595	92546	89073	98298	98425		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	926	1180	1713	1871	1549	1612	2262	3237	5041	4073	3392	4298	5479	5909	5468	6590	6332		186487	208411	311725	347865	349918	376328	414661	511922	439524	402026	396738	356656	339027	333217	277836	265685	290231		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	56	95	331	708	858	3519	4165	5825	5099	5112	2868	2601	3627	3882	4119	5922	6293		317527	471956	524813	595258	652770	661516	804027	968578	843715	709666	682089	579320	598654	614236	541044	574716	601230		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
44	"Wood and articles of wood; wood charcoal"	3191	5498	5503	6630	7072	11846	18449	8561	4541	3091	3059	1916	2426	7436	6334	5486	6284		295229	407724	490638	574809	600469	687238	879582	883162	536495	456669	384497	331778	320372	354423	304421	334978	335287		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
96	"Miscellaneous manufactured articles"	941	894	856	1333	1667	1901	2086	2433	2249	1495	1869	12615	10437	8395	5883	5622	5171		65345	83650	111896	125140	140867	153416	206679	239751	193707	169520	149263	234307	249157	262422	205892	216566	221854		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
95	"Toys, games and sports requisites; parts and accessories thereof"	154	214	378	439	280	919	2008	1271	1358	2628	2706	4052	2982	3909	2542	3191	5089		189126	215451	280695	330604	364032	371882	539260	619394	527208	427014	387660	313594	344239	389410	335183	372888	419204		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	647	327	514	1117	1617	1151	1421	1681	1576	1867	2433	2446	3144	3593	3490	4602	5023		631244	754503	1007436	1308934	1214353	1447761	1725312	2174911	1805979	1358023	1020083	788192	890881	925127	796138	893110	973999		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	3352	5427	8694	10216	13322	12138	15480	16624	13416	9994	5995	4633	3392	4526	4300	4200	4824		51705	58977	82427	105604	115199	128207	187973	220108	157811	134577	112370	80981	78584	86231	69474	75984	80457		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
31	"Fertilisers"	2565	4959	2738	2826	1667	5151	2952	2985	2547	6938	2614	14228	13244	15903	11863	3822	4715		83044	84413	117453	183876	174589	193903	210167	569030	193030	251498	256496	259762	327305	340012	300687	264948	263649		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
38	"Miscellaneous chemical products"	272	434	1187	1527	1796	1759	2242	4145	3856	4308	3400	2093	2881	2577	2687	3772	4311		331041	325268	509226	634703	645707	656399	787189	912130	775291	729628	722310	621206	664163	705451	611364	618843	662722		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	894	873	1213	1389	2007	2367	2561	3131	3635	3335	3774	4273	3406	3372	2938	4198	3600		209113	264198	321209	361242	373008	409131	491929	510531	396662	360412	403646	323127	329674	321838	271567	289405	328367		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
89	"Ships, boats and floating structures"	53	525	17230	28550	4385	32311	14558	49066	22879	18121	15225	9288	7166	6894	12212	1826	3497		1143226	2440576	3675621	2439222	1702582	3401132	3628004	3478684	5323071	4012453	1794441	2526753	1615125	2467052	1780971	2146733	3488237		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	2606	4970	8483	10442	8097	7264	7861	7086	3524	1873	1580	1304	2164	3216	1400	2683	3311		113794	156453	203799	264087	267532	284002	353613	412121	334064	264313	232194	175376	186773	214614	189124	209048	218943		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
83	"Miscellaneous articles of base metal"	1456	1821	2715	3458	3544	4586	6223	7050	12425	5229	4907	4145	4106	3342	2673	2931	3208		119636	137986	179399	233367	239738	269603	330479	406202	295645	254819	231468	186511	192293	206180	170469	182861	203212		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	93	34	17	16	75	44	173	109	82	0	65	1201	2251	1309	1863	3090		45132	45906	51336	61728	56614	49780	58624	80361	71325	96952	96729	88548	104566	92722	78369	67449	74180		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	7764	9831	12237	15719	15100	12582	15632	13755	9751	6217	5528	4279	5224	4722	2615	2633	2866		37196	46249	57421	62672	70486	67710	72387	68835	48674	36054	32480	24150	26719	29291	23330	26905	26009		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
26	"Ores, slag and ash"	5345	5342	3016	377	1140	7587	11556	5248	1286	4360	4572	1011	1452	937	1925	2400	2597		19056	13180	19848	19586	23627	26736	54297	67745	38033	44087	54900	19473	32988	37879	44967	49413	39699		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
30	"Pharmaceutical products"	348	383	1064	1030	654	753	1003	797	471	962	1107	964	1174	1167	1399	1939	2116		1124311	779244	2108579	2691660	3298770	3559307	4411954	5237118	5289349	4586388	4378440	3666617	3548458	3464868	2980910	3026552	3282476		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	1019	687	1321	2475	2481	2952	4150	4848	3620	2217	1912	1600	1451	1353	1514	1944	2030		37961	43042	48142	50638	47370	56935	69700	79450	56533	42628	40324	35059	43289	44021	40463	42484	43430		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
09	"Coffee, tea, maté and spices"	1095	1039	1948	2032	1630	1718	1622	1683	1715	1175	1511	1493	1426	1468	2201	2049	1871		53128	51718	67034	82684	99685	105452	144984	191535	176323	166202	230476	220066	216906	244058	238366	313004	207398		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	341	557	1043	1672	2012	1922	1967	2089	1654	1452	1473	1547	1616	1645	1279	1477	1688		130177	168202	243982	308431	302007	332558	391640	474175	417841	391215	401650	369004	393324	391030	313105	323729	343280		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	758	3243	2722	3822	6801	7966	7384	5657	4562	6944	9015	8128	5076	1804	1563	1534	1644		156145	148778	203016	233731	208414	206214	271496	411469	321877	279706	297243	323452	364719	345488	281783	264816	279765		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
17	"Sugars and sugar confectionery"	3057	2264	1971	2025	2217	1890	2394	1858	697	950	1396	1960	1656	1693	1567	1426	1581		39270	40891	68469	154196	139902	171473	288824	337779	253229	286493	399680	366029	355418	286289	217097	244638	283306		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
