Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	4715	1011	1366	3025	2670	1818	1775	5244	1587	4530	13600	5508	2256	2663	2925	3406	6583		16106	11196	11986	13433	14960	16624	22103	24189	14281	17268	39480	27109	26548	26042	26243	36350	47592		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
96	"Miscellaneous manufactured articles"	488	332	464	675	990	1851	1765	1425	1885	2697	4153	5712	5617	5708	4022	4528	7263		341074	372292	472234	542359	559088	605500	708419	688259	598807	658347	710938	885039	938874	1003856	897839	902415	956358		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	1531	1814	2282	2766	2677	3522	3263	3318	3807	2691	4429	4415	5727	7844	6338	8655	8330		3714758	4133188	4994187	5803243	6304600	7204575	7182012	7568845	6629369	6747831	7054829	6294592	6791018	7647431	7580442	8249496	8406380		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	7179	5253	10433	16118	17032	20637	22015	16729	8703	10698	10334	5709	6923	7567	6944	7696	8438		268890	279688	341165	362917	340375	352127	406326	399482	277877	290767	329572	293637	350237	356393	335596	345884	328289		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	4796	6856	6155	8921	11485	11386	11547	8994	5252	6838	5431	5583	4566	6378	5679	8320	8500		131137	160007	204088	219073	257850	262038	224207	193900	139768	143828	154041	141735	128854	141792	129161	141303	139296		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	8442	11111	18436	25405	34076	37462	45535	33414	15018	15242	14330	10423	8946	9133	7713	7231	9793		375661	378179	469896	593021	656853	846536	1017372	956628	607824	636313	623406	501857	497064	599320	576798	727580	747069		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	28197	17661	20299	20679	18487	17472	23021	40776	38706	23386	20376	14125	11375	12785	16362	15113	10294		615633	665325	852301	1018566	1142717	1287340	1546686	1787595	1386890	1520009	1699109	1535861	1535845	1747114	1727097	1835345	1897575		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
69	"Ceramic products"	11757	8112	10924	14108	17118	18307	21980	22604	14123	13741	13385	10723	9805	10638	7662	8189	11707		427132	475226	569808	689856	780527	860710	1001686	915365	630897	668869	594219	477450	502107	584277	506594	539711	597193		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
41	"Raw hides and skins (other than furskins) and leather"	371	345	405	1007	754	614	1183	1999	1357	3381	1400	1610	1386	6483	6614	10592	12579		820288	742987	799679	695343	622452	661994	782626	737459	486017	586948	818065	724066	877241	948982	821231	673628	629623		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
57	"Carpets and other textile floor coverings"	2923	2864	3502	2822	2028	2437	3150	2847	2852	9864	5365	3887	8865	10912	9162	10630	12770		112377	126935	154275	176068	183626	203866	260931	226169	205281	180998	173994	150892	158840	190862	167231	182665	205498		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
60	"Knitted or crocheted fabrics"	199	699	2101	2805	3441	7238	10349	7693	7025	8238	7514	11061	7592	7685	12349	16959	17001		172988	179031	183225	183068	171451	187473	229489	227346	175173	194224	212410	213242	240018	262901	227234	269930	248528		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
21	"Miscellaneous edible preparations"	4266	6912	3366	553	1852	6733	14434	14379	15485	22678	27006	20641	22141	22485	11715	13471	17122		634939	746385	961920	1145443	1224600	1379735	1652184	1933301	1828125	1821483	1967665	1726630	1630627	1338945	1239749	1292720	1424199		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	82	456	578	1250	1049	1398	2142	1895	1412	2757	2506	6394	14536	5974	9680	9171	17437		638081	727490	798167	983863	1015489	1154748	1626953	1365204	896254	932499	1023526	896477	1008829	1057400	971867	1082390	1175214		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	1022	1660	2685	3070	2346	3551	5904	11564	8046	6395	6831	6803	8916	13029	13576	17424	18629		2900106	3220659	3829062	4459358	4480764	4750655	5570433	5579327	4418747	4466452	4884770	3973393	4078703	4264387	3712055	3696253	3866703		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	2052	3475	3838	4194	4848	6474	7658	10708	11489	16411	16679	18037	18196	23353	22891	20643	19195		303928	350483	417229	462011	458984	505979	540819	576883	394243	377318	416778	375269	400038	433264	402927	420762	448010		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
64	"Footwear, gaiters and the like; parts of such articles"	274	613	1604	2918	4745	4777	5677	4973	2186	2009	2089	2423	3032	4078	6559	12814	19716		714943	870605	1220851	1542571	1854644	2170970	2520341	3046010	2564721	2930982	3242190	2755640	2865213	3338422	3107803	3316708	3524283		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	3759	7450	14980	28132	43916	44115	47147	35267	22808	22911	21482	24881	19020	19831	18709	22028	23350		1000168	898683	1100361	1369600	1345341	1488881	1693813	1316081	897849	1146202	2143255	2196318	1760922	1605010	1571181	1850083	1900241		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
74	"Copper and articles thereof"	3201	3246	3387	7647	8869	24675	28511	38861	11972	17136	29622	13155	11810	11243	11855	18399	26951		839009	725188	795830	1370969	1516954	2603625	2786125	2701410	1348624	1848378	2392145	1726173	1736940	1605390	1450163	1421665	1859459		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
83	"Miscellaneous articles of base metal"	1102	2272	3261	4093	4759	5067	5289	11015	7371	8069	13396	15894	19421	29602	26991	28189	30412		752254	787137	982397	1209268	1308348	1436498	1762282	1703547	1558425	1414741	1533125	1266357	1320349	1466649	1402047	1453414	1634019		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
54	"Man-made filaments; strip and the like of man-made textile materials"	18361	24462	30960	40132	37432	42457	45239	39673	26938	30490	37735	39065	46355	49760	35816	40611	35115		793526	796446	865779	870911	769985	778249	837506	771631	531976	592884	731652	680557	756864	860414	728148	743717	832112		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	3757	5713	23786	22658	22767	28247	39101	37656	21760	18778	27729	15501	22460	38537	33952	28053	35408		3666367	3765064	4611262	4941223	5242575	5846097	6407859	6401189	5175851	5679836	6273345	5287144	5336342	5903509	5516530	6243699	6831147		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	21250	21430	25933	38032	50002	31571	39108	39889	32833	48719	43534	48614	54481	54854	39909	39816	38720		827085	872138	1196338	1534530	1627491	1638178	1981196	2295196	1886127	1968336	2103163	2023385	2402521	2714310	2780916	2975694	3125593		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
70	"Glass and glassware"	16975	18790	19265	23761	22779	24293	25363	34973	25675	29287	32963	30714	32088	37718	39543	38651	44088		792330	899176	1200111	1393644	1491663	1538370	2033493	2093846	1551326	1589051	1697603	1386034	1435807	1615605	1575060	1683100	1824557		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	3238	4448	9449	11921	13858	18562	23918	21520	10014	12912	16263	12997	23275	26400	26516	37903	45216		1373792	1578482	2253597	3018357	3473062	3826734	5305650	5301387	3658554	4123975	3955750	3153377	3282573	3862414	4068345	4178885	4422244		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
26	"Ores, slag and ash"	154	385	7791	9201	9896	33053	58890	31040	13939	11082	16797	16645	11226	41973	29884	17352	45461		1148238	1158911	1366057	1520827	2471728	4154117	4748926	4532131	3112608	4444145	6120669	5193827	5227295	5357568	4141728	3902892	5423437		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	8204	5686	7033	13056	16601	16769	17006	21705	20115	24180	26255	24978	30925	45789	49976	48786	47261		439241	508911	606309	721910	771735	864919	1098458	1248322	1054558	1031835	1213430	1097997	1211543	1295755	1210157	1314170	1401499		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	21635	30278	44588	57828	65988	74182	89281	78214	54649	47247	50143	39261	44847	43146	39084	45264	52350		359305	415617	596330	726360	850728	945132	1168489	1182788	1014542	1096624	1225345	983074	1068316	1257691	1350574	1350955	1395179		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
29	"Organic chemicals"	22365	21915	36138	61821	43307	41447	81700	72968	43131	60631	60924	86551	80115	31902	34149	19908	65049		4207274	4932397	6208178	7232308	8107833	8848862	9896111	10659696	8351086	9016788	10091301	9852779	10687160	10874581	9326660	8948961	9798035		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	26595	289	30135	8994	68678	10847	5708	22	2486	2297	921	5305	61565	846	425	9673	70043		320413	365606	534325	735499	925328	1107239	1158565	1799020	1462118	1647438	1991166	1847876	2243986	2278938	2490831	2546150	3327332		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	13710	15394	21189	24786	22651	22312	29386	35111	28884	53073	63418	68187	71323	79443	84084	83587	71137		929002	906076	1115848	1419705	1543693	1722208	1977789	2694121	1985491	2382484	2776254	2717409	2650159	2556979	2260852	1947511	2184093		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
73	"Articles of iron or steel"	18044	22125	39922	73976	85491	104927	185719	202019	86251	69969	62984	47749	53536	73374	70428	60097	74056		2046432	2316460	2925787	3659448	4303756	5130073	6433825	7211125	4520385	4070941	4532234	3870011	3832288	4223855	3962341	4092124	4452083		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
76	"Aluminium and articles thereof"	6072	20994	13309	25676	28450	43683	60902	47787	21400	45706	68608	55212	50783	61041	80438	69928	77948		1429544	1514336	1870879	2273662	2394625	3265834	4208427	3666131	2146316	2609823	3037097	2541621	2725470	2958062	2874416	2969321	3493761		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
55	"Man-made staple fibres"	23929	27369	29329	38885	43627	49661	54653	39529	29816	42758	53524	50654	56263	77886	76362	86827	86926		567840	549612	626197	665239	638931	691021	789332	716196	514241	594030	656792	540108	720373	810413	707794	716276	779455		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
52	"Cotton"	37235	26595	33637	41740	39791	48033	52744	44411	38709	44004	63300	76994	80708	77734	86808	99400	90458		592569	618564	702901	789728	689902	700275	767630	677904	509107	620778	680166	534289	545904	567367	472100	521819	527233		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
40	"Rubber and articles thereof"	21544	20944	37557	47354	46065	60383	82729	81353	87702	101240	112331	93470	109520	107204	93065	87063	93038		1863656	2015060	2634273	3069333	2931965	3661819	4414575	4572248	3412171	4040614	5528833	4607433	4540527	4416088	3867634	3767750	4193244		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	87931	106137	93250	81264	102359	81265	95965	84069	70910	52639	65570	50129	58189	63346	56235	67949	95390		772186	802943	923160	1099974	1341732	1514066	1910348	1678015	683597	731452	692859	567447	580684	631032	593791	642205	768906		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
39	"Plastics and articles thereof"	11418	10528	13169	18826	24929	46992	56791	59294	48492	59027	73798	79966	88260	114024	124213	126500	142633		4824805	5536948	6881534	8437941	9281060	10588954	12186851	12325420	9174047	10014951	10872449	9532619	10455996	11384393	10616251	10595387	11829240		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	94946	122968	192625	271521	281360	376554	318603	314265	301709	314762	170153	219401	205797	184293	155958	160817	179956		14175689	14243564	17836154	22694568	23919238	28206626	36075277	41503239	25299697	27079079	27190811	21710707	22453965	24379975	24078261	24569653	25819315		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	20953	8649	25131	22492	70531	117269	78125	117863	11595	10254	28826	101068	302142	246995	184267	51033	211389		17348443	17956656	21678450	29032749	40674204	51803585	58400081	81329148	47359063	58231989	77663165	79663200	75914226	73506924	42833721	32739707	45536424		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	60672	68477	116381	176868	181754	239307	276905	276828	235972	244334	287450	271059	290443	352843	356858	407998	421935		19750212	20122027	25337210	31110484	33554760	36343543	43318440	41794629	27756278	28627595	29597551	25515542	26933375	29697800	29119391	30556932	33357387		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
72	"Iron and steel"	118009	132398	195372	372309	340889	489107	523955	229054	73893	161622	178795	83810	136944	154661	140077	197693	435249		4562581	4867191	7130776	10154531	10466234	13208260	16847999	16869625	7425246	10473110	12533890	9967819	9694724	10113203	8254638	7326098	9548893		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	39841	54383	115274	174850	224230	329086	451193	464557	455805	564362	710147	732382	753465	765877	753138	771761	866097		1797863	2045584	2767674	3581222	4037477	4787721	5831984	6774369	6366341	6193759	7472296	6174052	6517019	7412655	6966551	7541311	7870832		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	29720	59255	109795	196979	251970	305735	409290	426173	444952	510666	585783	641588	698763	822661	874317	919449	1166481		2107579	2593246	3378971	4109830	4938883	5778173	6973483	8056059	6252272	7108831	8101047	7073830	7787737	8915084	9416826	9316225	10004276		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	70354	103472	283234	418567	608683	733801	1117960	862634	354811	676133	734274	542984	628590	818851	942436	1167328	1451284		24674448	26346382	34516736	44005090	45327979	48672511	59159616	48242259	29794537	30575037	35992168	28248480	32376149	39479378	38809695	40922060	43973077		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
