Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	1	4	0	0	1	0	1	0	9	0	1	1	0	0	9		33913	37920	56312	64380	68633	64420	76923	69024	55147	61412	56700	48131	39579	46458	48038	49667	51987		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	0	0	178	83	37	75	3	17	11	35	49	3	2	4	4	10		38879	38010	53338	65485	68837	68104	87845	99414	84057	108791	105924	75463	77994	96720	94301	89597	82836		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
02	"Meat and edible meat offal"	21	0	0	1	0	0	0	0	0	137	0	0	0	0	2	13	19		608669	697609	895172	1038579	1173202	1352184	1703516	1611503	1390168	1433303	1578465	1434669	1508995	1511227	1338476	1437113	1609844		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
05	"Products of animal origin, not elsewhere specified or included"	34	0	0	44	52	242	585	534	1224	858	1996	2939	1989	2112	548	491	30		70467	80746	97587	121998	132678	134468	151022	189517	170888	204632	246073	228455	248401	258669	209049	211776	228973		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
80	"Tin and articles thereof"	0	0	0	0	0	0	0	1	0	0	0	0	0	222	488	213	113		37001	35953	45283	75900	62428	71513	109989	152511	90223	154005	230420	134081	140471	162549	131022	118246	140001		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
92	"Musical instruments; parts and accessories of such articles"	59	94	83	69	98	214	250	223	127	150	159	108	130	126	153	84	118		59127	64366	78314	89842	102419	112556	140149	140009	145401	143157	139246	121574	110074	129687	119348	130167	134657		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
24	"Tobacco and manufactured tobacco substitutes"	7186	7496	6191	11069	10950	11085	6877	3870	5675	496	572	3322	195	455	1506	354	128		1058459	1147524	1503966	1942119	2130330	1546142	1870635	2151388	1982857	1921761	1767459	1681689	1833596	1802163	1404233	1632677	1826322		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	25	279	0	311	2	69	20	1617	176	518	266	142	1760	654	2792	199		100472	127119	398333	360053	387996	359897	649449	880396	700475	453314	318216	271550	311867	318895	259266	297569	277054		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
81	"Other base metals; cermets; articles thereof"	0	0	0	9	39	0	101	29	3	2	31	22	76	243	203	579	224		66398	59022	72396	101803	120066	158713	177835	179260	129325	158530	191081	172982	191080	182434	191725	191918	227073		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
10	"Cereals"	1937	13822	8313	1075	3062	3996	653	1955	3211	1520	1861	2969	33995	1814	1886	1885	236		1039400	1519468	1451779	1683090	2399699	2068649	3100207	3792729	2834727	2397595	3406809	3824202	3066041	3134697	3019418	2911992	3138056		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
22	"Beverages, spirits and vinegar"	0	2	0	41	42	70	171	785	143	79	210	215	141	169	158	105	260		1248721	1269366	1656005	2004531	1932930	2122906	2540304	2684385	2200119	2269462	2527209	2293751	2375925	2269017	2032426	2086532	2118366		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
