Product code	Product label	Turkey's exports to Germany-Value in 2001	Turkey's exports to Germany-Value in 2002	Turkey's exports to Germany-Value in 2003	Turkey's exports to Germany-Value in 2004	Turkey's exports to Germany-Value in 2005	Turkey's exports to Germany-Value in 2006	Turkey's exports to Germany-Value in 2007	Turkey's exports to Germany-Value in 2008	Turkey's exports to Germany-Value in 2009	Turkey's exports to Germany-Value in 2010	Turkey's exports to Germany-Value in 2011	Turkey's exports to Germany-Value in 2012	Turkey's exports to Germany-Value in 2013	Turkey's exports to Germany-Value in 2014	Turkey's exports to Germany-Value in 2015	Turkey's exports to Germany-Value in 2016	Turkey's exports to Germany-Value in 2017	Germany's imports from world- 	Germany's imports from world-Value in 2001	Germany's imports from world-Value in 2002	Germany's imports from world-Value in 2003	Germany's imports from world-Value in 2004	Germany's imports from world-Value in 2005	Germany's imports from world-Value in 2006	Germany's imports from world-Value in 2007	Germany's imports from world-Value in 2008	Germany's imports from world-Value in 2009	Germany's imports from world-Value in 2010	Germany's imports from world-Value in 2011	Germany's imports from world-Value in 2012	Germany's imports from world-Value in 2013	Germany's imports from world-Value in 2014	Germany's imports from world-Value in 2015	Germany's imports from world-Value in 2016	Germany's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
41	"Raw hides and skins (other than furskins) and leather"	2677	1773	2482	3881	3778	3772	5464	4759	4317	5165	5712	5704	6623	10041	8219	11081	19277		791346	802896	818462	771198	885841	989586	1046123	1027747	927774	1118101	1325193	1100588	1208793	1290625	947643	895080	904000		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	21259	20791	23878	27456	26415	23270	23628	25503	27404	30689	31779	30383	28096	30265	23385	22299	21168		245046	248557	302794	304029	341545	373692	377813	384053	441898	455675	490693	410600	367724	358389	296457	306656	312871		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
09	"Coffee, tea, maté and spices"	9018	10050	11088	11676	10044	10676	14156	12703	10767	10294	10787	11243	13991	17294	15597	21273	22006		1359208	1278135	1437288	1690807	2256998	2724529	3189540	3845615	3409217	4190130	6010379	5408857	4473615	4895590	4304447	4375535	4498752		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	9590	5654	7540	5990	5161	8964	11599	14295	11796	11837	18980	18143	21817	20785	12179	17017	26152		1769124	1805415	2245553	2362367	2226782	2311872	3092285	4858708	4301843	3988664	5426851	6308584	6691124	6111503	5341325	5491721	5897029		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
17	"Sugars and sugar confectionery"	5914	6568	9424	15832	15572	15607	17080	17722	19490	20501	25347	27431	29049	29903	26665	27459	29925		742403	815133	1075316	1291646	1401928	1415299	1579747	1945123	1775085	1624884	1944893	2081961	2191101	2126257	1804398	1761776	1840303		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	31818	30437	34686	41686	52396	50678	54183	66403	50021	47675	56449	42914	39851	38532	32515	32530	31865		741167	775000	937847	1056494	1201967	1312730	1483293	1617007	1479067	1303911	1561439	1438095	1435574	1379977	1208363	1244692	1319018		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	5439	10698	10483	12190	13872	16410	22460	29464	24695	27431	41558	31324	33044	30505	27371	32566	32425		1229751	1227931	1280949	1494938	1749259	1823492	2081541	2332762	2038863	2447361	2784521	2359799	2343958	2380781	1970309	2019139	2098195		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	2220	5200	11606	11935	12753	15464	18001	19783	29688	23235	28623	26718	30636	27517	24282	24310	33370		1346981	1567596	1875575	2086595	2495346	2699205	3029873	3468655	3359688	3697327	4236217	4037684	4318177	4491070	4050342	4175556	4489330		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
21	"Miscellaneous edible preparations"	3507	4625	6198	8071	8502	10608	18111	21704	29221	29971	40090	38244	39867	39659	32016	31536	33686		1391066	1484399	1810249	2126635	2370366	2557490	2872196	3410715	3679464	3452634	3047252	3153939	3407461	3660372	3227160	3444912	3774650		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	6162	5334	5875	9935	11267	11982	15003	18939	17231	19573	25198	30113	25896	35207	28789	29702	34396		1639624	1629550	1738421	1854055	2052713	2326353	2545286	2764735	2696049	3053657	3551256	3287504	3308596	3576531	3261293	3400761	3680259		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	4045	3743	5512	11212	9230	13957	14279	13333	11120	12245	16374	17721	21705	25850	28271	33104	34975		666413	727138	823803	943385	1145721	1251377	1291632	1408611	1349170	1442407	1640332	1472688	1523207	1627928	1452190	1479658	1606847		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1844	2525	4706	4681	5168	8117	10051	13026	11940	13989	20056	18425	20814	31064	27216	29017	37766		2507347	2691282	3055742	3479233	4151180	4351678	4934778	5516533	5260067	5739525	6200105	6244146	7104746	7266717	7047991	7233821	8092190		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	59	62	116	95	471	329	64940	118591	89270	76571	142261	185459	153066	143895	77014	43020	37969		42665629	41285224	51974441	65990880	89553862	111333688	111712186	163737555	108602270	125541047	168940443	167318271	169125081	151051679	99745814	78445093	96075603		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	18185	8458	7848	12118	11967	14574	25689	26627	22803	22542	32150	35885	38727	44144	40207	40891	41526		9413850	9878298	11390449	12255593	12766473	13803502	15319579	16311701	14920617	15625821	16824094	14688652	14885306	15658743	13339149	13399314	14039086		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
22	"Beverages, spirits and vinegar"	12530	14703	16356	21117	22836	21660	23281	24263	26347	23135	26583	26626	30929	36634	36847	37903	42230		3450814	3845447	3910647	4199710	4855012	5362605	5961374	6856379	7303559	7482885	8733752	8450381	8811414	8434900	7240680	7551938	8009593		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	101666	95663	82521	75417	74374	77423	83728	77308	58709	58024	59637	55517	60497	60713	48925	44949	43501		1836966	1731950	1925717	2082233	2294268	2489176	2885291	3219285	3083516	3435322	4143760	3837265	4176645	4589346	4383045	4429514	4634177		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
64	"Footwear, gaiters and the like; parts of such articles"	5913	7461	14847	22025	23393	18851	15786	17661	13948	17665	20232	19793	26972	39820	36229	43965	46987		4184156	4262741	4680651	5020416	5564553	5962208	6377277	7005895	7047779	7924349	9492185	9102978	9984984	11212804	10736089	11230263	12462444		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
60	"Knitted or crocheted fabrics"	7380	5555	7221	7879	7846	11534	15037	17058	16796	19839	24617	26516	33473	39760	39806	44372	51027		403486	409062	462172	457862	461461	497053	542557	499676	549170	595894	661988	598742	551144	571485	505771	508034	533635		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
83	"Miscellaneous articles of base metal"	12989	10753	14022	20686	27432	30446	44838	60329	46113	43917	60791	54661	54648	51133	45893	48503	55401		1848690	2064925	2391386	2766936	3366193	3808655	4346100	4735957	4322490	4835831	5350747	4871221	4981631	5324774	4770030	4969924	5284342		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	8320	12602	19008	23518	23149	24263	34318	48113	46993	46231	45388	41558	47573	50376	48322	55466	56272		1403968	1621317	1847595	2103411	2387193	2474574	2676350	3231896	3304316	3257133	3625527	3505627	4081753	4349724	4190173	4411794	4772342		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
55	"Man-made staple fibres"	39579	37364	47539	56888	53262	60619	55707	51094	41762	47469	56902	59526	70896	69050	52648	51402	58786		1290662	1199143	1297408	1464794	1510032	1546446	1766485	1825235	1708560	1964449	2333046	1979963	2012112	2065778	1702923	1673175	1722824		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	1045	1394	1236	1416	4377	8718	14552	28549	31637	36369	61335	64654	76506	74238	67634	86180	66018		1852969	1754948	1844609	1969168	2453000	2854778	3061678	3201751	3677006	3757604	4354643	4006240	4376181	4816353	4179815	4546315	4706449		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	8089	7212	11161	13460	14674	18702	23290	29039	19517	36076	45020	36257	42493	53423	46100	42016	67023		2275571	2264822	2610656	2948985	3291814	3678768	4352287	5243206	4158528	4703948	5781649	5352577	5292870	5776622	5214188	5257197	5768997		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
54	"Man-made filaments; strip and the like of man-made textile materials"	54121	53681	66026	63544	62758	81561	86547	85123	66756	70725	83944	70580	83231	79988	70132	63274	70217		1514197	1449186	1496724	1570879	1653951	1771069	1957951	1966490	1710742	1965199	2085036	1795143	1804290	1913730	1680097	1643461	1742909		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	7268	6812	13112	17568	23308	30506	40716	46961	30306	39610	47330	52303	57843	69131	62087	64621	71295		15101169	14977355	16992604	20029409	21931122	26338926	26940463	29649693	27979429	30915319	36650500	35057023	36668135	38825509	36742275	38236384	40589768		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
07	"Edible vegetables and certain roots and tubers"	37637	40974	49920	56780	68538	70879	91350	91196	96878	106419	87638	81277	83472	75299	69716	80687	87269		3169106	3333367	3683585	3806520	4366814	4861190	5180636	5584468	5927903	6619790	6445814	6162137	6918686	6697796	6164878	6487245	6901830		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
70	"Glass and glassware"	44453	49452	61653	74483	68216	54277	69538	100610	72274	88348	96553	98250	103519	115313	89760	84898	90955		2545887	2635891	2858940	3220301	3668405	4048255	4634814	5225533	4662327	5198539	5845345	5226363	5612721	6084786	5557382	5908556	6288317		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
57	"Carpets and other textile floor coverings"	44260	30000	31720	29209	26776	27956	34885	60245	69671	81776	101052	99131	108423	129219	117366	113831	115065		1154565	1054068	1090477	1186231	1218808	1246436	1254826	1267074	1456101	1452381	1562040	1281041	1321341	1332665	1171000	1216667	1245417		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
52	"Cotton"	50126	50629	63703	67441	75591	84450	106570	97459	93937	122432	163563	134674	140542	141432	117279	114647	129886		1340128	1227624	1280961	1321907	1249049	1264041	1329943	1248408	1201151	1314810	1720150	1295229	1288774	1253336	1005329	965503	1031894		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
69	"Ceramic products"	59042	55968	69122	77199	77114	75493	97191	104879	96107	113295	129140	112774	108032	119674	113444	136075	133774		1753388	1646558	1858052	1956341	2027892	2204911	2381953	2612755	2584040	2814389	3150134	2908211	2923465	3177708	2909167	3044541	3161349		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
74	"Copper and articles thereof"	2989	4141	8444	16798	15506	29071	42162	44971	33768	97378	120709	101392	116518	124566	102930	97766	146167		2932387	2668940	2996684	4557493	6089865	12705381	13856969	13452106	8123705	12548728	15570805	13515043	13404877	12269114	9792605	9112313	10931402		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
72	"Iron and steel"	8289	16022	16285	31839	44492	94758	179263	194246	68975	99174	174527	121761	97241	124220	92240	129491	182500		9422220	9358040	11368414	17141723	21869048	26864492	35429039	40624938	21446815	29386724	38189090	31125531	29737591	30441451	24985970	23042657	28960114		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	57505	71942	110422	133151	138457	127719	154823	179308	135186	148402	184209	168642	157704	166094	183367	205003	198797		8291766	8517182	10149970	10860906	12062649	12917532	13710198	15082178	15613344	17169979	18988045	17934645	18897341	21275922	19328642	20359419	20889594		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
88	"Aircraft, spacecraft, and parts thereof"	3901	3670	94468	13448	19735	14280	14017	15593	8878	6589	11934	18724	31787	42210	99622	168585	217065		14008861	12239372	13096000	16605720	19568218	25564282	20054084	23623531	25966738	26236342	25836454	24154928	27056709	28635664	25368662	19888324	17376443		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	24203	31926	45017	50917	52817	66587	88214	88960	81471	103363	123788	132411	244327	170593	156911	194797	247578		4428136	3989268	4088101	4766517	6866257	9415237	11635129	14326827	11853002	16316930	21620550	18935970	18936246	16286678	14758490	15364036	16880526		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
76	"Aluminium and articles thereof"	60526	64727	87212	105669	139944	202184	275836	319484	241466	347934	448075	410930	409195	439752	390937	388778	411337		7098498	7374331	8401709	9331775	10238956	14410035	16700286	16708481	11781297	15916648	19387997	16775286	17123465	18210897	16834704	16737777	18677376		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
39	"Plastics and articles thereof"	42093	41830	55212	75819	102474	130101	170641	230130	211016	273447	321040	306498	352576	383527	360462	384728	411536		14561202	14892439	17091452	20664522	24445125	28714837	32426481	35743828	31158766	37219600	43487781	40452218	42755249	44777671	39359134	40303634	44467654		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	269718	226807	254628	343080	332584	331972	361044	361020	357592	405842	455977	405871	448266	478034	458675	420476	435222		4290187	4520389	5337653	5751514	6348734	6836458	7494336	8404973	8219353	8264650	9077157	8774484	10119399	10142641	10046663	10221714	11071097		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	288387	303968	436782	476445	499820	443655	451518	492632	457394	539668	664334	492861	557420	549564	471912	449971	446586		1657718	1724094	2170692	2419117	2561487	2732925	2977498	3277557	3495244	3887415	4725050	4054432	4121336	4513265	4052172	4161863	4365362		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	154429	145218	193440	280022	385915	320224	377672	403337	318984	388903	451005	453248	460596	555420	686783	490229	492156		2505292	2740854	3247163	3604560	3946757	4299373	4677986	5226360	4944573	4835389	5707473	5466534	5480877	5632594	5176195	5100277	5551976		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
40	"Rubber and articles thereof"	92834	98677	124486	157298	193308	242035	313518	353001	287968	370853	541292	472997	478583	514046	421498	424959	518158		5260873	5647683	6818490	7901886	9243090	10584897	12609920	13547833	11429685	14753552	19884209	17267759	17539603	17286796	14525630	14904593	16131316		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
73	"Articles of iron or steel"	89078	91456	146470	221842	243436	264675	359533	499578	310190	376983	580311	487741	483264	553064	498390	491031	603707		7590049	7704750	9041488	10857412	12785598	15235104	18505147	21926011	17981909	19787805	24330151	21882311	22534970	23746222	20617386	21140140	23371495		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	841318	949019	1030477	1084151	1072370	932026	1005561	992104	800797	844238	903559	878172	895066	937030	798482	796846	834357		10446063	10454465	11509663	12506342	13022316	13940559	15087177	16195104	16172690	16697380	19707265	17314609	18074826	19079637	17205291	17666557	18507208		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	406705	534157	631606	759251	895451	819368	825248	864120	673321	719320	904523	1044488	880808	994718	897936	877945	928669		60680959	58837218	68113044	84300861	93083095	106220272	112507137	117987013	104052749	126595868	140078504	127069403	128310209	135490590	125844869	132062708	147301306		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	1369520	1469338	1933059	2008895	1999185	2004997	2266581	2233097	1968248	2160592	2312405	2029522	2220065	2384458	1886562	1891189	1920579		7747889	8016808	9447100	10311482	10784112	11805995	12914407	14309894	14793140	15995251	18531970	16213093	17638158	19009810	17133079	17591968	18983749		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	330550	453288	611703	769471	878286	1059330	1510772	1593735	1100663	1287670	1971863	2024614	2162231	2352478	2084112	2144219	2306390		71293604	71944067	82242243	94238777	107013863	122440391	132890771	143931923	116572275	132341780	153719587	141720624	143401532	150862633	134284370	136801659	150300112		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	520799	467928	689173	1071546	1069115	1261316	1861179	2140636	1157772	1589502	1775900	1689686	1721770	2141546	2012279	2604987	2915781		41901913	46924494	57428778	65117619	68304982	77850350	87378808	92280039	76280524	79294253	98303563	93134274	96717933	104945392	100291473	111293488	124572627		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
