Product code	Product label	Turkey's exports to Iran, Islamic Republic of-Value in 2001	Turkey's exports to Iran, Islamic Republic of-Value in 2002	Turkey's exports to Iran, Islamic Republic of-Value in 2003	Turkey's exports to Iran, Islamic Republic of-Value in 2004	Turkey's exports to Iran, Islamic Republic of-Value in 2005	Turkey's exports to Iran, Islamic Republic of-Value in 2006	Turkey's exports to Iran, Islamic Republic of-Value in 2007	Turkey's exports to Iran, Islamic Republic of-Value in 2008	Turkey's exports to Iran, Islamic Republic of-Value in 2009	Turkey's exports to Iran, Islamic Republic of-Value in 2010	Turkey's exports to Iran, Islamic Republic of-Value in 2011	Turkey's exports to Iran, Islamic Republic of-Value in 2012	Turkey's exports to Iran, Islamic Republic of-Value in 2013	Turkey's exports to Iran, Islamic Republic of-Value in 2014	Turkey's exports to Iran, Islamic Republic of-Value in 2015	Turkey's exports to Iran, Islamic Republic of-Value in 2016	Turkey's exports to Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's imports from world- 	Iran, Islamic Republic of's imports from world-Value in 2001	Iran, Islamic Republic of's imports from world-Value in 2002	Iran, Islamic Republic of's imports from world-Value in 2003	Iran, Islamic Republic of's imports from world-Value in 2004	Iran, Islamic Republic of's imports from world-Value in 2005	Iran, Islamic Republic of's imports from world-Value in 2006	Iran, Islamic Republic of's imports from world-Value in 2007	Iran, Islamic Republic of's imports from world-Value in 2008	Iran, Islamic Republic of's imports from world-Value in 2009	Iran, Islamic Republic of's imports from world-Value in 2010	Iran, Islamic Republic of's imports from world-Value in 2011	Iran, Islamic Republic of's imports from world-Value in 2012	Iran, Islamic Republic of's imports from world-Value in 2013	Iran, Islamic Republic of's imports from world-Value in 2014	Iran, Islamic Republic of's imports from world-Value in 2015	Iran, Islamic Republic of's imports from world-Value in 2016	Iran, Islamic Republic of's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	13	4	159	21	7	8	35	241	4407	407	2	63	27	75	113	554	1324		17944	84235	133438	205260	320429	143539	167460	493096	274410	383360	751666	202673	242667	445328		288581	323001		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
91	"Clocks and watches and parts thereof"	18	5	33	91	106	20	42	57	69	233	544	836	1760	2963	2151	1934	1336		9483	12003	27691	66301	89075	15656	77453	54460	59521	72741	84797	52152	57804	57423		51587	91099		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	209	5	15	22	33	215	698	420	241	885	43398	2003	1043	1379	1344	1541	1419		42463	52716	71888	88974	130636	61493	173593	291691	247614	352340	355360	396082	368798	278919		254485	135618		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
75	"Nickel and articles thereof"	0	0	0	0	0	47	6521	5424	1474	4857	1757	3409	2480	3115	1519	765	1768		15223	16710	10183	16790	25305	3967	46108	37802	15973	31753	57268	39903	44174	38329		37840	19659		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	0	23	5	249	238	81	67	366	1507	1049	694	344	1022	1696	702	1582	1871		139819	111057	264082	348802	303045	80476	580461	598879	718849	625706	466658	254241	449292	565212		1396633	1118426		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	91	16	22	49	106	113	177	864	1539	762	1032	1071	582	4435	8377	5271	2366		148	216	1903	4247	7867	4353	15345	19426	23414	24860	29008	13308	2139	5663		11067	116323		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
95	"Toys, games and sports requisites; parts and accessories thereof"	3	102	479	539	914	585	1089	1345	1391	3110	2631	3928	2801	3482	2984	4014	2806		4859	5499	15906	23409	37809	21983	75632	81827	91461	136990	114937	67207	51222	74632		113531	296895		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	697	54	135	318	890	985	2664	7993	5009	2739	3975	2759	2059	3467	3450	3245	2851		30602	25679	30453	38639	34300	18372	42552	27666	21570	33775	38984	39652	43602	41284		27649	28561		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	89	152	8685	39092	51480	24817	3026	154236	3543	177564	8671	16354	11394	8098	2987	3168	3016		561871	545345	1468983	2555888	3750012	1626063	4378505	4628320	5731264	1351593	1007643	566203	671875	602145		186312	814439		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
07	"Edible vegetables and certain roots and tubers"	89	26	216	42	7	66	9957	10071	1146	2079	3232	5593	1154	1713	1755	1551	3021		6235	2034	3576	5208	5670	19325	81188	90427	98245	108637	126159	105841	222266	105729		239951	123234		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
79	"Zinc and articles thereof"	0	0	1	51	4	17	8	30	53	43	157	91	66	82	30	151	3223		13825	7100	8913	15609	16157	6093	31551	27674	11855	19392	12075	4891	11632	11844		8099	5699		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
10	"Cereals"	0	0	5	0	0	148	1052	1464	156	922	1584	2978	4099	2672	3631	2962	3328		1445086	902313	877912	807265	960497	280838	1188254	4413954	3496364	2258275	2980451	6363226	5550538	6216614		2788165	2542128		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	72	193	201	551	1776	1336	1511	1005	5233	4683	3028	2398	1395	13779	10445	4212	3490		290	638	5159	10649	15246	6804	21019	37079	48450	69953	87144	45907	44004	59517		83007	128676		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
93	"Arms and ammunition; parts and accessories thereof"	0	0	3	0	40	21	31	42	1708	6073	4875	3824	4306	3684	3847	3374	3544		0	102095	2116	156803	0	0	0	0	0	0	0	0	0	0		0	6029		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
31	"Fertilisers"	0	5565	0	31	0	7201	168	98	12845	743	1085	1160	1680	2044	4764	13251	4054		164200	125496	183599	371487	378019	59451	561474	1046355	406553	526965	391901	90526	344166	371221		156171	215753		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
22	"Beverages, spirits and vinegar"	6	0	70	1295	932	924	1324	803	329	104	226	355	123	441	2028	4948	4449		199	19	480	3464	5659	1736	32942	35651	27463	36095	51618	26108	1875	2430		7717	27298		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	2760	1137	1344	5080	2914	8100	3272	8813	2864	2522	2582	4007	4032	3186	3617	4009	5195		64953	60665	83268	85943	119142	51512	132116	117567	106758	120490	127897	92052	101919	75875		67591	90830		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	345	792	1331	1530	1839	2023	3694	3885	4237	7802	18739	6206	6134	17352	33937	10833	6881		73698	92170	107087	152528	157770	47464	144397	167756	128452	136894	145617	104842	85786	117429		173972	313728		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	26680	25050	29351	16833	11340	13708	11731	11404	9856	11054	15033	8146	9131	7813	7157	9000	7951		105996	101682	105500	91890	76852	23789	88170	86712	89257	97096	111338	96315	128672	161756		216998	172052		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
74	"Copper and articles thereof"	4764	5616	1900	1365	1982	1204	1457	2394	4438	10596	10561	23396	6997	19533	17468	9193	9342		45258	61480	127048	135636	135713	17294	75606	55925	114763	56209	58624	82829	37898	39689		41497	165520		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
69	"Ceramic products"	780	631	1901	1961	2688	2014	2634	6003	9935	10678	16327	17191	16510	16243	12569	11384	10707		47983	55219	59985	62523	79050	20728	99270	123372	123508	157564	189621	142478	151591	155919		150024	352956		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
17	"Sugars and sugar confectionery"	21639	156	588	1216	1719	21718	3651	3297	4559	11290	15878	10516	4728	4432	7455	10809	11109		186960	189626	84658	40650	138729	11285	448237	344868	344757	733561	787733	1104367	864135	410184		350698	333674		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	2	0	47	105	116	16	642	21491	25664	13254	14609	11288		34473	31329	38100	58497	59699	3235	101923	110830	87294	128462	151793	113877	170383	120433		144701	123430		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
60	"Knitted or crocheted fabrics"	237	15	49	682	796	888	799	1704	4363	6134	7553	5828	5446	31943	22288	17919	11476		1074	101	1322	988	1842	133	1707	3241	1642	1634	2700	3174	3777	3841		9744	256405		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
64	"Footwear, gaiters and the like; parts of such articles"	25	203	407	500	1016	294	424	547	1054	1379	2084	2385	3382	6336	11700	30720	12856		270	522	1634	7919	11305	2244	6418	8720	11045	12043	20905	11413	3444	6739		18514	180460		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
29	"Organic chemicals"	6432	5643	4942	6532	18144	4076	16004	10046	5325	12024	19604	17920	15931	12236	10932	12021	15680		384233	454480	755248	798177	743579	291849	1228575	993469	1017001	1191083	1234957	1275537	1358498	1315683		1037554	994577		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1081	1678	1480	1416	3596	4067	6853	8468	8207	10296	15260	14366	16386	21811	16806	18549	16054		23033	21193	32377	39080	48139	21573	75469	100869	110390	131744	130454	118238	85388	115838		105941	169932		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	4379	4780	6379	7807	5043	8761	12512	13407	9112	13701	20406	22797	22260	13990	10102	13094	17982		180588	160479	215787	312981	316475	147966	446358	383338	367191	384077	344144	359157	446026	422632		344261	295847		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	128	245	594	451	759	679	1748	3626	2332	2354	2645	3068	1715	3518	6308	13439	18509		18	133	692	1557	3977	762	9811	13667	11123	13359	15582	6658	1871	10348		20136	67661		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
21	"Miscellaneous edible preparations"	1206	1010	1264	1214	2959	3539	8621	14936	20457	23753	29764	27512	18551	26398	27822	22401	18774		3372	8832	11986	23437	31353	3666	104161	117281	165218	219132	248126	206279	127685	174509		244247	227498		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
