Product code	Product label	Turkey's exports to Algeria-Value in 2001	Turkey's exports to Algeria-Value in 2002	Turkey's exports to Algeria-Value in 2003	Turkey's exports to Algeria-Value in 2004	Turkey's exports to Algeria-Value in 2005	Turkey's exports to Algeria-Value in 2006	Turkey's exports to Algeria-Value in 2007	Turkey's exports to Algeria-Value in 2008	Turkey's exports to Algeria-Value in 2009	Turkey's exports to Algeria-Value in 2010	Turkey's exports to Algeria-Value in 2011	Turkey's exports to Algeria-Value in 2012	Turkey's exports to Algeria-Value in 2013	Turkey's exports to Algeria-Value in 2014	Turkey's exports to Algeria-Value in 2015	Turkey's exports to Algeria-Value in 2016	Turkey's exports to Algeria-Value in 2017	Algeria's imports from world- 	Algeria's imports from world-Value in 2001	Algeria's imports from world-Value in 2002	Algeria's imports from world-Value in 2003	Algeria's imports from world-Value in 2004	Algeria's imports from world-Value in 2005	Algeria's imports from world-Value in 2006	Algeria's imports from world-Value in 2007	Algeria's imports from world-Value in 2008	Algeria's imports from world-Value in 2009	Algeria's imports from world-Value in 2010	Algeria's imports from world-Value in 2011	Algeria's imports from world-Value in 2012	Algeria's imports from world-Value in 2013	Algeria's imports from world-Value in 2014	Algeria's imports from world-Value in 2015	Algeria's imports from world-Value in 2016	Algeria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
64	"Footwear, gaiters and the like; parts of such articles"	338	753	1073	1538	1123	467	457	928	2922	1737	3819	7591	10890	17803	18237	19183	14751		13735	17814	23613	33806	43076	44994	54626	66726	73431	83192	125580	140332	159648	205532	184338	207305	215489		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
83	"Miscellaneous articles of base metal"	755	2078	1834	3054	2972	4549	5632	5565	5215	4155	5967	5559	7152	9634	10283	12360	14403		100214	33634	38608	47559	48695	59017	68395	85203	99193	120401	127076	140261	167056	179951	190548	205282	210882		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
30	"Pharmaceutical products"	2777	4677	13635	14837	17445	14789	14369	27582	19667	16193	11170	8338	14830	4885	8482	12445	13862		492668	619821	745677	976605	1072593	1188945	1447619	1849906	1743036	1673135	1961374	2240743	2287565	2523523	1977650	2022700	1892867		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	33	1689	3440	5219	3785	8286	12333	11026	6915	12165	15707	27869	27392	30204	23858	16209	13847		8750	9440	7426	17171	15223	20239	44929	75817	121388	127573	175882	211201	234986	278633	243983	226976	190320		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	469	450	1805	1083	2104	2422	9198	10058	9928	9791	16167	27415	18082	16118	11614	15556	12992		31839	91085	99790	118938	99082	99431	120641	156279	206416	225411	337153	391386	423763	495770	444207	314563	175535		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	512	159	2905	4508	8158	14272	13946	8524	4016	5723	9788	7406	3583	48476	26871	16915	12572		1467	4611	2975	7331	4475	4805	3896	9481	7252	6059	10001	51759	934084	10360	7013	7914	35187		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	1293	2452	2167	3648	5096	3869	4038	5632	5381	7369	9398	8443	11329	12665	13144	12531	12182		63392	68511	73644	91676	96487	106574	125502	157240	146631	173399	233334	214435	223833	248830	229224	242850	258215		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1960	1460	2619	6575	7722	8903	10186	12537	8466	12308	14004	16112	17931	23510	14982	16796	11712		30975	37708	47578	61814	61579	63974	74199	94704	98326	123218	171811	231107	270151	320704	309301	350804	272472		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
17	"Sugars and sugar confectionery"	206	1110	3092	5625	5003	6816	10253	17212	8689	10399	18184	16430	23944	19089	15227	17069	10837		298206	267930	230361	268675	293809	439355	428484	433651	568979	678671	1162409	1010925	945769	911273	752802	912415	1034271		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
70	"Glass and glassware"	5130	6246	5679	6459	4098	3979	5802	5608	5071	7227	9170	7906	7717	8725	9280	8551	10791		51198	49891	71668	86042	82326	89732	98585	123148	173084	169523	174984	177969	206989	239473	208403	213770	239793		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
69	"Ceramic products"	501	1029	1083	1698	4089	2417	5732	6357	8880	7327	8048	11326	12093	11895	6709	8235	10519		44267	53435	63418	82639	88768	93572	117491	149109	157205	184280	248485	274058	327848	428024	347871	381885	287949		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	3665	5905	9085	11763	15755	23707	32865	35312	23812	29994	22153	10905	14035	10927	9147	10401	10381		187812	236810	225621	323252	302966	334676	443127	531486	452237	554798	686449	703015	688375	724079	642247	653140	723693		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	561	889	920	997	1483	897	2730	2080	2555	2138	2158	3519	4504	9159	6577	6979	10145		199840	292721	309306	380645	420904	508840	573465	719159	626008	564992	898819	616387	712104	763564	724291	714964	745715		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
54	"Man-made filaments; strip and the like of man-made textile materials"	6246	2739	2708	5333	4516	6691	5885	9862	13440	15551	9865	10315	9026	10023	10525	11308	10060		49415	46707	47072	58221	57659	56119	71149	73756	77090	96398	113870	156632	182034	185420	207109	223477	226039		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
38	"Miscellaneous chemical products"	329	369	384	773	629	868	838	1267	1883	3362	6083	8041	6989	8287	6578	4040	9726		129711	152225	175950	253568	289338	253442	338617	400320	373786	495250	562288	600378	563168	677622	614202	529245	633521		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
55	"Man-made staple fibres"	12515	6038	6921	4678	4683	5175	3530	2885	9312	9034	2210	3092	5292	3469	8195	7150	9226		34431	38210	32857	34532	41557	35386	42977	39052	46308	49679	57246	72120	61007	66748	81061	59296	55442		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
24	"Tobacco and manufactured tobacco substitutes"	0	0	0	0	0	735	20343	38099	11030	4711	2825	6073	6671	9133	10637	10821	9208		32144	30206	26448	30445	47974	83660	129113	197792	201074	243410	293545	362781	345623	375101	413072	312781	291702		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	69	92	235	2106	3405	2569	3010	6301	4835	11125	12057	12677	14110	13228	12264	14111	8756		17842	20979	33127	44018	56275	54222	71103	104178	123715	158284	191934	120132	150245	211923	208084	176884	173315		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
52	"Cotton"	11687	11929	8552	4714	3534	19865	33234	14599	14328	9781	2053	3292	4930	7399	5377	7538	8664		21217	23303	23859	22851	21518	20097	20062	26196	26231	28151	34470	43418	37822	43409	28580	21979	27809		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	4486	14054	12778	11146	7411	8394	11241	13208	8788	10399	11962	11226	12862	15840	10907	6153	7342		28143	33766	32666	34649	37607	37510	55509	74485	85014	95566	117094	136445	161810	200208	201374	220981	226201		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	3454	6482	8026	10979	10384	10188	11438	8595	3685	5412	5614	7701	13878	12355	11306	8478	7104		3346	5424	6778	6144	10093	5646	8397	12040	14621	21727	16537	19013	22182	19991	21665	17784	19133		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	2415	7202	17276	7302	993	767	1609	2045	6269	30873	5800	8025	2804	10181	5836	8588	7100		74083	117113	186748	105692	94609	100781	109734	110182	117858	322350	217555	338437	486133	627876	569025	412951	170560		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
18	"Cocoa and cocoa preparations"	182	1119	3529	7231	5366	10681	28680	28218	29207	38346	42085	29184	32984	32003	19081	13343	6903		6293	12550	21163	22469	20069	26110	27761	47974	51778	66097	100706	111884	124460	143019	106891	113828	82479		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
96	"Miscellaneous manufactured articles"	581	609	1181	851	448	940	1385	1412	9372	754	1146	10545	7358	9310	6484	5305	6747		15817	15485	13624	16064	17302	17288	21172	26441	30354	40506	46607	98279	107854	125137	116606	108038	111053		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1351	1461	8391	108	5490	959	5408	8789	6976	3305	4304	24482	66356	20768	4815	17122	6493		135998	141695	109948	169602	209651	250247	317115	588219	543460	949447	1156442	4936378	4324465	2843743	2341860	1562882	1938240		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
07	"Edible vegetables and certain roots and tubers"	6073	3008	3444	5820	5478	3909	2597	2350	1833	1796	498	1354	1311	3727	4398	3557	5781		131995	160833	148685	159824	166923	173654	257320	290808	261564	299414	394638	359083	458522	370397	387054	356883	450444		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	496	4430	3920	3112	2985	240	689	1131	1963	3439	3489	4626	5428	6026	6693	4920	4812		79080	82200	79634	97195	108897	114213	136584	223843	196194	187512	258940	252650	217105	223631	208875	213485	219834		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
74	"Copper and articles thereof"	3263	4413	4145	9104	14626	5566	7655	9120	6412	12463	9740	5465	8816	5591	11301	6649	3967		36315	45250	44191	74091	85684	140778	205070	265519	177958	264358	348721	339417	403290	406465	335136	298647	273828		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
35	"Albuminoidal substances; modified starches; glues; enzymes"	93	149	308	661	1076	1230	1439	1873	1587	1941	2700	2639	2653	3187	3211	3566	3906		14150	15653	16150	20001	23232	22307	35228	44558	46786	60028	64457	67016	74201	72585	65776	69167	66896		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	149	1642	0	4073	2487	3225	4246	5494	1487	3145	4619	5009	10216	7273	6249	8519	3845		23001	13284	12354	27837	13186	13096	19494	30455	31099	36099	30040	35642	41111	34891	32181	28783	22464		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	336	408	430	666	519	6750	7518	2537	1254	2318	1491	1131	1726	2408	1915	2720	3707		75564	77940	80819	94994	118753	132431	139153	148922	124703	143223	163311	154028	154227	188658	170736	201431	174168		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	0	11	148	457	83	102	525	15	35	7	412	0	134	1810	521	2096	3564		534748	492411	520910	821730	743574	709130	1063947	1275748	862553	993962	1543275	1268661	1263287	2046663	1172875	985281	1409897		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
29	"Organic chemicals"	1233	769	1048	1768	2410	1382	1805	692	796	6761	5892	374	3171	2111	3424	4028	3253		87095	96250	122869	161337	204261	190916	204826	283744	265131	342453	375115	471195	421218	468512	475750	496531	564729		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	1685	2136	1929	1209	831	605	408	445	1860	1968	3581	1899	3103	2303	2004	1773	2571		5877	7217	7992	8487	8117	9145	9343	17822	11708	16399	21213	21990	30709	31414	35815	31542	32238		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
95	"Toys, games and sports requisites; parts and accessories thereof"	36	42	163	269	213	608	457	519	717	1358	326	2136	1766	1263	3443	1595	1728		7321	8838	14863	16726	15196	17977	19141	19108	20001	25591	35250	41294	53966	63243	72298	69437	78487		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	47	112	90	228	336	226	154	243	1065	120	136	291	725	1056	769	625	1511		9069	9966	9968	11363	13569	12214	13809	18202	19591	23369	32450	43000	48614	61315	60998	66359	63993		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	2460	1830	6908	12607	10959	8569	5688	5976	13966	7264	4503	4280	6115	5329	4800	3622	1197		10135	10225	13301	29160	24651	40892	59038	54060	90093	89464	109438	189313	180117	189039	175875	169660	118492		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	0	0	0	4	0	0	0	0	0	57	33	74	124	236	932		3507	10179	7644	5420	6877	5017	4558	5267	5237	5597	5809	7628	9335	15208	12200	15903	22669		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
79	"Zinc and articles thereof"	0	0	1	9	2	0	35	50	12	2	8	1	15	137	3	6	837		458	1651	859	1562	2014	2739	2164	4362	4588	2566	3891	2610	10792	8227	19117	21366	20686		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
