Product code	Product label	Turkey's exports to Saudi Arabia-Value in 2001	Turkey's exports to Saudi Arabia-Value in 2002	Turkey's exports to Saudi Arabia-Value in 2003	Turkey's exports to Saudi Arabia-Value in 2004	Turkey's exports to Saudi Arabia-Value in 2005	Turkey's exports to Saudi Arabia-Value in 2006	Turkey's exports to Saudi Arabia-Value in 2007	Turkey's exports to Saudi Arabia-Value in 2008	Turkey's exports to Saudi Arabia-Value in 2009	Turkey's exports to Saudi Arabia-Value in 2010	Turkey's exports to Saudi Arabia-Value in 2011	Turkey's exports to Saudi Arabia-Value in 2012	Turkey's exports to Saudi Arabia-Value in 2013	Turkey's exports to Saudi Arabia-Value in 2014	Turkey's exports to Saudi Arabia-Value in 2015	Turkey's exports to Saudi Arabia-Value in 2016	Turkey's exports to Saudi Arabia-Value in 2017	Saudi Arabia's imports from world- 	Saudi Arabia's imports from world-Value in 2001	Saudi Arabia's imports from world-Value in 2002	Saudi Arabia's imports from world-Value in 2003	Saudi Arabia's imports from world-Value in 2004	Saudi Arabia's imports from world-Value in 2005	Saudi Arabia's imports from world-Value in 2006	Saudi Arabia's imports from world-Value in 2007	Saudi Arabia's imports from world-Value in 2008	Saudi Arabia's imports from world-Value in 2009	Saudi Arabia's imports from world-Value in 2010	Saudi Arabia's imports from world-Value in 2011	Saudi Arabia's imports from world-Value in 2012	Saudi Arabia's imports from world-Value in 2013	Saudi Arabia's imports from world-Value in 2014	Saudi Arabia's imports from world-Value in 2015	Saudi Arabia's imports from world-Value in 2016	Saudi Arabia's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
31	"Fertilisers"	276	209	163	146	456	0	0	0	353	606	660	769	2002	1631	1519	1143	863		47940	35665	31790	47220	55561	62030	62744	104796	60633	62009	95603	102168	91527	111358	127448	93707	82256		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
91	"Clocks and watches and parts thereof"	74	6	5	1	20	11	36	37	163	79	98	167	1803	94	245	283	737		147439	150535	200266	221359	236676	239796	260378	335012	298776	353668	473611	511800	559976	658389	649993	518204	472959		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
79	"Zinc and articles thereof"	0	26	61	1	0	0	0	0	14	0	0	33	250	687	1416	1927	553		26304	27298	32764	48323	73018	174639	283612	170179	89304	156595	181575	177886	189426	204577	198825	161153	201451		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	0	0	3	0	0	0	1	25	7	37	9	112	266	202	17	34	416		7999	7760	12088	13245	17130	16212	17771	16060	19313	27754	25929	26697	27214	23468	30331	25919	25233		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	36	70	410	682	718	685	730	862	303	263	11900	258	368		1410222	1429095	1584005	1326314	1381626	1502925	1624499	2059856	2153492	2184255	1789077	1481998	1660950	1727455	3293479	2790965	2379142		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
99	"Commodities not elsewhere specified"	0	11	12	23	566	595	365	115	182	73	53	62	46	91	242	165	309		0	0	0	0	0	0	6258	6748	12234	15139	12220	15612	17173	13459	13376	4860459	5599898		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
13	"Lac; gums, resins and other vegetable saps and extracts"	5	2	0	4	2	50	18	9	51	93	141	183	280	225	259	153	226		6699	5723	8757	14929	14044	16365	21156	29554	29036	32685	32937	39470	35231	40984	46148	59863	41222		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	1	20	0	0	0	0	30	90	40	92	0	48	57	50	153		6675	5305	6288	9033	10620	12823	12502	16262	17395	19841	26010	30056	33759	45429	54073	65619	63768		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
01	"Live animals"	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	130		162300	509189	398904	481994	711945	615307	614309	553581	541864	594000	654696	779559	968280	998260	1107352	898585	761293		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	0	0	0	1	1	9	1	13	9	23	15	8	29	88	127		5612	6657	7953	8525	8780	9434	9168	10903	9444	9766	11113	15994	14541	18371	22914	24775	29488		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
