Product code	Product label	Turkey's exports to United Kingdom-Value in 2001	Turkey's exports to United Kingdom-Value in 2002	Turkey's exports to United Kingdom-Value in 2003	Turkey's exports to United Kingdom-Value in 2004	Turkey's exports to United Kingdom-Value in 2005	Turkey's exports to United Kingdom-Value in 2006	Turkey's exports to United Kingdom-Value in 2007	Turkey's exports to United Kingdom-Value in 2008	Turkey's exports to United Kingdom-Value in 2009	Turkey's exports to United Kingdom-Value in 2010	Turkey's exports to United Kingdom-Value in 2011	Turkey's exports to United Kingdom-Value in 2012	Turkey's exports to United Kingdom-Value in 2013	Turkey's exports to United Kingdom-Value in 2014	Turkey's exports to United Kingdom-Value in 2015	Turkey's exports to United Kingdom-Value in 2016	Turkey's exports to United Kingdom-Value in 2017	United Kingdom's imports from world- 	United Kingdom's imports from world-Value in 2001	United Kingdom's imports from world-Value in 2002	United Kingdom's imports from world-Value in 2003	United Kingdom's imports from world-Value in 2004	United Kingdom's imports from world-Value in 2005	United Kingdom's imports from world-Value in 2006	United Kingdom's imports from world-Value in 2007	United Kingdom's imports from world-Value in 2008	United Kingdom's imports from world-Value in 2009	United Kingdom's imports from world-Value in 2010	United Kingdom's imports from world-Value in 2011	United Kingdom's imports from world-Value in 2012	United Kingdom's imports from world-Value in 2013	United Kingdom's imports from world-Value in 2014	United Kingdom's imports from world-Value in 2015	United Kingdom's imports from world-Value in 2016	United Kingdom's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	585	1151	814	1356	1904	2034	2636	2457	2606	1754	2383	2969	3030	3974	8214	5183	7360		1986386	2367215	2414714	2943762	2856889	2910545	3727665	3300782	2579903	2564267	2843415	2765993	2621509	2767487	2631918	2273895	2372238		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	12379	12195	9240	11913	14713	13016	14151	18933	7361	12910	17891	15887	12919	19891	12803	7784	8358		515948	486356	465335	533315	491215	486804	441044	449359	323957	436174	567578	427635	467628	519810	462960	418376	417931		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
96	"Miscellaneous manufactured articles"	1667	1499	1489	2207	1717	1999	2412	2522	2215	2470	2881	9614	12723	12154	10430	10479	9326		870257	968926	989733	1134871	1095783	1153413	1288324	1259074	1135908	1211547	1233116	1897288	2222028	2511468	2239214	2221823	2287393		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
93	"Arms and ammunition; parts and accessories thereof"	650	4927	6811	10969	10211	8492	9386	6041	5085	5046	2455	4969	6013	8620	8890	7364	9750		370578	546999	537522	611878	747275	717047	255337	901294	741140	775077	877212	959843	928803	186962	852056	150000	916609		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	4895	7597	8328	10770	10345	10891	9211	8267	8089	9864	8897	12084	11491	11118	10248	11366	11747		968039	1303327	1423147	1699440	1620527	1690987	1905794	1771101	1475846	1717957	1800138	1519443	1699417	1839178	1631478	1591902	1548452		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	927	1486	1195	1451	2671	2520	4707	5913	5827	3453	4333	3422	3798	4542	6091	10191	11753		1564481	1645759	1836132	2204714	2224008	2503209	2783904	2653466	2197535	2406140	2581603	2487564	2618620	2737058	2553573	2460242	2808368		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
21	"Miscellaneous edible preparations"	637	471	585	1094	1067	2616	8848	4997	5987	5415	6506	7513	6173	4685	4362	11491	11835		1152418	1301703	1599904	1889860	1995786	2079977	2832511	3208576	3108281	3069458	3553747	3486780	3641191	3919231	3915188	3907143	3825516		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	680	1390	1750	4443	5758	8305	9434	7638	5105	5330	7056	10771	10339	11627	12763	12891	14273		261743	282182	307141	351773	355622	372921	406245	418554	352639	421268	417396	378646	416528	434307	426755	420212	427551		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	5888	6248	7518	10288	7629	6443	8572	9287	8773	9800	11321	8883	12156	16531	13912	13960	14373		488433	526137	586100	742101	801189	868005	894280	1042415	773504	883366	1044753	865418	946382	844490	1004906	789805	1089085		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
30	"Pharmaceutical products"	4152	8465	4645	10009	13359	20988	18832	19269	26116	33014	29031	17142	18205	20395	16871	17200	15550		8654813	10672196	13176207	15439622	15301372	17011717	20253300	20117739	20552307	23567938	26031638	26877231	27728498	33727712	33744349	32754073	33108507		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
29	"Organic chemicals"	3247	3460	2087	2668	1275	8903	12550	14643	2312	9881	12577	8162	8588	15288	6035	5766	18222		8828338	9497576	10932281	13454992	14008151	14941650	18202714	16602463	13811557	15448235	17061170	16695921	13011395	11372741	9818419	8632995	9786125		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
60	"Knitted or crocheted fabrics"	14474	13716	14653	14516	13240	20191	23176	16578	15649	17983	22175	27002	37241	31478	23930	20662	18345		249843	234490	220969	209235	159979	171227	199700	161461	142606	202305	253637	254025	303094	321436	289225	263246	249490		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
22	"Beverages, spirits and vinegar"	2437	2393	2975	4544	4711	8857	9783	8074	8744	9648	11770	11335	15760	17864	18955	18125	19185		5338959	5648140	6463620	7686874	8001460	8298983	9394417	9338002	8101552	8239606	9313676	8428236	8970946	9014696	8382398	7850104	7784756		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	1271	5827	4600	9218	12058	13288	19453	22203	10423	11652	17293	17449	22518	21270	25512	20898	20972		11899384	11526021	12708871	15351809	15892335	17042538	16357801	16857344	14872002	15486956	16631456	16438239	17784607	19026017	18391558	17459962	17753378		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
64	"Footwear, gaiters and the like; parts of such articles"	3079	5300	7555	11138	7664	12730	18273	14374	13229	12023	12534	15808	22070	32257	22131	20510	23173		3473131	3864197	4373736	4898137	5115215	5392879	5736495	5788616	5392864	6118092	6517977	6080710	6427591	7217194	7322154	6675547	6777833		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	17308	20533	22166	27754	25884	29456	35880	32389	27540	27257	28240	26842	28220	29807	28429	24558	25203		337653	359507	381379	387884	376792	377915	406236	431436	293712	330911	348177	306263	349984	393048	378771	362158	372259		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	18489	15362	14760	19941	25963	26254	36252	46389	18217	31855	42976	40319	40357	42854	36636	29470	26418		1499156	1584795	1729920	2041291	2241932	2462407	3000508	3229590	2698528	2979040	3343749	3223362	3434149	3797251	3649009	3479079	3541140		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
83	"Miscellaneous articles of base metal"	1806	3457	8446	13030	13520	18812	24784	23294	15847	17612	19433	18109	19987	20295	24039	27371	27395		1342315	1525106	1751835	2059542	2128324	2278544	2857823	2766323	2030407	2389614	2560445	2362154	2409978	2680366	2602952	2527976	2613432		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	805	918	1078	1154	2905	4611	5626	8879	12915	9566	11933	17047	20983	29107	23511	25197	28395		1060787	1179324	1394784	1575060	1707625	1941946	2167997	2439581	2082942	2193048	2367505	2308625	2426960	2629396	2694113	2371248	2481743		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
07	"Edible vegetables and certain roots and tubers"	14836	14662	18151	23736	24216	30156	42127	30026	31314	27618	26361	21850	31325	30613	29687	29342	28399		2106125	2395866	2760703	3243319	3572927	3747278	4366415	4498062	3625236	3902380	4041542	3847520	4532428	4478158	4277264	4182606	4163721		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
17	"Sugars and sugar confectionery"	3753	7304	7504	11791	16708	18688	23397	22171	18873	17794	21253	22441	24576	26762	25238	26663	29300		1098410	1130728	1348388	1564910	1661061	1700736	1892533	2062752	1823272	1848429	2013098	1847811	2053970	2006857	1636324	1410836	1529112		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	1448	1815	2268	2642	2773	3415	4421	7136	8255	9007	10116	11426	10046	9743	9804	23182	29527		1298544	1461529	1884067	2390977	2408854	2552252	3181270	3645576	3264421	3127402	3554584	3703160	4112770	4389724	4247637	3975328	4017507		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	5420	9240	19590	43028	50946	63954	79714	75277	54832	53302	51320	51950	44694	46110	41678	31732	30160		680896	770073	945009	1221096	1308105	1460680	1774496	1707608	1314876	1358272	1589336	1426536	1606668	1864712	1768607	1835974	1903920		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	5611	5412	6673	12274	13336	19340	19428	16717	18068	17966	24425	23214	22174	27712	29798	28010	32601		452285	473314	587684	669044	737913	779631	911939	875907	747399	831125	947865	777140	808112	855743	805573	722368	755615		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
52	"Cotton"	46550	42836	38335	35105	28145	32440	38430	34298	22901	24621	34407	27895	29599	36733	29074	29966	34692		874117	774636	677207	647454	505674	482589	463713	419346	309408	354888	469162	350011	398348	412795	339432	309110	319579		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
88	"Aircraft, spacecraft, and parts thereof"	4839	653	19221	139742	21027	11595	14457	24629	3485	6022	6798	13309	20194	19826	22309	45499	37163		11744605	12841151	12395453	11527805	13083198	15550243	8102	17705499	16822215	20757062	10497009	13096964	15166667	16978232	15898654	18709063	14927360		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1107	1354	1533	2534	3265	3106	5330	7222	5044	7734	10682	13974	15025	20109	25173	34203	41777		2578709	2996607	3613072	4271335	4455771	4842592	5523112	5506895	5002448	5344177	5767617	5682693	6164369	6618062	6428265	6231304	6572104		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	7632	7144	5341	4720	6093	10471	9473	12356	15161	27846	38480	35883	37093	50867	43413	38071	43603		2004335	1862167	2066315	2781039	3184792	4411471	2973414	5232638	4844292	4781788	6039162	5119963	4094571	2824928	3564310	2260097	2910610		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1000	197	3654	7121	614	19841	139626	297500	180183	201860	233020	222272	170707	157270	102701	154993	53226		14704374	14869204	18650555	30080101	44810659	58171942	64435609	87287933	50292069	63413681	91609952	95395963	88193719	81005575	50956567	39729084	51754546		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
70	"Glass and glassware"	23492	28616	34182	51364	51379	54536	68764	58289	49580	56760	60800	63039	55153	59186	82914	46705	54034		1426358	1613438	1799838	2189523	1956575	2035835	2435353	2460281	1871878	2213707	2428544	2203241	2348770	2518013	2448196	2429654	2494512		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
55	"Man-made staple fibres"	75312	58173	53125	52579	52524	56017	51980	45955	44520	54119	66219	61623	70028	70349	62786	55777	58307		908954	868191	877347	950599	873721	821074	865255	821790	625444	695273	843610	684884	723731	783086	685824	592760	584387		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
89	"Ships, boats and floating structures"	18108	28257	27689	74267	64766	47603	34247	44425	63283	11657	72049	55583	60631	7823	42075	10582	68629		310524	257415	712155	517867	702883	632040	1381173	701713	603376	2936562	1201942	624947	1109649	1504346	1739055	2197056	2165595		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	40	226	658	160	473	475	1787	1935	9358	8062	17677	22886	31970	46369	57210	65028	75158		1330592	1397692	1562131	1799171	2154373	2538733	2751161	2659345	2226278	2259326	2665202	2489546	2660490	2903919	2568939	2747606	2718409		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
40	"Rubber and articles thereof"	37266	42008	48833	61094	63978	73887	97948	100257	69936	89256	119997	104450	105834	100252	81758	84791	82168		2585019	2951114	3430401	4157473	4360296	4800440	5844127	5872646	4356417	5323395	6675915	5891219	6030004	6129377	5245776	4899148	5440280		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
69	"Ceramic products"	36808	51009	70929	105168	92043	94391	112679	96232	65363	64212	70639	77611	81467	91238	88795	82384	85581		948339	1120407	1397503	1677512	1724500	1870191	2191288	2104922	1614720	1707678	1831303	1459664	1601944	2027197	1963141	1777252	1748332		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	110929	128314	151838	198079	182854	190856	186756	147381	108314	85252	86050	86509	94807	108723	97156	89001	87084		1225060	1414146	1623819	2068444	1968644	2242564	2497146	2478858	2201718	2368290	2512509	2174080	2322114	2623221	2554047	2368236	2409643		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
57	"Carpets and other textile floor coverings"	4602	4921	6906	9285	8759	9949	12163	14992	27787	33848	52837	58948	57356	82072	80817	80821	87743		968119	1061828	1217290	1534577	1427779	1529598	1712800	1491333	1134754	1121191	1154206	1101813	1171824	1328013	1243101	1184759	1159222		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	42276	40578	48198	71884	87545	81685	77672	74278	69657	64890	87616	81105	83484	99145	93678	88044	88677		1340222	1580618	1993565	2267542	2397333	2832649	3261755	3666349	2984540	3081889	3755302	3448715	3702800	3746418	3470855	3408520	3648942		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	6151	12278	22058	36982	44026	47282	65815	78434	54902	51752	51022	60036	68720	75600	77861	87234	90350		4701890	5864700	7154730	8992336	8963694	9673389	11633626	11752364	8791561	9679978	9795031	9209306	9873893	11396574	11459378	11110964	11576137		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
74	"Copper and articles thereof"	9060	6963	8805	13940	16476	33692	32574	33970	31487	71815	104405	73677	92742	79934	60108	62063	90356		1377421	1316487	1349772	1858412	1907518	3176218	3066038	3019487	1762970	2577009	3012751	2290470	2303486	2168563	1944240	1842073	2076512		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
54	"Man-made filaments; strip and the like of man-made textile materials"	45945	39631	42489	44297	43013	41228	47557	46473	32200	62060	86453	98702	108792	136234	127934	120221	125872		1287898	1214245	1212726	1196880	1018400	948354	966493	871267	639018	738868	918360	822013	886749	981501	885000	787625	837607		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
76	"Aluminium and articles thereof"	15362	20523	34683	39964	49077	53186	67356	83752	70602	101480	102987	98184	107198	119241	116633	132324	147867		2864265	2954522	3351707	3438267	3732970	4629848	5482399	5296403	4046278	4461045	5371247	4394485	4787342	5254871	4899340	4651924	5117727		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	85821	91357	110402	145978	158898	154012	169753	167739	163297	193707	219793	220421	214859	211701	209660	186930	178329		2606454	2927946	3347201	3996834	4359694	4722435	5411846	5568900	4738755	4918419	5482609	5365610	5787561	6163969	6156978	6289869	6347047		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	12170	15667	18531	22543	27247	38628	53592	68581	48073	55922	88428	112352	119862	131859	139283	154846	178518		7763301	7705598	8589868	9699255	9620859	10128853	11391437	10808991	9288168	10118794	10256621	8618816	8737462	9201128	8212681	7375625	7218451		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	11866	16779	24601	31427	34540	59576	282260	90338	61074	169230	299589	650593	55030	135200	1260917	3147455	200205		18244413	18134261	23621022	23023686	21030169	35334200	22475199	54403558	54853546	55965841	71088573	83829304	36832533	36088166	32072910	70819612	49577768		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
39	"Plastics and articles thereof"	41612	50855	59389	78854	88291	107549	131657	134128	115904	141934	171348	196007	221149	239171	225874	206313	220363		9248567	9856542	11646246	13829305	14695847	18294517	17951151	18032048	14348785	16779447	19211281	17393343	18852526	20129584	17905439	17122099	18424908		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
72	"Iron and steel"	54900	44552	65683	105541	56316	150809	290132	254524	47489	94975	116473	92685	133319	173232	125222	114189	239667		3575479	3832444	4486125	6711306	6419500	7850750	9864163	10355911	4614485	6576847	8796784	7530362	6338467	7241601	5615441	5044462	6031796		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
73	"Articles of iron or steel"	58403	96277	138657	239480	243403	317882	354860	398094	283615	359138	407329	427328	388986	448543	389114	389594	435888		3959279	4344523	5219068	6327416	7235257	7994451	10379899	10078329	6979034	7981377	9363577	8544554	9106665	10096508	9076876	8554815	8960285		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	389165	554705	616249	747961	792868	826521	993732	832566	555131	590199	624928	653121	613406	713465	632590	604737	589801		7868680	8938095	10471787	11816838	12480036	13186132	14447694	14324246	12755858	12504612	14154250	11796526	12192893	13507497	13134538	12081878	11711455		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	103589	154204	212962	274967	417649	498723	659528	665011	547721	672136	869770	871054	910208	892433	779302	765570	803144		55323952	55833525	59687006	69331488	73308598	77826647	87012328	84729958	63300536	71761230	80296193	75679533	79287089	85515717	77685927	76132847	79728076		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	215394	412461	458783	747473	804425	1100341	1255386	1108821	817082	977095	1118263	1170688	1027681	1170217	1084835	938265	1060607		45905436	41620138	46481872	57504498	59793815	77827174	68269602	66389385	54770694	61475857	64226268	55966317	58777172	61616514	60562037	57569288	60004002		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	512377	709977	872661	1026162	1227934	1269808	1440923	1106057	1130888	1343812	1322891	1448561	1441800	1641175	1458003	1319555	1268462		6849533	7866650	8876349	10309027	10843587	11544506	12764769	13076874	11925679	12654778	13844268	11958431	12830510	14045357	13395654	12434889	12487695		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	60968	176929	277523	874601	930797	1038727	1442121	1655641	858368	1209038	1151774	1133659	1864552	2220218	2455890	2042954	2545556		44425235	50265308	59419621	68534052	64650813	71527724	83600709	70467496	46220785	60162425	69497459	59815133	66131322	76382456	78111171	74176909	73312510		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
