Product code	Product label	Turkey's exports to United Kingdom-Value in 2001	Turkey's exports to United Kingdom-Value in 2002	Turkey's exports to United Kingdom-Value in 2003	Turkey's exports to United Kingdom-Value in 2004	Turkey's exports to United Kingdom-Value in 2005	Turkey's exports to United Kingdom-Value in 2006	Turkey's exports to United Kingdom-Value in 2007	Turkey's exports to United Kingdom-Value in 2008	Turkey's exports to United Kingdom-Value in 2009	Turkey's exports to United Kingdom-Value in 2010	Turkey's exports to United Kingdom-Value in 2011	Turkey's exports to United Kingdom-Value in 2012	Turkey's exports to United Kingdom-Value in 2013	Turkey's exports to United Kingdom-Value in 2014	Turkey's exports to United Kingdom-Value in 2015	Turkey's exports to United Kingdom-Value in 2016	Turkey's exports to United Kingdom-Value in 2017	United Kingdom's imports from world- 	United Kingdom's imports from world-Value in 2001	United Kingdom's imports from world-Value in 2002	United Kingdom's imports from world-Value in 2003	United Kingdom's imports from world-Value in 2004	United Kingdom's imports from world-Value in 2005	United Kingdom's imports from world-Value in 2006	United Kingdom's imports from world-Value in 2007	United Kingdom's imports from world-Value in 2008	United Kingdom's imports from world-Value in 2009	United Kingdom's imports from world-Value in 2010	United Kingdom's imports from world-Value in 2011	United Kingdom's imports from world-Value in 2012	United Kingdom's imports from world-Value in 2013	United Kingdom's imports from world-Value in 2014	United Kingdom's imports from world-Value in 2015	United Kingdom's imports from world-Value in 2016	United Kingdom's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
01	"Live animals"	20	7	7	38	9	40	61	314	51	49	18	36	90	25	67	24	41		480334	527999	617682	747969	801105	967665	928249	800011	688818	700159	638995	635945	638496	615717	774520	608444	692411		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81		3174444	3423886	4412111	5195130	5225511	5546243	6188529	6368079	5538450	5905996	6411736	5723307	6095732	6485388	5855264	5459845	5516564		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
50	"Silk"	0	59	104	227	141	205	135	101	64	118	121	6	38	6	5	35	83		70949	62735	62080	75027	75773	83326	95418	90728	61154	65887	67836	59988	60459	63898	57685	44420	43230		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	815	25	66	499	681	54	276	97	725	800	609	556	622	558	382	280	155		1838388	1886575	2182481	2681778	2756842	3224251	3697327	4288270	3819203	3806034	4873754	4735875	4769723	5003624	4660628	4362055	4556239		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	930	62	7	49	0	323	6	140	24	260	945	5428	1044	828	1429	322	179		531311	477446	619497	727280	563186	859987	414509	532821	871820	493187	643035	700820	596576	919719	772740	1806928	2268689		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
92	"Musical instruments; parts and accessories of such articles"	42	67	66	79	148	183	230	248	337	200	215	218	188	210	208	212	231		278816	309966	319143	385830	360394	354805	378094	366561	322901	291637	294421	313802	326843	360705	345954	360285	352914		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	561	528	800	798	714	690	312	503	328	462	644	345	522	493	374	389	259		14097	16783	23085	31024	33342	25110	34001	35094	26883	39404	30170	21111	18361	21558	26780	25446	22274		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
78	"Lead and articles thereof"	301	0	0	965	7	8	1	0	5	361	296	216	230	459	289	369	281		180032	180011	187429	257885	342161	364177	583207	595712	380807	560233	623508	569709	549405	396803	514452	411037	583832		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
13	"Lac; gums, resins and other vegetable saps and extracts"	64	2	0	37	70	91	139	0	85	114	212	150	217	220	149	216	369		102618	120917	112827	139118	163311	156915	168335	176708	159931	186231	204905	203048	225591	232126	219560	214515	219000		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	207	295	375	417	412	110	80	94	102	174	498	525	969	997	1015	733	393		95799	83440	108743	118151	127122	146090	55725	136740	145966	130279	153998	159088	154644	62277	140533	48476	103727		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
