Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	2297	2763	3308	3410	5893	7357	8364	11460	7541	8087	10113	9290	11310	13985	13517	11784	12522		1729976	1781983	2094956	2409806	2462780	2575645	2890871	2934573	2359655	2678215	3047563	2692988	2758331	2913007	2500506	2548307	2847668		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
43	"Furskins and artificial fur; manufactures thereof"	1173	3120	3714	3905	3949	10662	14145	8695	6502	11930	31204	28095	24880	33279	19357	15419	15072		224896	272323	258342	300027	316821	461046	389085	360237	214798	314146	470011	439383	518865	444586	305551	264348	323961		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	24255	21564	27499	30648	29223	26527	25994	25114	16703	15954	17437	14163	13327	15337	13609	15404	15098		232663	264029	270516	343970	389353	370707	337119	307515	233016	262368	302828	275897	289818	315302	279523	321546	359879		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	2791	6976	5847	4417	8653	8086	13047	14164	13972	12320	13853	17296	17820	25194	19906	29097	16332		6690227	6841798	7859230	9441814	10001086	10899327	11045103	12090786	10904864	11530145	12551805	11170781	11547152	12224401	11048012	11349184	12355871		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	65198	25251	72837	53969	127225	67301	30074	5753	15148	6239	1090	4826	40369	1392	1425	4101	16522		1319411	1628675	2011578	2541279	2688104	3048281	3264809	4207580	3352897	3826725	4237961	3815082	4121189	4797070	4337826	4177744	4586680		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	4844	4514	4477	5788	6890	9196	10610	12261	10488	10907	10652	12069	12889	13439	12784	11999	17120		523771	546230	661609	850529	935590	1040938	1285082	1359518	1022159	1130120	1218132	1063555	1102652	1268226	1076467	1105378	1214722		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
64	"Footwear, gaiters and the like; parts of such articles"	1210	2254	3217	4095	3533	3521	5613	6907	7255	9044	10880	12073	16079	16714	17626	17366	18223		2748010	3063836	3818292	4264967	4586064	5118679	5556900	5808616	5276938	5886956	6755183	5835289	6086277	6569653	5951417	6117140	6250307		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
41	"Raw hides and skins (other than furskins) and leather"	5093	3933	4065	4118	4632	9722	6465	3186	3318	5398	5428	10407	13650	27172	23712	18197	20873		3572311	3328239	3245739	3176735	3265443	3853506	4317977	3703275	2196942	3345410	4323178	3834314	4588126	4957395	3781346	3331612	3529644		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
26	"Ores, slag and ash"	1313	1272	4173	8686	5169	14493	3739	11094	2362	5321	13216	19771	16210	20007	28558	16437	21585		879226	800888	866551	1325426	1796404	2082322	2478946	2906050	1190953	2251676	3354930	2522083	2091872	1800250	1276633	1182704	1388585		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
83	"Miscellaneous articles of base metal"	4802	4935	6821	10218	13219	16540	18222	24594	17736	22128	32252	29442	30395	27046	22260	20330	21880		543061	606609	734833	914558	1015291	1233818	1554310	1726404	1330295	1549600	1702621	1506904	1581144	1670908	1579892	1621183	1772125		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	154301	151916	128112	230756	352893	573606	458340	683922	206271	77440	180614	179567	163785	130619	93816	24624	23381		21783148	22057493	26784326	33742766	45667385	53851601	60683895	79161788	72834414	89855501	110103829	109182757	95523100	77453511	52324004	41574705	54163428		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
57	"Carpets and other textile floor coverings"	5996	7369	8188	9393	9128	9472	13264	14753	12457	15619	17198	19050	23350	28449	24730	22930	24014		178912	186950	218855	273550	284719	296996	329715	309859	246259	282987	279132	217235	224675	249250	208926	215351	223807		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	5353	6334	6845	15935	20216	18479	17724	16824	10887	13235	14728	9034	11064	14546	14360	17724	24347		346252	368639	403249	479330	460155	494853	542022	543475	420797	499016	567105	463521	496860	527728	489150	495634	529263		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
07	"Edible vegetables and certain roots and tubers"	9219	13672	18067	15877	23139	27406	26441	27756	29071	16928	20746	15151	23040	23282	21590	26698	29502		768994	886046	1140957	1293054	1323023	1369274	1543601	1692061	1720500	1801620	1899822	1695894	1905198	1841026	1690511	1673524	1832703		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	3237	6953	3739	4968	6213	7469	15118	12718	7954	13517	24509	8888	9966	12628	23198	26407	30439		3695327	3863344	4457545	5208672	5356575	5658102	6556205	6697243	5521391	6241667	6851171	5668259	5826589	6005463	5101861	5079789	5593768		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	6085	4743	5332	5886	4771	17308	46882	51384	56301	76705	91569	76567	77179	75119	46442	23329	32380		945821	1072338	1292953	1592940	1789509	2183062	2682592	2908450	2468775	2754961	3238351	3014999	3074442	3369046	3223402	3207639	3502708		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
69	"Ceramic products"	7183	10812	13511	15547	18122	21568	25569	24173	25089	30419	30270	28993	37595	38624	29292	32239	33482		541892	543459	647100	820906	889348	969994	1119300	1139459	903997	983795	1012586	841740	781366	883056	753576	844154	947033		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	8650	6130	5963	18777	7324	5384	10478	7994	8990	13744	14527	14387	19751	27445	27273	28202	34480		366978	350575	417268	517911	512330	573419	707247	718624	568137	656758	707033	618012	666982	708549	619692	635213	698262		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
89	"Ships, boats and floating structures"	23242	15076	42670	35631	59451	124205	127677	178635	174019	118604	41880	77289	27844	64456	54705	50007	43625		852961	789109	1744357	1745226	1555428	1895955	2178617	5344671	2397394	4134973	3147647	2604522	1567648	712102	1011313	790642	1059946		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	19208	25299	41891	48053	57662	70328	81671	90126	38687	46917	52383	72125	49342	58899	52550	49764	56887		5413231	5132958	4920658	5879836	6131336	7227577	8871189	9014395	6999704	9330392	12449219	12886836	10584178	10392033	9606073	9606506	10176411		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	14788	16158	24942	37463	59343	50181	64900	50565	34399	52455	60309	62143	53339	72059	73117	58952	57503		614161	705560	916635	1060319	1017633	1071905	1325280	1456019	1288479	1290993	1483950	1312416	1383849	1487130	1322524	1311220	1348159		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	2571	3825	5732	9387	14902	15145	19429	27175	28755	34030	36803	34301	36276	39023	41556	50652	59059		1340672	1455029	1800847	2395005	2692883	3094599	4013744	4055161	3310935	3655710	3914312	3303871	3398689	3822203	3511796	3694950	3887437		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
70	"Glass and glassware"	53895	50863	56707	58999	50971	52059	66490	77651	58418	59689	66621	62182	59333	60901	160226	120968	60403		1314679	1396576	1552274	1836371	1783703	1937942	2297027	2452534	1874469	2112971	2285593	1927033	2027078	2119807	1855496	1899871	1965617		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
54	"Man-made filaments; strip and the like of man-made textile materials"	48031	36049	48594	59715	51316	57085	63994	58411	45499	54711	65403	57206	66732	71218	57708	55138	61993		1506012	1517172	1701678	1764565	1571221	1678283	1883536	1723459	1299776	1530547	1767500	1515414	1582274	1698384	1410415	1450070	1579057		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
88	"Aircraft, spacecraft, and parts thereof"	453	1163	638	618	1442	6150	18847	24915	16802	13757	26224	53134	81698	96309	91630	112162	83916		3407885	3990183	2881163	2846016	2858964	2244251	2212987	2347184	2090579	1824627	2485507	2033456	2034000	2498869	2803681	2191488	2104797		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	15626	22586	31947	43332	50717	46238	42371	46057	46176	41025	41959	51771	46251	61941	76339	97320	90099		2224915	2299633	2819084	3156475	3395262	3784885	4117232	4254377	3889378	4247283	4905298	4200227	4300690	4629871	4271969	4860197	5150601		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	35322	38106	54523	72182	71681	78650	100212	100269	81944	84065	95610	77621	98086	89761	78650	97835	91889		448344	477608	601078	769781	873219	969128	1115093	1174085	1036610	1167089	1372391	1117010	1210718	1312450	1155861	1241496	1275542		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	27589	24250	25547	35047	37660	52736	59374	67675	68640	90519	100898	92479	95653	93308	96258	87559	103356		1159100	1144354	1348322	1584159	1660703	1822546	2131501	2572440	1801432	2475196	3119482	2986982	3107677	3208932	2348573	1878303	2151387		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	97855	107643	127369	144985	158371	143551	152352	174934	166565	126959	126130	98928	99506	100527	84233	96082	106329		1253624	1267949	1439506	1798512	1903797	1990934	2147517	2274431	1474290	1589061	1709987	1494668	1422877	1422404	1269855	1252317	1317772		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
29	"Organic chemicals"	15744	28346	38357	64925	46143	80071	54080	75858	50556	73174	62125	114573	96648	143888	98241	81686	118633		7579765	8259859	9940512	11972011	13261287	14501975	17008830	16927737	13734337	15237438	17937538	17423292	18742232	16817732	14377713	14163759	14099437		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
55	"Man-made staple fibres"	50178	50097	51120	65666	71858	94155	96425	95740	85165	95369	116126	88677	116667	123919	117108	115558	124643		942832	956597	1055863	1266123	1204396	1365558	1531063	1523666	1132049	1402229	1649004	1266923	1337420	1325388	1166873	1101190	1179568		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
76	"Aluminium and articles thereof"	46407	33073	46735	46986	77402	146238	123382	131311	48953	135655	202050	131635	118724	112473	124723	115216	130371		3133126	3069539	3585151	4257271	4376183	6203033	7666439	6686800	3642548	5672986	7086548	5354479	5805560	6106084	5643246	5325613	6280837		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
40	"Rubber and articles thereof"	64239	68751	85960	93907	112118	119171	154588	169248	139192	188632	241473	195753	208593	198866	164700	169305	173902		2379851	2496684	3014276	3800118	3916925	4444920	5230849	5354723	4271904	5069536	6724606	5318514	5418094	5303268	4550092	4401284	5017196		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	64095	69536	64821	86794	143239	166240	218115	243504	208002	238970	286809	245056	230803	228396	190688	185694	176254		3615710	4172318	5132629	5894840	6398055	7235245	7843420	8433108	7468038	7749121	8740964	7411048	7314645	7983543	7155428	7088533	7156182		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
73	"Articles of iron or steel"	65012	61742	84349	102795	104947	121321	144402	168551	103760	134965	175434	124589	135366	147380	136904	162804	207538		2401490	2525356	3212554	4276026	4629148	5627897	7483601	8325797	5185981	5669571	6764537	5736454	5772504	5994662	5242634	5320982	5784435		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
39	"Plastics and articles thereof"	34158	28477	36111	66611	63420	112778	105933	113719	70907	123542	153618	146241	177226	228066	202118	209800	238607		8586854	8910942	10822679	13836151	15247953	17660675	20535440	20675119	15193743	18967472	22095074	19216940	20231290	20850391	18342488	18346165	20484536		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
52	"Cotton"	184019	135891	167435	185927	176512	211455	224419	223263	186180	215017	292261	247227	289283	289129	250459	239548	245450		1846438	1715678	1854992	2038323	1868716	2015807	2135989	1986047	1377125	1813218	2261887	1517343	1605596	1592295	1281236	1230458	1265924		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
74	"Copper and articles thereof"	34087	32295	42731	70210	71764	130141	148501	176614	98211	203644	251092	217360	217899	232811	175734	171181	247553		2456177	2330380	2610833	4013413	4570191	9400912	9909713	8976293	4930202	8192066	9804643	8068141	7602036	7627132	6413058	5635766	7113749		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
60	"Knitted or crocheted fabrics"	43386	34519	77115	92381	116604	149754	186384	181403	160096	191710	247783	236855	310764	329128	259944	250861	260559		318677	325879	378261	424951	396526	473401	621607	607798	547264	675993	754747	651195	748624	854693	707965	673661	685051		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	81272	109222	190131	278980	342902	384969	454353	486483	386261	378069	434477	379526	373744	371767	323161	326881	285279		2553644	2802838	3656802	4786184	5200824	6154330	7252702	8136539	7351022	7760018	8854477	7567568	7601487	8260367	7390734	7533515	7987835		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	112067	156316	260070	342030	388090	351762	330432	342897	367978	329511	376724	291694	236576	240027	314582	266066	304258		20534690	19839467	23589680	30271177	30648452	33418987	36849940	39501978	33070027	47661556	46164252	34878279	32600457	32675135	31443177	31281877	34531920		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	115016	112282	151507	258201	578318	460231	429525	377388	374404	345941	414573	405013	431916	662969	647072	562518	456378		1270494	1404044	1950093	2135841	2383779	2424709	2574226	2875736	2826775	2762486	3075441	2822354	3279466	3545445	3501863	3400766	3527040		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
72	"Iron and steel"	204191	114081	218481	390930	301811	344391	390173	325315	242725	290586	776285	220752	388716	196088	200093	225117	557886		7616920	7825742	10352684	16202079	17617152	22516570	29211366	33039518	13083629	19376132	24867616	18441103	18339140	19012277	16465178	14377933	18552182		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	142164	168156	206526	279350	337254	381464	494913	520134	395570	407141	505265	450856	439138	519588	528555	566100	666889		26631444	27491135	31241207	37241165	38320778	41247419	50586753	52201896	36851678	40713637	45088355	39603824	40556166	43236908	39271832	40854325	44273349		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	353845	460596	588596	1110070	1296101	1790465	2241272	2135132	1609633	1873736	1908877	1486987	1524057	1566047	1654965	2555163	2901740		27147712	30075480	36927467	42932641	43930042	47101625	56663825	54052665	42308477	41776981	44759052	32041128	32752649	36164801	36370160	43458238	48625602		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
