Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	57	71	313	542	627	124	374	0	30	55	151	104	0	248	261	141	133		23983	20371	24100	32947	41215	42071	47162	57903	47038	50848	53783	38822	61370	62205	31341	24562	23725		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
23	"Residues and waste from the food industries; prepared animal fodder"	263	730	407	67	138	285	50	106	795	143	55	1	369	312	191	92	133		1162410	1164592	1338224	1565748	1461443	1547931	1921969	2355327	2147338	2112465	2460298	2381880	2591860	2803903	2350975	2095105	2195004		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
22	"Beverages, spirits and vinegar"	358	84	10	222	1480	5315	3880	3279	960	15712	16476	6918	63	122	115	211	153		881319	1022449	1325791	1554756	1625028	1651900	2025364	2115850	1828026	1882436	2099768	2005744	2008222	1916828	1774241	1775275	1920020		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
79	"Zinc and articles thereof"	8	23	0	220	45	106	90	0	18	166	2522	1689	659	1279	2679	2131	201		263651	238827	303577	417632	474339	998054	1545533	719704	324462	741156	818196	536508	527305	606274	589518	659152	802852		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	25	8	22	34	33	35	77	56	33	49	89	45	71	135	95	99	210		65132	66796	81826	94545	88283	87556	104330	112168	98972	96801	108005	98277	102598	102924	93741	88433	107319		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
92	"Musical instruments; parts and accessories of such articles"	154	151	157	212	230	269	334	246	229	195	183	288	234	211	152	276	219		96004	100401	122382	159185	156537	179428	198666	208825	188078	197519	191347	157802	148680	153382	144869	146755	154110		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
75	"Nickel and articles thereof"	12	0	35	134	32	4	11	4	1	2	17	7	28	169	476	128	229		433036	443681	566592	775020	830226	1448140	2103576	1375617	714022	1069482	1171306	969394	956861	996213	802433	632779	741886		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
01	"Live animals"	488	527	606	624	774	654	706	484	713	535	256	435	683	581	449	495	357		1154409	1364800	1628279	1956387	2058971	2251348	2066259	2021113	1956233	2072812	2164355	1993322	1904077	1904875	1556839	1578000	1763251		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
81	"Other base metals; cermets; articles thereof"	149	21	13	39	83	33	144	0	18	1	780	1369	966	1268	564	590	388		186252	186369	196977	242163	275782	401389	546344	552895	269493	299324	448202	438594	447185	477405	439607	414686	470568		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
50	"Silk"	1644	1596	2524	2942	402	238	309	381	230	154	299	116	215	213	351	55	418		246482	201587	215582	257889	312378	389496	408494	429094	258033	329951	445263	400363	433802	441812	369498	328436	331804		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
