Product code	Product label	Turkey's exports to Belgium-Value in 2001	Turkey's exports to Belgium-Value in 2002	Turkey's exports to Belgium-Value in 2003	Turkey's exports to Belgium-Value in 2004	Turkey's exports to Belgium-Value in 2005	Turkey's exports to Belgium-Value in 2006	Turkey's exports to Belgium-Value in 2007	Turkey's exports to Belgium-Value in 2008	Turkey's exports to Belgium-Value in 2009	Turkey's exports to Belgium-Value in 2010	Turkey's exports to Belgium-Value in 2011	Turkey's exports to Belgium-Value in 2012	Turkey's exports to Belgium-Value in 2013	Turkey's exports to Belgium-Value in 2014	Turkey's exports to Belgium-Value in 2015	Turkey's exports to Belgium-Value in 2016	Turkey's exports to Belgium-Value in 2017	Belgium's imports from world- 	Belgium's imports from world-Value in 2001	Belgium's imports from world-Value in 2002	Belgium's imports from world-Value in 2003	Belgium's imports from world-Value in 2004	Belgium's imports from world-Value in 2005	Belgium's imports from world-Value in 2006	Belgium's imports from world-Value in 2007	Belgium's imports from world-Value in 2008	Belgium's imports from world-Value in 2009	Belgium's imports from world-Value in 2010	Belgium's imports from world-Value in 2011	Belgium's imports from world-Value in 2012	Belgium's imports from world-Value in 2013	Belgium's imports from world-Value in 2014	Belgium's imports from world-Value in 2015	Belgium's imports from world-Value in 2016	Belgium's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
10	"Cereals"	669	346	607	61	38	839	572	2216	256	74	413	2431	1218	2239	2906	2502	3304		758413	841656	1011008	1100433	991197	1167967	1870168	2547419	1752232	1675785	2304594	2598320	2823168	2302903	1855404	1839484	2050273		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	9506	6815	7975	8822	7794	7152	6622	5498	4476	3555	3338	3833	5618	5004	3558	3905	3350		587862	626437	723691	824901	923940	964249	1128641	1184819	1000434	1060880	1222758	1178395	1309326	1292746	1147951	1188996	1222256		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
64	"Footwear, gaiters and the like; parts of such articles"	1844	2620	3219	3193	2390	2941	4325	3671	3298	5109	9442	5516	3262	4753	3025	3484	3569		1356669	1417938	1603715	1857025	2027605	2181375	2613907	2915713	2705201	2657504	2489484	3067850	3513612	3850392	3611487	4003767	4547283		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
96	"Miscellaneous manufactured articles"	716	790	1035	1233	1034	1313	1960	2364	1871	1746	1394	1173	3040	6493	3750	1886	4239		260963	271982	316703	347919	349157	374206	429699	469397	400026	429483	485612	888998	1060823	1039215	837031	879768	997372		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
17	"Sugars and sugar confectionery"	3248	4525	8325	10655	7081	8661	18732	11125	3279	1778	3373	6501	3571	3864	3006	3212	4514		875871	820708	833447	855911	1353942	1107089	824748	933320	951331	900744	1075732	1209639	1334475	1157868	763449	959467	1123169		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1900	2282	2903	5619	7263	8074	7893	11390	8623	8554	8723	7068	5356	5911	4798	4626	4552		408240	411334	492072	608892	683267	709325	964569	1074557	856055	944463	1051553	978827	1028931	1049311	792332	814553	866699		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
22	"Beverages, spirits and vinegar"	1216	1653	2613	2863	2707	3884	3823	3662	3297	3618	4168	4036	3868	4238	4880	5584	4561		1386895	1571954	1825197	2088595	2179377	2310479	3239770	3598305	2798868	2692222	3038850	3124328	3371559	3335434	2766139	2832567	2974950		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
18	"Cocoa and cocoa preparations"	9826	4977	3881	275	2886	355	442	632	649	656	462	736	477	891	1054	889	4853		526321	703834	972432	1005065	1119975	1221002	1511060	1676233	1580116	1704314	2025775	1729420	2081531	2521978	2363672	2857724	2614070		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	440	324	433	398	541	672	1187	1659	2445	2078	1850	2441	3614	3635	3487	4043	6267		864043	1016227	1222289	1341274	1373869	1460871	1682678	1831387	1646092	1788670	2074472	1819507	2168866	2243395	1852349	1986900	2063958		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
74	"Copper and articles thereof"	2363	3025	8702	860	622	3611	5259	1986	2672	4677	4158	10407	6513	19272	6046	5560	6717		983174	1016882	1327011	1723858	1981949	3906274	4053268	4079245	3018834	4289324	5217616	5224578	4717540	4126616	3287846	3005608	3701255		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	4092	5593	6648	3743	3189	3587	3961	5263	5043	5293	6007	5841	6023	6256	6119	6035	6799		87532	92967	114761	120546	135716	132113	126910	134590	107367	98373	108899	89842	104565	111313	110124	95111	86131		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
55	"Man-made staple fibres"	7799	5246	7322	8082	8905	16709	17860	18453	7490	7964	12776	13517	9870	12160	6928	6356	6934		627145	587655	517515	579356	562783	582373	652220	632377	523918	519393	611774	536728	606823	553431	474722	500316	457231		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	325	457	453	2521	4132	6520	5799	6386	4523	6640	7263	6340	6187	6511	4222	6288	7848		309860	323805	358378	439662	461593	524429	551993	596797	461565	515354	591274	462271	574885	541178	455246	411523	527441		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	10952	6804	9457	9957	9408	6887	5480	8957	9221	13707	20355	19494	13758	15969	15239	15956	8085		632213	686457	904473	1048352	1121717	1166059	1338158	2093874	1291773	1466590	1816157	1601660	1610696	1487230	1227218	1163610	1225961		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	637	1379	2835	4357	5410	4725	3730	4448	3198	2438	3665	5650	6111	8975	10716	8772	8597		4031416	3827777	4637024	5696667	6175625	6908032	8134357	9733629	9486745	9751140	11298917	11018636	12854084	13180001	12309425	12249357	12687413		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
52	"Cotton"	26619	29916	16891	16372	13441	15687	15292	14418	10208	8013	11639	9845	8297	10588	12041	9959	9191		683385	629286	605267	609786	546249	537523	609520	597923	451467	453192	580350	400682	416510	387562	339649	314929	339348		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
09	"Coffee, tea, maté and spices"	735	645	1028	975	1010	1379	3722	7542	4418	3443	5766	7939	8680	10415	11047	11493	10291		355079	358581	408078	468772	619309	689952	757732	1360404	1122992	1243388	1834937	1556718	1361378	1254403	1270207	1202948	1355451		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
83	"Miscellaneous articles of base metal"	762	834	1230	2057	1999	2432	3155	8807	7740	3958	2647	2589	2754	5961	7886	9923	10587		652973	742160	831759	996496	961262	995069	1190252	1268638	1024014	1077335	1219800	1079114	1223588	1181691	987848	1053151	1139860		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
07	"Edible vegetables and certain roots and tubers"	5149	5912	9279	12832	11312	12471	10649	12654	9601	9886	9956	7251	10600	9693	9549	12969	10896		787098	861781	1052271	1177086	1164370	1339071	1695128	1800263	1608047	1604374	1832042	1808523	2293275	1950017	1728764	2075806	2178803		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
70	"Glass and glassware"	7546	8652	4710	5251	5794	7001	7549	14668	8600	7536	8372	7966	10327	10568	7399	9569	14196		1133428	1206735	1450307	1677554	1716967	1762223	2026284	2171267	1697124	1838577	2045307	1825501	2035758	1952866	1604561	1758827	1841473		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	2312	4503	3984	2783	3196	2505	6857	3456	5472	6377	9341	9962	12314	11311	14100	16151	16745		3512636	3744103	4492976	4958028	4957262	5123346	5956603	6452149	5357634	5501950	6226515	5299581	5623659	5334169	4269418	4417441	4651336		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	2472	2532	3512	2328	2587	1946	2254	3489	5180	11081	13849	13341	16824	17788	16127	20071	19272		750184	820699	1004167	1139019	1185952	1220225	1438372	1720669	1645414	1539998	1795498	1795605	1970692	1872820	1586805	1781034	1897928		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
69	"Ceramic products"	4644	7041	7801	10072	12325	11066	16333	14531	10800	13285	16126	15622	12939	13397	12135	14190	19355		490771	476008	592479	719597	794835	833158	1089392	1155460	909773	942129	961431	877960	966997	954479	809534	827871	863363		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
29	"Organic chemicals"	1340	1783	2551	12433	5744	5127	7634	18754	4199	6511	11065	16034	8773	4982	4212	3305	21993		10515797	12152664	13752892	20965578	26069617	27779291	31633172	29995338	26146287	30296188	36731792	35295376	37568322	35287116	32152117	30672023	30759064		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	31243	32926	42846	43067	39940	46516	57477	51638	31349	30273	31399	25253	27746	26710	18261	19294	22410		471161	500280	643489	770420	766052	874065	1024801	1110460	993055	1043198	1238733	1105164	1265164	1264082	1000052	1078332	1082045		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
57	"Carpets and other textile floor coverings"	1685	1109	1760	4339	5396	4261	10427	10238	17028	22596	29204	25199	29427	26746	26337	32068	30599		207008	204074	227660	247972	254875	263027	301625	291293	231843	258883	338305	244897	256686	280372	264250	263245	270821		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
76	"Aluminium and articles thereof"	6720	5467	7145	8197	9214	9691	13663	15321	12589	19077	24148	29066	45491	33841	26014	23705	31689		1989849	2093997	2167957	2790073	3069057	3866873	4602649	4091973	2631818	3587801	4183723	3464449	3643667	3435275	3028969	2801587	3067910		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	39610	36213	32580	33642	32618	36073	35703	42454	40068	55664	66643	66321	59642	67380	52743	44695	33780		2090503	2141395	2594469	2905696	3111269	3387254	3960618	4869769	3320808	3641218	4134483	3586746	3794715	3502291	2722123	2765442	2803753		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	7899	8940	12556	16178	16952	22292	22531	24516	23708	27600	32267	32133	29095	32640	32278	36517	37023		2434502	2458479	2915420	3412295	3724643	3868634	4647727	4908486	4053582	4000786	4480037	4045616	4860635	4300571	3442301	3610183	3692572		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	60343	38777	47329	71307	84060	64287	56724	72843	60228	68464	64767	68887	63865	67807	63568	35838	43822		1583492	1859417	2439093	2930828	3060247	3216907	3674901	4373212	3677124	3411086	3698758	3513708	4041819	3849061	3370022	3587710	3872468		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	9792	10270	17039	32543	54084	41561	43470	52102	32566	40548	74807	50325	46395	61129	79520	64255	58070		853463	928469	1069456	1175557	1336510	1500816	1791857	1951793	1857115	1731700	2075811	1956724	2405619	2551672	2203204	1960998	2041152		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	76464	73632	69002	75339	68443	55843	56420	47340	95803	141356	138956	124732	133383	125946	84323	66125	63003		2725734	2880440	3424057	3736722	4127094	4288729	4645677	5197095	4479331	4053865	4575197	3876099	4424005	4457057	3405687	3788922	3674067		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
40	"Rubber and articles thereof"	32668	36796	56238	54461	66287	74023	104691	82202	57751	66645	87864	56875	46716	58483	55601	59884	64663		2215352	2238953	2712071	3268930	3421748	3740267	4786953	5143561	3801901	4626323	5951957	5212198	5591340	5167676	4064826	4254680	4664771		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
24	"Tobacco and manufactured tobacco substitutes"	4601	27230	21325	31388	59625	63796	58267	78463	71365	109369	69740	44317	45651	77228	43894	34777	71921		517909	644477	778070	917026	780238	811950	878937	999823	1188386	1212470	1333034	1268935	1453404	1712615	1573088	1590358	1815279		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	36	484	232	254	1116	1382	6698	7781	5936	6765	14805	34481	6535	104183	56972	84288	73531		15416005	15650283	20480124	27537619	39366190	47922657	48209065	71663896	43666358	54167279	76172488	76838209	91720457	74374784	45656654	37888378	48286888		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	33105	29568	66553	65989	58737	65621	66388	84944	107996	119125	136339	125898	107934	106122	84195	84292	78972		14009758	12142347	13446484	15910202	16932072	18420997	21092904	22623716	18572252	19693728	22014062	19048779	19694354	18656251	15948901	16696805	17791572		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
39	"Plastics and articles thereof"	10260	8141	10197	15916	22839	38836	35988	46479	37985	49011	68411	74721	68721	72353	75615	73325	79219		8042698	8595280	9977463	11961625	13072260	14848280	17327647	18262827	14257308	16628412	19031308	17939487	20183471	19370032	15723409	16891586	19412237		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
73	"Articles of iron or steel"	28122	26899	32683	74128	65698	82825	101665	123488	57532	64383	85154	64948	60673	76966	47628	54826	86308		2658900	2655273	3112071	4046290	4287570	4988184	6480709	7780807	5321679	5257269	6191156	5451734	5938685	5585309	4467098	4603456	5059284		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
54	"Man-made filaments; strip and the like of man-made textile materials"	11789	10861	15355	29186	25111	40412	61544	54826	55687	70053	80863	87259	114226	124096	129130	134041	131993		697777	767027	732403	834439	793366	868260	998322	903645	598867	716374	801333	703282	769947	774491	699389	712103	735876		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	3536	2129	2722	4221	4604	5424	31281	34211	17386	19381	29096	50350	29634	87934	77915	76637	150723		12048424	14020793	12376003	15040230	17281061	15705155	20250328	18255805	12332186	17224762	23678036	21467974	23353044	21416785	17123781	17517886	15030060		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
72	"Iron and steel"	5522	1658	12643	92155	47004	39595	69398	105319	36990	57666	116314	58876	54673	72368	56167	61261	157765		4078705	4325969	5999138	9079681	9536410	13044118	18498273	19581165	9281923	12291441	16630883	12286832	12363860	11923314	9765600	9598785	12869187		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	39213	33064	49568	63379	78913	95256	129729	149528	113225	134796	151489	169269	186103	184036	178326	194170	187992		19550919	19922256	23784315	27729373	28412891	29744126	36648955	40491070	28724897	30244935	37191589	34263898	36598066	35290381	28935038	31034249	32859235		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	98003	114708	143910	147594	125732	143028	160770	190685	190956	218735	244182	225386	245398	246946	206659	214319	204606		1947404	2044444	2532769	3041531	3282894	3583990	4093759	4671797	4204410	4111969	4658575	4108849	4708119	4750776	3837103	4485663	4549931		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
26	"Ores, slag and ash"	8753	11025	11118	17680	36920	62903	57192	34315	28576	82231	65440	84899	102467	119057	70338	106579	206353		787000	890468	1099725	1906628	2761070	3457858	3753675	3139736	1486001	3417818	4541261	3711125	3950290	3712591	2843122	2493416	3390371		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	38773	37990	83790	135277	201386	205665	314371	538209	501069	345697	599030	622553	840582	915943	871826	817013	1086120		22420586	23918172	29873574	35108206	34610422	37881238	45779937	50110021	36775677	40068190	45070056	42352185	48793036	44264628	42506978	47017154	53250419		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
