Product code	Product label	Turkey's imports from France-Value in 2001	Turkey's imports from France-Value in 2002	Turkey's imports from France-Value in 2003	Turkey's imports from France-Value in 2004	Turkey's imports from France-Value in 2005	Turkey's imports from France-Value in 2006	Turkey's imports from France-Value in 2007	Turkey's imports from France-Value in 2008	Turkey's imports from France-Value in 2009	Turkey's imports from France-Value in 2010	Turkey's imports from France-Value in 2011	Turkey's imports from France-Value in 2012	Turkey's imports from France-Value in 2013	Turkey's imports from France-Value in 2014	Turkey's imports from France-Value in 2015	Turkey's imports from France-Value in 2016	Turkey's imports from France-Value in 2017	France's exports to world- 	France's exports to world-Value in 2001	France's exports to world-Value in 2002	France's exports to world-Value in 2003	France's exports to world-Value in 2004	France's exports to world-Value in 2005	France's exports to world-Value in 2006	France's exports to world-Value in 2007	France's exports to world-Value in 2008	France's exports to world-Value in 2009	France's exports to world-Value in 2010	France's exports to world-Value in 2011	France's exports to world-Value in 2012	France's exports to world-Value in 2013	France's exports to world-Value in 2014	France's exports to world-Value in 2015	France's exports to world-Value in 2016	France's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8709	"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ..."	231	22	18	20	522	91	505	261	679	3649	3636	2873	3779	2651	4110	2430	2913		34687	20885	29823	49034	60468	80118	89344	103785	58136	71635	84609	67739	88544	86433	103674	103087	105985		1456	1831	1683	7278	3662	5230	9833	11371	4665	10723	11420	16834	14606	12901	24886	14819	10119	
8403	"Central heating boilers, non-electric; parts thereof (excluding vapour generating boilers and ..."	7741	7304	5743	13213	14508	24023	9127	8974	3241	2431	4196	4479	4230	3693	3153	3203	2945		309838	272486	356220	471745	469428	546384	603372	724238	543254	532980	577550	529713	548119	530343	451120	430025	446038		52435	71598	121021	169301	213620	296069	251838	271039	157481	183498	267531	235012	207674	171739	143052	131451	145554	
3212	"Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste ..."	568	1028	1655	1940	2229	3842	5769	7430	5154	5642	4129	3462	3598	2866	2178	3065	2972		63043	42949	46111	77121	103961	132982	139896	147162	126283	141671	135789	130291	141476	121628	83595	85561	94335		9840	14060	20151	27809	30183	43124	59331	55509	39721	48147	55058	52523	55123	53294	46986	45165	53931	
9402	"Medical, surgical, dental or veterinary furniture, e.g. operating tables, examination tables, ..."	276	103	1293	1788	4763	1541	1790	3391	2103	1769	3194	2828	2403	1802	2636	2494	2992		89472	63312	74070	73139	116699	105875	111646	142744	89435	72463	80216	92244	107007	110824	75454	77891	87415		7410	4471	12013	13311	24051	26190	31110	42455	19491	27218	32296	26977	26470	37285	29815	32656	24519	
4804	"Uncoated kraft paper and paperboard, in rolls of a width > 36 cm or in square or rectangular ..."	226	304	4470	4791	3407	3827	9372	6846	3035	4490	4484	4121	3657	2463	3699	4085	2993		232525	237621	270212	325056	304380	307114	351037	413636	313159	355747	405664	356782	419473	417310	380388	346129	328409		47706	70791	125541	148746	165415	207564	253288	291974	224887	353500	397686	354520	409637	420801	344183	321218	356249	
3913	"Natural polymers, e.g. alginic acid, and modified natural polymers, e.g. hardened proteins, ..."	82	191	41	69	139	198	324	538	1189	1591	2127	2281	2151	2978	2499	3185	3005		59804	61552	62815	130119	93787	85225	97255	131529	138406	220616	259187	174945	195040	183209	176357	181223	195305		5959	7178	8175	10903	12372	11894	13825	15288	12098	16589	22190	20914	27376	28190	23437	23677	22033	
9701	"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ..."	157	371	49	92	427	790	5472	2823	947	3022	4487	4971	3745	3863	3254	4015	3013		328312	286238	439292	455847	441764	659761	725563	994569	697112	473160	1056233	1243050	1430199	868027	772006	1306745	835940		2344	978	1052	1825	2478	3939	12718	16390	8452	15826	22574	18647	32378	31389	20128	26163	21427	
6001	"Pile fabrics, incl. "long pile" fabrics and terry fabrics, knitted or crocheted"	404	690	414	100	290	240	80	353	58	39	1145	5045	6496	4768	4646	2531	3040		40552	66899	59853	66934	52680	48034	48172	37124	27313	23478	23309	21958	24331	25480	20605	15380	14989		10391	18618	29362	39330	35717	32138	35811	47366	48028	78946	159394	123210	168664	213834	197711	147784	167590	
3401	"Soap; organic surface-active products and preparations for use as soap, in the form of bars, ..."	103	51	146	377	393	792	623	821	1046	1352	2124	1668	2354	2081	2404	2624	3054		104293	139396	176121	222682	248586	292582	358248	385733	366216	408145	392400	384277	383873	373286	337115	353372	378214		8790	4985	6895	8645	7952	16188	21402	27613	37758	48294	73541	69992	84793	85330	93694	90575	106352	
8433	"Harvesting or threshing machinery, incl. straw or fodder balers; grass or hay mowers; machines ..."	360	41	569	1578	2049	3505	2093	2135	1893	2029	2340	6186	4865	6971	4569	5524	3080		482754	517701	630401	746854	893974	883418	1036637	1253422	881956	919956	1112082	1129209	1115819	1163470	950880	905241	1049979		28042	17700	27231	91593	175846	224952	185916	110035	73252	122240	216888	220052	308324	196575	188104	176419	171054	
