Product code	Product label	Turkey's imports from France-Value in 2001	Turkey's imports from France-Value in 2002	Turkey's imports from France-Value in 2003	Turkey's imports from France-Value in 2004	Turkey's imports from France-Value in 2005	Turkey's imports from France-Value in 2006	Turkey's imports from France-Value in 2007	Turkey's imports from France-Value in 2008	Turkey's imports from France-Value in 2009	Turkey's imports from France-Value in 2010	Turkey's imports from France-Value in 2011	Turkey's imports from France-Value in 2012	Turkey's imports from France-Value in 2013	Turkey's imports from France-Value in 2014	Turkey's imports from France-Value in 2015	Turkey's imports from France-Value in 2016	Turkey's imports from France-Value in 2017	France's exports to world- 	France's exports to world-Value in 2001	France's exports to world-Value in 2002	France's exports to world-Value in 2003	France's exports to world-Value in 2004	France's exports to world-Value in 2005	France's exports to world-Value in 2006	France's exports to world-Value in 2007	France's exports to world-Value in 2008	France's exports to world-Value in 2009	France's exports to world-Value in 2010	France's exports to world-Value in 2011	France's exports to world-Value in 2012	France's exports to world-Value in 2013	France's exports to world-Value in 2014	France's exports to world-Value in 2015	France's exports to world-Value in 2016	France's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	2283939	3047501	4164120	6201348	5887817	7239953	7849709	9022015	7091795	8176600	9229558	8589896	8079840	8122571	7583968	7364715	8070987		289599105	304891879	358131717	413708422	434354245	479012852	539730712	594504995	464112811	511651043	585723824	558460545	568668943	568511514	494503067	488656836	522838325		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		671274	639947	740064	926241	961722	1021346	1044357	1287827	1092736	1073887	1230911	1214747	1248332	1117957	830351	878506	932945		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		82207	69826	80560	113697	155597	180551	193997	171662	168172	142229	167002	165429	195275	211076	178755	196091	209259		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	243	0		139128	111596	162092	183000	196532	199910	208511	192318	162905	165862	172765	158859	181331	185641	173931	177173	174224		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	44	0	28	0	0	472	1569	708	832	37	0	0		42127	49226	49682	60682	66985	63855	62832	48371	40522	58972	81373	73827	93808	102852	60105	47221	50918		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		43810	34520	40376	36876	53835	51074	52054	66354	54702	42483	54863	71454	73111	51345	62504	62174	51056		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		53620	55932	69312	55384	77705	83918	84109	85135	78527	80112	85209	82829	92025	96968	91043	84525	85795		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6271	6672	9083	5257	3760	3900	6016	7722	4350	2890	2365	1449	2968	3829	2522	2626	3086		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		101	29	31	35	61	55	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
0903	"Mate"	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	9	0		37	76	141	460	442	507	752	816	875	897	871	1504	1096	1630	2415	2188	1981		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	12	0	0	0	0	0	0	28	64	154	94	86	30	24	55	19	0		24895	25948	34194	40551	36278	38418	38354	38101	33245	31815	33303	61038	32660	38168	28552	25214	20317		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3316	6874	7778	9789	11943	15647	18081	14878	6747	21421	14006	15266	9408	10539	7785	8692	12506		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	9	28	42	32	50	16	139	197	703	303	19	50	13	9	0	87		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	112	0		125517	114541	104566	94878	121964	155950	159345	399653	167811	151761	199093	133426	183349	200534	105777	94077	173378		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		727	205	183	535	128	77	125	103	125	192	229	266	472	666	187	93	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0		4992	6821	8856	13879	13455	15507	19160	16374	15573	15312	15519	12602	11800	13228	12320	12380	13325		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	8	0	76	86	22	0	0	0	1	2	0	3	0	15	0	0		3054	2680	2208	3620	3989	4979	4187	3868	2576	3423	5204	3428	2917	2135	1809	1691	4983		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2470	4877	6843	6950	8822	7941	12292	10711	15092	16966	13768	14004	15795	19098	14585	11351	13376		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1109	1221	1700	1178	881	911	799	782	766	897	610	370	159	213	315	1264	601		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		552	338	376	1177	847	546	655	503	232	200	126	48	149	210	173	85	167		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	15	121	63	72	27	36	19	3	19	43	0	44	1	5	16	7	0		23497	28729	35799	33006	25502	22994	18672	15235	13346	16971	23174	16157	21798	22504	18814	13985	12792		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	1	0	2	0	1	0	0	35	29	0	2	0	0	0		628	675	620	761	602	374	482	724	1114	703	677	476	652	533	340	690	315		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	277	37	79	3	10	16	262	148	43	42	27	5	41	23	3	0	0		9054	9869	10762	12796	9591	10652	10438	11338	5927	6380	9937	5531	4633	4654	5331	6875	6607		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	5	90	0	0	0		255	226	72	78	785	684	587	766	449	493	343	385	589	874	314	274	311		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	14	0	0	2	11	0	1	0	0	0	31	15	40	14	0	0		658	1327	3006	4894	3603	5360	5168	3905	3387	3388	3150	3653	2755	4417	4194	3880	4206		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	26	25	0	19	0	0	0	0	0	0	0	0	0		58858	61051	74114	84854	82872	85496	100781	91665	75540	76446	86937	75988	75497	74977	74310	76079	79420		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0		452	2258	655	731	972	965	701	677	402	616	1179	1738	496	564	539	750	554		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	49	0	0	24	0	0	0	0	0	32	0	8	1	0	0	0	0		239471	134298	100917	112666	101014	106231	113898	100559	51479	111541	86248	100409	107109	131228	127020	95164	103791		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		335	401	745	2431	2472	2644	5583	8519	5824	9445	7790	10263	8090	8620	8250	7409	6043		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	8	1	13	2	0	4	0	0	0	0	0	0	0	0	0	0	0		1180	1231	1482	1995	2456	2332	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0		402	236	720	1333	370	609	3225	502	140	99	327	245	208	128	0	51	9885		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5604	5049	5411	9341	11681	17558	48716	20641	19892	46836	29452	20568	31625	34577	68083	58049	64765		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8715	"Baby carriages and parts thereof, n.e.s."	40	38	38	16	17	38	41	37	22	2	1	8	35	0	5	0	0		11735	11823	13636	18425	20430	21775	28819	34270	23917	21796	21286	18903	19583	23027	28334	18644	20117		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	74	21	4	13	9	262	72	2	0	9	51	60	7	2	0	0	0		16220	15028	14685	13940	9783	9567	11474	10292	7391	3271	6858	6007	3429	3215	1999	1788	2018		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	1	5	11	9	0	2	0	4	2	0	1	1	0	1	0	0		48713	50703	39736	40828	42580	65102	68460	62473	35317	29512	41879	35505	30401	24654	24066	30495	45855		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		372	455	610	4871	576	714	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	27444	10147	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		416	291	282	231	475	363	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		102717	115427	141113	123124	160601	150583	136609	153729	159925	174334	156477	146973	172455	139014	120870	111795	118053		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		163216	208506	251607	236303	252278	294890	287028	264167	253827	249396	246044	252159	258329	245872	211726	195053	190948		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		27819	29421	44329	55821	53047	52609	62478	84762	55347	42479	53370	54973	50734	41823	29714	28122	29689		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	33	87	25	0	0	373	106	166	201	152	93	14	66	48	67	12	0		1260	1455	1765	3505	5437	6370	7351	7840	6986	8481	9574	10900	12171	11599	13721	14285	17745		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28636	37914	44111	58876	102563	121832	147356	172391	166908	155218	146798	160561	160005	141119	103290	95604	111548		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	1	78	110	208	0	12	0	0	172	459	0	0	0	67	0	137	0		30887	33142	41499	50591	56723	55854	66467	72762	70314	77085	82540	71164	79753	88172	83815	83034	89769		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	0	0	0	0	0	17	81	0	0	107	0	0	0	0		13318	17717	21664	26820	23561	29458	35012	47927	52943	52651	46066	33312	48167	47044	36219	34297	38403		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2502	"Unroasted iron pyrites"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	18	36	41	52	102	56	91	83	115	112	78	182	67	104	66	170		17	30	46	59	47	75	91	112	43	192	155	86	126	157	289	270	279	
2511	"Natural barium sulphate "barytes"; natural barium carbonate "witherite", whether or not calcined ..."	0	0	0	0	0	7	8	14	13	0	0	63	174	42	3	0	0		11	48	0	5	2	4	5	53	31	4	1	6	18	58	44	42	59		101	89	65	151	368	162	262	208	177	169	579	1226	4570	5562	1961	1945	2425	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0		3182	1988	1461	3425	2214	1501	2325	2797	1330	3199	4204	4336	5066	7853	6952	6090	5607		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2601	"Iron ores and concentrates, incl. roasted iron pyrites"	1	13	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0		2460	1505	3630	3798	8065	10296	7086	9184	12341	7167	24237	15868	27513	17640	11870	8931	5036		82142	163995	161185	205182	315080	538019	636803	749438	902329	923743	1169657	1148803	1159543	1067142	800476	697767	1010678	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1105	7	6	257	3332	3722	2012	2027	886	1107	1861	380	494	1315	509	428	686		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2704	"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		74693	46233	69591	187082	164081	190595	231004	340174	247747	45574	34778	18041	2677	16104	5625	14659	993		48372	60020	56742	94738	107591	76638	95719	96879	58367	54984	128276	115869	131467	73004	110419	100617	468781	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8739	4567	8829	13128	18930	26505	32898	37787	18624	16339	26240	40125	45342	37336	24065	18645	34255		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
3807	"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ..."	0	0	0	0	2	10	0	0	0	0	0	0	3	0	0	0	0		775	438	491	298	324	195	257	593	4690	1946	717	2077	602	1143	566	1236	2555		2	0	10	39	134	212	1115	710	735	539	572	1059	998	755	743	629	720	
4301	"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ..."	0	0	0	35	0	0	0	6	0	0	0	0	0	9	9	0	0		2563	3199	5354	6156	8183	8702	9243	9513	10795	34055	55258	42930	60637	35244	13439	4796	4661		227	157	65	238	160	285	97	743	414	640	3094	4460	5096	5647	1566	2627	7417	
4501	"Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2815	3364	3544	2261	2462	2410	2024	1319	795	842	152	52	22	39	133	612	3678		306	370	325	296	224	305	308	318	197	221	242	186	258	261	214	215	384	
4706	"Pulps of fibres derived from recovered "waste and scrap" paper or paperboard or of other fibrous ..."	0	0	0	0	0	33	53	0	0	0	0	0	1	0	0	0	0		22460	28736	28471	35253	41438	40525	53390	59282	34664	36021	24852	26712	23039	36092	28426	22984	28501		188	384	290	467	580	650	654	930	3357	2785	3379	4450	4046	2715	3276	2236	2686	
4905	"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ..."	0	0	1	2	0	0	0	0	0	0	0	0	0	8	0	1	0		19822	19567	25323	23120	21467	17019	20156	18280	12119	12193	11037	13281	16246	14105	11826	9430	8569		360	1588	625	621	1172	1066	2105	2312	2042	1449	1272	1451	1541	1783	1222	596	316	
5002	"Raw silk "non-thrown""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		19	121	19	178	17	24	67	96	260	37	87	0	24	76	0	0	0		3792	2931	2951	3821	2910	2448	2764	1924	1146	2205	3359	1575	2425	2291	1524	1014	614	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	52	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13685	12756	14729	17133	11163	8372	7816	3543	1603	3572	1066	879	876	1025	1239	1181	1272		301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5202	"Cotton waste, incl. yarn waste and garnetted stock"	45	112	40	24	0	0	0	0	42	49	0	0	0	1	0	0	0		12895	11341	13615	19151	13065	14824	15181	17172	14439	10387	16918	12945	17719	15860	15753	15416	17528		2551	3510	6888	7300	2767	3891	4998	5597	5176	5600	14053	4542	7132	7165	10124	7909	21983	
5204	"Cotton sewing thread, whether or not put up for retail sale"	0	1	0	88	29	24	2	2	1	58	0	0	0	1	11	12	0		5419	4405	2994	2257	2037	1903	2595	3533	4243	3588	3264	3331	2950	4151	2101	2630	2053		680	723	606	482	246	336	644	944	1195	2224	3220	4447	4278	2658	3088	3200	2206	
5308	"Yarn of vegetable textile fibres; paper yarn (excluding flax yarn, yarn of jute or of other ..."	0	2	6	0	1	0	0	1	0	0	0	66	0	0	0	0	0		489	243	445	291	397	780	675	807	590	358	369	325	360	225	21	103	125		879	683	1277	1782	2615	1567	1335	1070	961	849	1274	806	810	1453	1524	1457	1439	
6309	"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46485	44165	51524	42128	40769	40311	48720	55640	56594	60493	65998	76064	92241	96898	83200	82611	86987		14	2	5	4	1	13	73	48	6	8	5	2	13	1	0	0	9	
6801	"Setts, curbstones and flagstones, of natural stone (excluding slate)"	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		5646	5656	5734	8764	9781	11134	14687	16635	13879	15741	14095	14096	12394	13438	9535	10336	11846		583	20	419	812	6115	9041	5060	1283	2137	1109	809	1310	2756	1066	509	1574	2616	
6803	"Worked slate and articles of slate or of agglomerated slate (excluding slate granules, chippings ..."	180	498	915	1132	1106	1003	115	4	0	1	0	0	3	1	4	1	0		2839	2879	2787	2506	2780	2940	3259	1971	1473	2371	1063	2313	1507	1134	947	933	1205		356	1165	999	1199	1207	1409	592	640	414	594	624	706	1427	898	863	432	454	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	200	19	2	5	0	75	2	0	2	3	3	0	0	0	0	0	0		1028	721	419	449	519	476	933	1713	1514	376	251	105	144	122	91	16	73		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
7221	"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"	0	4	10	0	16	451	468	462	296	300	53	0	0	0	8	1	0		127058	125104	125962	177973	170968	240207	341328	327423	143872	245683	295082	255513	236136	266854	216231	181130	227843		185	414	518	609	1021	545	567	1327	529	547	719	361	443	653	654	489	245	
7902	"Zinc waste and scrap (excluding ash and residues from zinc production "heading 2620", ingots ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		29972	22037	27476	45994	75125	143056	138389	85897	58593	91735	92557	90763	110902	143807	101001	111644	145452		0	159	54	306	150	2164	5573	2951	304	282	87	139	146	360	312	409	1339	
8103	"Tantalum and articles thereof, n.e.s.; tantalum waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0		1791	806	1196	2110	3603	2565	2738	3697	2963	4019	6579	8943	12091	4649	4617	4999	5597		3	0	37	22	148	18	50	198	144	46	26	196	39	515	28	346	69	
8520	"Magnetic tape recorders and other sound recording apparatus whether or not incorporating a ..."	2	4	17	6	18	15	0	0	0	0	0	0	0	0	0	0	0		15621	16335	19619	40221	76593	66979	0	0	0	0	0	0	0	0	0	0	0		947	1187	2255	4503	16442	25448	0	0	0	0	0	0	0	0	0	0	0	
8902	"Fishing vessels; factory ships and other vessels for processing or preserving fishery products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		54033	25733	17507	7999	13463	30888	30441	14484	62599	11693	4094	868	1549	33591	714	2040	1439		0	0	0	0	31	0	0	0	126	339	0	2818	0	0	0	0	0	
9101	"Wrist-watches, pocket-watches and other watches, incl. stop-watches, with case of precious ..."	104	100	6	43	53	19	60	154	38	144	13	0	4	3	167	4	0		87198	102762	92638	105461	151800	226964	313158	383321	354631	381950	529763	743032	898431	1092203	1133438	1076912	1117077		10441	13214	17060	18011	19697	24672	41761	51714	34967	37692	35778	32178	47670	44600	37623	29753	30122	
9702	"Original engravings, prints and lithographs"	2	0	0	0	0	0	0	3	0	0	36	51	34	92	56	32	0		23229	19783	19692	17182	31635	34167	41387	40993	18268	21844	20439	15856	16838	21350	13271	12180	13798		2	2	1	4	3	30	16	71	3	6	243	481	582	155	360	349	122	
0204	"Meat of sheep or goats, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46489	42698	70413	71550	73204	75833	76281	77895	73473	82300	88139	74064	70130	76571	68248	69015	74653		112	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0510	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3551	2429	2130	2450	3042	3944	5132	7557	7989	6803	5302	4256	6920	6071	3897	3640	6335		14	12	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	
0708	"Leguminous vegetables, shelled or unshelled, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27704	32928	58314	62679	72929	70575	83630	86517	90280	79062	89057	90227	100470	103823	90579	92193	95379		48	1	0	0	0	0	0	2	19	0	1	0	0	0	0	0	33	
0711	"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ..."	0	0	34	0	0	0	32	0	0	0	0	0	0	0	0	0	0		3540	3622	3926	4863	5733	5987	5701	5918	3080	1636	1991	4470	5915	5931	858	1021	1213		2991	4457	2831	2898	4414	4335	7626	14377	8176	8705	12275	14968	19526	21944	15028	12312	10604	
0801	"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		2284	1663	1837	2032	2380	2214	3358	5619	3616	3853	3741	3454	6387	9103	8644	9286	10083		1163	3824	5488	4799	9461	9160	13378	21359	18342	22490	33289	26598	24429	39325	43859	39944	41890	
0812	"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		825	663	633	1219	1014	872	1144	3666	3804	3735	1984	1903	864	838	1141	457	941		0	0	0	1	25	17	10	0	0	0	0	0	0	0	4	1	1	
0904	"Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ..."	0	0	7	0	0	0	0	0	0	14	0	0	6	0	0	0	0		6140	7856	7750	8805	12554	14636	20653	25247	32760	34412	41424	44827	44402	49272	58004	68509	64344		2480	3849	4767	4520	5154	5526	6943	7778	8912	8676	8014	10152	16261	8869	10698	12710	32676	
1401	"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ..."	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0		2008	1970	1707	1620	1978	3410	3487	4026	2137	2900	2066	2946	3131	3454	2124	1855	3487		101	118	171	317	417	494	689	846	822	869	1035	868	1357	1728	1552	1356	1678	
