Product code	Product label	Turkey's imports from Iran, Islamic Republic of-Value in 2001	Turkey's imports from Iran, Islamic Republic of-Value in 2002	Turkey's imports from Iran, Islamic Republic of-Value in 2003	Turkey's imports from Iran, Islamic Republic of-Value in 2004	Turkey's imports from Iran, Islamic Republic of-Value in 2005	Turkey's imports from Iran, Islamic Republic of-Value in 2006	Turkey's imports from Iran, Islamic Republic of-Value in 2007	Turkey's imports from Iran, Islamic Republic of-Value in 2008	Turkey's imports from Iran, Islamic Republic of-Value in 2009	Turkey's imports from Iran, Islamic Republic of-Value in 2010	Turkey's imports from Iran, Islamic Republic of-Value in 2011	Turkey's imports from Iran, Islamic Republic of-Value in 2012	Turkey's imports from Iran, Islamic Republic of-Value in 2013	Turkey's imports from Iran, Islamic Republic of-Value in 2014	Turkey's imports from Iran, Islamic Republic of-Value in 2015	Turkey's imports from Iran, Islamic Republic of-Value in 2016	Turkey's imports from Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's exports to world- 	Iran, Islamic Republic of's exports to world-Value in 2001	Iran, Islamic Republic of's exports to world-Value in 2002	Iran, Islamic Republic of's exports to world-Value in 2003	Iran, Islamic Republic of's exports to world-Value in 2004	Iran, Islamic Republic of's exports to world-Value in 2005	Iran, Islamic Republic of's exports to world-Value in 2006	Iran, Islamic Republic of's exports to world-Value in 2007	Iran, Islamic Republic of's exports to world-Value in 2008	Iran, Islamic Republic of's exports to world-Value in 2009	Iran, Islamic Republic of's exports to world-Value in 2010	Iran, Islamic Republic of's exports to world-Value in 2011	Iran, Islamic Republic of's exports to world-Value in 2012	Iran, Islamic Republic of's exports to world-Value in 2013	Iran, Islamic Republic of's exports to world-Value in 2014	Iran, Islamic Republic of's exports to world-Value in 2015	Iran, Islamic Republic of's exports to world-Value in 2016	Iran, Islamic Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	839800	920462	1860683	1962059	3469706	5626610	6615394	8199689	3405986	7645008	12461532	11964779	10383217	9833290	6096242	4699777	7492170		23904000	28186000	33788000	44628000	60012000	63247000	83537407	107236085	77575221	108607361	137421481	132713014	92122800	90328135		83148194	66361757		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	496	0	2071	0	0	0	0	0	0	0	0	0	0		0			11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
9402	"Medical, surgical, dental or veterinary furniture, e.g. operating tables, examination tables, ..."	0	0	0	2	0	0	7	0	0	0	98	0	4	0	13	0	0		111	96	93	53	204	547	254	200	408	1096	621	795	2066	860		3971	1668		7410	4471	12013	13311	24051	26190	31110	42455	19491	27218	32296	26977	26470	37285	29815	32656	24519	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	34	0	24	15	678	308	111	969	18	83	168		4			23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	0	0	0	0	0	4	0	0	0	0	0	0	3	0	2	0	0		164	295	302	661	1561	1490	1454	1280	567	351	762	854	971	993		1741	194		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	0	1	0	33	0	0	1	0	6	0	0		0			154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0			26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	6	0	5	0	1	0	0	2		0	3		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	0	0	0	0	0	0	0	0	0	52	0	251	11	0	0	0		0	0	38	0	0	0	0	0	36	0	0	32	215	286		134	3		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	0	0	0	0	5	0	0	0	1	0	0	28	51	54	23	0	0		212	398	1115	1179	1480	2466	3708	3076	2509	3759	4886	8707	5636	2612		2410	134		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
8543	"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85 and parts ..."	0	0	0	0	0	2	0	0	0	30	0	1	1	0	0	1	0		48	54	26	41	46	154	123	17	20	12	24	25	3	6		147	400		70898	69422	122935	159406	187272	202272	248360	249489	206227	245472	317256	317840	341704	335405	306896	337190	261012	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	2	0	12	26	0	0	27	0	143	0	351	22	227		0	207		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
8713	"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	271	55	1	0	0	0	0	0	0	7	21		0	34		981	1206	1044	1697	3428	4471	7167	9084	4426	7157	9393	8441	13423	13520	13123	14742	17029	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1121	733	605	3016	1190	1397	114	807	622	144	82	3	15	3		10	77		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9001	"Optical fibres and optical fibre bundles; optical fibre cables (excluding made up of individually ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0		40	0	0	0	85	28	21	4	4	1200	3	33	154	25		4398	1841		30904	27323	25708	30831	40075	47124	58202	80132	70313	104503	122209	113700	137283	186882	169667	165564	175584	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		21	37	20	77	52	9	0	1	0	0	0	0	0	0		0			2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9011	"Optical microscopes, incl. those for photomicrography, cinephotomicrography or microprojection ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		33	0	0	11	0	79	0	2	0	0	0	1	0	0		0	68		6628	5188	9175	12426	16869	15666	21751	21492	16813	18238	21248	21739	21858	27858	22108	20620	20763	
9015	"Surveying, incl. photogrammetrical surveying, hydrographic, oceanographic, hydrological, meteorological ..."	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0		0	1	0	6	0	267	0	115	69	769	7231	44	82	2241		443	87		12234	23623	16972	21316	46124	34709	48906	47202	59403	58677	62740	69588	75274	79863	73106	51377	67053	
7304	"Tubes, pipes and hollow profiles, seamless, of iron or steel (excluding products of cast iron)"	0	0	0	9	1	0	30	1579	225	77	36	6	34	2	0	0	0		435	3094	2487	1411	8551	6968	18856	22053	11202	2791	78408	8666	21132	3073		8762	575		46981	81879	72892	119306	179636	222652	291380	322776	221232	304630	391034	370016	411851	390915	305519	255302	290593	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0		181	116	116	604	1496	1416	1411	1482	2876	2063	1596	2180	1859	986		1138	58		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	0	9	0	0	0	0	0	0	3	0	0	3	24		13	1		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7320	"Springs and leaves for springs, of iron or steel (excluding clock and watch springs, springs ..."	126	153	291	605	399	374	593	683	273	374	372	190	140	299	1	67	0		627	840	950	1492	2042	1807	2277	2	75	1743	1557	1277	1387	1557		498	300		12974	18755	24526	46143	50468	56852	79865	82444	59133	70218	87420	75457	85232	75316	79498	85614	83696	
7412	"Copper tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	6	0	0	0	0	210	1	0		58	98	334	62	25	95	310	252	6216	223	525	36	82	217		280	277		2187	3036	4121	7897	10798	18827	28548	30023	11745	18893	28114	25861	25940	27033	26872	24322	23794	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	28	54	19	40	0	4	30	0	0	0	0	0		0			248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7419	"Other articles of copper, n.e.s."	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		1422	1619	5253	2360	3948	1118	3399	1583	5547	4193	4372	5797	7759	2602		1455	269		3007	3281	4760	26812	18299	9550	15949	17732	12284	19192	24811	22491	25587	25023	28588	35992	41173	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	9	38	0	0	0	0	0	0	0	0	1		0			0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	0	0	0	0	0	0	52	0		15			875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7608	"Aluminium tubes and pipes (excluding hollow profiles)"	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0		6	11	75	24	50	34	70	63	31	18	235	17	196	198		37	2		5864	9670	13393	12262	9691	8070	17449	31330	18572	34638	53252	43479	41767	40540	35079	35928	41158	
7612	"Casks, drums, cans, boxes and similar containers, incl. rigid or collapsible tubular containers, ..."	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0		145	110	292	152	235	120	22	129	64	209	126	70	37	3661		706	95		2359	4412	5125	7743	8824	11586	13844	20289	19728	35787	41085	42413	53937	54713	51604	45347	33526	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	11	359	286	0	0	0	0	0	0	0		15			0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8204	"Hand-operated spanners and wrenches, incl. torque meter wrenches (excluding tap wrenches), ..."	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0		10	9	1	3	12	14	61	8	5	13	0	310	2	6		9	16		3286	4764	6251	9907	12816	13956	22473	26706	17659	31529	47533	42485	52547	48717	39274	26214	24417	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		27	0	26	2	51	161	191	758	1507	1286	1753	717	539	330		793	50		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
8211	"Knives with cutting blades, serrated or not, incl. pruning knives, and blades therefor, of ..."	0	0	5	0	0	0	0	0	0	3	1	0	0	0	1	0	0		0	0	28	0	1	21	0	3	64	16	99	10	6	10		26	5		2054	2499	5146	7931	9212	10173	12921	15229	15366	25526	38729	31220	40384	38955	25891	16029	18214	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	1	1	0	0	1	8	0	0	2	14	6	2		0			2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	4	6	0	17	3	0	0	0	0	0	0	0	0	0	0		456	496	668	340	1607	2207	1628	2441	3947	3442	2680	557	42	74		242	23		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	0	0	0	0	0	3	0	0	0	0	8	46	55	0	49	0		14	140	30	39	99	80	95	95	204	152	237	13	102	66		127	1		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	3	0	0	0	0	0	8	8	0	0	0	0	4	0	0	0		153	320	171	448	350	436	236	236	148	252	152	109	85	126		65	24		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	0	0	0	0	10	21	0	0	0		0	0	1	0	2	98	19	0	15	41	1000	1675	349	120		114	25		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	11	0	0	0	0	0	0	0	0		0			46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0			3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	13758	0	0	0	0	0		0	372		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	2165	20	91	2	20	20	13	218	0	2	0	0		0	123		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	47	133	0	0	0	0		1	5	10	1	338	54	1	2	55	1	17	78109	91588	73963		100840	75202		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0		12	47	158	5420	24177	7091	3746	3962	1047	2752	830	3122	1243	726		254	116		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
8423	"Weighing machinery, incl. weight-operated counting or checking machines (excluding balances ..."	0	0	0	0	0	0	0	0	0	0	18	0	60	7	23	16	0		382	585	968	519	766	736	1179	1348	1884	2359	1810	2078	2257	2561		1450	22		9624	14545	14712	24806	27754	39886	42365	40901	24746	33865	43157	39068	42304	42565	37764	33145	29060	
8425	"Pulley tackle and hoists (other than skip hoists); winches and capstans; jacks"	3	0	0	0	0	0	0	0	0	1	84	22	0	0	1	0	0		36	25	85	100	156	258	259	690	1154	946	1357	660	939	806		740	202		6551	7879	11880	17766	31839	38098	44136	63958	36044	41767	54972	61361	72428	82565	72268	75476	73670	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	13	11	4	154	2	0	0	1	1	48	27	121	2		51	1		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	0	151	226	14	627	0	0	0	0	0	3	0	0		0			5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1018	1022	2427	962	2662	1658	3233	5084	6199	5842	5641	9648	14637	15115		8514	2102		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	5	0	112	32	1	0	0	72	869	0	0	0		0	297		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	78	0	0	0	0	0	0	0	0		0	26		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		90	36	124	233	139	74	112	0	84	64	0	144	79	512		50	212		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	13	0	3	19	58	47	21	4	3	0	0	0	34	3	51	0	0		3279	17681	33691	34046	13120	12262	10660	6780	19338	13335	20568	23645	51184	51889		71279	8139		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	3	5	1	25	0	8	6	1	10	0	17	12	156		127	16		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	6	0	0	0	2		0			144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	2	0	0	34	0	0	8	0		1	1		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		509	415	589	600	893	926	2897	3870	3467	5036	7036	9345	11946	13609		10306	983		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	11	0	0	0	0	0	0	0	194		0			1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		523	205	115	52	460	97	168	136	3	84	28	43	109	76		2722	40		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	2	0	0	22	0	0	27	0	0	0	0	0	0	0	0		9	87	368	254	427	427	333	58	2714	5186	12104	4385	2889	2685		11559	116		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
1806	"Chocolate and other food preparations containing cocoa"	0	0	0	0	0	1	0	6	4	0	0	0	0	0	0	2	0		4983	3482	6348	4045	9562	14073	9503	9860	57636	62074	33576	15999	14515	44151		108797	2140		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	5	0		74	79	81	47	448	173	134	164	709	1862	2356	900	239	175		1467	53		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	6	0	0	40		0	1		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	1	421	699	0	0	0	0	0	0	13117	0	0		164	5	0	0	137	1	142393	74	0	152826	2684	1153	9	11212		14	13191		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
2103	"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0		1419	2467	3417	2141	2322	2936	2868	1780	2906	3669	3580	4038	4519	3981		6449	503		3821	6418	9398	11016	10657	10557	11912	15057	13727	16947	19478	22163	22894	29864	29382	32233	38672	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	3	6	9	1	8	16	112	126	66	60	56	106	110		124	141		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	42	0	0	43	6	60	61	8	4	5	43	4		58	174		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	37	987	454	395	233	131		250			655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	161	0	0		0			0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2603	1663	1227	23	52	1350	166	4876	262	285	0	821	0	0		0	13		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		330	651	1036	917	14	0	0	0	53	44	18	35	0	0		32	5		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	10	0	0	0	0	0	0	0	0	0		0			2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	6944	3	0	0	0	0	0		13	14		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	24	70	229	235	228	269	249	429	8	89	338	291	262		49	37		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	298	1	6	0	0	3	0	14	7450	14929	19819	5872		21512	12022		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0		0	0	0	0	29	0	0	0	51	0	0	0	0	0		0			0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	20419	0	0	26597	0	44660	18	29966	0	0	465	0	0	0	0	0		425550	306435	363813	395544	721096	1536640	1882697	2872681	2585941	3167480	6134894	2461769	2833130	4441024		5295511	595506		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	4	4	2	0	0	0	0	0	0	0	0		0	0	0	0	73	0	0	0	0	0	0	0	0	0		3			1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0		51	31	20	17	219	43	5	51	6	55	27	109	120	72		2	513		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0			41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	6	8	32	65	0	0	0	0	0	0	0	0	0		1	1	3	113	6	207	197	199	57	31	8	404	378	38		46	6		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
