Product code	Product label	Turkey's imports from Iran, Islamic Republic of-Value in 2001	Turkey's imports from Iran, Islamic Republic of-Value in 2002	Turkey's imports from Iran, Islamic Republic of-Value in 2003	Turkey's imports from Iran, Islamic Republic of-Value in 2004	Turkey's imports from Iran, Islamic Republic of-Value in 2005	Turkey's imports from Iran, Islamic Republic of-Value in 2006	Turkey's imports from Iran, Islamic Republic of-Value in 2007	Turkey's imports from Iran, Islamic Republic of-Value in 2008	Turkey's imports from Iran, Islamic Republic of-Value in 2009	Turkey's imports from Iran, Islamic Republic of-Value in 2010	Turkey's imports from Iran, Islamic Republic of-Value in 2011	Turkey's imports from Iran, Islamic Republic of-Value in 2012	Turkey's imports from Iran, Islamic Republic of-Value in 2013	Turkey's imports from Iran, Islamic Republic of-Value in 2014	Turkey's imports from Iran, Islamic Republic of-Value in 2015	Turkey's imports from Iran, Islamic Republic of-Value in 2016	Turkey's imports from Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's exports to world- 	Iran, Islamic Republic of's exports to world-Value in 2001	Iran, Islamic Republic of's exports to world-Value in 2002	Iran, Islamic Republic of's exports to world-Value in 2003	Iran, Islamic Republic of's exports to world-Value in 2004	Iran, Islamic Republic of's exports to world-Value in 2005	Iran, Islamic Republic of's exports to world-Value in 2006	Iran, Islamic Republic of's exports to world-Value in 2007	Iran, Islamic Republic of's exports to world-Value in 2008	Iran, Islamic Republic of's exports to world-Value in 2009	Iran, Islamic Republic of's exports to world-Value in 2010	Iran, Islamic Republic of's exports to world-Value in 2011	Iran, Islamic Republic of's exports to world-Value in 2012	Iran, Islamic Republic of's exports to world-Value in 2013	Iran, Islamic Republic of's exports to world-Value in 2014	Iran, Islamic Republic of's exports to world-Value in 2015	Iran, Islamic Republic of's exports to world-Value in 2016	Iran, Islamic Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	20	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	20		0	0	0	0	107	47	2	123	6254	4409	4	11	0	11		4	26		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
1211	"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ..."	0	50	0	10	1	2	72	81	26	46	19	0	27	12	79	0	20		5144	5809	932	685	7079	3483	2196	7155	9759	10829	6688	6237	8972	13639		4843	3317		1030	1301	1770	2324	2600	2725	2675	5234	3291	4235	4390	4940	5034	7135	6505	7623	9965	
4016	"Articles of vulcanised rubber (excluding hard rubber), n.e.s."	1	1	0	0	0	0	13	2	2	0	1	27	6	85	26	27	20		277	701	904	1305	1689	1607	1453	2581	1847	2026	1184	832	2144	1153		974	630		46624	63469	91158	128556	137839	165740	206115	232288	191686	238597	290111	296228	336400	359731	343696	337998	372586	
8420	"Calendering or other rolling machines (other than for metals or glass) and cylinders therefor; ..."	0	0	0	0	0	68	17	15	0	8	0	0	48	0	0	5	21		6	24	39	25	173	50	77	307	123	7	8	59	25	81		131	45		3651	11324	14003	11150	13451	12792	13275	12740	7909	13344	20231	16440	19517	15638	15001	27894	13719	
0705	"Lettuce "Lactuca sativa" and chicory "Cichorium spp.", fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	23	0	98	6	22		885	644	1003	2143	3193	4703	7523	7934	14758	18555	14085	25640	27850	36150		28241	9128		0	3	25	41	0	0	73	1058	122	239	476	930	1040	74	598	140	180	
9021	"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture ..."	0	0	0	0	0	0	0	0	0	0	0	0	91	34	14	53	22		5	16	683	78	46	642	137	276	600	623	568	518	307	679		121	946		108245	106724	109311	147211	207061	261793	286927	353159	319143	359750	401844	417004	483839	493186	424268	442956	409891	
6803	"Worked slate and articles of slate or of agglomerated slate (excluding slate granules, chippings ..."	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	23		0	0	9	0	45	179	79	0	8	26	1	0	1926	7144		3819	65		356	1165	999	1199	1207	1409	592	640	414	594	624	706	1427	898	863	432	454	
2841	"Salts of oxometallic or peroxometallic acids"	0	0	0	0	0	0	2	21	113	513	446	318	364	148	171	23	23		0	62	52	15	79	139	103	24	0	74	0	3	0	258		372	447		851	1268	1781	3600	9363	8067	4746	5173	3986	7670	7665	9447	11136	9772	9056	8787	9776	
0106	"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24		552	527	675	701	1439	1176	119	904	1391	993	1381	1546	1420	1339		1103	675		725	1015	730	1052	859	1160	1530	2002	1385	1451	2271	2632	2525	3202	3550	3401	3333	
2818	"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	24		0	0	3979	146	3920	72	19768	5089	4085	7073	177	47	3615	16397		20	4813		11666	16696	21253	24703	27676	35326	38818	52265	34678	52287	59159	55491	64746	71272	58525	72087	75862	
7318	"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. ..."	0	0	1	11	0	3	49	167	104	25	40	12	19	2	22	21	24		161	431	566	1115	758	1073	1206	1288	2821	1727	2489	2250	1634	1210		640	1146		61483	82732	130628	207748	250820	317420	389054	457264	335826	478762	595568	526674	617139	626212	663758	703832	753358	
