Product code	Product label	Turkey's imports from Algeria-Value in 2001	Turkey's imports from Algeria-Value in 2002	Turkey's imports from Algeria-Value in 2003	Turkey's imports from Algeria-Value in 2004	Turkey's imports from Algeria-Value in 2005	Turkey's imports from Algeria-Value in 2006	Turkey's imports from Algeria-Value in 2007	Turkey's imports from Algeria-Value in 2008	Turkey's imports from Algeria-Value in 2009	Turkey's imports from Algeria-Value in 2010	Turkey's imports from Algeria-Value in 2011	Turkey's imports from Algeria-Value in 2012	Turkey's imports from Algeria-Value in 2013	Turkey's imports from Algeria-Value in 2014	Turkey's imports from Algeria-Value in 2015	Turkey's imports from Algeria-Value in 2016	Turkey's imports from Algeria-Value in 2017	Algeria's exports to world- 	Algeria's exports to world-Value in 2001	Algeria's exports to world-Value in 2002	Algeria's exports to world-Value in 2003	Algeria's exports to world-Value in 2004	Algeria's exports to world-Value in 2005	Algeria's exports to world-Value in 2006	Algeria's exports to world-Value in 2007	Algeria's exports to world-Value in 2008	Algeria's exports to world-Value in 2009	Algeria's exports to world-Value in 2010	Algeria's exports to world-Value in 2011	Algeria's exports to world-Value in 2012	Algeria's exports to world-Value in 2013	Algeria's exports to world-Value in 2014	Algeria's exports to world-Value in 2015	Algeria's exports to world-Value in 2016	Algeria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4901	"Printed books, brochures and similar printed matter, whether or not in single sheets (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		87	85	130	118	157	206	240	444	194	192	215	351	168	335	140	321	227		16943	16950	21470	36165	40651	44960	50920	51822	43695	46389	57547	62055	64517	65741	72933	50579	60053	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	0	0	0	3	0	56	2	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	170	0	0	33	23	0	0	0	0	0	0	0	0	0	0	0		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
8425	"Pulley tackle and hoists (other than skip hoists); winches and capstans; jacks"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		134	213	4	723	27	0	42	24	40	38	414	195	0	1	1	0	1		6551	7879	11880	17766	31839	38098	44136	63958	36044	41767	54972	61361	72428	82565	72268	75476	73670	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	2	0	0	0	0	0	0	0	0	0	240	0	0	0	0		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5148	0		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
