Product code	Product label	Turkey's imports from Poland-Value in 2001	Turkey's imports from Poland-Value in 2002	Turkey's imports from Poland-Value in 2003	Turkey's imports from Poland-Value in 2004	Turkey's imports from Poland-Value in 2005	Turkey's imports from Poland-Value in 2006	Turkey's imports from Poland-Value in 2007	Turkey's imports from Poland-Value in 2008	Turkey's imports from Poland-Value in 2009	Turkey's imports from Poland-Value in 2010	Turkey's imports from Poland-Value in 2011	Turkey's imports from Poland-Value in 2012	Turkey's imports from Poland-Value in 2013	Turkey's imports from Poland-Value in 2014	Turkey's imports from Poland-Value in 2015	Turkey's imports from Poland-Value in 2016	Turkey's imports from Poland-Value in 2017	Poland's exports to world- 	Poland's exports to world-Value in 2001	Poland's exports to world-Value in 2002	Poland's exports to world-Value in 2003	Poland's exports to world-Value in 2004	Poland's exports to world-Value in 2005	Poland's exports to world-Value in 2006	Poland's exports to world-Value in 2007	Poland's exports to world-Value in 2008	Poland's exports to world-Value in 2009	Poland's exports to world-Value in 2010	Poland's exports to world-Value in 2011	Poland's exports to world-Value in 2012	Poland's exports to world-Value in 2013	Poland's exports to world-Value in 2014	Poland's exports to world-Value in 2015	Poland's exports to world-Value in 2016	Poland's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2806	"Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16		1958	1829	1881	2558	2889	3026	3607	3914	4125	4653	5982	4966	2292	1833	1036	1093	906		124	737	794	1234	1614	2035	2653	2541	595	539	684	837	888	717	712	937	839	
4501	"Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16		0	0	55	144	72	58	106	44	6	0	0	15	22	79	192	262	401		306	370	325	296	224	305	308	318	197	221	242	186	258	261	214	215	384	
9616	"Scent sprays and similar toilet sprays, and mounts and heads therefor; powder puffs and pads ..."	0	0	0	0	0	0	0	0	1	0	0	0	0	13	2	4	16		346	1515	1846	2836	2486	2019	2415	1659	2212	3475	2913	5415	7458	6677	7794	9030	6135		4888	7480	11924	18079	25952	29216	28019	25533	21441	27896	31245	30733	28879	33070	29016	25997	31764	
3821	"Prepared culture media for the development or maintenance of micro-organisms "incl. viruses ..."	0	0	0	0	0	0	0	0	0	0	5	12	0	0	4	0	16		0	0	0	319	171	139	406	621	916	1311	1634	2008	3053	3300	3171	3748	4384		2892	4184	4711	6156	6336	7970	8792	12020	11877	12761	14312	15529	18193	20034	18748	17669	19097	
4004	"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom"	0	0	0	0	0	0	0	0	0	0	24	27	81	104	101	66	17		3230	2824	3131	5483	2941	1906	2256	2223	1636	1493	2591	4023	3938	3745	3448	4114	6018		467	120	293	517	585	1314	1015	1023	68	1261	1251	2550	6235	5294	3494	3267	5295	
8534	"Printed circuits"	0	0	0	0	0	1	40	111	139	145	112	10	12	15	15	19	17		15422	14877	18370	23597	23916	27964	43061	47874	34673	51680	68567	45471	56185	43892	39062	39328	40289		21560	28551	12279	27837	40446	44566	65652	62698	54954	68191	87983	84835	84748	96997	95361	98948	125744	
2903	"Halogenated derivatives of hydrocarbons"	0	0	0	1	1	220	0	10	4	8	7	1	3	19	4	13	17		6118	4136	6481	9575	9788	7412	13821	15595	9914	13950	18676	18427	23254	19164	12884	12014	17912		26025	51069	32576	52904	58911	51775	65597	64049	55832	79949	127594	89226	74623	86238	76105	99150	111424	
8204	"Hand-operated spanners and wrenches, incl. torque meter wrenches (excluding tap wrenches), ..."	2	11	41	1	0	1	4	0	0	2	1	3	11	7	0	50	17		3535	3603	4302	6052	8587	11914	14985	16079	8416	10533	14433	15882	18189	16655	21745	27804	31292		3286	4764	6251	9907	12816	13956	22473	26706	17659	31529	47533	42485	52547	48717	39274	26214	24417	
6210	"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated; ..."	0	0	0	2	28	3	4	7	36	1	4	57	41	48	25	2	18		15630	15726	19101	20373	25651	25387	23593	25228	15214	20894	32821	27607	32326	39963	36111	46613	55098		3156	1622	2528	4117	4876	6093	9963	11391	27459	49683	152858	172285	211565	214767	310271	425122	132326	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	2	0	0	6	9	3	5	3	0	18		10001	10180	14018	15448	16018	19645	22255	18983	39896	58133	49845	39843	38969	35924	34189	29824	27953		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
