Product code	Product label	Turkey's imports from Belgium-Value in 2001	Turkey's imports from Belgium-Value in 2002	Turkey's imports from Belgium-Value in 2003	Turkey's imports from Belgium-Value in 2004	Turkey's imports from Belgium-Value in 2005	Turkey's imports from Belgium-Value in 2006	Turkey's imports from Belgium-Value in 2007	Turkey's imports from Belgium-Value in 2008	Turkey's imports from Belgium-Value in 2009	Turkey's imports from Belgium-Value in 2010	Turkey's imports from Belgium-Value in 2011	Turkey's imports from Belgium-Value in 2012	Turkey's imports from Belgium-Value in 2013	Turkey's imports from Belgium-Value in 2014	Turkey's imports from Belgium-Value in 2015	Turkey's imports from Belgium-Value in 2016	Turkey's imports from Belgium-Value in 2017	Belgium's exports to world- 	Belgium's exports to world-Value in 2001	Belgium's exports to world-Value in 2002	Belgium's exports to world-Value in 2003	Belgium's exports to world-Value in 2004	Belgium's exports to world-Value in 2005	Belgium's exports to world-Value in 2006	Belgium's exports to world-Value in 2007	Belgium's exports to world-Value in 2008	Belgium's exports to world-Value in 2009	Belgium's exports to world-Value in 2010	Belgium's exports to world-Value in 2011	Belgium's exports to world-Value in 2012	Belgium's exports to world-Value in 2013	Belgium's exports to world-Value in 2014	Belgium's exports to world-Value in 2015	Belgium's exports to world-Value in 2016	Belgium's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
6105	"Men's or boys' shirts, knitted or crocheted (excluding nightshirts, T-shirts, singlets and ..."	0	2	6	12	42	196	438	407	265	4	8	10	268	1038	110	85	90		70052	54206	59320	70992	72257	90715	152380	178546	147614	135067	184907	183580	240589	221316	152490	171575	164418		1968	1388	3010	2641	3276	6941	9896	24316	31549	40991	47105	33058	35683	39541	42633	26865	26806	
4302	"Tanned or dressed furskins, incl. heads, tails, paws and other pieces, scraps and remnants, ..."	322	92	7	17	65	101	12	3	10	68	39	9	0	0	0	0	93		8751	8951	7397	9971	8242	11386	10415	9287	6546	7297	16588	14108	9901	6651	2012	1127	1703		91818	118146	107752	83586	76224	104426	112109	89772	43114	68010	85196	86218	88483	71148	27226	21063	30627	
8487	"Machinery parts, n.e.s. in chapter 84 (excluding parts containing electrical connectors, insulators, ..."	0	0	0	0	0	0	190	177	121	227	166	90	94	76	49	94	93		0	0	0	0	0	0	222705	200912	216869	130442	194562	186899	188034	174654	157347	132922	134329		0	0	0	0	0	0	79284	117157	70624	53313	72962	58314	49267	79887	64790	83714	68497	
7201	"Pig iron and spiegeleisen, in pigs, blocks or other primary forms"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94		22789	33435	49779	75607	84675	82845	121309	185420	78150	134074	170252	142172	132237	91845	61438	61945	68451		22448	40738	49682	88572	120293	119362	317312	468674	227954	253575	598263	623942	414088	391691	342938	274005	361045	
8531	"Electric sound or visual signalling apparatus, e.g. bells, sirens, indicator panels, burglar ..."	1594	502	182	1448	431	258	473	232	562	531	233	89	100	88	164	142	95		160188	227716	216250	287124	352267	306084	285095	252254	110787	106575	125108	164484	114420	120617	174494	166021	136405		32711	39819	111033	530613	1120127	1243779	1333236	1267188	1365425	1763014	1894982	1077339	202180	199917	184919	192467	201246	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	43	93	144	141	28	77	120	25	12	23	176	234	226	47	59	30	97		20879	19121	23885	37872	45719	48587	78572	66438	33049	41993	69902	85695	90534	89898	81029	88306	96396		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	42	98		8462	8953	23010	22358	20291	21701	27715	32076	22599	24891	40680	40051	40322	32408	33270	37884	48204		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
3405	"Shoe polish, furniture wax and floor waxes, polishes and creams for coachwork, glass or metal, ..."	9	17	43	71	82	155	214	212	156	139	146	99	157	208	142	110	98		21787	18706	21183	24676	24679	22516	28471	28150	30879	31726	37146	30896	38065	46063	37429	55971	50980		4201	5250	6167	7120	8673	9202	11855	12697	11018	14005	18092	16787	18218	17888	15594	14846	14504	
3406	"Candles, tapers and the like"	89	181	79	112	169	159	491	253	141	297	381	314	289	278	225	241	98		29459	30866	41877	52715	53924	61911	73379	80403	84268	93223	102000	99188	110220	102253	94298	97238	104957		673	1317	2140	4135	4799	4851	6611	5787	6340	6821	7664	7796	10626	9131	9183	7919	7072	
1512	"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	27	27	0	0	0	0	0	52	133	36	49	98		73986	65006	73974	106396	101890	111767	134164	218606	198787	157546	238957	200761	240054	167864	152766	149670	160883		63077	51745	54047	50576	138411	241095	140088	650122	471843	273625	629466	988450	918712	1201108	1101296	1015561	661061	
