Product code	Product label	Turkey's imports from Switzerland-Value in 2001	Turkey's imports from Switzerland-Value in 2002	Turkey's imports from Switzerland-Value in 2003	Turkey's imports from Switzerland-Value in 2004	Turkey's imports from Switzerland-Value in 2005	Turkey's imports from Switzerland-Value in 2006	Turkey's imports from Switzerland-Value in 2007	Turkey's imports from Switzerland-Value in 2008	Turkey's imports from Switzerland-Value in 2009	Turkey's imports from Switzerland-Value in 2010	Turkey's imports from Switzerland-Value in 2011	Turkey's imports from Switzerland-Value in 2012	Turkey's imports from Switzerland-Value in 2013	Turkey's imports from Switzerland-Value in 2014	Turkey's imports from Switzerland-Value in 2015	Turkey's imports from Switzerland-Value in 2016	Turkey's imports from Switzerland-Value in 2017	Switzerland's exports to world- 	Switzerland's exports to world-Value in 2001	Switzerland's exports to world-Value in 2002	Switzerland's exports to world-Value in 2003	Switzerland's exports to world-Value in 2004	Switzerland's exports to world-Value in 2005	Switzerland's exports to world-Value in 2006	Switzerland's exports to world-Value in 2007	Switzerland's exports to world-Value in 2008	Switzerland's exports to world-Value in 2009	Switzerland's exports to world-Value in 2010	Switzerland's exports to world-Value in 2011	Switzerland's exports to world-Value in 2012	Switzerland's exports to world-Value in 2013	Switzerland's exports to world-Value in 2014	Switzerland's exports to world-Value in 2015	Switzerland's exports to world-Value in 2016	Switzerland's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2814	"Ammonia, anhydrous or in aqueous solution"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		340	450	451	617	356	496	696	1209	1219	1484	2078	1663	1877	1632	1687	1453	1499		62586	71647	105600	151351	120129	176131	223654	338732	230041	304874	331546	316023	349205	292944	240364	167627	223601	
2838	"Fulminates, cyanates and thiocyanates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		48	42	40	63	82	91	0	0	0	0	0	0	0	0	0	0	0		119	146	197	185	228	258	0	0	0	0	0	0	0	0	0	0	0	
2851	"Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; ..."	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4720	4989	7886	7620	6167	3592	0	0	0	0	0	0	0	0	0	0	0		493	830	1582	949	644	587	0	0	0	0	0	0	0	0	0	0	0	
2913	"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4831	5035	5390	5297	6434	6069	6839	7770	4192	4251	5017	1308	139	447	249	80	113		1286	849	1571	128	176	125	105	228	193	84	180	121	289	171	227	200	157	
2941	"Antibiotics"	7323	4325	3641	5590	1009	99	126	66	480	1604	571	488	1	8	0	0	0		928055	1101956	1190076	1343040	1382414	1574502	1494406	1594652	1630947	1599516	1864585	1856583	1880443	1444939	1405157	1309605	1205186		191453	201486	190005	219313	227710	197422	186379	197178	181239	196859	222184	199614	196313	178947	188323	170080	149834	
4105	"Tanned or crust skins of sheep or lambs, without wool on, whether or not split (excluding further ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1698	491	611	753	1054	1289	2583	2068	1588	676	888	928	102	61	15	7	32		79817	13157	11032	9016	5531	4766	12321	17151	9651	21329	31522	24322	28101	29045	27358	13361	11860	
4408	"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ..."	0	0	19	35	0	2	3	31	10	0	0	0	0	19	0	2	0		25914	22106	21164	23225	20840	20358	18750	14152	9593	12840	13787	10800	8731	9850	8377	6378	6855		2597	5192	7632	12377	13144	15999	26086	32532	20291	27867	38303	39409	41153	47666	48648	41430	48752	
4419	"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ..."	13	1	1	0	0	0	14	28	2	0	1	1	1	2	1	0	0		1827	1938	807	1255	1366	1741	1309	2919	1627	1530	1731	1834	1976	2269	1856	1222	1373		843	604	991	2126	1942	2010	3570	4759	4700	6461	8525	7360	11572	12923	17185	17156	11436	
4815	"Floor coverings on a base of paper or paperboard, whether or not cut to size (excluding similar ..."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		1	1	8	9	0	5	0	0	0	0	0	0	0	0	0	0	0		3	312	9	14	10	10	0	0	0	0	0	0	0	0	0	0	0	
4904	"Music, printed or in manuscript, whether or not bound or illustrated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1330	1347	1219	1219	1342	1360	1443	1477	1502	1778	1939	1560	1494	1358	1830	1068	3344		24	23	25	32	49	59	124	53	47	17	60	23	72	42	75	194	152	
5106	"Carded wool yarn (excluding that put up for retail sale)"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		108	226	118	99	25	163	114	365	69	484	203	117	127	192	134	99	151		8290	12546	15820	15853	14088	13054	14301	15268	12313	10928	14765	12676	14167	15162	10877	9348	9801	
5304	"Sisal and other textile fibres of the genus Agave, raw or processed, but not spun; tow and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0		233	282	269	524	259	387	0	0	0	0	0	0	0	0	0	0	0	
5404	"Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ..."	284	350	0	0	0	99	0	3	0	86	0	0	0	0	0	0	0		10366	8088	10168	4540	4675	4051	3905	4107	2315	4119	6729	4390	3957	4066	3741	5187	4748		12945	17503	19238	24868	22530	28760	34474	24511	21862	25155	36427	32585	38927	40691	39282	33083	46232	
5502	"Artificial filament tow as specified in Note 1 to chapter 55"	79	2	0	0	0	0	1	86	0	0	0	0	25	0	0	10	0		599	729	474	204	450	44	35	4	45	305	139	262	515	219	3494	211	405		58781	65970	36072	55609	45060	51626	81043	60299	70764	69529	73375	94799	98798	111281	112084	103440	108014	
5609	"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or ..."	0	0	8	22	6	11	7	6	18	0	0	2	3	3	0	0	0		1671	1723	2493	2529	3239	2802	3813	4781	3106	168	154	159	128	105	120	170	399		372	394	506	701	837	1341	1890	1906	1576	1828	2064	2188	2753	2203	2039	2097	2898	
6113	"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0		280	1101	1102	1172	1171	453	1076	1000	1104	1562	1284	900	687	752	883	734	740		183	160	427	642	663	763	961	1372	1533	2057	2737	2389	3717	4594	4868	5537	4919	
6116	"Gloves, mittens and mitts, knitted or crocheted (excluding for babies)"	0	0	1	0	0	1	0	3	1	1	0	1	1	1	3	0	0		619	724	843	1087	1244	1659	2080	2405	1963	3212	4829	4235	3879	4092	2968	2574	2898		608	1462	4082	9789	5523	13437	25029	36264	26469	59295	80244	101965	76087	90018	77978	68684	46851	
6213	"Handkerchiefs, of which no side exceeds 60 cm (excluding knitted or crocheted)"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0		1817	1787	1611	1650	1782	1716	1813	1797	1535	1515	1853	2438	2817	2830	2528	1261	1166		34	33	122	129	279	766	1267	1210	859	902	1075	508	615	812	731	702	788	
6306	"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping ..."	23	206	1295	405	58	263	590	312	0	0	0	1	28	16	9	0	0		2108	3584	3687	3828	4518	5052	6729	7315	6932	6980	6110	18725	17087	14824	9996	14194	14604		7805	4052	4040	3184	5351	6365	10128	10480	6846	7028	15046	20930	10397	9720	6763	19990	8200	
6503	"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		24	147	169	162	64	75	0	0	0	0	0	0	0	0	0	0	0		28	32	57	99	337	212	0	0	0	0	0	0	0	0	0	0	0	
6504	"Hats and other headgear, plaited or made by assembling strips of any material, whether or not ..."	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0		74	115	113	80	61	70	145	80	127	87	106	195	218	388	269	367	361		315	348	632	454	386	598	515	696	430	1164	1494	1663	2598	1788	2363	2746	3352	
7313	"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely ..."	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		12	61	31	100	381	49	156	228	254	305	787	545	1077	815	833	243	625		488	403	211	437	715	921	1846	1434	597	3832	1082	1387	852	1234	1181	508	346	
7416	"Copper springs (excluding clock and watch springs, spring washers and other lock washers)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1634	1600	2197	3364	3286	3505	0	0	0	0	0	0	0	0	0	0	0		87	70	116	102	60	58	0	0	0	0	0	0	0	0	0	0	0	
7417	"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18	9	8	12	30	170	0	0	0	0	0	0	0	0	0	0	0		27	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
