Product code	Product label	Turkey's imports from Netherlands-Value in 2001	Turkey's imports from Netherlands-Value in 2002	Turkey's imports from Netherlands-Value in 2003	Turkey's imports from Netherlands-Value in 2004	Turkey's imports from Netherlands-Value in 2005	Turkey's imports from Netherlands-Value in 2006	Turkey's imports from Netherlands-Value in 2007	Turkey's imports from Netherlands-Value in 2008	Turkey's imports from Netherlands-Value in 2009	Turkey's imports from Netherlands-Value in 2010	Turkey's imports from Netherlands-Value in 2011	Turkey's imports from Netherlands-Value in 2012	Turkey's imports from Netherlands-Value in 2013	Turkey's imports from Netherlands-Value in 2014	Turkey's imports from Netherlands-Value in 2015	Turkey's imports from Netherlands-Value in 2016	Turkey's imports from Netherlands-Value in 2017	Netherlands's exports to world- 	Netherlands's exports to world-Value in 2001	Netherlands's exports to world-Value in 2002	Netherlands's exports to world-Value in 2003	Netherlands's exports to world-Value in 2004	Netherlands's exports to world-Value in 2005	Netherlands's exports to world-Value in 2006	Netherlands's exports to world-Value in 2007	Netherlands's exports to world-Value in 2008	Netherlands's exports to world-Value in 2009	Netherlands's exports to world-Value in 2010	Netherlands's exports to world-Value in 2011	Netherlands's exports to world-Value in 2012	Netherlands's exports to world-Value in 2013	Netherlands's exports to world-Value in 2014	Netherlands's exports to world-Value in 2015	Netherlands's exports to world-Value in 2016	Netherlands's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
7603	"Powder and flakes, of aluminium (excluding pellets of aluminium, and spangles)"	24	0	2	2	0	0	0	0	0	0	0	0	58	54	0	0	0		124	599	483	683	403	442	726	2713	1133	1003	1070	898	1796	1032	1750	1459	1025		2004	2643	3776	5369	6222	7939	9879	12488	7948	10844	16900	13003	14954	17022	14193	13755	12705	
7904	"Zinc bars, rods, profiles and wire, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		122	331	141	80	509	1359	732	2091	703	259	915	471	1107	187500	127881	33172	2145		1066	1062	852	740	698	801	1589	1506	1640	1614	1073	1556	1621	1301	1227	2131	2778	
8002	"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1506	2021	956	937	1080	4071	5645	1649	3838	5181	5950	3628	8435	7268	6193	4501	11402		0	0	0	3	20	6	0	22	0	0	0	6	8	0	0	32	33	
8005	"Tin foil of a thickness "without any backing" <= 0,2 mm, whether or not printed or backed with ..."	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0		629	2701	4361	1609	516	667	0	0	0	0	0	0	0	0	0	0	0		8	5	29	126	66	122	0	0	0	0	0	0	0	0	0	0	0	
8110	"Antimony and articles thereof, n.e.s.; antimony waste and scrap (excluding ash and residues ..."	0	0	17	0	0	12	257	306	0	0	0	0	0	0	19	0	0		319	196	930	774	1838	3861	1910	1130	1066	1642	5883	5772	18847	15893	20170	9923	13983		35	223	385	237	140	983	1828	2242	2093	2156	3622	3316	2963	2350	2625	1853	1667	
8601	"Rail locomotives powered from an external source of electricity or by electric accumulators"	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0		2	887	1160	850	1596	15241	9895	1493	3389	1113	2751	1282	2435	1623	1307	167	474		718	0	0	58	175	439	125	4781	593	339	367	533	125000	62740	47128	1195	1218	
8711	"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side-cars; ..."	7	40	143	0	54	13	0	0	0	0	0	100	0	0	0	4	0		379390	294036	234811	216406	250386	231789	551325	626591	453864	409250	422338	363858	395366	443766	429842	571139	806752		11838	8518	22218	99995	234084	364033	62577	51783	31290	54755	80826	104046	151445	178278	204341	240832	175092	
9103	"Clocks with watch movements (excluding wrist-watches, pocket-watches and other watches of heading ..."	7	5	5	1	8	1	0	0	1	0	0	0	2	1	0	0	0		2364	1489	2555	2662	3891	2820	2597	3419	1991	3161	3713	3898	3387	1564	1090	1017	1657		791	855	981	1109	619	276	377	321	235	287	278	316	421	419	270	272	199	
9302	"Revolvers and pistols (excluding those of heading 9303 or 9304 and sub-machine guns for military ..."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	42	1	40	3	0	15	40	119		1992	5912	845	3256	3101	1675	5776	5199	1807	1936	3204	5948	8024	7486	2380	5633	500	
9305	"Parts and accessories for weapons and the like of heading 9301 to 9304, n.e.s."	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0		221	226	89	36	4	30	29	57	716	10339	11831	5675	12587	7619	22565	21705	20210		4090	17104	23756	41668	2106	2105	4348	4103	4255	5342	15177	7690	11866	10924	18477	9759	10787	
