Product code	Product label	Turkey's imports from United States of America-Value in 2001	Turkey's imports from United States of America-Value in 2002	Turkey's imports from United States of America-Value in 2003	Turkey's imports from United States of America-Value in 2004	Turkey's imports from United States of America-Value in 2005	Turkey's imports from United States of America-Value in 2006	Turkey's imports from United States of America-Value in 2007	Turkey's imports from United States of America-Value in 2008	Turkey's imports from United States of America-Value in 2009	Turkey's imports from United States of America-Value in 2010	Turkey's imports from United States of America-Value in 2011	Turkey's imports from United States of America-Value in 2012	Turkey's imports from United States of America-Value in 2013	Turkey's imports from United States of America-Value in 2014	Turkey's imports from United States of America-Value in 2015	Turkey's imports from United States of America-Value in 2016	Turkey's imports from United States of America-Value in 2017	United States of America's exports to world- 	United States of America's exports to world-Value in 2001	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8479	"Machines and mechanical appliances having individual functions, not specified or included elsewhere ..."	8641	9331	14011	18614	21994	25229	19282	44486	17757	33414	36553	41889	50339	51262	37235	30473	47621		8168112	6438484	6270887	8009425	7787825	9241075	6314796	5678964	4460437	5160624	6024555	6252223	7118811	7943970	7296725	6375848	7303115		279835	367671	427793	538739	624654	649777	893082	909142	657392	739214	1077434	1065127	1071952	1151202	1058581	1508990	1089006	
5502	"Artificial filament tow as specified in Note 1 to chapter 55"	6495	7164	2666	16597	618	5306	24264	28172	19764	26220	34123	37722	41274	43585	55746	54225	48353		401513	381459	366249	459869	526090	563407	694522	858081	899467	917639	961707	1054776	1135516	1118919	906185	786913	653243		58781	65970	36072	55609	45060	51626	81043	60299	70764	69529	73375	94799	98798	111281	112084	103440	108014	
7318	"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. ..."	4538	4546	3493	5361	7448	8412	11635	17463	12010	15425	21985	22704	29487	32696	40665	42891	48416		1457110	1463829	1517820	1717501	1950794	2274808	2368764	2510541	2027389	2566972	3056417	3339249	3612097	3842364	3835608	4076556	4316301		61483	82732	130628	207748	250820	317420	389054	457264	335826	478762	595568	526674	617139	626212	663758	703832	753358	
8421	"Centrifuges, incl. centrifugal dryers (excluding those for isotope separation); filtering or ..."	12228	13544	15149	22410	27526	38684	45348	51140	41430	49739	57868	52373	51499	52189	55528	57248	51427		4016514	3822511	3849255	4220175	4527644	5215684	6094264	6756711	5929146	6701694	7638126	8120552	8698894	9599091	9498870	8769752	9252737		151026	250699	266274	339869	382319	532201	732520	808791	698784	743053	921241	880763	1106874	958780	1012030	1015701	1142297	
2401	"Unmanufactured tobacco; tobacco refuse"	166563	86655	67993	25314	32159	26796	32267	40770	33928	27758	37645	45468	41343	47973	41813	61001	52271		1288659	1072794	1043450	1054940	993673	1144897	1213027	1240935	1163469	1175336	1158873	1130829	1213392	1137866	1154345	1141935	1108394		243369	162087	176911	165947	182045	172137	219986	287678	289876	275522	297879	359985	378574	411040	391657	428532	392897	
4002	"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; ..."	8854	17210	23964	27172	41535	48127	66126	66797	36852	60969	119474	110852	89786	89746	55686	48615	54098		1360081	1347944	1510310	1798778	2223952	2632926	2981997	3019032	2213176	3134152	4214044	3960096	3247030	3129947	2642741	2443312	2709738		73365	105048	138411	174741	251385	323673	396767	541736	363025	577150	915653	780112	691232	630529	524039	475098	634471	
8108	"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excluding ash and residues ..."	547	634	1150	5223	6990	12714	17749	19210	20972	20112	26293	32451	42820	47519	37143	55337	55602		400793	342362	390988	419207	670069	1043734	1214006	1308564	803694	875360	1345397	1454237	1476865	1591315	1553893	1643473	1780400		2406	1954	2576	8745	10084	18602	25411	25048	25990	28157	37185	44320	61312	65784	56994	79195	86193	
8536	"Electrical apparatus for switching or protecting electrical circuits, or for making connections ..."	16184	13214	19081	22086	30753	32711	50552	44928	31230	34366	41989	42833	45056	47183	42102	47405	59033		5792502	5240118	5337855	6280498	6589928	7482983	8091127	8095697	6553435	7969657	8342892	8947200	9432603	10204339	10459335	10094400	10406070		177174	235030	335031	445295	487230	622221	907882	889048	672957	857610	1064535	982496	1118676	1093935	1074207	1029851	1176400	
3822	"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ..."	10073	19255	20482	29446	33984	42978	54268	71786	51659	47723	56296	56740	61546	63533	62793	59870	65341		2606808	2747409	3295256	3343777	3653972	3723648	4137121	4558193	4396256	4944631	5119366	5212738	5475346	5674631	5747452	6163308	6580148		50939	65197	73474	105997	110976	139186	189361	223938	190391	204966	224536	226499	235595	255168	238745	244166	249749	
9027	"Instruments and apparatus for physical or chemical analysis, e.g. polarimeters, refractometers, ..."	18974	33144	43326	70316	99800	81978	88448	95288	83375	91728	77814	61475	76939	78334	61584	65723	69638		3562231	3355709	3746131	4390254	4909451	5270746	6082227	6671759	6552887	7595435	8179585	8390432	8390112	8417005	8184657	8103565	8515404		81060	106551	143317	219422	282648	268850	304356	298206	279405	329039	347597	299666	336215	334688	308426	339130	390816	
