Product code	Product label	Turkey's imports from United States of America-Value in 2001	Turkey's imports from United States of America-Value in 2002	Turkey's imports from United States of America-Value in 2003	Turkey's imports from United States of America-Value in 2004	Turkey's imports from United States of America-Value in 2005	Turkey's imports from United States of America-Value in 2006	Turkey's imports from United States of America-Value in 2007	Turkey's imports from United States of America-Value in 2008	Turkey's imports from United States of America-Value in 2009	Turkey's imports from United States of America-Value in 2010	Turkey's imports from United States of America-Value in 2011	Turkey's imports from United States of America-Value in 2012	Turkey's imports from United States of America-Value in 2013	Turkey's imports from United States of America-Value in 2014	Turkey's imports from United States of America-Value in 2015	Turkey's imports from United States of America-Value in 2016	Turkey's imports from United States of America-Value in 2017	United States of America's exports to world- 	United States of America's exports to world-Value in 2001	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	3261380	3067892	3496592	4745221	5375593	6260882	8166788	11977015	8575892	12322789	16042073	14130625	12596623	12727960	11128045	10867798	11947858		729080421	693068307	724736583	814844394	901041411	1037029245	1162538150	1299898877	1056712100	1278099187	1481682200	1544932000	1577587300	1619742900	1501845864	1451010702	1546732881		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	6	0	0	0	0	0	0	2	3	9	7	0	1	0		26327	3593	2080	4097	6712	4245	7487	8636	7737	7639	5068	7170	6373	6671	5065	3723	2961		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1504	1852	1527	2371	1897	4017	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	464	4890	0	0	0	0	0	0	0	0	0	6276	3237	0	0	0	0		247315	315997	157340	301749	199952	266945	210553	275432	222327	370959	430316	371413	404730	474040	355884	378169	442133		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1550779	1425791	1717324	443965	728379	1217276	1470126	1810199	1610041	1874941	2500870	2618806	2937634	3089972	2652365	2686956	3389229		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1281130	1183593	1236657	1676037	2068022	2221768	2487563	3789158	3181222	3529733	4692463	4838243	4432876	4874630	4032302	4224777	4577512		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	2	0	0	0	0	0	2	0	46	26	53	0	0	0		633538	679092	626865	709760	798329	853962	876029	884920	816880	890406	1234084	1122150	1135697	1202040	1162181	1185610	1259374		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	5	14	108	148	78	0	70	1	0	0	0	0	0	5	1	0	0		11091	6711	9328	8105	11815	10290	10625	10020	9216	13033	15730	9127	2823	3421	3061	3150	3083		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	12	0	146	36	0	4	0	0	0	0	2	0	0	0		14943	16409	19710	25437	22334	27855	27098	23719	24747	25750	21711	20725	24626	23744	18381	19645	21437		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		90750	95548	103112	106668	118277	125511	142908	156530	145234	145444	160284	147087	153726	152283	143805	138881	136183		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0		140751	144230	156944	159912	196742	206767	231701	238718	232968	255090	273447	281244	288352	283434	273928	270782	275883		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0		75	104	215	314	146	442	290	278	173	275	311	778	920	950	583	1105	857		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	3282	9027	32533	518	4335	16487	6901	10571	85589	357985	4496	115052	8569	2	1	0		3378468	3643571	3938838	5171234	4410769	4230119	8344748	11306335	5380044	6775480	11148795	8188708	10524734	7780927	5632586	5387270	6125689		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1016	414	552	564	1032	990	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	11	36	110	279	46	12	0	0	0	0	0	0	0		2616	5299	3321	4264	5193	6038	13042	12056	21253	8023	10408	12413	14227	15024	16795	12730	12520		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	1	0	1	0	0	1	1	30	0	3	1	1	0	1	0	0		2151713	1497921	1448039	1345791	1266244	1280342	1087118	776102	493419	445680	474236	409363	540721	547211	769936	1019250	900403		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	1	0	0	0	0	2	3	0	28	15	0	0		12177	6709	3825	5017	8244	7223	2671	6340	5189	5187	5580	4661	4411	8224	24932	13359	6058		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23014	17368	19860	17429	19810	24060	22444	19568	3079	19125	32514	15507	27125	17278	10368	4225	4285		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3981	5541	5488	8724	10652	8278	13965	13043	13170	13012	20832	20788	19541	13458	14856	10523	8289		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2808	"Nitric acid; sulphonitric acids"	0	0	1	0	0	0	0	1	3	5	4	1	1	2	2	1	0		11271	10164	10315	13200	11338	11112	8124	11114	11412	16375	20102	21008	22645	20117	22770	20818	22782		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	9	26	6	0	8	8	0		13654	11364	12118	22779	23597	29485	43171	38416	21182	39655	46059	36636	37818	45383	36049	28224	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	34	103	0	0	0	0	0	0	0	0		11106	8867	8966	9096	17399	20666	20330	24257	15863	16225	11709	10626	11502	9952	9162	4569	4834		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	524141	665444	303668	263220	262330	396548		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0	0		8594	9597	6777	9939	10678	12706	7170	8276	8389	4822	4033	3718	3135	5695	4799	3741	1977		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27652	29865	34002	43445	62467	64520	64534	102058	81361	88991	130419	123900	115473	142779	168780	156343	149311		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	2	0	0	11	0	0	4	0	0	0	0	0	0	0		10962	45261	43542	48881	48575	47100	45144	24736	5073	5065	4538	5644	4897	3437	5165	8474	8974		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		380694	272859	238676	287768	374841	301373	397726	368349	290134	337699	370984	309338	233759	168378	143033	74829	94050		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0		2875	2104	1797	2125	800	6266	6694	6099	4837	8393	5438	223	389	342	190	189	408		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		45	472	403	191	606	1568	267	3100	335	544	642	138	56	37	138	158	74		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	189	36	40	0	2	0	0	0	8	0	0	90	132	0	0	0	0		5339	9356	14958	17432	21360	27129	31466	21132	18978	21369	22153	15798	20503	18661	17777	15677	21002		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	1	0	0	0	82	320	0	0	1	1	0	0	0	0	0	0		6082	1370	3423	3746	5160	7670	5342	5007	3871	3937	4801	6607	5436	6215	3308	2055	2748		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		190	229	160	123	152	139	55	71	53	108	147	125	54	330	73	223	235		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	20	0	0	33	0	44	0	0	0	0	0	0	0	1	2	0		9096	14341	49577	45309	33603	49449	55913	57507	57181	46580	56655	76812	123108	144010	132001	112519	100535		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0		1702	1185	553	281	510	567	967	1408	977	945	1055	1121	485	736	542	797	531		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	19	70	44	0	0	0	0	0	2	1	0	0	2	0		2592	2310	2789	686	499	632	605	631	2803	1037	1825	1560	985	1485	1506	1569	1740		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6001	"Pile fabrics, incl. "long pile" fabrics and terry fabrics, knitted or crocheted"	14	53	141	368	274	2529	2511	5100	952	1142	1776	707	941	683	453	300	0		232425	179919	168848	168742	181748	214598	197492	175181	138676	151228	175041	175985	196959	215343	177090	153978	103568		10391	18618	29362	39330	35717	32138	35811	47366	48028	78946	159394	123210	168664	213834	197711	147784	167590	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	2	0	1	3	0	1	0	0	1	3	1	0	0	6	0	0		1547	1289	987	1302	1618	1786	1731	1986	1830	1712	1768	2534	2494	2823	2183	1976	2386		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0		7997	4621	8434	23550	11038	9923	11171	12853	10384	9420	11545	10851	4839	6654	4905	3250	5061		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	1	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0		8142	7591	6182	10521	8646	11707	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		25051	23414	23385	14820	21772	37215	55422	93003	72039	27994	37168	30627	44941	51361	57472	56780	80605		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	33	54	7032	5264	298	163	52	308	239	123	134	9	60	151	76	0	0		21818	10890	15639	19221	18109	22353	32146	30959	18893	36625	37992	38238	50962	46034	32618	19393	31620		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8715	"Baby carriages and parts thereof, n.e.s."	36	3	9	4	4	5	2	3	1	1	2	1	6	4	1	1	0		28701	15487	11051	9856	12372	13644	16634	20415	22266	22862	29331	34796	36417	38756	37982	32278	33385		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	106	129	51	30	276	42	575	13	42	45	18	10	73	16	2	5	0		122300	97670	68176	62752	70842	72182	72656	68685	44390	49244	47159	54286	45173	40604	38854	28907	32865		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11952	38069	33614	35040	27081	25199	19443	27883	9563	8633	24204	33358	30506	12889	17041	13697	23394		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	3	0	5	0	4	0	46	7	8	0	2	0	0		244093	269559	291286	293687	248975	202044	231899	277535	300909	368063	292226	297957	257107	225889	177788	224216	191193		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		965	1449	1209	1367	997	1442	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		192354	210784	210008	214203	230354	238687	266229	281185	283572	327290	354085	370940	433333	467002	481982	493618	497206		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		361012	344658	380245	357416	428505	429254	500450	573873	536935	618814	711261	807139	710530	777332	683296	705761	876290		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		352611	461525	512203	492478	514168	537897	622145	705042	860386	964616	1078896	1346201	1416041	1261340	1362702	1428704	1460027		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	0	0	0	120	0	0	0	14	0	0	0	0	0	0	0	0	0		106979	128697	118821	144154	141398	138049	131829	142749	161775	134676	166550	127262	133655	169096	154480	133056	67259		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	2	1	8	0	0	0	0	0	0	4	214	401	4	4	0		100936	104073	118077	123948	128854	126110	141397	316100	261330	256109	330281	326598	430654	499462	464176	394087	321130		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	1	6	2	0	0	4	12	4	14	8	7	1	2	7	5	20	0		35209	35238	35771	33104	67736	103652	139075	120608	101336	105732	116796	113710	124495	134371	130677	132138	139870		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2403	"Manufactured tobacco and manufactured tobacco substitutes and "homogenised" or "reconstituted" ..."	14305	13876	13965	9429	4081	0	57	0	0	1	1113	3521	3058	104	0	0	0		598264	464114	433667	253504	74386	82300	69413	80520	40237	50086	62610	117393	155773	120376	153236	136627	138474		39804	45745	57956	73323	93446	84111	81816	103570	108667	91298	99695	127116	125657	151301	144314	161585	135384	
2511	"Natural barium sulphate "barytes"; natural barium carbonate "witherite", whether or not calcined ..."	0	0	1	0	126	0	0	1	1	2	0	0	2	544	0	0	0		5651	4669	4785	6883	15211	21991	14337	22200	14566	24159	31900	61275	70880	65731	56969	28512	24764		101	89	65	151	368	162	262	208	177	169	579	1226	4570	5562	1961	1945	2425	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1200	802	605	494	753	662	693	830	816	546	438	597	606	749	822	295	481		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0		14358	14364	12487	12688	14368	12989	11926	17311	17039	14849	12150	12217	18603	15361	11168	12050	11611		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	9	12	0	0	0	0	0	0	1	0	0	0		114218	113439	201065	362062	1446093	1463831	1638621	1820916	634609	1053936	1454913	1122437	1046743	1255169	588037	348756	592127		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		4755	2612	4571	4817	5016	4796	6193	4744	4649	16519	23231	15608	27412	32636	42102	44942	50191		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2806	"Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid"	0	0	1	1	3	5	2	4	6	23	19	8	3	5	0	0	0		12152	10783	11421	11602	11676	11916	13164	22849	19547	21064	29101	36166	22356	20767	16355	18473	16462		124	737	794	1234	1614	2035	2653	2541	595	539	684	837	888	717	712	937	839	
3601	"Propellent powders"	588	0	0	0	50	745	0	14	0	0	0	0	0	0	0	0	0		17083	16653	36376	23111	29131	38396	49080	50910	60290	87928	86311	114142	102358	112190	124335	131981	90553		678	165	1547	1353	3098	1098	1278	2673	3760	5702	8073	6506	6068	8415	9146	8001	8903	
3807	"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ..."	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0		3188	2450	4843	5960	21089	23147	9691	12160	14740	11723	8369	18854	12608	40892	33788	20681	20109		2	0	10	39	134	212	1115	710	735	539	572	1059	998	755	743	629	720	
4301	"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ..."	13	0	2	0	0	0	0	0	0	0	0	0	0	142	2	18	0		163607	157655	142336	168596	174039	222773	261105	267317	169295	246387	361644	536872	616217	506926	481058	332882	239320		227	157	65	238	160	285	97	743	414	640	3094	4460	5096	5647	1566	2627	7417	
4706	"Pulps of fibres derived from recovered "waste and scrap" paper or paperboard or of other fibrous ..."	0	3	0	112	5	2	17	28	173	51	10	50	25	47	42	61	0		182729	148849	135991	132571	160633	159556	168219	178896	143596	214405	257747	260288	219904	216215	179036	150789	173876		188	384	290	467	580	650	654	930	3357	2785	3379	4450	4046	2715	3276	2236	2686	
4905	"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ..."	33	0	2	4	0	0	0	0	0	2	4	1	0	4	2	9	0		13615	13409	15036	19841	18804	15887	14107	18720	14981	14123	12252	12459	11175	11857	10116	10556	10325		360	1588	625	621	1172	1066	2105	2312	2042	1449	1272	1451	1541	1783	1222	596	316	
5002	"Raw silk "non-thrown""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		201	186	67	189	288	211	584	575	850	493	493	1053	1934	1442	1332	586	607		3792	2931	2951	3821	2910	2448	2764	1924	1146	2205	3359	1575	2425	2291	1524	1014	614	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3575	3252	3354	2865	3089	2345	2267	2091	1376	1461	1959	1071	1159	1620	1711	2012	1342		301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5306	"Flax yarn"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		928	1029	609	531	351	247	559	542	161	345	926	502	320	194	312	177	209		4293	7967	7215	9782	10200	12020	20859	14000	10677	13489	21196	27356	25975	24683	23928	19826	19869	
5308	"Yarn of vegetable textile fibres; paper yarn (excluding flax yarn, yarn of jute or of other ..."	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0		2881	4065	2579	2394	1359	4789	3228	2260	5051	5978	1143	1215	467	3108	3205	2828	2958		879	683	1277	1782	2615	1567	1335	1070	961	849	1274	806	810	1453	1524	1457	1439	
5311	"Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn (excluding those ..."	2	0	1	19	0	222	0	0	0	1	1	0	0	0	0	0	0		14188	25665	16756	14042	5744	5106	5652	4355	3368	3801	2416	1470	1837	2190	1500	1196	1293		4887	4932	9024	18913	16209	6356	2302	1321	1280	1749	2468	3857	6398	9149	3756	3913	3917	
5805	"Hand-woven tapestries of the type Gobelin, Flanders, Aubusson, Beauvais and the like, and needle-worked ..."	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0		1023	2282	3141	923	9646	4385	1034	1669	1116	945	1003	1069	1355	626	546	1132	1493		18	52	194	232	113	71	76	50	41	66	27	37	35	40	133	65	120	
6309	"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ..."	0	0	4	2	0	0	0	32	0	2	0	0	0	0	0	0	0		215043	222970	238864	260989	268491	282402	349160	413914	375446	455305	608465	635827	688298	708658	705798	575541	631745		14	2	5	4	1	13	73	48	6	8	5	2	13	1	0	0	9	
6801	"Setts, curbstones and flagstones, of natural stone (excluding slate)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		918	732	941	652	2011	3727	4853	5238	2876	2377	1393	1632	1622	4229	2644	3151	2848		583	20	419	812	6115	9041	5060	1283	2137	1109	809	1310	2756	1066	509	1574	2616	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	289	289	211	207	76	59	70	50	40	19	18	1	0	0	0	0	0		26806	13826	12385	12011	10311	14618	13725	17790	14390	13686	15501	18802	25801	20678	18232	27394	23393		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
7902	"Zinc waste and scrap (excluding ash and residues from zinc production "heading 2620", ingots ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		14083	11211	23524	43233	55238	95757	102972	99234	54319	85282	93474	106569	104500	93741	68606	37812	41171		0	159	54	306	150	2164	5573	2951	304	282	87	139	146	360	312	409	1339	
8520	"Magnetic tape recorders and other sound recording apparatus whether or not incorporating a ..."	22	138	477	82	43	39	0	0	0	0	0	0	0	0	0	0	0		150213	127305	143907	204214	399519	535741	0	0	0	0	0	0	0	0	0	0	0		947	1187	2255	4503	16442	25448	0	0	0	0	0	0	0	0	0	0	0	
8902	"Fishing vessels; factory ships and other vessels for processing or preserving fishery products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17065	7038	6383	11072	3828	5146	6233	12268	8027	4609	5605	5500	4719	6988	6862	7501	5438		0	0	0	0	31	0	0	0	126	339	0	2818	0	0	0	0	0	
9101	"Wrist-watches, pocket-watches and other watches, incl. stop-watches, with case of precious ..."	196	419	1110	336	95	23	29	4	10	5	8	13	3	76	7	10	0		114456	116494	151653	180443	152237	227447	268983	280197	317353	366368	471285	533096	495350	487473	506663	426190	554531		10441	13214	17060	18011	19697	24672	41761	51714	34967	37692	35778	32178	47670	44600	37623	29753	30122	
0204	"Meat of sheep or goats, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7301	6992	7860	12398	23864	24708	12272	23761	25137	19446	22469	21441	21757	23017	16557	17126	20268		112	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0510	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16224	13248	11644	8648	10921	18885	13537	8205	7643	12954	13826	13042	17968	18554	20443	16247	17845		14	12	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	
