Product code	Product label	Turkey's imports from Viet Nam-Value in 2001	Turkey's imports from Viet Nam-Value in 2002	Turkey's imports from Viet Nam-Value in 2003	Turkey's imports from Viet Nam-Value in 2004	Turkey's imports from Viet Nam-Value in 2005	Turkey's imports from Viet Nam-Value in 2006	Turkey's imports from Viet Nam-Value in 2007	Turkey's imports from Viet Nam-Value in 2008	Turkey's imports from Viet Nam-Value in 2009	Turkey's imports from Viet Nam-Value in 2010	Turkey's imports from Viet Nam-Value in 2011	Turkey's imports from Viet Nam-Value in 2012	Turkey's imports from Viet Nam-Value in 2013	Turkey's imports from Viet Nam-Value in 2014	Turkey's imports from Viet Nam-Value in 2015	Turkey's imports from Viet Nam-Value in 2016	Turkey's imports from Viet Nam-Value in 2017	Viet Nam's exports to world- 	Viet Nam's exports to world-Value in 2001	Viet Nam's exports to world-Value in 2002	Viet Nam's exports to world-Value in 2003	Viet Nam's exports to world-Value in 2004	Viet Nam's exports to world-Value in 2005	Viet Nam's exports to world-Value in 2006	Viet Nam's exports to world-Value in 2007	Viet Nam's exports to world-Value in 2008	Viet Nam's exports to world-Value in 2009	Viet Nam's exports to world-Value in 2010	Viet Nam's exports to world-Value in 2011	Viet Nam's exports to world-Value in 2012	Viet Nam's exports to world-Value in 2013	Viet Nam's exports to world-Value in 2014	Viet Nam's exports to world-Value in 2015	Viet Nam's exports to world-Value in 2016	Viet Nam's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7			301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5202	"Cotton waste, incl. yarn waste and garnetted stock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		32	29	182	307	1369	3125	4670	9720	9081	13942	19992	20679	22826	21719	29929	38548	49438		2551	3510	6888	7300	2767	3891	4998	5597	5176	5600	14053	4542	7132	7165	10124	7909	21983	
5204	"Cotton sewing thread, whether or not put up for retail sale"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		139	223	395	207	171	367	248	181	654	108	29	90	83	715	577	587	954		680	723	606	482	246	336	644	944	1195	2224	3220	4447	4278	2658	3088	3200	2206	
5306	"Flax yarn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		4293	7967	7215	9782	10200	12020	20859	14000	10677	13489	21196	27356	25975	24683	23928	19826	19869	
5308	"Yarn of vegetable textile fibres; paper yarn (excluding flax yarn, yarn of jute or of other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6116	944	1067	3333	967	1016	1490	129	74	124	155	172	170	218	223	407	113		879	683	1277	1782	2615	1567	1335	1070	961	849	1274	806	810	1453	1524	1457	1439	
5311	"Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn (excluding those ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	57	822	1327	2940	4347	4659	3355	4469	5120	4246	5301		4887	4932	9024	18913	16209	6356	2302	1321	1280	1749	2468	3857	6398	9149	3756	3913	3917	
5408	"Woven fabrics of artificial filament yarn, incl. monofilament of >= 67 decitex and a maximum ..."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		64	121	276	363	202	291	84	90	123	74	29	1301	5885	471	630	810	565		32753	52924	63679	71868	52650	55205	63536	53454	43634	52471	64293	48486	49895	52404	40754	28231	28706	
5601	"Wadding of textile materials and articles thereof; textile fibres with a length of <= 5 mm ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		1197	465	80	552	1699	1063	1968	4266	4877	1957	4093	5539	6688	2064	7891	8857	23850		17157	15620	23655	31499	54934	59003	63297	43236	57928	39695	25920	25091	30239	56824	50331	54526	56093	
4501	"Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	6	0	3	0	0	20	0	0	0	0	0	2		306	370	325	296	224	305	308	318	197	221	242	186	258	261	214	215	384	
4704	"Chemical wood pulp, sulphite (excluding dissolving grades)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	64	92	5	0	2106	0	0	0	0	0	0			6904	8481	8116	6845	6898	7315	7040	4455	2519	5223	9808	6526	4496	4151	4300	3198	14789	
4706	"Pulps of fibres derived from recovered "waste and scrap" paper or paperboard or of other fibrous ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	14	7	0	45	0	5	0	20	19	90	0	2	12	0	5	7		188	384	290	467	580	650	654	930	3357	2785	3379	4450	4046	2715	3276	2236	2686	
4802	"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		439	134	2496	171	3287	3575	2268	2225	1249	3227	3560	9145	3679	2825	3429	6762	32403		48569	91218	119243	188617	217845	246876	307201	375759	310981	478982	465724	505251	536321	500338	510765	685819	626187	
5805	"Hand-woven tapestries of the type Gobelin, Flanders, Aubusson, Beauvais and the like, and needle-worked ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		151	137	40	12	6	40	1	214	8	0	16	1	5	2	3	7	27		18	52	194	232	113	71	76	50	41	66	27	37	35	40	133	65	120	
5909	"Textile hosepiping and similar textile tubing, whether or not impregnated or coated, with or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	41	0	1	95	10	14	15	134	75	5	108	17	1447	4574	1419	328		447	566	671	776	1090	1202	2493	2795	1654	1788	2083	1555	1398	1091	1470	887	1259	
4411	"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ..."	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0		2497	1174	1921	1200	1827	4878	4448	1049	855	2762	9221	27021	39709	39813	32784	35905	39998		26353	54218	88739	132613	248116	238061	335173	274492	150219	238788	289802	323336	301876	195293	164079	128583	89142	
6309	"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		21	3	567	519	0	2	23	0	359	0	2	0	0	106	361	5367	541		14	2	5	4	1	13	73	48	6	8	5	2	13	1	0	0	9	
6801	"Setts, curbstones and flagstones, of natural stone (excluding slate)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3225	4212	6282	10464	15808	19580	30798	36936	42309	43917	58467	47359	55452	68442	65155	64765	49064		583	20	419	812	6115	9041	5060	1283	2137	1109	809	1310	2756	1066	509	1574	2616	
6803	"Worked slate and articles of slate or of agglomerated slate (excluding slate granules, chippings ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		697	182	105	650	298	673	2252	17847	27930	33314	43850	21189	445	83	657	263	1014		356	1165	999	1199	1207	1409	592	640	414	594	624	706	1427	898	863	432	454	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		77	127	334	1627	1946	2534	65	490	147	10	70	20	33	162	102	151	1201		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
6814	"Worked mica and articles of mica, incl. agglomerated or reconstituted mica, whether or not ..."	0	0	0	0	0	0	0	0	0	67	146	0	0	0	0	0	0		849	813	447	2147	3746	4661	10294	8954	7778	9948	10704	10453	12143	11309	9265	7982	195		497	400	680	1564	908	2312	3133	5361	2747	3390	5012	3680	4900	5223	4699	5449	7574	
6909	"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3215	7629	6437	12383	9773	17053	11202	13490	9539	3038	2726	2035	3081	3531	4338	7072	9237		3083	4398	5920	9376	12644	13116	13178	15982	17118	28697	33650	26928	27667	31175	30390	32020	30531	
7003	"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		261	366	2828	4916	5766	6922	8765	6122	1663	2082	7471	3828	1769	1437	1057	19	685		588	953	2150	2126	3771	6966	4768	4569	3716	3516	2895	3203	3996	3127	2304	2446	2897	
7005	"Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, ..."	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0		64	0	54	1958	2763	2847	2470	6320	21090	27583	30111	107597	106481	126331	237035	156064	155725		20791	28405	39469	53139	84453	143627	170856	114670	87448	116384	115536	105949	147130	180137	159865	155501	147104	
7103	"Precious stones and semi-precious stones, whether or not worked or graded, but not strung, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1759	1666	1396	1277	1367	659	504	914	241	115	23	25	91	189	1627	755	4403		709	803	819	2879	1763	965	1249	2451	1362	2753	2116	2007	1457	1514	1593	2282	2484	
7105	"Dust and powder of natural or synthetic precious or semi-precious stones"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21		2748	2475	3138	3364	4462	4172	4415	3640	3822	4722	5280	5888	5653	5692	4904	4212	4524	
7308	"Structures and parts of structures "e.g., bridges and bridge-sections, lock-gates, towers, ..."	0	2	0	0	0	0	0	0	0	0	40	4	0	7779	0	0	0		17372	18309	15566	25408	36582	64691	90780	158101	160727	131213	147774	159485	177896	217585	225580	367152	308102		152674	126554	64760	83885	97982	112866	143997	215771	119006	122001	207140	208350	237633	263006	291330	392202	305855	
7325	"Articles of iron or steel, cast, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3149	4058	2961	2570	3581	9583	15919	16535	11209	11765	20610	22259	23819	27673	32302	40584	21092		2232	3370	7515	7395	8408	25852	29754	31254	11124	18326	12518	14160	12919	16436	12699	10434	10685	
7405	"Master alloys of copper (excluding phosphorus-copper compounds "copper phosphide" containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		198	301	490	772	611	765	1232	1901	930	1716	2475	3064	3348	3343	3404	3213	3748	
7407	"Bars, rods and profiles, of copper, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	73	58	49	83	200	5063	3334	1965	2313	2411	2792	1680	2028	1830	6344	3364		4072	4417	9030	15818	33434	71331	56760	49353	22580	53091	31200	30566	35320	36069	54927	42806	34217	
7410	"Copper foil "whether or not printed or backed with paper, paperboard, plastics or similar backing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		255	4	13	0	14	68	160	61	35	6	93	24	370	309	940	2175	2253		10677	16150	18686	26148	27206	34347	33277	22132	13912	19039	21725	19944	19468	15906	17267	15667	17392	
7505	"Bars, rods, profiles and wire, of nickel (excluding electrically insulated products)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	2	11	17	0	0	0	4	0	0	0	33	4	0	12		1148	2621	3710	5600	6257	7909	13001	10252	4889	8333	9581	6392	8178	9049	7893	6503	9170	
7614	"Stranded wire, cables, plaited bands and the like, of aluminium (excluding such products electrically ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		170	156	468	1517	753	9306	5094	6784	5201	3464	4042	8328	2428	9919	7907	5229	2346		14384	3128	590	347	387	330	1873	18961	14738	9586	3566	13944	22396	2436	2375	12321	9576	
7902	"Zinc waste and scrap (excluding ash and residues from zinc production "heading 2620", ingots ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	16	13	137	0	0	31	2	101	455	741	1179	302	774	5955		0	159	54	306	150	2164	5573	2951	304	282	87	139	146	360	312	409	1339	
8101	"Tungsten "wolfram" and articles thereof, n.e.s.; tungsten waste and scrap (excluding ash and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6077	758	1205	1334	33	51	92	936	1089	2217	7372	5350	8659	8801	4646	4368	6074		1214	1482	1178	1823	2041	3035	3981	4254	2862	4684	7232	8145	5419	7008	5769	7014	7252	
8103	"Tantalum and articles thereof, n.e.s.; tantalum waste and scrap (excluding ash and residues ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58		3	0	37	22	148	18	50	198	144	46	26	196	39	515	28	346	69	
7207	"Semi-finished products of iron or non-alloy steel"	0	0	0	0	0	0	0	43844	819	0	0	0	0	0	0	0	0		0	8	245	122	74	2752	2823	373284	171	13563	154100	220585	202600	196558	23574	18403	265683		180204	172055	392722	628754	783499	1220885	1760684	3195545	1471923	1262581	1442835	1966077	2880981	2515445	1856027	1477335	2047602	
7221	"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	68	277	11	119	88	0	55	203	74	62	0	55	0	995		185	414	518	609	1021	545	567	1327	529	547	719	361	443	653	654	489	245	
8303	"Armoured or reinforced safes, strongboxes and doors and safe deposit lockers for strongrooms, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	311	428	628	528	1178	957	2110	4705	5478	6361	7932	7715	6056	6918	3725		1624	1202	1656	2224	2689	3905	3749	4603	3346	4885	4422	5717	6236	7372	6593	5300	3534	
8404	"Auxiliary plant for use with boilers of heading 8402 or 8403, e.g. economizers, superheaters, ..."	0	0	0	0	0	0	0	0	0	0	0	26768	6805	149	0	0	0		8	7	14	274	829	29065	33917	1200	173	66	172	419	136	7275	4340	4867	4185		73893	81028	29742	15935	27298	24665	34771	29691	28360	11351	82660	59790	125460	24168	47110	106370	13515	
8407	"Spark-ignition reciprocating or rotary internal combustion piston engine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6139	12	109	4673	16132	14005	5408	10878	2503	4663	8068	9924	10329	7821	12397	10677	69785		98128	68903	128673	213171	191285	248156	331501	363323	424755	434508	451885	458114	662895	662083	617072	824284	1134781	
8428	"Lifting, handling, loading or unloading machinery, e.g. lifts, escalators, conveyors, teleferics ..."	0	0	0	0	0	0	0	0	1510	58	0	0	0	0	0	141	0		441	171	73	49	213	1153	2914	4151	4280	4849	6344	9546	10185	11983	12203	13708	24271		54682	56114	64594	108411	165152	227157	295839	351708	266614	331491	395154	471554	616779	550097	534149	634001	677973	
8430	"Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		158	201	972	1596	691	435	314	4319	2016	3268	9416	6604	7139	16057	11114	8243	4607		16797	35991	26180	24054	112322	199380	217807	169135	132785	224816	258477	344936	344797	243627	168493	258937	332571	
8453	"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1508	450	172	22	978	697	564	510	582	1108	499	746	778	617	3130	1772	2424		7438	73196	25321	27288	28760	26648	31448	23588	13475	20827	29638	29853	31016	24090	21662	19937	16127	
8460	"Machine tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		406	184	128	459	174	214	911	823	543	448	785	820	1081	1031	1542	846	410		35248	37746	20060	57204	60791	69770	74410	91547	43137	67389	77733	102397	99782	81916	80654	85197	70037	
8411	"Turbojets, turbopropellers and other gas turbines"	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0		689	363	18	2	0	20	10	351	342	52	801	765	1220	5167	4267	10039	126585		780990	380019	237616	276709	345952	196778	207389	390549	598276	928994	532821	660236	576726	773408	786211	1104469	1413173	
8510	"Electric shavers, hair clippers and hair-removing appliances, with self-contained electric ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	0	0	0	1	0	98	18	121	0	147	97	0	10	2689	5930	7159		6105	8363	16074	27210	37532	47046	40793	50912	30658	47174	44047	43134	44700	42354	37477	43617	35894	
8520	"Magnetic tape recorders and other sound recording apparatus whether or not incorporating a ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		61	136	248	1	28	18	216	0	0	0	0	0	0	0	0	0			947	1187	2255	4503	16442	25448	0	0	0	0	0	0	0	0	0	0	0	
8607	"Parts of railway or tramway locomotives or rolling stock, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	6	0	24	7	155	248	80	167	225	337	188	408	871	1042	3083		11062	21860	11351	50566	44036	33979	55618	76558	57697	74581	103737	86498	94247	96559	80854	105234	69697	
8609	"Containers, incl. containers for the transport of fluids, specially designed and equipped for ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		26	298	708	1050	1293	1973	1811	3505	3931	29329	61206	1479	1348	3126	699	416	2381		1406	7374	1601	8333	5251	2245	1975	5315	2912	7843	8804	8169	7710	19301	5287	6066	14089	
8705	"Special purpose motor vehicles (other than those principally designed for the transport of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	24	0	24	210	252	80	300	245	602	331	4505	3256	559	1573	2265	3865		67096	16804	31515	64448	98796	104970	159104	234511	154745	126184	109908	118512	179098	150020	97951	174666	125834	
8902	"Fishing vessels; factory ships and other vessels for processing or preserving fishery products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	72	48	45	199	566	205	0	22322	237	65626	56757	16712	24229	353	1077		0	0	0	0	31	0	0	0	126	339	0	2818	0	0	0	0	0	
9005	"Binoculars, monoculars, astronomical and other optical telescopes, and mountings therefor; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	0	52	0	0	5	11	1	3	0	2	4	211		4109	780	922	1116	2085	2624	5657	3581	14673	14020	4218	6553	5499	7995	5233	10949	9383	
9101	"Wrist-watches, pocket-watches and other watches, incl. stop-watches, with case of precious ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		33	4	2	0	13	0	0	19	6	0	23	1	43	366	504	885	2929		10441	13214	17060	18011	19697	24672	41761	51714	34967	37692	35778	32178	47670	44600	37623	29753	30122	
9406	"Prefabricated buildings, whether or not complete or already assembled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2119	1537	4739	7321	7634	15768	21753	25593	30413	46428	79109	100084	124610	145751	160782	158061	103545		11299	5584	6282	14183	25349	19607	25786	35423	23025	37858	45173	26730	28016	24361	18661	42363	16993	
9508	"Roundabouts, swings, shooting galleries and other fairground amusements; travelling circuses ..."	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0		0	172	210	601	929	1250	988	1258	1177	250	72	43	43	59	725	688	1218		2130	758	3745	1399	9975	3572	8046	16679	13161	11293	24905	19691	97133	98153	34548	11629	10584	
9616	"Scent sprays and similar toilet sprays, and mounts and heads therefor; powder puffs and pads ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	102	3007	6317	7372	5635	244	2559	5921	8178	9397	12831	18030	22659	15227	22376	9860		4888	7480	11924	18079	25952	29216	28019	25533	21441	27896	31245	30733	28879	33070	29016	25997	31764	
9202	"String musical instruments, e.g. guitars, violins, and harps (excluding with keyboard)"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0		1411	2743	3685	3551	2790	2626	2671	4520	4293	2919	3515	1150	696	553	571	547	828		1543	2553	2270	2189	2736	2744	4479	4994	5922	7630	8147	10281	7451	6163	7662	5309	5454	
9620	"Monopods, bipods, tripods and similar articles"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4257	
9702	"Original engravings, prints and lithographs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	3	0	0	1	0	0	240	315	29		2	2	1	4	3	30	16	71	3	6	243	481	582	155	360	349	122	
1504	"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		112	44	49	1714	2251	2794	9365	32964	31687	38519	68820	79865	76454	54036	25858	30345	27123		743	1043	1400	3855	4020	13267	14221	21006	20300	28034	34129	45841	69589	66131	60554	59128	58279	
1509	"Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	4	0	498	602	1726	5913	11403	17228	15049	13521	7056	6342	16	27	544	1		28	3453	1940	90	233	60	48	16	39	24	121	150	413	515	9515	4842	141	
1514	"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		155	294	0	4	61	0	14	18	45	29	80	21	17	18	15	18	64		4957	7259	5824	1990	6011	2490	416	15377	423	757	3270	369	151	2691	2558	2326	536	
1521	"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		348	93	117	923	1287	1464	1010	1872	1122	1891	2199	3074	3883	5675	8357	9264	9677		355	400	510	979	1286	1795	1565	1534	2238	5488	4847	3046	2195	3270	2420	1650	2487	
1601	"Sausages and similar products, of meat, offal or blood; food preparations based on these products"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		74	1891	91	165	356	73	565	55	5	117	1090	651	907	615	734	1167	1084		56	23	2	36	25	74	118	157	122	219	243	457	727	1194	2059	825	98	
1603	"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	1105	1206	1678	202	289	168	771	951	2451	1271	724	8	661	1226	29	3186		0	0	1	1	0	3	4	0	1	84	44	57	61	19	13	11	17	
1702	"Other sugars, incl. chemically pure lactose, maltose, glucose and fructose, in solid form; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0		379	29	226	92	60	210	788	3947	12225	30121	28318	5250	1078	1260	2428	6108	6948		5739	8171	21384	15901	14419	14173	15278	24787	15632	20464	26114	24600	28708	30623	33586	42068	29053	
1803	"Cocoa paste, whether or not defatted"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	1	0	0	0	107	364	6	18	33	12	110	0	6		543	1607	3241	4428	4269	4389	4719	4910	8405	10720	24775	24876	57183	76638	82197	71672	64338	
2004	"Vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		466	1568	3025	4027	5307	5581	4827	6720	5869	9698	14168	15254	18555	21338	22997	23773	22797		552	303	281	956	685	412	793	1835	1852	873	1403	1431	1816	3291	8373	1178	1788	
2204	"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		59	98	37	56	131	138	169	94	86	155	203	590	233	1420	991	6178	809		152	185	160	1550	2634	3238	3132	4561	3197	5610	7076	9281	9646	15528	11386	7024	8093	
2505	"Natural sands of all kinds, whether or not coloured (excluding gold- and platinum-bearing sands, ..."	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		4169	4295	4148	8632	8766	8179	27518	37747	79480	22937	24278	21580	29983	30250	21631	19889	71155		3990	5012	5993	6473	8431	9491	12065	18830	12729	13615	20168	16801	25472	33403	27532	33936	37260	
2516	"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0		1532	4511	5558	8980	4027	4567	1302	1576	327	581	394	212	84	196	91	123	3580		7281	8209	8568	15906	19292	21415	26968	23034	10567	6790	3258	5338	8506	7058	3200	2162	2395	
2525	"Mica, whether or not rifted into sheets or splittings; mica waste"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	7	40	122	92	259	511	1933	219	210	77	7	0	3	0	15	34		131	79	237	351	541	553	460	456	458	436	624	427	627	617	476	595	550	
2603	"Copper ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1080	985	1411	2061	3790	30262	52914	25254	20473	20384	0	50	0	2136	6412	454	5471		14680	13479	9348	4588	37067	27340	157	6155	1	362	35	354	230	43	6772	10	98	
2608	"Zinc ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5364	6934	6920	6480	11922	12103	7002	105	2465	1398	319	0	1778	0	0	30	6670		125	273	289	143	66	94	57	0	2	21	3	4	61	48	22	23	120	
2611	"Tungsten ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1037	91	652	354	163	0	563	14	0	0	0	0	0	966	946	834	1650		0	0	0	5	0	0	0	0	0	0	2	15	3	5	0	0	0	
2703	"Peat, incl. peat litter, whether or not agglomerated"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	88	89	0	1166	0	0	0	0	8	30	17	0	0	75		2362	3147	2886	4353	6211	5889	9263	12282	8171	12747	15395	14429	21320	19887	15209	15201	16873	
2710	"Petroleum oils and oils obtained from bituminous minerals (excluding crude); preparations containing ..."	0	0	0	0	0	0	0	12	20	34	0	6	0	0	0	1	0		200950	121052	140422	207186	311502	478970	569929	873336	962559	1276084	2040114	1675867	1158748	1101875	734723	648202	244032		735001	1155627	1721410	2419310	3606817	5729237	7299588	10994889	8529453	10979487	14729109	15619719	15438978	15369360	9023663	7342818	9817276	
2714	"Bitumen and asphalt, natural; bituminous or oil-shale and tar sands; asphaltites and asphaltic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	128	54	24	33	0	8	8	0	18	20	303	108	288	785	904	10		145	295	183	227	755	324	353	230	157	249	751	1617	828	401	890	1601	1244	
2802	"Sulphur, sublimed or precipitated; colloidal sulphur"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	27	0	0	0	0	0	0	0	6	1	0	51		55	481	479	146	122	133	235	457	1633	938	358	533	264	179	103	348	1019	
2825	"Hydrazine and hydroxylamine and their inorganic salts; inorganic bases, metal oxides, hydroxides ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		402	56	51	339	857	305	414	2972	2779	13343	45376	32555	33852	32031	18923	56246	70146		4410	4121	5701	10952	12985	18266	20881	33566	15101	27418	28911	35832	33351	35013	36138	34989	33364	
2837	"Cyanides, cyanide oxides and complex cyanides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	17	5	2	0	14	0	0	0	2	39	1	11			1839	2267	2765	1914	3744	6405	9105	13182	23027	27711	30961	36613	46838	42374	37407	38291	45502	
