Product code	Product label	Turkey's imports from Germany-Value in 2001	Turkey's imports from Germany-Value in 2002	Turkey's imports from Germany-Value in 2003	Turkey's imports from Germany-Value in 2004	Turkey's imports from Germany-Value in 2005	Turkey's imports from Germany-Value in 2006	Turkey's imports from Germany-Value in 2007	Turkey's imports from Germany-Value in 2008	Turkey's imports from Germany-Value in 2009	Turkey's imports from Germany-Value in 2010	Turkey's imports from Germany-Value in 2011	Turkey's imports from Germany-Value in 2012	Turkey's imports from Germany-Value in 2013	Turkey's imports from Germany-Value in 2014	Turkey's imports from Germany-Value in 2015	Turkey's imports from Germany-Value in 2016	Turkey's imports from Germany-Value in 2017	Germany's exports to world- 	Germany's exports to world-Value in 2001	Germany's exports to world-Value in 2002	Germany's exports to world-Value in 2003	Germany's exports to world-Value in 2004	Germany's exports to world-Value in 2005	Germany's exports to world-Value in 2006	Germany's exports to world-Value in 2007	Germany's exports to world-Value in 2008	Germany's exports to world-Value in 2009	Germany's exports to world-Value in 2010	Germany's exports to world-Value in 2011	Germany's exports to world-Value in 2012	Germany's exports to world-Value in 2013	Germany's exports to world-Value in 2014	Germany's exports to world-Value in 2015	Germany's exports to world-Value in 2016	Germany's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	5335443	7014695	9452964	12515655	13633888	14768220	17539955	18687197	14096963	17549112	22985567	21400614	24182422	22369476	21351984	21474989	21302140		571426720	615997391	748531267	911742096	977131972	1121962887	1328841354	1466137400	1127839900	1271096300	1482202300	1410129600	1450950900	1498157800	1328549134	1340752046	1450214838		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	110	0	0	2086	0	0	0	0	0	0	0	0	0	0	0	0	0																				11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	61224	102467	543	0	213	0	0	0		719521	951434	962993	1215849	1277468	1584024	1495686	1912223	1737976	1670462	1968184	1741280	1691096	1585498	1297349	1204999	1224139		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		794100	930614	1080902	1433165	2019813	2382194	2859568	3934328	3990960	4051758	4921991	5006181	5303544	5051956	3986293	4349885	4762901		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		51164	67790	72190	84600	94054	105220	132362	118054	95592	128276	148615	170340	189413	189757	169325	176772	191645		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	2	9	0	0	1	0	15	0	0	0	1	3	2	0		428	450	476	744	475	538	437	885	615	659	902	1023	787	786	959	861	1063		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0		11146	10552	10920	13127	25639	27450	32114	38050	29739	31009	36930	40894	43574	36144	33846	32271	30658		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	1	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0		4392	6229	7272	11236	23168	24598	17767	25314	21237	23913	21162	22270	26618	24868	23232	23573	25936		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		39	71	48	169	210	299	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0		1040	1465	2078	2641	3271	3618	3303	4003	3809	3191	3787	3495	3564	3252	3205	3719	3283		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	8	0	1	0	0	0	0	0	0	0	41	0	0	0	0	0		3	41	139	116	85	33	226	54	0	1	2	50	54	17	1	33	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0		6831	6538	5076	6110	6043	7801	8191	7966	6289	9563	17193	12505	23721	25699	23337	39480	46853		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28880	38605	16534	3922	4299	6523	14999	82599	123504	144734	167397	178480	160704	212153	164569	138769	151929		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	1	0	0	22	0	2	0	0	1	0	0	0	0	0		15	77	25	9	26	47	144	81	198	200	198	1916	2069	2103	1417	1621	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	4	5	20	0	87	48	0	11	0	0	0	0	22	212	192	44	0		4543	5484	7430	7141	8167	9089	8301	11391	8174	6926	13282	9945	11040	10436	10152	10851	7963		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7357	8035	8510	8767	7423	7096	11051	12295	13428	10829	6922	6984	7485	9500	8713	11141	17334		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		61904	89783	91302	132242	121068	129239	198698	205925	210639	132919	193404	7375	9041	8476	7179	6856	4539		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	12	0	0	4	55	0	0	0	0	0	3	0	0	0	0	0		14042	11866	11418	13357	10731	17837	13797	15365	10536	8038	14684	20574	21329	12259	8417	5642	7717		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	6	0		1274	1221	1827	1122	3447	5038	4223	3441	2067	2589	2763	2381	3099	3611	1955	1534	2454		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	4	3489	4961	4324	7169	7757	6353	65	0	0	0	0	3	0	57	0		26603	25546	28351	72527	116762	139577	167609	154177	77027	165334	242612	182287	111184	65977	101487	110173	65353		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		201	151	289	416	475	157	51	279	115	147	493	682	762	672	847	942	571		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	2	1	3	0	0	0	10	0	0	0	1	0	0		451	5589	9202	31541	36109	39890	47542	32603	1497	4305	25	5	262	701	313	29	45		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	24	55	142	177	298	342	0	0	0	0	0	0	0	0	0	0	0		5918	5969	8216	9065	10499	12072	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6141	6363	6043	7145	8789	7938	28569	21177	16624	15664	22638	13315	21651	26195	13077	15667	23362		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	9	3	1	0	6	0	2	0	2	0	0	1	0	0	0		12614	11818	15857	12822	13762	12667	17178	16498	11984	16898	17953	15098	16310	13225	11584	20101	16999		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	8	12	10	13	11	17	0	0	0	0	0	0	0	0	0	0	0		11986	14557	13163	12469	13389	18742	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	36	18	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0		1376	1163	975	1206	1422	1258	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		27908	32909	29283	24262	48220	47470	62167	73193	47455	70128	81244	54074	59282	59685	54182	39677	43022		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	1	0	0	0	0	0	106	0	0	0	35	0	0	0	0	0		17591	14137	22088	27751	37932	48779	40635	50087	42513	53434	50763	56551	61505	50624	46316	61866	42409		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		101766	136209	80754	101347	192700	158995	129446	217420	308965	264648	303211	485983	474760	477170	269313	187908	216121		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6515	7296	9952	9631	9870	17946	19263	19579	24435	25875	27776	26341	32866	40582	32096	29865	28980		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	19	15	15	0	0	0	0	49	2	35	0	0	0	26	10	11	0		42939	38404	45476	46472	52794	59640	77529	84504	71672	68036	87040	74568	97970	94191	90561	77270	68483		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	1	2	5	3	2	1	0	0	1	3	1	1	1	2	1	0	0		496	1069	1844	2110	1913	1990	2112	2307	2513	2488	3054	2500	2405	1867	1394	973	1941		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0		1144	1382	1756	2072	2539	3642	4457	6241	3677	5288	6822	6110	6284	6506	6342	4897	4653		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2613	"Molybdenum ores and concentrates"	0	8	13	10	0	21	0	0	0	0	0	0	0	0	1	0	0		466	975	1817	23726	61287	75791	76951	99316	20765	56644	38777	11737	7591	5412	19585	27766	30893		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
4301	"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ..."	4	7	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0		39838	37909	43448	34664	31379	41491	40144	28486	17661	20828	27565	37430	44010	46124	25470	23868	32520		227	157	65	238	160	285	97	743	414	640	3094	4460	5096	5647	1566	2627	7417	
4905	"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ..."	7	538	4	0	0	0	1	0	150	3	2	6	1	1	1	0	0		11553	12524	20495	35621	36541	40672	68176	65937	56475	33250	36925	33376	32666	25863	21427	19173	14574		360	1588	625	621	1172	1066	2105	2312	2042	1449	1272	1451	1541	1783	1222	596	316	
5002	"Raw silk "non-thrown""	0	0	0	0	0	0	0	4	0	0	0	0	0	45	0	0	0		13355	6575	7560	3297	3043	3825	2318	2675	1733	3691	5577	7726	5602	6213	5952	3319	5649		3792	2931	2951	3821	2910	2448	2764	1924	1146	2205	3359	1575	2425	2291	1524	1014	614	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	0	0	12	182	490	371	93	2	0	0	0	0	0	0	0	0	0		8757	8994	9333	10439	7285	5126	6201	6568	3596	2938	4247	3188	2576	3323	2663	2685	2206		301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5311	"Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn (excluding those ..."	127	131	46	9	35	88	23	30	0	84	80	32	48	8	1	0	0		1238	1184	1272	2408	3526	4108	3697	3350	2128	2584	3292	2502	2190	2159	1586	1502	1566		4887	4932	9024	18913	16209	6356	2302	1321	1280	1749	2468	3857	6398	9149	3756	3913	3917	
6801	"Setts, curbstones and flagstones, of natural stone (excluding slate)"	2	1	0	0	0	0	0	0	0	0	12	404	1461	787	248	0	0		7808	10661	12549	14932	25533	31185	30297	46982	29946	29535	32103	30135	30168	28131	23420	20345	20437		583	20	419	812	6115	9041	5060	1283	2137	1109	809	1310	2756	1066	509	1574	2616	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	90	119	92	131	192	192	205	145	95	261	14	0	0	0	0	0	0		1926	2065	1700	599	376	395	120	52	120	77	111	35	8	0	0	0	3		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
7902	"Zinc waste and scrap (excluding ash and residues from zinc production "heading 2620", ingots ..."	0	0	0	263	0	1401	2497	2517	122	282	39	0	0	177	76	0	0		37456	29972	39603	54598	70342	127168	167867	118638	113368	169190	200731	162827	103488	104856	77226	66160	98085		0	159	54	306	150	2164	5573	2951	304	282	87	139	146	360	312	409	1339	
8520	"Magnetic tape recorders and other sound recording apparatus whether or not incorporating a ..."	62	49	272	101	31	92	0	0	0	0	0	0	0	0	0	0	0		51999	59975	67826	79985	137969	170826	0	0	0	0	0	0	0	0	0	0	0		947	1187	2255	4503	16442	25448	0	0	0	0	0	0	0	0	0	0	0	
8902	"Fishing vessels; factory ships and other vessels for processing or preserving fishery products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	4055	5013	3205	4911	0	202	0	0	0	0	305	357	0	27	20	14937		0	0	0	0	31	0	0	0	126	339	0	2818	0	0	0	0	0	
0204	"Meat of sheep or goats, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36920	40443	39630	32179	51783	58252	57002	75047	65605	69811	78393	63208	65741	62294	59470	57518	71026		112	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0510	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ..."	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0		6682	6113	3634	2830	3031	3482	5299	5064	1612	1358	7617	5753	4029	3018	1810	2375	3251		14	12	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	
0708	"Leguminous vegetables, shelled or unshelled, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3398	7605	5009	5974	12903	16088	18505	24480	17976	14418	21578	28500	28018	32157	28755	24726	25474		48	1	0	0	0	0	0	2	19	0	1	0	0	0	0	0	33	
0801	"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled"	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0		5715	9297	7222	9605	13293	17021	37072	44409	40080	41295	57686	62952	69310	101700	147991	182630	224775		1163	3824	5488	4799	9461	9160	13378	21359	18342	22490	33289	26598	24429	39325	43859	39944	41890	
0812	"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0		649	937	439	541	635	219	463	591	285	337	537	1039	1244	3280	2391	1206	1079		0	0	0	1	25	17	10	0	0	0	0	0	0	0	4	1	1	
0904	"Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ..."	33	7	36	0	47	17	100	0	0	0	38	8	1	6	0	1	0		27309	31390	40086	43703	43048	54977	64397	97543	71743	81561	118842	120290	146811	150049	174642	185087	167313		2480	3849	4767	4520	5154	5526	6943	7778	8912	8676	8014	10152	16261	8869	10698	12710	32676	
1401	"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ..."	0	0	2	12	1	0	1	0	0	2	0	0	0	0	0	0	0		4352	2928	4020	5137	5430	7340	7102	7016	5057	4096	7404	5612	4693	6718	3726	2880	2968		101	118	171	317	417	494	689	846	822	869	1035	868	1357	1728	1552	1356	1678	
1601	"Sausages and similar products, of meat, offal or blood; food preparations based on these products"	0	0	0	8	0	0	0	9	10	0	0	11	10	10	0	0	0		217758	258587	293829	391338	484898	549625	634941	791993	746006	696806	759644	760406	829015	833439	675193	676351	709226		56	23	2	36	25	74	118	157	122	219	243	457	727	1194	2059	825	98	
1803	"Cocoa paste, whether or not defatted"	0	0	0	0	29	0	0	0	0	0	12	0	137	0	274	0	0		22943	19012	29940	29898	46390	90923	105906	121201	163605	266767	356368	289637	268969	289124	320935	419065	284049		543	1607	3241	4428	4269	4389	4719	4910	8405	10720	24775	24876	57183	76638	82197	71672	64338	
2603	"Copper ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7588	6386	20149	22408	20614	28813	34483	28700	31332	33997	29865	28961	24915	24204	18877	18252	19908		14680	13479	9348	4588	37067	27340	157	6155	1	362	35	354	230	43	6772	10	98	
2608	"Zinc ores and concentrates"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0		12396	9799	1392	160	4353	439	628	1012	483	1138	56177	26161	65235	77734	63599	30056	34973		125	273	289	143	66	94	57	0	2	21	3	4	61	48	22	23	120	
2611	"Tungsten ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	40	16	46	9	0	197	235	136	3700	7551	334	509	311	369	701		0	0	0	5	0	0	0	0	0	0	2	15	3	5	0	0	0	
2714	"Bitumen and asphalt, natural; bituminous or oil-shale and tar sands; asphaltites and asphaltic ..."	80	14	5	0	0	3	0	1	0	0	0	0	0	1	0	0	0		2423	2858	2347	4032	5623	3498	3628	4272	475	749	2025	1259	983	597	689	1667	1584		145	295	183	227	755	324	353	230	157	249	751	1617	828	401	890	1601	1244	
3825	"Residual products of the chemical or allied industries, n.e.s.; municipal waste; sewage sludge; ..."	0	137	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0		0	2794	2588	7037	18307	27611	14421	20858	11027	9983	15404	15060	21194	17704	19884	15781	19144		0	334	1	0	4	1	1	5	37	2	26	0	13	5	0	0	0	
4103	"Other raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	105	12	32	0	7	18	2	0	0	0	38	0	0	0	0	0		3823	6947	7565	8151	10873	20667	19849	25573	14375	14301	24132	21541	25478	24018	17123	22858	14613		4518	10814	11305	6082	5007	7487	10196	7913	4176	5752	11015	13616	13000	10147	3519	3013	2479	
4304	"Artificial fur and articles thereof (excluding gloves made of leather and artificial fur, footware ..."	91	0	1	0	0	3	6	18	1	0	0	4	0	0	0	1	0		1172	939	731	386	1379	2167	1597	1625	1474	1146	1685	955	1018	1306	1109	1018	755		163	179	91	96	153	577	1569	1638	503	1354	620	399	276	511	509	463	529	
4602	"Basketwork, wickerwork and other articles, made directly to shape from plaiting materials or ..."	79	31	44	58	20	49	58	33	18	29	119	63	21	41	10	6	0		11642	12569	19066	24238	30752	41803	45673	46917	47016	38983	31963	31265	33950	38935	35466	39422	36755		2657	2983	6455	11000	6731	7458	6907	8080	5984	8783	9379	8145	9406	9255	8431	7172	7146	
4702	"Chemical wood pulp, dissolving grades"	0	0	0	0	82	0	0	0	0	33	0	0	0	0	0	0	0		7443	5154	261	1883	665	4148	5763	3111	1120	7713	8361	4815	101403	101523	66377	37510	23192		780	424	648	2756	6481	5058	3599	6147	979	1388	756	747	609	829	798	764	465	
4414	"Wooden frames for paintings, photographs, mirrors or similar objects"	5	65	146	125	99	230	120	29	17	23	22	0	7	14	3	16	0		8955	9891	9781	8302	8942	9412	15438	16862	16144	17521	21598	24326	26802	27737	25132	25846	23945		742	681	1307	1310	1871	2165	2304	3031	1819	3320	3982	3091	3911	3654	3139	3030	3001	
5301	"Flax, raw or processed, but not spun; flax tow and waste, incl. yarn waste and garnetted stock"	0	0	68	24	69	62	42	0	1	24	0	0	0	0	0	0	0		606	789	659	787	1228	1259	1287	1074	812	814	1162	1295	1565	1836	1412	1247	1306		1359	2571	3078	2560	2316	2312	3331	2131	1479	3179	4249	3989	5861	5512	5575	6687	4107	
5302	"True hemp "Cannabis sativa L.", raw or processed, but not spun; tow and waste of true hemp, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		593	607	629	469	236	350	213	233	228	209	330	339	434	550	870	934	354		1476	1439	0	474	218	585	845	0	104	3	0	1	0	1	5	3	69	
5405	"Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ..."	3	11	6	0	0	23	91	44	0	25	2	0	0	0	0	0	0		913	508	736	820	806	5916	12870	2208	509	350	205	75	139	270	183	201	152		8	12	30	35	61	185	146	116	7	75	14	44	6	10	5	26	20	
5108	"Carded or combed yarn of fine animal hair (excluding that of wool or that put up for retail ..."	0	0	3	6	0	11	30	32	2	0	0	0	0	0	4	0	0		556	464	936	930	1582	1845	3018	1762	4003	3085	3171	3221	3798	4302	3825	4997	4706		21	50	109	441	409	1549	2318	1738	1508	2215	3169	3638	1878	2752	2743	3766	3293	
6701	"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down ..."	18	3	4	0	0	0	0	0	1	1	3	5	0	2	1	0	0		1201	1056	1286	1462	2648	2658	3169	2449	1965	2408	2845	2381	2844	3335	2519	2546	2756		98	226	260	272	509	553	424	450	423	518	745	501	287	416	405	248	518	
7803	"Lead bars, rods, profiles and wire, n.e.s."	5	156	13	10	53	17	0	0	0	0	0	0	0	0	0	0	0		3362	3566	3916	4198	5050	5599	0	0	0	0	0	0	0	0	0	0	0		76	286	183	162	375	374	0	0	0	0	0	0	0	0	0	0	0	
8485	"Machinery parts not specified or included elsewhere in this chapter (excluding parts containing ..."	15610	4463	13253	7871	17383	14338	0	0	0	0	0	0	0	0	0	0	0		1472386	1386176	1090132	1269251	1419849	1970459	0	0	0	0	0	0	0	0	0	0	0		29642	14987	31951	33715	53265	46711	0	0	0	0	0	0	0	0	0	0	0	
8710	"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ..."	118	549	298	87	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	521	0	0	0	118	0	0	0	0		3311	25225	11704	4686	0	0	0	0	0	0	0	0	0	0	0	0	0	
8904	"Tugs and pusher craft"	0	4670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1527	304	245340	193480	3152	10128	4259	825	10861	2946	8135	2546	11241	649	85933	3672	42102		11091	30007	1	0	288	2670	0	0	0	10100	1803	15444	18	0	7093	13276	0	
9009	"Photocopying apparatus incorporating an optical system or of the contact type and thermo-copying ..."	1635	1601	1690	1820	2018	1194	0	0	0	0	0	0	0	0	0	0	0		490676	652919	654398	967588	1151909	942348	0	0	0	0	0	0	0	0	0	0	0		36394	44464	53103	79882	84424	96447	0	0	0	0	0	0	0	0	0	0	0	
9307	"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		3347	2719	3994	4433	5773	4519	6253	5839	6696	6485	7993	9821	11696	9954	10311	7617	8890		0	1	2	119	25	150	3	44	4	312	46	176	117	62	47	0	1	
9605	"Travel sets for personal toilet, sewing or shoe or clothes cleaning (excluding manicure sets)"	21	4	5	4	2	4	6	3	5	8	5	3	8	10	2	0	0		12972	3967	3596	3189	3788	5576	4678	6193	5586	4729	8754	10561	11197	14257	12151	12648	14009		87	71	84	194	188	253	343	240	165	226	336	396	490	455	468	395	479	
9704	"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ..."	0	0	0	0	2	1	0	1	1	0	0	7	0	4	0	1	0		17338	18531	25672	22426	42756	34283	21713	25397	22288	38877	33041	27449	27061	22397	23099	33438	31222		4	0	12	0	3	2	5	2	1	0	1	7	10	183	0	9	10	
0501	"Human hair, unworked, whether or not washed or scoured; waste of human hair"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		29	72	23	6	27	0	0	4	71	99	35	143	372	228	134	160	55		0	3	6	13	27	2	9	63	72	172	742	422	53	24	33	19	12	
0603	"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ..."	0	7	0	0	0	11	7	3	0	0	3	0	1	1	1	0	0		22580	27292	33343	45742	50207	52370	56636	58096	47069	41466	78557	82899	92597	93198	83216	79291	72212		146	126	158	308	426	432	244	329	401	731	1433	2012	2563	6342	4883	4129	3529	
0702	"Tomatoes, fresh or chilled"	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		25852	35555	32826	31659	51324	57080	64723	71156	52544	58700	39474	45808	46507	40556	37183	31375	38044		8	29	9	16	31	0	24	89	11	467	616	101	45	61	426	570	450	
0207	"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and ..."	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0		259507	342544	469748	491955	612985	641794	751620	861374	879424	950005	1120581	1179798	1266484	1316983	1071325	1000574	1018703		183	32	65	14	254	33	97	789	1581	863	1567	1118	940	1119	1933	366	2075	
0308	"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	349	424	322	559	800	648		0	0	0	0	0	0	0	0	0	0	0	94	172	239	178	201	114	
