Product code	Product label	Turkey's imports from Germany-Value in 2001	Turkey's imports from Germany-Value in 2002	Turkey's imports from Germany-Value in 2003	Turkey's imports from Germany-Value in 2004	Turkey's imports from Germany-Value in 2005	Turkey's imports from Germany-Value in 2006	Turkey's imports from Germany-Value in 2007	Turkey's imports from Germany-Value in 2008	Turkey's imports from Germany-Value in 2009	Turkey's imports from Germany-Value in 2010	Turkey's imports from Germany-Value in 2011	Turkey's imports from Germany-Value in 2012	Turkey's imports from Germany-Value in 2013	Turkey's imports from Germany-Value in 2014	Turkey's imports from Germany-Value in 2015	Turkey's imports from Germany-Value in 2016	Turkey's imports from Germany-Value in 2017	Germany's exports to world- 	Germany's exports to world-Value in 2001	Germany's exports to world-Value in 2002	Germany's exports to world-Value in 2003	Germany's exports to world-Value in 2004	Germany's exports to world-Value in 2005	Germany's exports to world-Value in 2006	Germany's exports to world-Value in 2007	Germany's exports to world-Value in 2008	Germany's exports to world-Value in 2009	Germany's exports to world-Value in 2010	Germany's exports to world-Value in 2011	Germany's exports to world-Value in 2012	Germany's exports to world-Value in 2013	Germany's exports to world-Value in 2014	Germany's exports to world-Value in 2015	Germany's exports to world-Value in 2016	Germany's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2920	"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ..."	565	684	1052	1101	1804	2772	3515	2995	1388	1600	1648	2036	2425	2626	2071	2518	3622		111057	125594	159880	143188	143638	178541	189258	208305	169076	188176	204086	194904	234111	216206	196861	208916	230296		3746	4287	4346	5862	5401	6668	8279	11113	6411	8075	9501	9074	8052	8940	8354	8278	9941	
9508	"Roundabouts, swings, shooting galleries and other fairground amusements; travelling circuses ..."	178	76	741	174	878	389	1386	1349	369	167	403	3986	11532	1996	3042	1595	3660		53358	48525	52395	63185	62020	50510	65441	90404	121437	77626	143712	109848	154907	125947	139854	122356	153643		2130	758	3745	1399	9975	3572	8046	16679	13161	11293	24905	19691	97133	98153	34548	11629	10584	
3501	"Casein, caseinates and other casein derivatives; casein glues (excluding those packaged as ..."	1313	860	1090	1565	2048	2941	5457	3540	2660	2499	1424	2724	4317	5002	4070	3316	3735		172814	157223	187367	222109	214616	213822	276587	275306	161784	183406	282681	269511	272661	315967	241184	189283	200019		3081	2394	3998	6526	6364	8373	13889	12797	9990	22810	9796	7719	9816	16848	10040	5926	5662	
7223	"Wire of stainless steel, in coils (excluding bars and rods)"	521	564	642	1076	1767	2669	4256	2957	1954	2847	3011	2555	2321	2901	3141	3365	3769		72437	75053	86970	118376	140172	153120	188289	169882	103659	142023	185280	153091	160675	161645	133021	129849	154926		5575	8659	11579	14606	18407	21209	36952	33900	17988	30314	38336	34428	34881	38388	36015	31549	38954	
9002	"Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of ..."	584	1023	649	4553	5808	8651	9580	4496	2032	2576	2643	4066	5015	5085	3593	4891	3853		659711	641486	745022	884100	1144917	1549724	1981952	1730406	1075237	2016818	2430102	1792028	2003311	2072926	1542908	1702455	2069484		6690	5634	13030	32353	45239	42243	29459	27617	20280	22079	30606	34734	44189	41003	31162	31377	39450	
3405	"Shoe polish, furniture wax and floor waxes, polishes and creams for coachwork, glass or metal, ..."	1008	1656	2006	2138	2335	2522	2944	2871	2371	3612	4339	4654	5134	4618	4384	4100	3856		89770	105878	129042	130359	137161	165844	193517	213734	178044	202848	252307	228807	233193	247260	208660	214212	238408		4201	5250	6167	7120	8673	9202	11855	12697	11018	14005	18092	16787	18218	17888	15594	14846	14504	
8311	"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, ..."	1185	1358	2390	2291	3062	4365	5171	4693	3148	3592	4388	3713	3437	3438	2791	3601	3869		62187	70248	82613	94603	103939	130568	152954	183193	126948	144749	170822	155629	168792	161709	133408	131071	136669		8223	6484	11376	14453	16662	22089	31802	33342	18116	20135	22990	25802	26342	30381	29540	25657	28272	
2918	"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ..."	1445	1020	1745	2817	1832	2677	3006	1714	2455	2284	3833	5057	5999	4631	4459	4163	3880		185279	177279	207265	208688	231768	273722	361190	432849	431415	434930	525261	512969	538668	586032	497517	462100	481609		39500	52089	67990	73712	90602	82074	84926	103825	73759	85250	108148	101875	106828	116894	100235	94536	118878	
6307	"Made-up articles of textile materials, incl. dress patterns, n.e.s."	1817	1966	2302	2636	2854	3387	3024	3472	2121	3044	5676	3726	5202	5005	4027	4189	3885		254428	308930	391622	444453	501457	554274	605879	638998	603524	570031	705246	695746	743501	896379	830732	836773	889836		4672	6416	7721	12077	16316	22754	42543	41449	37712	50227	68514	66412	80266	84646	79510	80073	77432	
3821	"Prepared culture media for the development or maintenance of micro-organisms "incl. viruses ..."	572	706	933	1174	1255	1412	1819	2068	1963	2340	2367	2433	3053	4453	4297	3446	3889		46060	49253	66692	73764	81777	89578	113121	131241	128169	132082	147223	160691	178299	196726	193874	190765	215835		2892	4184	4711	6156	6336	7970	8792	12020	11877	12761	14312	15529	18193	20034	18748	17669	19097	
6813	"Friction material and articles thereof, e.g., sheets, rolls, strips, segments, discs, washers, ..."	2074	2725	2537	3386	2929	2806	3992	4488	4917	7389	10069	3816	4458	5096	5027	4400	3941		139821	150150	95366	97258	99467	97922	113536	130156	125574	171121	193448	193850	219515	246840	209248	206178	208081		7194	11877	18438	24550	26645	32312	42840	44513	37335	46050	58122	36706	35687	33771	34373	32477	34545	
8113	"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ..."	148	224	418	371	723	826	786	1452	1009	1673	2946	2780	3647	3799	4576	3705	3958		39903	43970	62771	65914	82735	108618	151759	182647	104656	174017	300393	272136	261284	367100	337331	322202	386644		250	280	442	889	1136	1443	1299	3480	1841	2924	4989	4973	5614	7200	11019	10183	12391	
7415	"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ..."	118	375	271	273	949	1178	1224	1772	1846	3327	3954	4170	4685	5317	4315	4603	3965		61410	68059	85803	100792	110902	144518	180567	190396	134635	184369	228067	220371	227177	232984	193192	200100	219247		604	992	1602	2172	2648	3656	4749	5147	3961	6714	8774	9056	11118	12898	13878	11063	10831	
2901	"Acyclic hydrocarbons"	1298	914	738	599	693	946	989	1409	1039	982	1496	2172	1998	2754	2303	2096	4001		278888	238283	454397	520412	649452	1092359	1235170	1386717	780173	1156606	1484997	1501097	1372867	1531798	1041689	977808	1061175		21674	12907	19648	72749	152332	69773	72128	45557	12742	44210	155484	87942	26256	252161	22366	22671	15524	
8434	"Milking machines and dairy machinery (excluding refrigerating or heat treatment equipment, ..."	822	1090	1386	3342	3114	2716	5063	5541	882	12866	10720	12824	6313	26073	6227	4895	4001		169740	237805	300574	318440	363552	397532	328283	254633	154988	196837	244905	279373	228080	256168	197679	202706	200687		3806	3838	6140	9618	14304	11230	24563	21453	11312	27888	44857	35811	28183	49852	21474	23282	13229	
4806	"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent ..."	724	404	1033	1529	827	1675	2057	1049	710	1685	3030	1093	2361	3038	4291	3695	4134		61064	68335	71647	85708	87039	92892	100756	100192	90483	101972	109407	108710	109888	114247	130395	131821	149255		6129	8957	9844	11318	12011	13756	17458	19982	21244	27191	33309	27730	29991	31994	30905	29356	33438	
3801	"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or ..."	793	895	1392	1321	1393	1441	2257	2208	2315	3383	6477	4649	4358	4534	4371	4313	4178		63335	64340	68820	78876	86171	109444	135679	172214	91309	157706	190600	172887	169261	175435	140362	143491	173583		3111	3520	5494	6439	7908	10091	14667	18328	10200	15727	26013	18033	18374	20511	20932	19530	24944	
8533	"Electrical resistors, incl. rheostats and potentiometers (excluding heating resistors); parts ..."	1665	1651	1959	2556	2409	2599	3775	3966	2632	3413	4077	3646	3724	4160	3648	4402	4208		394132	378950	469526	529721	525031	642148	759101	846957	595309	790323	969809	889803	952146	982741	915589	987182	1155044		15728	21985	27502	35813	29836	28122	29891	28853	22273	27048	33156	34599	37403	41190	39630	39572	47381	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	3850	4618	7255	11494	15709	13424	14759	7539	5420	14337	10169	8913	9061	5092	7084	6882	4235		360645	329508	350772	456558	580061	616933	778217	689273	420698	431318	445742	394522	374756	347051	273881	276925	292830		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
6006	"Fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics "incl. those ..."	0	2170	3465	4497	4190	5356	5290	3256	2002	1909	2145	1762	2583	4554	3906	5815	4257		0	329317	372182	367041	338824	342474	378699	324594	242067	266881	309299	253867	262193	264617	236747	243016	269678		0	45468	55021	51043	39607	41537	56048	66018	67741	102960	158442	87437	92506	89493	72937	80208	92516	
0602	"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ..."	446	580	636	1946	1847	1553	1477	1426	1668	1309	3124	3257	9978	5862	3527	4881	4262		187231	230987	289548	303065	360764	416584	476995	616732	584712	591385	773539	728300	819276	815064	687324	736750	789018		8980	10885	13975	21262	30664	43739	46468	51538	31412	42958	59620	59216	82203	78447	65804	73287	71935	
8478	"Machinery for preparing or making up tobacco, not specified or included elsewhere in this chapter; ..."	12484	2031	8408	15303	31988	6671	14820	2524	10169	16644	2231	2759	19701	8024	19421	11617	4266		200437	245840	241677	325752	266699	281745	286317	364128	0	0	0	0	0	0	0	0	0		16706	15484	23586	36801	44975	35529	40887	16647	23862	36384	34845	22162	32086	36784	66476	25834	20539	
9001	"Optical fibres and optical fibre bundles; optical fibre cables (excluding made up of individually ..."	11448	4686	3109	2667	3274	2711	3692	4559	3639	4885	5006	3943	4031	4552	4255	4260	4319		769998	663271	638239	976995	1025323	1310979	1488914	1416440	1241508	1546854	1619977	1556329	1686134	1724980	1523177	1603962	1899711		30904	27323	25708	30831	40075	47124	58202	80132	70313	104503	122209	113700	137283	186882	169667	165564	175584	
