Product code	Product label	Turkey's imports from Italy-Value in 2001	Turkey's imports from Italy-Value in 2002	Turkey's imports from Italy-Value in 2003	Turkey's imports from Italy-Value in 2004	Turkey's imports from Italy-Value in 2005	Turkey's imports from Italy-Value in 2006	Turkey's imports from Italy-Value in 2007	Turkey's imports from Italy-Value in 2008	Turkey's imports from Italy-Value in 2009	Turkey's imports from Italy-Value in 2010	Turkey's imports from Italy-Value in 2011	Turkey's imports from Italy-Value in 2012	Turkey's imports from Italy-Value in 2013	Turkey's imports from Italy-Value in 2014	Turkey's imports from Italy-Value in 2015	Turkey's imports from Italy-Value in 2016	Turkey's imports from Italy-Value in 2017	Italy's exports to world- 	Italy's exports to world-Value in 2001	Italy's exports to world-Value in 2002	Italy's exports to world-Value in 2003	Italy's exports to world-Value in 2004	Italy's exports to world-Value in 2005	Italy's exports to world-Value in 2006	Italy's exports to world-Value in 2007	Italy's exports to world-Value in 2008	Italy's exports to world-Value in 2009	Italy's exports to world-Value in 2010	Italy's exports to world-Value in 2011	Italy's exports to world-Value in 2012	Italy's exports to world-Value in 2013	Italy's exports to world-Value in 2014	Italy's exports to world-Value in 2015	Italy's exports to world-Value in 2016	Italy's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4823	"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ..."	3345	3955	7176	7669	8359	7743	7972	7596	5143	5337	9338	9850	16810	18250	18490	16948	20853		309636	322938	403841	380231	391231	442627	461231	493821	429147	482798	519700	461793	478957	509487	462985	483717	513312		38259	43405	46123	62444	54832	48450	52793	57122	44875	39699	63170	60715	69419	82773	67386	59964	52161	
4005	"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excluding ..."	1556	1485	3299	7653	7856	11077	13121	17246	11912	17169	25919	23489	33801	29627	24458	24253	20860		85922	117111	159454	228087	272678	342899	436481	431867	302851	380019	548732	489051	527419	515289	468189	481390	520644		8380	10548	18387	26624	31611	39147	57935	65212	46453	53616	79916	76860	91903	85943	77055	79876	88661	
4811	"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, ..."	11858	17399	21552	25553	30938	26556	23197	27028	36962	35677	32038	28804	24812	25721	23568	21196	21198		402344	394331	433346	481496	486426	559639	710385	765629	671144	790313	899163	899009	978489	994401	888661	889394	925588		79468	113137	143865	198084	220445	241333	275057	304235	282258	326117	356126	343317	364944	384448	342314	332813	382856	
3506	"Prepared glues and other prepared adhesives, n.e.s.; products suitable for use as glues or ..."	6861	6687	8690	10010	15643	21221	29276	34332	30282	25822	35746	34177	27207	28701	21148	18949	21284		170383	181324	227435	285006	330563	365506	432314	480683	386092	426413	495595	460886	492182	512666	418757	425994	494884		31995	44686	59026	81158	102044	120076	151816	172711	160574	184496	234048	237236	258769	263656	232014	224860	245378	
8430	"Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring ..."	1400	2027	6071	7614	29354	37556	57121	44382	21707	37756	29678	99662	39903	18857	17389	34148	21311		180668	151861	211550	273122	430343	589393	1129343	1242632	748123	649289	813112	665342	754759	641017	617901	625935	577272		16797	35991	26180	24054	112322	199380	217807	169135	132785	224816	258477	344936	344797	243627	168493	258937	332571	
6204	"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, ..."	6534	9403	10702	13268	16811	22982	30756	39048	22194	21555	25602	21224	25285	25937	22670	19722	22306		2560989	2645766	2996438	3302993	3525063	3749839	4410129	4554258	3450327	3413226	3908672	3658344	3808200	3809122	3157448	3239001	3333638		31790	41857	71103	90086	127106	176682	240893	347230	301743	395929	449420	355687	442724	414297	359459	311516	302746	
3903	"Polymers of styrene, in primary forms"	6903	11866	14153	16441	9446	6946	9518	5750	4980	8876	13766	23911	32739	29949	27878	22292	22480		115118	123231	152584	195249	269395	269893	310797	263872	192947	266396	372006	436306	438091	408377	367309	348649	455150		136860	204206	296351	482320	541883	635311	760997	683795	494539	779746	985348	1011585	1074679	973642	795017	698281	880629	
8416	"Furnace burners for liquid fuel, for pulverised solid fuel or for gas; mechanical stokers, ..."	4348	9125	7388	10047	14095	14700	14618	17849	14663	17380	24995	24181	23862	21030	18853	18223	22643		191474	189885	252174	290804	279122	326758	371682	426130	346917	406109	497686	475387	506514	508823	443637	436675	569521		10507	35138	32198	28341	34769	41480	45698	52804	33522	39521	52840	53067	80585	64182	50033	48770	67207	
2302	"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, ..."	0	0	0	0	0	2846	1851	546	802	4811	3113	1250	4095	14279	5828	11409	22745		2787	3147	1922	2734	10366	9807	11905	16937	13326	24141	24036	25096	25466	39209	33806	37911	42681		3041	13565	29884	97540	50321	36266	58704	73377	42980	73353	121567	147353	192561	224758	212622	241271	320035	
3917	"Tubes, pipes and hoses, and fittings therefor, e.g. joints, elbows, flanges, of plastics"	20094	4719	5221	8310	7535	7992	12528	14497	15116	15837	17312	17017	18399	18100	19223	21461	22941		424447	491118	592208	742854	825897	963644	1277108	1383208	1097377	1190057	1400636	1308388	1378591	1459052	1304705	1343963	1494234		64601	80402	81279	99601	92379	111615	143025	182997	144071	149461	216263	211783	221979	208722	197043	209356	238217	
