Product code	Product label	Turkey's imports from Spain-Value in 2001	Turkey's imports from Spain-Value in 2002	Turkey's imports from Spain-Value in 2003	Turkey's imports from Spain-Value in 2004	Turkey's imports from Spain-Value in 2005	Turkey's imports from Spain-Value in 2006	Turkey's imports from Spain-Value in 2007	Turkey's imports from Spain-Value in 2008	Turkey's imports from Spain-Value in 2009	Turkey's imports from Spain-Value in 2010	Turkey's imports from Spain-Value in 2011	Turkey's imports from Spain-Value in 2012	Turkey's imports from Spain-Value in 2013	Turkey's imports from Spain-Value in 2014	Turkey's imports from Spain-Value in 2015	Turkey's imports from Spain-Value in 2016	Turkey's imports from Spain-Value in 2017	Spain's exports to world- 	Spain's exports to world-Value in 2001	Spain's exports to world-Value in 2002	Spain's exports to world-Value in 2003	Spain's exports to world-Value in 2004	Spain's exports to world-Value in 2005	Spain's exports to world-Value in 2006	Spain's exports to world-Value in 2007	Spain's exports to world-Value in 2008	Spain's exports to world-Value in 2009	Spain's exports to world-Value in 2010	Spain's exports to world-Value in 2011	Spain's exports to world-Value in 2012	Spain's exports to world-Value in 2013	Spain's exports to world-Value in 2014	Spain's exports to world-Value in 2015	Spain's exports to world-Value in 2016	Spain's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
6815	"Articles of stone or of other mineral substances, incl. carbon fibres, articles of carbon fibres ..."	72	7	0	127	101	218	568	947	1319	3286	1318	2658	2314	1399	4642	3638	3918		14867	13881	13887	16183	21766	27735	54648	65389	68455	78971	91347	110209	135032	172134	191719	207159	217392		3857	5714	10048	8493	9114	11235	14222	19126	18345	29280	46951	45139	38672	55950	60766	68308	79206	
2918	"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ..."	1646	1824	2237	3828	9652	6750	6831	7831	6231	6793	7435	5648	5051	5618	4324	3603	3923		79959	77722	93379	105756	126127	133615	157959	147240	125743	133924	130959	108549	225667	198128	171163	161478	176461		39500	52089	67990	73712	90602	82074	84926	103825	73759	85250	108148	101875	106828	116894	100235	94536	118878	
2519	"Natural magnesium carbonate "magnesite"; fused magnesia; dead-burned "sintered" magnesia, whether ..."	10	36	2	0	109	679	2305	2681	3143	2415	3913	2944	3450	2966	2305	2346	4022		19205	57264	24445	64862	31235	34372	40855	51515	48319	64121	86599	77174	79063	71857	58868	55251	65987		8804	16138	20556	17263	25160	26329	34816	42665	29247	42385	46361	36845	39493	40807	28863	31626	34597	
8526	"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus"	24	90	132	375	245	429	5096	4547	4600	6131	17006	350	535	1194	458	378	4028		10480	22560	23474	26912	31063	87784	90612	147417	275518	221725	157867	171097	180853	206565	181406	167013	218007		25668	36030	31807	62133	61169	83337	122288	117025	85299	130284	189265	171964	189149	207515	154813	143714	173136	
1805	"Cocoa powder, not containing added sugar or other sweetening matter"	507	1100	2242	531	319	467	484	150	259	1515	3512	1451	1628	2576	2053	3587	4044		29412	58820	86807	68556	43783	36364	60965	64781	89619	170530	252499	211358	145626	117160	122712	158314	169682		5133	10983	20024	21496	13292	14111	19526	20460	26480	45856	71773	58329	64021	50481	49245	45678	57727	
9999	"Commodities not elsewhere specified"	12298	3107	8720	2490	8907	11975	6098	2853	5950	4170	746	3516	1265	1098	288	1755	4108		1872161	1891321	2345457	2850571	2970992	3810759	5222692	6396738	5774350	6763571	9454004	12659079	13109618	12565981	7842676	7054003	14250294		2510861	2224681	3422565	3689466	6214911	9287654	10924866	34131572	19125400	24383848	35423236	40729748	36542161	35565420	25065939	16352330	21569047	
4202	"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels, spectacle cases, ..."	362	1449	1706	839	774	1496	1989	2389	1451	2364	3245	3336	3951	3905	3580	3062	4133		206373	235438	278540	347699	349557	396106	491609	555793	513408	514537	646218	678331	792139	975603	888921	956377	1060253		27709	36711	56714	122573	231568	296114	390297	405386	222534	264521	353072	334251	403519	415528	339255	237777	227601	
4901	"Printed books, brochures and similar printed matter, whether or not in single sheets (excluding ..."	519	419	326	788	1434	1416	1162	1280	1060	904	1232	1750	1823	1494	1496	1503	4211		708288	680560	748313	864645	825362	782929	816902	819192	632673	576072	601290	554693	560331	585944	505926	532981	585387		16943	16950	21470	36165	40651	44960	50920	51822	43695	46389	57547	62055	64517	65741	72933	50579	60053	
8301	"Padlocks and locks "key, combination or electrically operated", of base metal; clasps and frames ..."	897	3549	4173	5765	5587	7080	5198	3632	3035	4734	10565	9663	7375	7031	5577	4945	4230		182372	191116	214007	262832	281307	293063	336438	364769	274884	270797	297934	299305	311447	343790	295109	306733	325658		23244	36806	51263	82820	93405	123180	169254	195600	116594	159828	201555	165018	185531	191431	188025	177986	188184	
4412	"Plywood, veneered panel and similar laminated wood (excluding sheets of compressed wood, cellular ..."	95	532	520	1031	801	1476	1773	631	183	387	587	2316	3921	3598	4867	4632	4250		59334	59311	75481	113212	111869	129588	176359	195437	128506	150120	194682	171500	195511	214853	218992	237495	291099		8391	12209	21919	39863	65268	90672	110367	126214	69863	179878	272389	298861	325750	335490	311830	310815	269012	
