Product code	Product label	Turkey's imports from Spain-Value in 2001	Turkey's imports from Spain-Value in 2002	Turkey's imports from Spain-Value in 2003	Turkey's imports from Spain-Value in 2004	Turkey's imports from Spain-Value in 2005	Turkey's imports from Spain-Value in 2006	Turkey's imports from Spain-Value in 2007	Turkey's imports from Spain-Value in 2008	Turkey's imports from Spain-Value in 2009	Turkey's imports from Spain-Value in 2010	Turkey's imports from Spain-Value in 2011	Turkey's imports from Spain-Value in 2012	Turkey's imports from Spain-Value in 2013	Turkey's imports from Spain-Value in 2014	Turkey's imports from Spain-Value in 2015	Turkey's imports from Spain-Value in 2016	Turkey's imports from Spain-Value in 2017	Spain's exports to world- 	Spain's exports to world-Value in 2001	Spain's exports to world-Value in 2002	Spain's exports to world-Value in 2003	Spain's exports to world-Value in 2004	Spain's exports to world-Value in 2005	Spain's exports to world-Value in 2006	Spain's exports to world-Value in 2007	Spain's exports to world-Value in 2008	Spain's exports to world-Value in 2009	Spain's exports to world-Value in 2010	Spain's exports to world-Value in 2011	Spain's exports to world-Value in 2012	Spain's exports to world-Value in 2013	Spain's exports to world-Value in 2014	Spain's exports to world-Value in 2015	Spain's exports to world-Value in 2016	Spain's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	1066141	1388799	2003792	3253677	3555111	3832593	4342998	4548192	3776924	4840127	6196466	6023718	6417719	6075843	5588525	5679305	6373036		116148838	125872283	156004713	182727354	192798427	214061202	253753922	279231468	223132208	246265330	298170964	285936446	310963648	318649312	278122010	281776674	319621896		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	262	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	14	0	0	0	0	0	0	1004	511	9358	516	31623		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	2250	3288	0	0	0	0	0	0		151895	192076	270565	297575	380891	378682	389908	544213	394904	373746	429592	475241	517036	494599	518187	546171	566493		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		709803	652799	866606	1184582	1386356	1539119	1713759	2447500	2325803	2322514	2903042	2999062	3170556	3382357	2998204	3550205	4068663		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	8	151	291	260	136	114	143	0	33	0	0	113	13	0	46	7	0		182132	181466	202029	228253	272268	288029	303130	280729	236346	267537	343931	316907	318312	316506	341228	391652	426578		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	154	22	68	0	140	23	0	0	0	0	7	0	0	0	0		188059	207426	242350	246500	184317	239387	299607	264907	287391	293727	342311	296462	348690	409787	376108	403774	455020		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		121	129	263	394	252	149	123	190	141	111	249	160	343	848	1080	605	1041		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0		1935	3180	2127	1570	2540	2757	4313	4559	4704	6508	5690	3222	3208	4588	3740	3521	5151		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		55644	53279	55279	63900	70810	76248	71394	83463	85874	58156	79742	71584	92204	79501	88351	116029	84034		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0		301431	351291	473455	444444	443938	508607	504403	593960	513137	613775	565699	604923	742411	646422	632925	710157	694817		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	32	9	15	50	22	31	45	51	66	52	58	111	150	143	375	210		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	22	14	887	0	169	0	1109	4	686	888	7	46	58	91	53		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3171	3412	5023	6535	7183	8061	10140	9644	8083	7412	8361	7691	9727	11497	8881	11071	10524		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0		65981	69108	79147	134966	148536	132041	151461	216882	161849	204944	242130	260183	239080	282932	186376	161795	161531		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0		902	29	348	484	406	612	59	123	80	104	192	212	416	158	112	92	73		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		127	557	1499	403	1796	478	775	5053	187	2119	2566	6732	8671	4716	2532	614	1358		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	16	17	13	0	0	0	0	0	1	0	0	0	0	38	5		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	6074	0	0	0	0	0	0	0	0	0	4	0	29	0	0	20	0		48838	402075	412174	469676	285533	179998	209344	251585	149317	249187	505570	1095368	2010010	3150256	788632	342845	563722		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	5	0	0	0	18	31	8	0	0	11	56	13	62	31	37	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2927	"Diazo-, azo- or azoxy-compounds"	100	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0		5139	3580	4971	5548	7110	3470	3083	4180	4259	5320	5201	3828	4216	3394	3530	2749	3554		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0		555	776	1183	1301	1358	1663	1071	924	961	750	1118	3204	5837	5832	4027	2520	2417		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1549	9	22	81	541	200	31501	94858	62757	53226	74541	2958	3510	3915	3266	702	330		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	655700	822591	691458	619366	1082523	1319234		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1029	933	1266	1071	1013	1188	718	973	489	626	795	419	803	1272	1130	933	1841		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		554	812	280	1262	1863	2003	4472	2814	382	305	100	644	665	857	2418	4363	10521		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	124	516	0	4	3	11305	6019	6163	3155	4209	2134	11355		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	9	26	7	8	166	53	20	94	28	98	149	550	95	1	16	4		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0		2096	1322	1433	1711	1476	1552	1097	542	237	178	422	183	108	237	20	34	30		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	23	5	27	41	93	0	0	10	0	12	142	0	0	0	0	0	0		14402	17089	18499	16674	17506	18843	22415	18900	22468	29939	37173	37158	35568	40585	42365	39304	43865		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	52	56	28	68	35	29	97	7	1	55	12	0	29	65	0	1	0		13913	16057	15478	15215	12595	15275	10117	4145	2059	2320	2932	2367	3081	3416	2569	2606	4116		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0		141	120	269	282	166	222	78	44	111	66	192	121	1172	1317	948	454	506		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	2	7	13	5	5	3	5	0	0	0	0	19	0	0	0	0	0		401	2014	386	349	554	544	677	537	411	290	576	475	574	443	449	491	702		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		567	571	741	557	581	778	889	941	609	744	352	391	15	300	101	160	38		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	0		496	413	630	931	819	978	759	905	745	534	1019	689	1605	3455	3561	4376	5404		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	1	10	0	0	5	0	0	0	0	0	0	2	0	0		9886	4332	6462	7665	6711	6522	6187	4428	3929	2316	2456	2996	3711	3256	2473	2622	3497		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23	78	44	51	28	43	96	125	218	199	145	36	271	2	77	131	135		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		9	3	45	45	37	56	28	304	31	28	288	121	918	344	1534	416	120		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0		11402	9179	10237	8986	15581	38411	48341	49314	16160	43800	36535	38083	68426	85947	69244	94983	55417		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	4	0	0	0	53	0	0	1	0	0	0	0	0	0	0	0		19008	20381	22874	28708	35334	41730	47674	57368	35962	34631	36982	38412	45180	45485	41204	40990	44771		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	4	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0		8186	8392	2500	1617	2939	3963	4741	9202	4768	3906	26604	8372	2171	5997	5744	3294	4918		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	1	0	0	0	0	0	8	197	89	27	0	0	0		1363	1096	1342	1564	2983	5452	11235	3705	3267	3592	4959	4446	4838	7383	3822	3911	3216		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	4	8	7	0	0	0	0	0	0	0	0	0	0	0		382	376	651	898	921	1301	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		167	0	0	4	0	0	105	23	0	0	4	0	1	15	10	0	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1169	2117	2209	3850	5626	6438	12229	11481	3596	11748	8738	5842	12172	6333	4287	3297	2651		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	135	0	0	1	859	342	0	0	0	0	0	0	1	182	0	0		346	460	785	865	10550	4077	2280	401	465	543	471	935	4756	3025	5089	2006	4530		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	3	11	8	5	0	0	0	0	0		798	943	894	4532	6501	8218	8543	11792	4295	3479	2912	3215	1079	454	1014	275	104		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	32	62	34	68	222	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		132654	124185	129368	189571	204930	224088	249311	254270	242676	253761	298233	238419	275124	279080	196932	186598	208580		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	4	68	0	29	64	12	16	11	88	160	47	152	0		288078	324311	361277	457967	390069	460016	528702	515377	444899	452258	509875	475856	501243	545660	529589	522871	528084		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		22	0	8	14	7	47	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0		219904	236401	282880	318370	374740	368585	364484	382204	403064	405612	404473	414110	499555	525967	473786	505784	540812		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13966	27680	23651	23078	42902	23236	24562	40481	30129	39982	25355	19717	18458	16010	16242	15723	17203		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	86	0		16797	24479	36343	47525	62421	56038	46428	41455	35635	50661	61284	63711	71720	83181	93978	86710	76164		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	1568	881	1060	0	0	0		43517	42145	81579	67657	39879	44926	119482	142521	134299	228180	304250	316318	292160	295905	252382	235206	222781		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0		244	690	351	1358	2418	334	1779	2221	2431	260	3255	702	479	1398	1790	2501	2473		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0		7193	8056	10399	14738	17674	18718	17086	20676	15842	17804	19652	15190	15687	21099	21787	22775	43651		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2403	"Manufactured tobacco and manufactured tobacco substitutes and "homogenised" or "reconstituted" ..."	0	1	0	997	710	0	0	0	0	0	0	56	228	7	0	0	0		5183	13460	14527	7026	7594	5820	5900	17055	20637	33658	44156	51950	36160	10806	12719	13537	14048		39804	45745	57956	73323	93446	84111	81816	103570	108667	91298	99695	127116	125657	151301	144314	161585	135384	
2502	"Unroasted iron pyrites"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		30	21	15	55	46	278	64	152	38	41	153	144	306	188	175	211	295		17	30	46	59	47	75	91	112	43	192	155	86	126	157	289	270	279	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4707	5179	2854	5271	5883	9864	16818	14240	5780	8689	7961	7372	8701	10800	9983	12442	11467		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1923	1395	1332	1367	1591	3877	2976	4057	733	982	895	449	2027	2727	5436	11596	12228		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2601	"Iron ores and concentrates, incl. roasted iron pyrites"	12	91	306	506	1474	282	0	0	0	0	0	0	0	0	0	0	0		616	655	884	2046	1428	801	775	618	148	24764	1798	1905	6212	1691	33	50	2824		82142	163995	161185	205182	315080	538019	636803	749438	902329	923743	1169657	1148803	1159543	1067142	800476	697767	1010678	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		68	93	59	3674	9	58	0	75	797	0	0	0	0	807	4	214	87		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1190	1404	258	578	280	362	550	1103	159	2635	143	1996	740	1237	1582	3127	2379		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2715	"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ..."	0	0	0	0	32	0	1	0	0	0	0	0	0	0	1	0	0		3547	3883	2473	3470	5173	5675	4205	4046	3448	5041	196910	15799	21973	31096	48444	43965	64131		267	1178	813	1317	1443	3274	6257	7381	3302	5164	5724	3020	2269	1587	1980	4061	3159	
3205	"Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ..."	0	0	0	79	61	45	12	24	5	0	3	0	2	0	2	2	0		949	706	1201	871	795	870	1191	1180	1626	1689	2047	1428	1297	1147	1479	1637	2235		393	374	560	674	816	1113	1142	1158	1071	2270	1913	1531	1529	1572	1843	2352	2221	
3807	"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		65	19	27	73	177	219	293	194	246	198	322	244	283	388	492	352	401		2	0	10	39	134	212	1115	710	735	539	572	1059	998	755	743	629	720	
4301	"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ..."	39	0	0	2	0	0	1	66	0	0	0	0	0	0	0	0	0		1879	2298	4207	7127	8450	10725	8214	6882	6521	22466	40891	40452	50453	21716	17577	11414	13676		227	157	65	238	160	285	97	743	414	640	3094	4460	5096	5647	1566	2627	7417	
4704	"Chemical wood pulp, sulphite (excluding dissolving grades)"	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0		1381	470	1378	415	354	356	275	451	715	251	92	193	152	337	369	250	237		6904	8481	8116	6845	6898	7315	7040	4455	2519	5223	9808	6526	4496	4151	4300	3198	14789	
4905	"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4775	4372	4103	5214	4306	4898	4415	4702	2737	3991	2868	3638	18210	24588	20302	22064	15674		360	1588	625	621	1172	1066	2105	2312	2042	1449	1272	1451	1541	1783	1222	596	316	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0		1985	2047	2491	3000	2282	1107	1478	877	1795	1160	326	649	100	125	930	996	240		301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5202	"Cotton waste, incl. yarn waste and garnetted stock"	0	0	0	0	90	10	0	24	0	40	316	0	37	0	0	0	0		3390	2254	3320	4347	4109	3346	3294	5021	4366	3402	8169	3951	4035	3552	3279	4680	5550		2551	3510	6888	7300	2767	3891	4998	5597	5176	5600	14053	4542	7132	7165	10124	7909	21983	
5204	"Cotton sewing thread, whether or not put up for retail sale"	0	1	1	0	0	3	25	6	5	6	2	0	0	0	1	0	0		2651	2165	3036	4926	6292	5923	6100	4452	4232	5324	6592	6585	5375	5001	7833	3543	3714		680	723	606	482	246	336	644	944	1195	2224	3220	4447	4278	2658	3088	3200	2206	
5002	"Raw silk "non-thrown""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	8	0	144	4	101	4	12	92	2	0	6	13	0	0	1	139		3792	2931	2951	3821	2910	2448	2764	1924	1146	2205	3359	1575	2425	2291	1524	1014	614	
5308	"Yarn of vegetable textile fibres; paper yarn (excluding flax yarn, yarn of jute or of other ..."	9	0	52	83	144	220	202	203	166	195	13	0	13	0	1	0	0		896	1316	2586	2336	2416	2622	2550	2188	1986	1964	3080	3405	3871	3463	3215	3462	3650		879	683	1277	1782	2615	1567	1335	1070	961	849	1274	806	810	1453	1524	1457	1439	
5805	"Hand-woven tapestries of the type Gobelin, Flanders, Aubusson, Beauvais and the like, and needle-worked ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1923	1704	1861	1996	1317	1844	1495	1620	719	673	145	340	102	102	11	20	9		18	52	194	232	113	71	76	50	41	66	27	37	35	40	133	65	120	
6309	"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		772	1434	1724	2750	4246	5499	5115	7292	5144	7923	12441	19070	19942	23414	24694	25877	31980		14	2	5	4	1	13	73	48	6	8	5	2	13	1	0	0	9	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	4	2	0	1	15	0	0	11	12	18	2	0	0	0	0	0	0		2258	2285	1125	655	500	498	540	1781	463	498	381	305	553	212	61	207	96		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
7221	"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"	0	0	13	0	0	0	0	0	55	7	50	0	0	0	0	0	0		61409	77659	103888	156761	170753	220937	308931	206064	87883	193220	156987	156246	133680	140002	109805	102924	150187		185	414	518	609	1021	545	567	1327	529	547	719	361	443	653	654	489	245	
7405	"Master alloys of copper (excluding phosphorus-copper compounds "copper phosphide" containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0		48	13	0	1	35	1	708	989	71	201	392	169	0	365	1	103	159		198	301	490	772	611	765	1232	1901	930	1716	2475	3064	3348	3343	3404	3213	3748	
7410	"Copper foil "whether or not printed or backed with paper, paperboard, plastics or similar backing ..."	41	126	80	12	0	0	0	0	0	0	0	0	0	0	0	6	0		26186	23263	27932	33173	33958	30368	25994	18949	8592	4033	3088	3845	3281	1682	1749	1602	1379		10677	16150	18686	26148	27206	34347	33277	22132	13912	19039	21725	19944	19468	15906	17267	15667	17392	
7505	"Bars, rods, profiles and wire, of nickel (excluding electrically insulated products)"	0	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0		1288	2994	286	444	696	6741	2881	1774	445	858	1160	1110	3213	3981	3297	4530	10482		1148	2621	3710	5600	6257	7909	13001	10252	4889	8333	9581	6392	8178	9049	7893	6503	9170	
