Product code	Product label	Turkey's imports from Romania-Value in 2001	Turkey's imports from Romania-Value in 2002	Turkey's imports from Romania-Value in 2003	Turkey's imports from Romania-Value in 2004	Turkey's imports from Romania-Value in 2005	Turkey's imports from Romania-Value in 2006	Turkey's imports from Romania-Value in 2007	Turkey's imports from Romania-Value in 2008	Turkey's imports from Romania-Value in 2009	Turkey's imports from Romania-Value in 2010	Turkey's imports from Romania-Value in 2011	Turkey's imports from Romania-Value in 2012	Turkey's imports from Romania-Value in 2013	Turkey's imports from Romania-Value in 2014	Turkey's imports from Romania-Value in 2015	Turkey's imports from Romania-Value in 2016	Turkey's imports from Romania-Value in 2017	Romania's exports to world- 	Romania's exports to world-Value in 2001	Romania's exports to world-Value in 2002	Romania's exports to world-Value in 2003	Romania's exports to world-Value in 2004	Romania's exports to world-Value in 2005	Romania's exports to world-Value in 2006	Romania's exports to world-Value in 2007	Romania's exports to world-Value in 2008	Romania's exports to world-Value in 2009	Romania's exports to world-Value in 2010	Romania's exports to world-Value in 2011	Romania's exports to world-Value in 2012	Romania's exports to world-Value in 2013	Romania's exports to world-Value in 2014	Romania's exports to world-Value in 2015	Romania's exports to world-Value in 2016	Romania's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8421	"Centrifuges, incl. centrifugal dryers (excluding those for isotope separation); filtering or ..."	2	215	20	4	3	141	118	171	127	668	1486	3109	3053	4359	5519	1872	4536		5479	4908	9047	10007	9764	16311	38986	42340	39253	45085	59275	72104	97256	162143	139106	157810	197309		151026	250699	266274	339869	382319	532201	732520	808791	698784	743053	921241	880763	1106874	958780	1012030	1015701	1142297	
8538	"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ..."	0	1	8	48	108	297	418	976	2998	3417	1639	1349	475	613	915	2268	4633		3875	6782	8819	21707	40020	122193	125838	173456	152037	209240	223119	212842	210789	232816	239875	255724	339479		52880	73929	86299	126056	145872	185747	208558	229338	180616	197496	243755	225352	261488	244824	216716	204472	226083	
6403	"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of ..."	669	1006	648	2173	3361	7636	8196	6023	2439	2612	3940	3523	4174	4610	5238	5507	4810		476593	570021	691457	769415	858293	929304	1023263	997265	754120	762858	948030	859696	926462	940833	714828	692150	671506		40055	53514	84852	128145	169485	224995	269830	302161	230190	263087	320274	314181	351106	337290	280482	251420	225563	
7220	"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	3	1173	10453	8662	4512	8041	8678	8593	7695	11376	6828	8382	7803	6259	4036	4587	4983		1579	3381	13649	24203	35157	62375	133204	150767	84832	180433	249007	202715	200892	215332	187871	186843	230956		23247	32423	49838	79038	97549	114822	140516	131757	88742	122248	134685	118804	107459	129929	103484	99209	129340	
4805	"Other paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ..."	26	291	2089	5276	5377	5337	9266	2780	1733	2367	5396	4219	7012	939	718	416	5157		11056	12607	13961	20897	14947	16299	28616	21351	7898	14726	17325	17709	30477	26923	36818	38518	78455		31520	55756	94708	113784	131785	192605	248649	212942	170742	257900	308474	258152	284332	279278	209026	204214	236116	
4408	"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ..."	23	0	225	598	1023	1363	2041	2210	1448	2074	3472	4093	4551	4565	3686	5176	5352		4881	17159	30540	52547	64887	77854	96363	73026	69462	74946	89427	84811	91542	106152	96634	95472	108726		2597	5192	7632	12377	13144	15999	26086	32532	20291	27867	38303	39409	41153	47666	48648	41430	48752	
6203	"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches ..."	173	408	1081	1861	2197	3055	3131	2551	1894	1753	3537	3667	5600	6187	5909	5380	5385		532170	596712	748713	933317	929301	820805	773662	813695	595241	586052	735045	651379	677995	725370	613807	617936	612215		24177	29925	44849	82601	102278	118082	169278	251561	229240	307028	341362	293315	367141	345528	303431	253757	224565	
8480	"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than ..."	15	43	23	124	80	160	335	653	663	1178	2169	504	352	3403	2181	3709	5710		9305	10861	12996	16768	25877	29836	50527	42416	29750	45397	40608	51733	53571	68504	61997	70275	62595		129478	193203	189214	184665	287652	279089	278547	313580	275582	194097	265847	337788	395223	364470	274716	311319	281502	
8302	"Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, ..."	4	4	41	35	94	490	480	755	643	1156	1311	888	891	2134	2724	3624	5807		5770	12191	11051	16388	20571	25145	60662	49886	42300	72703	104714	101048	123826	134681	108710	115308	185234		43794	62779	95105	150241	178210	217879	276466	302822	219382	316019	371464	356694	403659	444765	401401	386091	426597	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	111	185	0	930	0	1342	578	74	0	232	398	3034	3676	1468	4572	5876		1619	1424	6340	6283	3523	4352	5804	7247	8220	15178	8198	2586	15338	14852	12275	12972	19874		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
1512	"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ..."	5620	138	3474	15089	26304	10710	9066	161	6695	0	3742	1357	0	18414	17180	35	5921		18539	5623	21032	56840	54723	40049	47873	71268	77091	148297	265271	178477	220670	185420	158644	110706	141982		63077	51745	54047	50576	138411	241095	140088	650122	471843	273625	629466	988450	918712	1201108	1101296	1015561	661061	
8428	"Lifting, handling, loading or unloading machinery, e.g. lifts, escalators, conveyors, teleferics ..."	0	0	118	14	214	25	152	162	120	1092	1583	2540	5933	3254	4605	8571	6337		946	2614	4623	9923	6005	18391	57672	61064	22541	32022	55725	73375	143359	196503	154113	197599	261201		54682	56114	64594	108411	165152	227157	295839	351708	266614	331491	395154	471554	616779	550097	534149	634001	677973	
