Product code	Product label	Turkey's imports from Romania-Value in 2001	Turkey's imports from Romania-Value in 2002	Turkey's imports from Romania-Value in 2003	Turkey's imports from Romania-Value in 2004	Turkey's imports from Romania-Value in 2005	Turkey's imports from Romania-Value in 2006	Turkey's imports from Romania-Value in 2007	Turkey's imports from Romania-Value in 2008	Turkey's imports from Romania-Value in 2009	Turkey's imports from Romania-Value in 2010	Turkey's imports from Romania-Value in 2011	Turkey's imports from Romania-Value in 2012	Turkey's imports from Romania-Value in 2013	Turkey's imports from Romania-Value in 2014	Turkey's imports from Romania-Value in 2015	Turkey's imports from Romania-Value in 2016	Turkey's imports from Romania-Value in 2017	Romania's exports to world- 	Romania's exports to world-Value in 2001	Romania's exports to world-Value in 2002	Romania's exports to world-Value in 2003	Romania's exports to world-Value in 2004	Romania's exports to world-Value in 2005	Romania's exports to world-Value in 2006	Romania's exports to world-Value in 2007	Romania's exports to world-Value in 2008	Romania's exports to world-Value in 2009	Romania's exports to world-Value in 2010	Romania's exports to world-Value in 2011	Romania's exports to world-Value in 2012	Romania's exports to world-Value in 2013	Romania's exports to world-Value in 2014	Romania's exports to world-Value in 2015	Romania's exports to world-Value in 2016	Romania's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	481140	656561	955971	1699553	2285592	2668987	3112752	3547820	2257963	3449195	3801297	3236425	3592568	3363233	2599852	2195728	2480204		11384994	13875709	17618059	23485362	27729597	32336030	40264716	49538878	40620890	49413386	62692001	57904330	65881442	69877891	60605048	63581004	70626887		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		518	466	547	542	952	1065	327	1359	2589	9482	14167	38475	42261	51814	38694	54273	62222		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		83	93	9	19	18	14	58	443	911	2368	3241	2334	1680	2256	1721	1636	1714		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	0	26	7	12	83	56	41	65	227	232	10	95	253	635	1564		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3357	3665	2839	5466	3663	5607	3808	2855	2515	6469	11956	13045	24657	16881	7284	5841	6643		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	1	0	0	9	19	0	46	24	0	0	0	45	0	0	0	0	0		499	564	359	526	638	559	563	803	823	887	772	794	1018	872	1034	794	988		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		121	130	129	107	235	322	264	77	150	111	358	202	499	301	335	639	358		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	5	0	0	0	0	0	1	0	0	0	0	10	0	0	0		0	6	9	11	25	24	18	71	422	501	737	538	719	563	517	58	181		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	8	101	47	20	187	17	353	372	372	363	444	586	264	222	42	308		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	0	0	0	0	0	0	0	0	0	0	91	183	0	0	0	65	0		37	15	42	1342	2411	2228	2155	3353	6090	9007	11024	12748	14478	10332	5758	9409	11878		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2	0	12	0	0	0	3	0	0	3	0	1		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1108	"Starches; inulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		550	426	308	334	198	133	2045	3217	3746	5355	11869	9928	8366	5963	4312	5566	3782		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13	0	0	0	0	0	201	218	0	53	4	8	0	0	0	0	0		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0		55	30	18	1150	2429	2911	61	168	44	1682	454	715	833	1019	869	900	902		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1806	"Chocolate and other food preparations containing cocoa"	0	5	25	226	9	2359	4006	5132	1624	49	20	0	31	11	0	1	0		690	1023	1287	2651	2697	10534	11592	24193	27739	34142	41606	45244	48818	58413	59083	78738	91589		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	2	23	2	46	728	158	205	201	601	460	448	394	774	349		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2101	"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of ..."	7	5	0	0	10	1	124	87	26	12	0	0	0	0	0	0	0		383	509	81	1834	4378	7265	4744	8334	8004	10891	16250	18832	18574	18391	10981	17834	14403		23802	25888	31406	42199	52338	66435	69428	88247	64886	69825	99473	87355	96353	102872	113232	120811	140731	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		316	277	112	90	115	0	210	1014	1951	1774	8454	21050	23513	28294	31627	28641	29141		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	28	117	391	1	161	438	0	0	5183	3937	1356	330	346	705	58	603		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	0	0	0	0	0	0	0	0	36	52	161	52	555	11567	82	118		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	476	0	0	0	791	0	0	0	2037	2303	0	11485	8077	18132	895	1409	0		28987	33128	29879	47843	82425	105046	98552	154117	154693	190269	264668	255918	263635	247926	116524	83620	144331		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0		0	0	0	23	0	1	0	0	3	6	176	939	722	282	0	8	2		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	18	0	7	29	0	43	1	1	103	0	1	0	1	4	52		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	4	254	0	0	0	0	5		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		22	19	5	41	61	49	45	37	64	71	246	183	227	362	238	240	245		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	2	4	0	4	1	0	0	0		1	7	21	11	29	85	12	29	34	42	28	57	34	148	19	45	30		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	6	0	4	8	3	6	20	37	17	36	59	4	4	10	33	25		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0		0	0	2	0	28	25	0	2	3	4	74	237	12	2	181	4	26		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	2155	454	675	1247	2461	1877	1041	984	1999	6232	654	480	0	181	0	0	0		17063	17554	21009	20889	21027	20224	25626	28702	17908	25811	16850	11991	19092	17825	10712	2935	9750		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		31	9	13	2	4	4	25	71	46	57	127	81	134	96	65	125	84		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	0	12	0	14	5	0	6	24	8	0	0	4	3	0	0		5	37	32	65	53	49	109	96	559	205	167	150	200	101	66	60	147		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	10	23	15	0	0	0	0	0	0	0	0	0	5		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20	14	0	0	25	0	7	0	0	0	2	2	0	13	22	0	2		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3905	"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ..."	0	0	4	0	5	0	1	0	21	0	0	0	0	0	0	0	0		21	28	41	123	77	339	1116	1074	873	3053	3039	581	833	630	710	749	850		16222	22361	28643	41719	48792	57345	69767	78639	60899	76153	98431	95777	99461	103121	99522	106076	111302	
3910	"Silicones in primary forms"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0		21	28	49	89	140	335	979	744	697	510	394	199	400	581	900	826	833		20461	32463	40576	55248	62268	67328	79499	92848	83403	93625	106685	105342	116845	127153	111129	117045	141464	
3912	"Cellulose and its chemical derivatives, n.e.s., in primary forms"	0	0	0	0	7	0	0	0	66	0	0	565	0	0	0	0	0		45	69	58	76	124	190	451	290	981	702	991	1489	536	421	446	1024	1348		33624	45843	57897	75423	81751	92526	111982	119656	96818	120591	162974	164122	162108	165594	150473	148607	163949	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	4	31	0	7	0	0	22	6	36	0	0	43	0	0	0	0	0		21096	16614	21273	22419	24588	21505	33000	34568	23809	24790	27796	21684	17708	20073	13690	10353	10208		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		119	196	214	475	1023	1369	3235	4415	3681	5443	7290	5630	7883	8135	5762	4815	5728		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	164	387	1092	1719	440	2674	1059	2910	3554	865	1321	854	173	366	56	0	0		271	477	1153	2416	2057	2930	1880	6882	3881	2329	5135	10423	5392	5575	6426	4695	4411		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	44	115	146	342	0	4	7	33	36	47	0	0	0	0	0	0		2436	1247	2525	3675	2518	2172	10084	10461	10164	7664	8573	8286	8834	8252	7201	3956	3381		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	48085	46329	49553	42306	24972	25897		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4810	"Paper and paperboard, coated on one or both sides with kaolin "China clay" or other inorganic ..."	6	15	0	68	0	26	0	0	7	0	11	78	31	34	8	14	0		470	942	1118	1296	1166	1013	636	2906	1620	1456	1870	1604	2358	2913	2176	3735	2420		142615	200354	260113	317445	377416	423712	584147	569897	512287	600850	689025	640682	712272	777643	622262	618048	715827	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0		2	3	19	7	14	56	83	71	498	1222	1724	1328	1721	1785	1956	2124	2093		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9078	114	790	184	929	464	232	180	322	390	552	1691	66	38	239	177	74		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0		2534	5176	6772	7724	11804	31147	40223	47559	31546	35284	52580	57589	68850	72590	66270	63612	72945		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	40	4	342	31	5	51	22	958	710	958		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	17	8	1	67	237	193	92	85	88	40	209	7	33	11	0		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	11	9	0	0	0	49	40	0	16	0	0	0	0	0	39	0	0		856	1822	1273	2456	2319	2763	1512	1603	1356	1739	1597	1797	2332	1995	1157	1082	1457		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	10	0	0	0	4	3	1	0	0		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	31	26	3	5	12	19	33	6	203	566	6	14	7	16	26	49		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	0	0	0	11	0	0	11	9	23	24	189	22	18	43	9		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0		1555	1035	602	73	435	196	203	1561	1022	1404	5361	6492	6737	6181	4738	4377	4446		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		844	1502	2245	1496	505	940	144	50	66	109	261	16	8	21	6	151	221		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	11	0	0	0	1	0	0	0	0	0	142	0	0	0	0	0		57	177	63	69	80	233	157	116	365	283	196	174	59	98	35	31	116		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		208	242	297	366	417	454	411	1435	1502	2479	3423	2640	3561	2564	2368	1852	1308		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0		111	125	183	268	366	285	297	36	110	768	192	59	86	119	136	549	829		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7018	"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ..."	18	24	22	51	71	66	0	0	0	1	0	0	16	0	0	0	0		380	578	742	984	1621	2217	974	695	601	998	1019	705	945	710	1114	1046	898		6758	9002	12657	22218	30723	32538	38714	38746	30108	36242	35736	34420	39158	36852	25306	25814	24782	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4255	0	0	0	0	0	0	0	0	0	0	0		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	1	7	7	27	0	1	0	0	0	0	0	32	13	12	5		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0		0	0	0	0	0	3316	0	0	0	0	0	0	0	0	0	0	0		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	15	201	98	12	61	554	4	7	2	0		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0		3973	4406	5643	10597	8179	5450	4459	6359	5758	6225	9026	6465	4813	4594	4007	3988	4182		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	8	30	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	2	0	0	0	0	0	0	0	0	931	0	0	0	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	0	0	0	0	0	222	1	0	0	4273	5527	2673	2036	1380	4270		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	0	0	0	6	0	0	0	0	0	0	0	0	10	0	1	0	0		1	2	3	25	37	23	102	116	159	110	75	113	374	374	470	491	641		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
8211	"Knives with cutting blades, serrated or not, incl. pruning knives, and blades therefor, of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	36	196	121	122	126	483	796	678	631	947	2163	363	2288	1940	1432	1207		2054	2499	5146	7931	9212	10173	12921	15229	15366	25526	38729	31220	40384	38955	25891	16029	18214	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	0	65	48	0	0	1	0	0	0	0	0	0	0	0	0	0		115	106	167	182	158	171	239	77	76	152	52	28	86	237	256	727	121		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		528	522	375	1055	2378	4550	9202	5428	3147	9066	13029	8591	6807	15412	9838	9960	1998		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8423	"Weighing machinery, incl. weight-operated counting or checking machines (excluding balances ..."	0	0	0	0	0	0	1	14	1	0	0	2	0	0	0	0	0		61	432	919	1215	553	542	341	608	320	839	495	873	900	968	1475	1364	1976		9624	14545	14712	24806	27754	39886	42365	40901	24746	33865	43157	39068	42304	42565	37764	33145	29060	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	13	0	0	4	501	589	0	0	134	0	125	0	0	9	0	0		545	0	1310	3994	231	866	2010	1790	832	4089	2630	2379	4577	2606	5723	2821	3717		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	0	0	4	47	0	0	11	171	0	0	0	203	3363	11	0	0	0		248	3141	34	173	204	459	217	579	290	2006	675	1380	1415	1115	696	644	880		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0		55	29	67	188	366	362	162	303	273	1261	177	1130	681	858	599	1072	1288		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		167	0	5	0	13	47	48	25	0	0	35	7	147	1	164	8	0		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8713	"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		170	427	586	736	380	535	336	6	7	4	4	0	7	5	4	9	9		981	1206	1044	1697	3428	4471	7167	9084	4426	7157	9393	8441	13423	13520	13123	14742	17029	
9011	"Optical microscopes, incl. those for photomicrography, cinephotomicrography or microprojection ..."	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0		14	44	103	127	75	71	62	161	290	63	92	176	96	175	58	409	181		6628	5188	9175	12426	16869	15666	21751	21492	16813	18238	21248	21739	21858	27858	22108	20620	20763	
9015	"Surveying, incl. photogrammetrical surveying, hydrographic, oceanographic, hydrological, meteorological ..."	0	0	0	1	3	8	814	501	3309	412	13	0	23	0	258	0	0		287	428	76	258	262	4059	4890	19760	10088	1362	3258	4916	5899	9082	9337	5688	6072		12234	23623	16972	21316	46124	34709	48906	47202	59403	58677	62740	69588	75274	79863	73106	51377	67053	
9105	"Clocks (excluding wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		102	109	97	88	53	47	31	124	93	55	831	63	49	130	114	508	1760		2611	2645	4979	8033	8252	9197	11547	11716	6254	9533	14393	10432	13263	11992	8193	9016	6773	
