Product code	Product label	Turkey's imports from Bulgaria-Value in 2001	Turkey's imports from Bulgaria-Value in 2002	Turkey's imports from Bulgaria-Value in 2003	Turkey's imports from Bulgaria-Value in 2004	Turkey's imports from Bulgaria-Value in 2005	Turkey's imports from Bulgaria-Value in 2006	Turkey's imports from Bulgaria-Value in 2007	Turkey's imports from Bulgaria-Value in 2008	Turkey's imports from Bulgaria-Value in 2009	Turkey's imports from Bulgaria-Value in 2010	Turkey's imports from Bulgaria-Value in 2011	Turkey's imports from Bulgaria-Value in 2012	Turkey's imports from Bulgaria-Value in 2013	Turkey's imports from Bulgaria-Value in 2014	Turkey's imports from Bulgaria-Value in 2015	Turkey's imports from Bulgaria-Value in 2016	Turkey's imports from Bulgaria-Value in 2017	Bulgaria's exports to world- 	Bulgaria's exports to world-Value in 2001	Bulgaria's exports to world-Value in 2002	Bulgaria's exports to world-Value in 2003	Bulgaria's exports to world-Value in 2004	Bulgaria's exports to world-Value in 2005	Bulgaria's exports to world-Value in 2006	Bulgaria's exports to world-Value in 2007	Bulgaria's exports to world-Value in 2008	Bulgaria's exports to world-Value in 2009	Bulgaria's exports to world-Value in 2010	Bulgaria's exports to world-Value in 2011	Bulgaria's exports to world-Value in 2012	Bulgaria's exports to world-Value in 2013	Bulgaria's exports to world-Value in 2014	Bulgaria's exports to world-Value in 2015	Bulgaria's exports to world-Value in 2016	Bulgaria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	393516	506742	689462	959471	1190079	1663425	1951656	1840008	1116902	1702534	2474621	2753650	2760303	2846185	2254150	2142523	2772251		5113888	5748869	7540176	9931087	11739329	15101457	18575129	22485509	16502520	20608005	28165220	26698780	29510574	29386540	25778746	26087706	30181926		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	0	0	0	0	0	0	8	0	0	0	0	0	0	2	1	0	0		0	2	0	262	1	3	0	1	0	0	0	0	0	5	4	0	6		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9105	"Clocks (excluding wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ..."	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0		44	124	117	149	148	71	88	176	36	38	50	35	52	30	165	131	127		2611	2645	4979	8033	8252	9197	11547	11716	6254	9533	14393	10432	13263	11992	8193	9016	6773	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	0	0	0	0	0	1	25	835	369	82	2	142	35	2		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	1	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	13	9	23	21	24	22	56	15	63	167	116	94	173	159	164	169		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
9209	"Parts and accessories for musical instruments, e.g. mechanisms for musical boxes, cards, discs ..."	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0		122	134	141	306	363	341	364	473	295	371	440	379	421	457	641	478	583		787	1232	1453	1718	2220	2736	3084	3244	2965	3823	4491	4086	4253	4166	3679	2979	3413	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	11	0	0	0	6	0	1	9	1	1	1	3	0	6	4	0	0		1333	854	754	660	1065	1028	1786	2131	2439	2514	2994	4957	13398	18641	4854	2953	5367		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		3673	5172	389	783	782	1709	1316	1152	337	890	2429	1287	2635	2737	5218	7561	4762		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		128	28	6	6	14	13	16	13	11	8	55	25	21	20	40	107	15		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9011	"Optical microscopes, incl. those for photomicrography, cinephotomicrography or microprojection ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		374	268	350	472	492	533	572	741	421	393	579	620	581	864	565	463	720		6628	5188	9175	12426	16869	15666	21751	21492	16813	18238	21248	21739	21858	27858	22108	20620	20763	
8423	"Weighing machinery, incl. weight-operated counting or checking machines (excluding balances ..."	44	0	26	13	3	0	0	31	0	0	6	0	18	3	0	2	0		1430	4543	5473	3201	1945	2423	2053	1070	1173	2297	2824	1249	1256	844	689	959	1090		9624	14545	14712	24806	27754	39886	42365	40901	24746	33865	43157	39068	42304	42565	37764	33145	29060	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	0	0	0	0	0	0	4	10	0	1	6	38	0	1	0	1	0		23	25	31	92	134	79	265	598	718	640	1364	823	369	463	311	602	312		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	21	51	144	123	0	0	171	44	10	0	136	67	33	0	23	252	0		256	270	267	267	1485	239	473	1729	1448	635	1245	1499	1765	4535	1412	3132	2725		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	1	17	13	0	1	0	0	1	0	0	48	0	1	12	0	2		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	2	0	0	0	0	0	0	0	11	14	0	0	0	0		14	19	21	92	127	126	102	172	148	199	156	332	312	257	180	286	151		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	140	375	372	603	674	486	298	7	15	6	28	0	0	1	0	0	0		325	675	611	1314	4502	4414	4827	5023	6272	8441	6906	3980	5431	5635	1669	2302	2418		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7018	"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ..."	0	0	22	0	0	0	0	4	0	1	2	0	0	0	0	0	0		6	27	7	68	66	50	114	512	279	232	160	140	85	201	46	69	116		6758	9002	12657	22218	30723	32538	38714	38746	30108	36242	35736	34420	39158	36852	25306	25814	24782	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	533	104	0	0	0		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	48	46	1959	940	0	25	999	582	229	7661	69	107	455		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0		0	0	0	0	7511	8478	6324	11064	6843	7760	3589	4284	13546	13843	6797	6900	6132		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	73	267	5838	1632	1915	4	0	15078	0	3	0	0		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7209	"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled "cold-reduced", ..."	4195	30643	54665	75219	63534	30573	14962	0	0	30	84	0	0	0	0	8	0		14788	42178	65049	66415	76254	51815	30999	7215	3500	5437	7964	8258	12788	11200	9368	8815	8755		95041	168187	271406	579741	511156	616180	629852	721087	401099	502307	568766	491248	499944	494521	365284	354293	539824	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	8	42	58	0	17	12	0	0	0	0	13	0	0	0	0	0	0		46	81	60	16	90	163	50	229	244	99	215	32	50	720	785	796	892		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	19	0	6	18	1	39	1	34	255	101	33	123	35	142	222	199		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	0	10	0	0	0	0	0	0	0	5	0	0	1	0	25	17	0		28	54	67	44	12	76	120	85	205	159	136	577	524	398	398	620	2371		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	81	140	154	53	0	0	24	0	0	8	167	240	5	0	0	4	0		149	13	15	27	0	451	1091	368	32	4	215	34	255	513	267	60	300		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7885	8887	7596	12722	7682	6917	7441	6769	3558	4118	5159	5787	5666	4526	4375	3686	5065		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	0	4	0	0	51	0	0	0	0	0	0	0	0	8	31	216		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	27	134	101	9	227	177	160	62	328	137	80	201	38	172	271	9938		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8204	"Hand-operated spanners and wrenches, incl. torque meter wrenches (excluding tap wrenches), ..."	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	0	0		15	29	34	56	47	45	70	68	238	264	170	176	269	568	312	281	490		3286	4764	6251	9907	12816	13956	22473	26706	17659	31529	47533	42485	52547	48717	39274	26214	24417	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0		66	39	14	18	56	27	63	88	68	300	235	261	307	380	410	295	501		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	5	1	1	9	3	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		4	14	5	11	21	9	10	21	42	8	15	23	31	131	67	95	73		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		144	221	121	109	121	54	1685	5509	7361	8319	9638	10183	9023	9358	9531	9708	12053		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		99	659	425	110	161	117	603	836	166	1071	630	1503	478	104	887	1491	2719		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		535	445	469	762	516	496	1548	3158	3515	5533	10578	6106	6202	6190	6371	6518	8061		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0		83	58	26	147	564	1540	1491	1552	2114	4936	2623	1013	1415	1042	1077	1522	1801		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	5	5	12	6	9	280	29	60	354	2392	433	694	513	411	621	982		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		201	381	1255	133	239	542	780	428	175	140	418	413	536	1013	124	18	95		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		33	18	18	15	20	28	30	10	220	110	30	21	388	24	168	226	193		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	2	0	1	0	0	0	0	15	9	0	0	0	0	0	0		257	217	82	130	16	88	261	700	1859	1652	1245	91	1051	1557	1430	1752	1138		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1108	"Starches; inulin"	0	925	879	293	823	98	213	0	446	870	0	297	0	0	2	0	0		1238	2360	2084	1993	1707	1054	3198	4381	4954	9620	16089	11206	17634	17246	12622	11522	9826		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		374	262	507	548	529	87	2095	2593	1779	1765	2215	2531	2789	2208	1937	3007	2490		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	739	548	1728	3104	2482	1441	1917	3694	709	0	0	0	11	0	0	0	0		1157	1285	3475	4479	3881	3700	4667	5388	1459	1388	3344	1486	670	821	394	432	579		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0		47	62	71	118	157	688	1721	3602	2949	3120	6365	4890	5921	6673	6135	7389	9335		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		22	18	252	262	149	93	321	184	100	273	204	104	173	471	173	678	398		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	1	2	1	4	2	0	0	0		10911	14499	18791	28292	21183	21707	44550	57163	93708	167172	212212	276584	275261	298810	226676	156434	148196		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		13	3	1	4	4	16	0	2	32	13	1	45	4	167	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	0	9	49	3	90	7	37	405	8494	1432	549	565	88	92		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	123	36	1	76	93	22	3	353	722	245	53	12	1338	1583	753	1062		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1892	2975	4814	10666	15648	12137	12765	20400	17255	13686	7801	8652	12731		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3521	3079	2105	3125	1053	3915	6342	7525	14728	28578	22582	25732	3422	4710	1527	630	1053		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	3	2	8	10	34	7	7	0	504	55	33	46	197	429		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0		0	9	6	0	0	17	0	0	0	70	66	99	18	21	15	37	16		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0		0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		12	4	7	12	10	0	8	20	9	31	0	0	0	0	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	1	0	0	5	0	3	16	12	16	8	10	20	16	12	27	11		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		193	51	38	23	43	29	58	29	77	24	42	36	106	58	120	34	71		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2	3	4	8	0	0	1	0	1	0	0	0		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	67	96	81	72	26	7	0	0	0	0		7	2	0	105	77	148	23	103	169	105	79	57	85	45	30	94	130		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	49	39	0	0	0	6	0	1	2	6	0	0	0	2	1	0	0		579	69	55	280	154	262	386	424	286	351	952	536	903	726	568	994	570		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		32	49	24	40	58	11	7	10	6	59	2	8	9	13	22	29	60		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	8	0	14	0	7	0	0	0	0	0	0	5	0	0	4	0		96	64	58	51	82	44	148	298	393	416	635	112	97	216	358	449	123		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
3803	"Tall oil, whether or not refined"	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0		0	0	83	431	519	679	0	0	0	0	2	1	4	0	0	0	0		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	14	15	1	4	15	26	2	0	0	0	0	117	2	0	0	0		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3115	6202	23521	46427	276337	351014		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
3905	"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0		79	78	45	67	159	1573	3595	9934	13062	8796	9169	5432	277	191	236	469	356		16222	22361	28643	41719	48792	57345	69767	78639	60899	76153	98431	95777	99461	103121	99522	106076	111302	
3910	"Silicones in primary forms"	0	1	5	5	0	19	0	2	1	9	13	29	38	131	38	0	0		24	193	159	273	412	281	565	708	952	610	433	371	537	563	559	1002	482		20461	32463	40576	55248	62268	67328	79499	92848	83403	93625	106685	105342	116845	127153	111129	117045	141464	
3912	"Cellulose and its chemical derivatives, n.e.s., in primary forms"	1	0	1	0	0	0	0	0	0	0	0	0	7	0	2	5	0		1095	975	853	1124	1059	1067	2111	1563	893	823	598	365	378	248	537	430	617		33624	45843	57897	75423	81751	92526	111982	119656	96818	120591	162974	164122	162108	165594	150473	148607	163949	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	24	3	68	131	21	0	0		18	10	83	10	69	127	99	240	147	309	423	152	105	152	23	25	168		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	12	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0		109	192	526	565	686	874	1206	1391	835	1506	1802	1054	1247	1436	1080	2332	4721		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	73	91	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0		8504	4272	3527	3893	424	362	473	786	745	361	292	214	522	977	1419	1812	1994		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	0		1	16	32	55	42	125	134	179	63	35	45	146	18	235	346	412	321		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		277	140	238	504	672	326	553	2263	200	165	1314	3493	64	605	7994	2866	384		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20	30	730	1066	1100	1151	0	171	0	8	8	1515	1796	1824	971	525	1105		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	2	0	0	0	0	0	0	0	0	0	0	25	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	115	28	46	0	13	31	4	2	41	55	29	0	334	21	65	0	0		664	831	780	1947	432	284	231	3695	560	1089	1119	530	1264	2093	1753	2934	411		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
