Product code	Product label	Turkey's imports from Bulgaria-Value in 2001	Turkey's imports from Bulgaria-Value in 2002	Turkey's imports from Bulgaria-Value in 2003	Turkey's imports from Bulgaria-Value in 2004	Turkey's imports from Bulgaria-Value in 2005	Turkey's imports from Bulgaria-Value in 2006	Turkey's imports from Bulgaria-Value in 2007	Turkey's imports from Bulgaria-Value in 2008	Turkey's imports from Bulgaria-Value in 2009	Turkey's imports from Bulgaria-Value in 2010	Turkey's imports from Bulgaria-Value in 2011	Turkey's imports from Bulgaria-Value in 2012	Turkey's imports from Bulgaria-Value in 2013	Turkey's imports from Bulgaria-Value in 2014	Turkey's imports from Bulgaria-Value in 2015	Turkey's imports from Bulgaria-Value in 2016	Turkey's imports from Bulgaria-Value in 2017	Bulgaria's exports to world- 	Bulgaria's exports to world-Value in 2001	Bulgaria's exports to world-Value in 2002	Bulgaria's exports to world-Value in 2003	Bulgaria's exports to world-Value in 2004	Bulgaria's exports to world-Value in 2005	Bulgaria's exports to world-Value in 2006	Bulgaria's exports to world-Value in 2007	Bulgaria's exports to world-Value in 2008	Bulgaria's exports to world-Value in 2009	Bulgaria's exports to world-Value in 2010	Bulgaria's exports to world-Value in 2011	Bulgaria's exports to world-Value in 2012	Bulgaria's exports to world-Value in 2013	Bulgaria's exports to world-Value in 2014	Bulgaria's exports to world-Value in 2015	Bulgaria's exports to world-Value in 2016	Bulgaria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2527	"Natural cryolite and natural chiolite"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2528	"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	3	2	0	6	0	0	0	0	0	0	1	4	3		0	34	0	14	2	2	164	9	5	30	7	14	95	11	12	1	1	
2604	"Nickel ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0		0	0	0	0	0	2	1	0	0	1	1	1	1	0	0	3	1	
2812	"Halides and halide oxides of non-metals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	2	13	1	17	3	6	0	5	0	1	0	2	3	4	2		828	466	306	451	525	1093	997	1338	1621	890	1168	1358	1925	2020	1506	1327	1874	
2813	"Sulphides of non-metals; commercial phosphorus trisulphide"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		733	128	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0		2	10	3	4	6	6	8	14	16	15	27	32	41	43	34	32	60	
2829	"Chlorates and perchlorates; bromates and perbromates; iodates and periodates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	38	1	10	0	0	0	0	0	1	222	917	1634	2904		1513	1357	2097	1545	1938	3698	3059	3908	4065	5374	8508	5609	5925	5857	5305	5234	5373	
2832	"Sulphites; thiosulphates"	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0		2	9	5	5	11	10	1	10	17	1	17	19	29	2	204	24	151		454	645	744	1001	1400	1014	1610	2034	1124	1445	1101	1147	1294	1098	1215	1294	1259	
2849	"Carbides, whether or not chemically defined"	17	54	69	1228	2229	1595	759	686	1161	1637	1514	165	61	86	53	97	0		941	903	1567	4927	6105	5783	6069	6971	5610	6020	6602	4828	4093	2789	2390	1692	1559		1667	3289	4176	6606	8350	7541	7275	11994	7145	10937	13714	9922	11044	13743	12526	17372	20732	
2850	"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	26	36	50	36	164	121	12		147	177	228	234	317	345	440	277	678	851	874	553	1228	1190	1009	1186	1378	
2902	"Cyclic hydrocarbons"	12092	11449	10413	9901	12582	13876	15873	19425	9868	0	0	0	0	0	0	0	0		17815	18031	25548	40176	45348	53357	63943	50756	16704	0	1	0	0	1532	1120	978	64		92530	89885	112701	218794	235508	243841	300490	307224	239536	377706	570751	610071	634940	578759	486336	457182	558919	
2910	"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		304	0	61	674	1565	388	0	0	0	0	0	3	0	11	0	2	5		2728	3774	5017	4611	2274	1159	1619	2302	1284	1595	2608	3087	4599	5237	4123	3180	4150	
2929	"Compounds with other nitrogen function (excluding amine-function compounds; oxygen-function ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	137	81	109	62	29	52	92	99	72	68	149	104	40	101	43	52		65508	84075	108338	128028	126732	136771	138887	158352	113983	125408	148542	165832	192932	186357	157124	167801	288498	
2942	"Separate chemically defined organic compounds, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	0	2	464	1	6	0	68	14	1	141	211	227	296	176	1916	41		1063	1020	1703	2260	6354	9667	12594	15093	7511	5527	6292	6238	7198	4591	4497	6135	4731	
3701	"Photographic plates and film in the flat, sensitised, unexposed, of any material other than ..."	2324	3186	3112	3641	2634	2077	2610	248	87	1076	365	2	7	0	0	0	0		13832	18338	23171	29398	33698	49555	59926	41670	51644	63313	73087	16708	805	785	792	1010	1292		41213	49798	65703	82448	96716	105272	131978	129716	129968	138488	147321	133576	133320	122000	97782	90470	82459	
3703	"Photographic paper, paperboard and textiles, sensitised, unexposed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		118	9	10	195	0	192	134	194	346	347	353	319	332	114	43	45	42		18143	18181	19687	23369	24027	24523	19634	15425	13551	14937	16184	15010	13756	12331	10898	10756	10323	
3706	"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ..."	0	0	0	0	0	6	2	0	0	3	0	2	2	0	0	0	0		854	1266	1982	1919	6074	11075	10091	13960	13851	21200	1536	0	0	0	0	0	0		1747	2974	3216	6210	8637	7074	8626	9575	8011	5408	6512	4946	3423	185	206	0	1	
4015	"Articles of apparel and clothing accessories, incl. gloves, mittens and mitts, for all purposes, ..."	0	0	0	0	7	7	2	26	0	0	3	1	1	0	0	20	0		31	335	44	137	109	55	456	548	199	149	196	174	356	329	103	211	500		7436	10530	11169	22453	22511	30608	45747	48461	54963	76639	104993	108755	109230	109732	126392	136154	156584	
4017	"Hard rubber, e.g. ebonite, in all forms, incl. waste and scrap; articles of hard rubber, n.e.s."	0	0	0	5	6	10	10	11	6	21	22	17	33	35	8	0	0		2380	2913	3036	3240	3559	3948	6166	6413	4045	4731	5763	4773	3996	4193	3589	3557	3908		363	444	612	765	1136	1361	1669	1669	1275	2023	1523	864	1517	1555	1226	1236	1273	
4106	"Tanned or crust hides and skins of goats or kids, pigs, reptiles and other animals, without ..."	1	0	0	7	3	0	0	49	0	8	25	17	30	0	0	0	0		89	2929	3695	3460	4390	3816	7418	5204	2810	4012	5167	4039	4096	3208	1413	1448	1380		7766	2316	1905	1973	4165	5079	4423	4096	3420	6800	10291	11030	11110	10981	7601	9528	8409	
